CHARGE_CODE,CHARGE_DESCRIPTION,CHARGE,REVENUE_CODE,CPT_CODE,PHARMACY_NDC
3099019,CONTRAST BATH PER 15,70.17,420,97034,
3099020,ULTRASOUND THPY 15M,49.93,420,97035,
3099021,NEUROMUSC REEDU 15MN,117.68,420,97112,
3099022,GAIT TRNG PER 15MIN,117.68,420,97116,
3099023,COMM/WORK REINT 15M,117.68,420,97537,
3099025,WORK HARD ADDTL HOUR,125.55,420,97546,
3099026,ASST TECH ASSESS 15M,147.11,420,97755,
3099027,ELEC STIM THER UNATT,49.93,420,G0283,
3099090,PT BIOFEEDBACK,121.68,420,90901,
3099091,BIOFDBK PERINEAL EMG,180.93,420,90911,
3099100,ORTHC/PROSTC MGMT SBSQ ENC,79.49,420,97763,
3099146,SHARP SEL DEBRDMT;FIRST 20SQ CM,310.65,420,97597,
3099147,SHARP SEL DEBRDMT;EA ADD 20SQ CM,295.01,420,97598,
3099701,HOT AND COLD PACKS,26.57,429,97010,
3099702,WHIRLPOOL THERAPY,49.93,420,97022,
3099703,ELEC STIM ATTEND 15M,70.17,420,97032,
3099711,THER EXERC PER 15MIN,118.09,420,97110,
3099712,MASSAGE THERAPY 15M,77.61,420,97124,
3099714,MANUAL THERAPY 15M,117.68,420,97140,
3099715,PT GROUP THER PROC,117.68,423,97150,
3099750,ORTHO FIT/TRAIN 15M,117.68,420,97760,
3099752,PROSTHETIC TRAIN 15M,117.68,420,97761,
3099753,THERAPEUTIC ACTIV 15,117.68,420,97530,
3099754,WHEELCHR TRAIN 15MIN,117.68,420,97542,
3099775,PHYSICAL PERFORM 15M,147.11,420,97750,
3099934,SELF CARE TRAIN 15,117.68,420,97535,
3099935,INFRARED,15.92,420,97026,
3101010,IP SPEECH HEAR EVAL,588.43,440,92506,
3101010,IP SPEECH HEAR EVAL,588.43,440,,
3101020,OP SPEECH/HEAR/VOICE,117.68,440,92507,
3101040,IP SP INDIVID 15 MIN,117.68,440,92507,
3101100,IP SP GROUP,117.68,440,92508,
3101101,SP/HEAR/VOICE THER2+,117.68,443,92508,
3102030,MOTION FLURO/SWALLOW,347.67,440,92611,
3102033,EVAL/SWALLOW FUNCT,147.11,444,92610,
3102040,IP SP ROTATION,46.81,440,92559,
3102060,IP ENDO SWALL TST FE,776.93,440,92612,
3107111,SWALLOW STATUS G8996,.01,440,G8996,
3107121,SWALLOW LTG G8997,.01,440,G8997,
3107131,SWALLOW DIS G8998,.01,440,G8998,
3107211,MOTOR SP STATUS G8999,.01,440,G8999,
3107221,MOTOR SP LTG G9186,.01,440,G9186,
3107231,MOTOR SP DIS G9158,.01,440,G9158,
3107311,LANG COMP STATUS G9159,.01,440,G9159,
3107321,LANG COMP LTG G9160,.01,440,G9160,
3107331,LANG COMP DIS G9161,.01,440,G9161,
3107411,LANG EXP STATUS G9162,.01,440,G9162,
3107421,LANG EXP LTG G9163,.01,440,G9163,
3107431,LANG EXP DIS G9164,.01,440,G9164,
3107511,ATTEN STATUS G9165,.01,440,G9165,
3107521,ATTEN LTG G9166,.01,440,G9166,
3107531,ATTEN DIS G9167,.01,440,G9167,
3107611,MEMORY STATUS G9168,.01,440,G9168,
3107621,MEMORY LTG G9169,.01,440,G9169,
3107631,MEMORY DIS G9170,.01,440,G9170,
3107711,VOICE STATUS G9171,.01,440,G9171,
3107721,VOICE LTG G9172,.01,440,G9172,
3107731,VOICE DIS G9173,.01,440,G9173,
3107811,SPEECH LANG STATUS,.01,440,G9174,
3107821,SPEECH LANG LTG G9175,.01,440,G9175,
3107831,SPEECH LANG DIS G9176,.01,440,G9176,
3109001,IP ST SWALLOW EVAL,145.71,440,92610,
3109003,SENSORY INT TECH 15M,117.68,440,97533,
3109007,ASSIST TECH ASSES 15,147.11,440,97755,
3109008,TX SWALW DYSF/ORL FC,470.73,449,92526,
3109009,EVAL FOR NONSP DEVIC,280.77,444,92605,
3109010,NON-SP DEVICE SERVIC,117.68,440,92606,
3109011,EVAL SP DEVICE RX 1H,338.55,444,92607,
3109012,EVAL SP DEV ADTL 30M,74.82,444,92608,
3109013,USE OF SP DEVICE SER,170.07,440,92609,
3109014,DEVELOPMENTAL SCREENING W/I&R,70.17,440,96110,
3109100,THER IVNTJ W/FOCUS COG FUNCJ,79.49,440,97127,
3109252,IP ST LARYGFUNSTUDY,766.02,440,92520,
3109259,IP AUDIO HAE MONAUR,159.09,470,92590,
3109610,ST APHASIA ASSESSMEN,597.47,440,96105,
3109611,THERAP EXCER PER 15M,117.68,440,97110,
3109612,THERAP ACT PER 15 MI,117.68,440,97530,
3109614,ESTIM UNATTENDED,49.93,440,G0283,
3109615,SELF CARE/HOME TRAIN,117.68,440,97535,
3109616,COMM/WORK REIN 15MIN,117.68,440,97537,
3109617,NEUROMUSCULAR RE-ED,117.68,440,97112,
3109618,EVAL VOICE PROS DEV,280.69,444,92597,
3109619,EV AUD REHAB ADD 15M,56.58,444,92627,
3109620,EVAL AUD REHAB 1HR,224.86,444,92630,
3131010,IP OT EVAL,350.13,434,97003,
3131010,IP OT EVAL,350.13,434,,
3131012,IP OT INDIVID 15MIN,117.68,430,97110,
3131045,IP OT CONCURRENT,117.68,430,97150,
3131100,IP OT GROUP,117.68,430,97150,
3132912,OT DYNAMIC FINGER SP,160.69,430,29131,
3132913,OT FINGER SPLINT,101.38,430,29130,
3132940,OT SHORT LEG CAST,307.33,430,29405,
3136455,OT TENS,62.36,430,64550,
3137111,MOBILITY STATUS G8978,.01,430,G8978,
3137121,MOBILITY LTG G8979,.01,430,G8979,
3137131,MOBILITY DIS G8980,.01,430,G8980,
3137140,OT EVAL LOW COMPLEX 30 MIN,325.25,434,97165,
3137141,OT EVAL MOC COMPLEX 45 MIN,325.25,434,97166,
3137142,OT EVAL HIGH COMPLEX 60 MIN,325.25,434,97167,
3137211,POSITION STATUS G8981,.01,430,G8981,
3137221,POSITION LTG G8982,.01,430,G8982,
3137231,POSITION DIS G8983,.01,430,G8983,
3137311,SELF CARE STATUS G8987,.01,430,G8987,
3137321,SELF CARE LTG G8988,.01,430,G8988,
3137331,SELF CARE DIS G8989,.01,430,G8989,
3137411,OTHER PRIM STATUS G8990,.01,430,G8990,
3137421,OTHER PRIM LTG G8991,.01,430,G8991,
3137431,OTHER PRIM DIS G8992,.01,430,G8992,
3137511,OTHER SEC STATUS G8993,.01,430,G8993,
3137521,OTHER SEC LTG G8994,.01,430,G8994,
3137531,OTHER SEC DIS G8995,.01,430,G8995,
3137611,CARRY/MOVING STATUS G8984,.01,430,G8984,
3137621,CARRY/MOVING LTG G8985,.01,430,G8985,
3137631,CARRY/MOVING STATUS G8986,.01,430,G8986,
3139001,ROM EXT/TRUNK W/REPT,95.12,960,95851,
3139002,MAN MM TEST HAND,95.12,430,95832,
3139003,MAN MM TST BOD/NO HD,160.69,430,95833,
3139004,MAN MM TEST TOTL BOD,237.16,430,95834,
3139005,ROM MEASURE HAND,132.6,430,95852,
3139008,MAN MM TST EXT/TRNK,70.17,430,95831,
3139014,SENSORY INT TECH 15M,117.68,430,97533,
3139017,ASST TECH ASSESS 15M,147.11,430,97755,
3139019,OT RE-EVALUATION,109.17,434,97004,
3139019,OT RE-EVALUATION,109.17,434,,
3139020,VASOPNEUMATIC DEV TH,70.17,430,97016,
3139021,PARAFFIN BATH THER,70.17,430,97018,
3139022,IONTOPHERESIS PER 15,70.17,430,97033,
3139023,CONTRAST BATH 15MIN,70.17,430,97034,
3139024,ULTRASOUND THPY 15M,49.93,430,97035,
3139025,NEUROMUSCL REEDU 15M,117.68,430,97112,
3139026,AQUATIC TX PER 15MIN,158.9,430,97113,
3139027,MASSAGE THRPY PER 15,77.61,430,97124,
3139028,GRP THERAPEUTIC PROC,117.68,430,97150,
3139029,ORTHOTIC FIT/TRN 15M,117.68,430,97760,
3139030,SELF CARE TRAIN 15M,117.68,430,97535,
3139031,COMM/WRK REINTGRT 15,117.68,430,97537,
3139032,WORK HARDENING 2 HRS,399.33,430,97545,
3139033,WORK HRDNG ADDTL HR,125.55,430,97546,
3139034,ELEC STIM THER UNATT,49.93,430,G0283,
3139035,OT SHORT ARM SPLINT,101.38,430,29125,
3139036,OT DYNAM SHRT ARM SP,124.81,430,29126,
3139090,OT BIOFEEDBACK,121.68,430,90901,
3139135,DHB FINGER FLEX GLOV,108.17,274,L3912,
3139138,SFA CUBITAL TUN/SHEL,721.28,274,L3720,
3139139,SFA SUGAR TONG,721.28,274,L3720,
3139141,DFA SPINA/PRONA,721.28,274,L3730,
3139142,DEB ELBOW W/HINGE,894.34,274,L3740,
3139143,FS HUMERAL FRACTURE,360.64,274,L3980,
3139146,SHARP SEL DEBRDMT;FIRST 20SQ CM,310.65,430,97597,
3139147,SHARP SEL DEBRDMT;EA ADD 20SQ CM,295.01,430,97598,
3139150,SFB RADIA/ULNAR GUTT,429.87,274,L3906,
3139152,DFB IP FLEXION STRAP,57.72,274,L3935,
3139153,SHB ULNAR DRIFT HING,201.95,274,L3919,
3139154,SHB INTRINS+/MP IMM,429.87,274,L3917,
3139159,SFB WRIST COCK UP,429.87,274,L3906,
3139166,SFB METACARPAL FRAC,429.87,274,L3917,
3139170,DEB ELBOW FLE/EXT AS,721.28,274,L3730,
3139701,OT HOT AND COLD PACK,26.57,439,97010,
3139702,WHIRLPOOL THERAPY,49.93,430,97022,
3139703,ELEC STIM ATTEN 15M,70.17,430,97032,
3139711,THER EXERC PER 15MIN,117.68,430,97110,
3139714,MANUAL THRPY PER 15M,117.68,430,97140,
3139750,ORTHOTIC FIT/TRN 15M,117.68,430,97760,
3139752,PROSTHETIC TRAIN 15M,117.68,430,97761,
3139753,THERAPEUTC ACTVTY 15,117.68,430,97530,
3139754,WHEELCHR TRAIN 15MIN,117.68,430,97542,
3139775,PHYSCL PERFRM TST 15,147.11,430,97750,
3139778,THER IVNTJ W/FOCUS COG FUNCJ,79.49,430,97127,
3139779,ORTHC/PROSTC MGMT SUBSQ EN,79.49,430,97763,
3139935,INFRARED,15.92,430,97026,
3156455,PT TENS,59.32,420,64550,
3159001,ROM MEASURE BODY,90.4,420,95851,
3159002,MAN MM TEST HAND,90.4,420,95832,
3159003,MAN MM TST BOD/NO HD,152.77,977,95833,
3159004,MAN MM TEST TOTL BOD,225.46,420,95834,
3159005,ROM MEASURE HAND,126.07,420,95852,
3159008,SENSORY INTEGRATE 15,66.7,420,97533,
3159011,MAN MM TEST EXT/TRNK,66.7,420,95831,
3159014,PT RE-EVALUATION,103.78,424,,
3159014,PT RE-EVALUATION,103.78,424,97002,
3159021,NEUROMUSC REEDU 15MN,66.7,420,97112,
3159022,GAIT TRNG PER 15MIN,66.7,420,97116,
3159023,COMM/WORK REINT 15M,66.7,420,97537,
3159026,ASST TECH ASSESS 15M,86.05,420,97755,
3159027,ELEC STIM THER UNATT,47.46,420,G0283,
3159090,PT BIOFEEDBACK,112.69,420,90901,
3159240,PT SHORT LEG CAST,292.15,420,29405,
3159701,HOT AND COLD PACKS,25.24,429,97010,
3159703,ELEC STIM ATTEND 15M,66.7,420,97032,
3159711,THER EXERC PER 15MIN,66.7,420,97110,
3159712,MASSAGE THERAPY 15M,66.7,420,97124,
3159714,MANUAL THERAPY 15M,66.7,420,97140,
3159715,PT GROUP THER PROC,47.46,423,97150,
3159750,ORTHO FIT/TRAIN 15M,66.7,420,97760,
3159753,THERAPEUTIC ACTIV 15,66.7,420,97530,
3159754,WHEELCHR TRAIN 15MIN,66.7,420,97542,
3159775,PHYSICAL PERFORM 15M,75.61,420,97750,
3159934,SELF CARE TRAIN 15,66.7,420,97535,
3159936,ORTHC/PROSTC MGMT SBSQ ENC,79.49,420,97763,
3211035,PSYCH GROUP THERAPY,139.39,915,90853,
3212020,BIOFEEDBACK 30MIN,262.52,918,90875,
3212021,BIOFEEDBACK 45MIN,335.16,918,90876,
3219002,HLTH/BEHVR ASSESS 15,127.54,918,96150,
3219003,HLTH/BHV RE-AS 15MIN,63.78,918,96151,
3219004,HLTH/BHVR INTRVNT 15,63.78,918,96152,
3219005,HLTH/BHVR GRP 15MIN,90.4,918,96153,
3219006,HLTH/BHVR FAM/PR 15M,90.4,918,96154,
3219007,HLTH/BHVR FAM 15M,683.62,918,96155,
3219012,PREP OF PSYCH REP LE,338.15,910,90889,
3219015,FAMILY PSYCHO W/O PA,213.53,916,90846,
3219016,FAMILY PSYCHO W PAT,226.85,916,90847,
3219017,MULT FAMILY GRP THER,219.45,915,90849,
3219018,INTV FOR MED MGT W A,392.99,914,90882,
3219019,PSYCH EVAL FOR MED D,456.76,910,90885,
3219020,INTERP OF PSYCH EXAM,372.22,910,90887,
3219033,THER IVNTJ W/FOCUS COG FUNCJ,79.49,918,97127,
3221050,URINAL BOT LARGE,2.86,272,,
3223403,STERI STRIPS,4.32,279,,
3223408,CATH/FOLEY COUDE,18.7,272,,
3223412,CATHHOLDER,1.47,272,,
3223427,STAPLE REMOVER,2.86,279,,
3231206,SLING  ARM LEATHER,63.37,270,,
3231312,REACHERS LONG HANDLE,79.21,273,,
3271010,ADRENOCORTICOTROPC HORMON(ACTH,385.61,301,82024,
3271011,CARCINOEMBRYONIC ANTIGEN(CEA),22.8,301,82378,
3271012,COLD AGGLUTININ; SCREEN,99.31,302,86156,
3271013,COOMBS DIRECT,20.14,300,86880,
3271014,COOMBS INDIRECT,86.53,300,86850,
3271017,FOLATE SERUM,26.04,301,82746,
3271018,URINE 24HR SODIUM,20.37,301,84300,
3271020,C & S SPINAL FLUID,52.43,306,87070,
3271022,HEPATITIS B SUR ANTI,79.94,302,86706,
3271023,HEPATITIS C ANTIBODY,106.18,302,86803,
3271024,GLUCOSE;TOLERANCE TEST 3 SPECM,63.78,301,82951,
3271025,GLYCOHEMOGLOBIN,20.37,301,83036,
3271026,HAPTOGLOBIN; QUANTITATIVE,97.82,301,83010,
3271027,LIPID PANEL,28.99,301,80061,
3271029,OCCULT BLOOD OTHER,43.01,301,82271,
3271030,C & S SPUTUM,52.43,306,87070,
3271031,PREGNANCY TEST (HCG),118.62,301,84702,
3271033,IRON,16.34,301,83540,
3271034,GLUCOSE  SPINAL FLUI,54.84,301,82945,
3271035,PROTEIN  TOTAL SPINA,54.84,301,84157,
3271036,FAT OR LIPIDS  FECES; QUALIT,90.4,301,82705,
3271037,LEUKOCYTE FECAL QUNT,32.63,309,89055,
3271038,STOOL OVA PARASITES,67.9,306,87177,
3271039,TD METHOTREXA,50.26,300,80299,
3271040,CULTURE BACT;STOOL PRELIM EXAM,23.97,306,87045,
3271043,URINE NA - SODIUM,20.37,301,84300,
3271044,CIPROPYLACETIC ACID(VALPROIC ACID),26.04,300,80164,
3271046,CMV,185.38,302,86644,
3271047,URINE MYOGLOBIN,42.17,301,83874,
3271048,ELECTROPHORESIS URIN,79.88,301,84165,
3271049,METANEPHRINES,229.84,301,83835,
3271050,C & S VAGINAL,52.43,306,87070,
3271051,VANILLYLMANDELIC ACID(VMA) URI,161.69,301,84585,
3271052,PROTEIN TOTAL EXCPT REFRAC;URI,28.49,307,84156,
3271053,VAGINAL CHLAMYDIA,213.53,306,87110,
3271054,UREA NITROGEN  URINE,22.63,301,84540,
3271055,CULTURE BACT SCRN SGL ORGANISM,112.69,306,87081,
3271056,VAGINAL PAP,129.01,311,88164,
3271058,CAROTENE,100.86,301,82380,
3271060,B12,25.36,301,82607,
3271062,SPINAL FLUID CELL CT,42.8,309,89051,
3271063,PROSTATE SPECIFIC ANTIGN;TOTAL,28.43,301,84153,
3271064,HEPATITIS B DNA PROB,189.84,306,87516,
3271070,CALCIUM;URINE QUANT TIMED SPEC,68.23,301,82340,
3271071,PHOSPHORUS INORGANIC; URINE,59.32,301,84105,
3271072,URIC ACID; OTHER SOURCE,43.01,301,84560,
3271073,TROUGH VANCO,50.26,300,80202,
3271074,TROUGH GENT,94.97,300,80170,
3271075,CYCLOSPORIN QUANT,140.38,300,80158,
3271076,AMIKACIN QUANT TROUG,83.21,300,80150,
3271079,EOSINOPHIL-COUNT,57.85,305,85048,
3271080,IMMUNOELECTROPHORESIS; SERUM,229.84,302,86320,
3271081,ELECTROPHORESIS CSF,79.88,301,84165,
3271084,TD NAPA,183.85,300,80192,
3271085,PRIMIDONE,45.4,300,80188,
3271086,DESIPRAMINE,195.76,300,80160,
3271086,DESIPRAMINE,195.76,300,,
3271087,IMIPRAMINE,195.76,300,80174,
3271087,IMIPRAMINE,195.76,300,,
3271088,TD MEXILETINE,50.26,300,80299,
3271089,LIPASE,28.99,301,83690,
3271090,D-DIMER:QUALITATIVE/SEMIQUANT,90.4,305,85378,
3271201,CULTURE AFB,83.87,306,87116,
3271206,URINE LYTES (S P C),16.34,301,82436,
3271207,URINE K - POTASSIUM,33.47,301,84133,
3271211,ALCOHOL;ANY SPCMN EXCPT BREATH,140.92,301,82055,
3271211,ALCOHOL;ANY SPCMN EXCPT BREATH,140.92,301,,
3271213,AMMONIA,51.96,301,82140,
3271214,HETEROPHILE ANTIBODIES;SCREENI,112.69,302,86308,
3271215,GONADOTROPIN;LUTEINIZING HORMO,198.7,301,83002,
3271216,TESTOSTERONE; FREE,200.76,301,84403,
3271217,CATECHOLAMINES; TOTAL URINE,249.16,301,82382,
3271218,GONADOTROPIN; FSH,213.06,301,83001,
3272500,COMP METABOLIC PANEL,19.27,301,80053,
3272501,BASIC METABOLIC PANL,17.48,301,80048,
3273011,HEPATIC FUNCTION PANEL,203.15,301,80076,
3273012,BILIRUBIN DIRECT,16.34,301,82248,
3275001,GLUTAMYLTRANSFERASE GAMMA(GGT),16.34,301,82977,
3275002,ANTIBODY; RUBEOLA,161.69,302,86765,
3275003,T3,29.26,301,84479,
3275004,TRIIODOTHYRONINE T3; FREE,80.73,301,84481,
3275005,SYPHILIS TEST NON-TREP AB;QUAL,19.98,302,86592,
3275006,LYME DISEASE,323.23,302,86618,
3275007,PARATHORMONE,201.02,301,83970,
3275008,PROLACTIN,81.12,301,84146,
3275009,PHOSPHATASE ALKALINE;ISOENZYM,155.7,301,84080,
3276001,URINALYSIS AUTO W/MI,19.57,307,81001,
3276002,SENSITIVITY DISC,65.23,306,87184,
3276003,GRAM STAIN,38.9,300,87205,
3276004,BLD COUNT;CBC AUTO W/DIFF WBC,16.34,305,85025,
3276005,BLOOD COUNT; HEMOGLOBIN,19.57,305,85018,
3276006,BLOOD COUNT; HEMATOCRIT,19.57,305,85014,
3276007,WBC 85048,63.78,305,85048,
3276008,PLATELET COUNT AUTO,18.02,305,85049,
3276009,SED RATE  ERYTHROCYTE;NON-AUTO,16.34,305,85651,
3276010,PHENYTOIN; TOTAL,44.99,300,80185,
3276012,BLOOD COUNT; CBC AUTOMATED,30.87,305,85027,
3276013,CREATINE KINASE; ISOENZYMES,103.51,301,82552,
3276014,CREATINE,106.77,301,82540,
3276015,LACTATE DEHYDROGENASE;ISOENZYM,155.7,301,83625,
3276016,LITHIUM,41.6,300,80178,
3276017,MAGNESIUM,23.16,301,83735,
3276018,OSMOLALITY; BLOOD,26.04,301,83930,
3276019,OSMOLALITY URINE,26.04,301,83935,
3276020,BARBITURATES NOT ELSEWHERE SPEC,178,301,82205,
3276020,BARBITURATES NOT ELSEWHERE SPEC,178,301,,
3276022,PHOSPHORUS INORGANIC,16.34,301,84100,
3276023,OCCULT BLOOD-STOOL,18.2,301,82270,
3276024,URINE CYTOLOGY,105.31,311,88104,
3276025,BLOOD COUNT; RBC AUTOMATED,29.69,305,85041,
3276026,PEAK VANCO,50.26,300,80202,
3276027,QUINIDINE,163.08,300,80194,
3276028,SENSITIVITY,39.94,300,87186,
3276029,ELECTROLYTE PANEL,17.31,301,80051,
3276030,DIGOXIN,26.99,300,80162,
3276033,PEAK GENT,94.97,300,80170,
3276034,PEAK CYCLOSPO,140.38,300,80158,
3276035,AMIKACIN QUANT PEAK,83.21,300,80150,
3276038,ANTIBODY; HIV-1,240.22,302,86701,
3276039,ELECTROPHORES SERUM,79.88,301,84165,
3276040,PHOSPHATASE  ACID; TOTAL,127.54,301,84060,
3276041,HEMOGLOBIN ELECTROPH,127.54,301,83020,
3276042,TISSUE PATHOLOGY,209.08,312,88300,
3276043,FERRITIN,21.51,300,82728,
3276044,THYROID STIMULATING HORMONE,24.43,301,84443,
3276045,PROCAINAMIDE,183.85,300,80192,
3276047,RHEUMATOID FACTOR; QUALITATIVE,60.85,302,86430,
3276048,C. DIFFICILE STOOL,183.85,306,87230,
3276049,HEPATITIS A ANTIBODY; TOTAL,106.18,302,86708,
3276051,ANA (FANA),85.5,302,86235,
3276060,AMYLASE,21.4,301,82150,
3276070,BILIRUBIN; TOTAL,16.34,301,82247,
3276080,CARBAMAZEPINE; TOTAL,41.52,300,80156,
3276121,LAB MISCELLANEOUS,14.05,300,,
3277003,BLOOD COUNT;RETICULOCYTE MANUA,19.57,305,85044,
3277004,PRO TIME 85610,16.81,305,85610,
3277005,CULTURE BACTERIAL;BLOOD AEROBI,43.27,306,87040,
3277006,C & S WOUND,52.43,306,87070,
3277007,CULT BACT QNT CLNY C,38.53,300,87086,
3277009,CULTURE URINE,29.16,306,87088,
3277010,CORTISOL; TOTAL,77.73,300,82533,
3277011,BODY FLUID  CELL CT,42.8,309,89051,
3277012,GLUCOSE  BODY FLUID,59.32,301,82945,
3277013,PROTEIN TOTAL; BODY,80.09,301,84157,
3277014,CALCULUS; QUALITATIVE ANALYSIS,112.69,301,82355,
3277018,CRYSTAL EXAM  FLUID,100.86,309,89060,
3277019,HCG-BETA SERUM QUANT,200.23,301,84702,
3277020,GASES  BLOOD,90.53,301,82803,
3277023,URINE PREGNANCY TEST,96.38,300,81025,
3277024,CITRATE,390.06,301,82507,
3277025,OXALATE,180.93,301,83945,
3277026,CREATININE CLEARANCE,73.43,301,82575,
3277027,CREATININE OTH SOURC,21.51,301,82570,
3277028,ANTIBODY; VARICELLA-ZOSTER,62.24,302,86787,
3277050,TRIGLYCERIDES,16.34,301,84478,
3277060,URIC ACID; BLOOD,16.34,301,84550,
3277070,IRON BINDING CAPACTY,22.63,301,83550,
3277080,THEOPHYLLINE,45.4,300,80198,
3277090,ANTIBODY; RUBELLA,68.63,302,86762,
3278001,CULTURE OTHER,52.43,300,87070,
3278003,GLUCOSE  QUANT  BLOOD,16.34,301,82947,
3278004,UREA NITROGEN; QUANTITATIVE,15.39,301,84520,
3278005,CREATININE; BLOOD,16.34,301,82565,
3278006,PHOSPHATASE  ALKALINE,16.34,301,84075,
3278007,SGOT (AST),16.34,301,84450,
3278008,SGPT (ALT),16.34,301,84460,
3278009,LDH-LACTATE DEHYDROG,19.57,301,83615,
3278010,PTT 85730,27.8,305,85730,
3278030,AMITRIPTYLINE,231.31,300,80152,
3278030,AMITRIPTYLINE,231.31,300,,
3278129,SENSITIVITY DISC,65.23,300,87184,
3278219,BLOOD COUNT;MANUAL DIFF WBC,25.62,305,85007,
3279001,CREATINE KINASE;TOTAL,16.34,301,82550,
3279002,ALBUMIN;SERUM PLASMA/WHOLE BLOOD,16.34,301,82040,
3279003,PROTEIN TOTAL;SERUM/PLSMA/WH B,16.34,301,84155,
3279004,CALCIUM; TOTAL,16.34,301,82310,
3279005,CHOLESTEROL SERUM OR BLD TOTAL,16.34,301,82465,
3279006,SODIUM;SERUM PLASMA OR WHL BLD,16.34,301,84295,
3279007,POTASSIUM;SERUM PLASMA/WHOL BL,16.34,301,84132,
3279008,CHLORIDE; BLOOD,16.34,301,82435,
3279009,CARBON DIOXIDE (BICA,16.34,301,82374,
3279010,T3 - UPTAKE,29.26,301,84479,
3279011,T4,29.26,301,84479,
3279012,SUSCEPT  AGAR DILUTN,41.14,306,87181,
3279013,ALBUMIN;URINE MICROALBUMN QUANT,42.01,301,82043,
3279014,C-REACT PROTEIN;HIGH SENSITIV,93.92,302,86141,
3279015,C-REACTIVE PROTEIN,49.93,302,86140,
3279016,HEMOGLOBIN AIC,20.37,301,83036,
3279017,TACROLIMUS,106.71,300,80197,
3279018,B-TYPE NATRIURETIC,252.02,301,83880,
3279019,HOMOCYSTEINE,103.18,301,83090,
