"Facility","Description","Price"
"WYTHE COUNTY COMMUNITY HOSP","INGROWN NAIL",378
"WYTHE COUNTY COMMUNITY HOSP","COLLECT BLOOD VAD",155
"WYTHE COUNTY COMMUNITY HOSP","UNNA BOOT",253
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX ULNAR SHAFT",462
"WYTHE COUNTY COMMUNITY HOSP","CLD TX GR TOE W\M",365
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS F\E\E\N\ 20.1CM",518
"WYTHE COUNTY COMMUNITY HOSP","EXCISION OF NAIL",850
"WYTHE COUNTY COMMUNITY HOSP","PNEUMONIA VACCINE ADMIN",106
"WYTHE COUNTY COMMUNITY HOSP","REPAIR EXTENSOR TENDON",1451
"WYTHE COUNTY COMMUNITY HOSP","VAGINAL PACKING",399
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX PHALNGE SHAFT",330
"WYTHE COUNTY COMMUNITY HOSP","LARYNGOSCOPY",2431
"WYTHE COUNTY COMMUNITY HOSP","SA ANOSCOPY",462
"WYTHE COUNTY COMMUNITY HOSP","CAST WINDOWING",397
"WYTHE COUNTY COMMUNITY HOSP","INJ NERVE BLOCK",398
"WYTHE COUNTY COMMUNITY HOSP","REMOVE FB MOUTH SIMPLE",338
"WYTHE COUNTY COMMUNITY HOSP","SPLINT APPLY LONG ARM",321
"WYTHE COUNTY COMMUNITY HOSP","REP VERMILION >1/2 HT",2638
"WYTHE COUNTY COMMUNITY HOSP","INTERMED 7.6 TO 12.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","ANOSCOPY",462
"WYTHE COUNTY COMMUNITY HOSP","I&D RECTAL ABSCESS",496
"WYTHE COUNTY COMMUNITY HOSP","NAIL DRAIN BLOOD",169
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 12.6 TO 20CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX STNCLV DISL WO M",413
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVAL INTRANASAL",357
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ACRCLAV DIS W\MN",413
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX PATELLAR FX",733
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX RAD HEAD SUBLUX",733
"WYTHE COUNTY COMMUNITY HOSP","FORENSIC EXAM SANE RN",610
"WYTHE COUNTY COMMUNITY HOSP","CPR",826
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX CALCAN FX WO MAN",577
"WYTHE COUNTY COMMUNITY HOSP","TX FOOT DISLOCAT TARSAL",462
"WYTHE COUNTY COMMUNITY HOSP","DRAINAGE GUM LESION",273
"WYTHE COUNTY COMMUNITY HOSP","FACIAL INTERM 5.1-7.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","CRITICAL CARE ADD 30 MIN",1139
"WYTHE COUNTY COMMUNITY HOSP","I&D VULVA PERINEUM",1220
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 12.6 TO 20CM",518
"WYTHE COUNTY COMMUNITY HOSP","I&D UPPER ARM/ELBOW",1304
"WYTHE COUNTY COMMUNITY HOSP","NASOPHARYNGOSCOPY",325
"WYTHE COUNTY COMMUNITY HOSP","LAYER CLOS F\E\E\N\>3CM",2566
"WYTHE COUNTY COMMUNITY HOSP","REPR WND 7.6-12.5CM SMPL",532
"WYTHE COUNTY COMMUNITY HOSP","EPISTAXIS CONTROL POST",470
"WYTHE COUNTY COMMUNITY HOSP","TX EPICONDYLR HUM FX W\O",462
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX HIP DISLOCAT WO",736
"WYTHE COUNTY COMMUNITY HOSP","SPLINT APPLY LOWER LEG",321
"WYTHE COUNTY COMMUNITY HOSP","GASTRIC INTUBATION",749
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVAL PHARYNX",357
"WYTHE COUNTY COMMUNITY HOSP","FECAL IMPACTION REMOVAL",272
"WYTHE COUNTY COMMUNITY HOSP","FACIAL INTERM 7.6-12.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLD TX METATARSAL FX W\M",462
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX FRACTURE NOSE",1634
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 5.1 TO 7.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS F\E\E\N 12.6CM",527
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ANKLE TALUS FX",462
"WYTHE COUNTY COMMUNITY HOSP","STRAP ANKLE/FOOT",235
"WYTHE COUNTY COMMUNITY HOSP","EVAC SUBUNGUAL HEMATOMA",176
"WYTHE COUNTY COMMUNITY HOSP","INTERMED 2.6 TO 7.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","REP COMP TRUNK 1.1-2.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","THORACOTOMY/REPAIR",6348
"WYTHE COUNTY COMMUNITY HOSP","REPR WND 12.6-20CM SMPL",446
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX STRNCLAV DIL W\M",413
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM FX W\MANIP",462
"WYTHE COUNTY COMMUNITY HOSP","CAST APPLY FOREARM",397
"WYTHE COUNTY COMMUNITY HOSP","INSERT STR CATH COLLECT",114
"WYTHE COUNTY COMMUNITY HOSP","CL TX ANKLE TALUS FX W\M",413
"WYTHE COUNTY COMMUNITY HOSP","CL TX RAD DIS FX W MANIP",493
"WYTHE COUNTY COMMUNITY HOSP","APPLY LONG ARM SPLINT",371
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX FX DIST TIBIA WO",413
"WYTHE COUNTY COMMUNITY HOSP","REPR WND 2.6-7.5CM SMPL",460
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVAL EAR",549
"WYTHE COUNTY COMMUNITY HOSP","TX ANKLE TRIMALEOLAR FX",554
"WYTHE COUNTY COMMUNITY HOSP","DEBRIDE SKIN TISSUE",432
"WYTHE COUNTY COMMUNITY HOSP","BURN SM W/O ANES",376
"WYTHE COUNTY COMMUNITY HOSP","EXPLORE PENETRATE WOUND",504
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ELBOW FX W\ANES",462
"WYTHE COUNTY COMMUNITY HOSP","NAIL AVULSION",193
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM FX W\O MANIP",413
"WYTHE COUNTY COMMUNITY HOSP","IM/SQ INJECTION",264
"WYTHE COUNTY COMMUNITY HOSP","DISL PHAL MANIP W/ANES",1881
"WYTHE COUNTY COMMUNITY HOSP","DEB SUBQ TISSUE 20CM EA",355
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING APPLY SHOULDER",293
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX RAD\INTERC\DX CL",413
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ULNAR STYLOID FX",413
"WYTHE COUNTY COMMUNITY HOSP","INTERMED 20.1 TO 30CM",518
"WYTHE COUNTY COMMUNITY HOSP","CNTRL NASAL BLD POST SUB",482
"WYTHE COUNTY COMMUNITY HOSP","DRAIN EXT EAR ABSCS SIMP",444
"WYTHE COUNTY COMMUNITY HOSP","REPAIR LAC TONGUE <2.5CM",357
"WYTHE COUNTY COMMUNITY HOSP","REDUCTN ELBOW W ANES",440
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX REPAIR 2.6-7.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM SFT FX W\MAN",413
"WYTHE COUNTY COMMUNITY HOSP","URINARY CATH COMPLEX",496
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX METACARPL FX MAN",442
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVE MOUTH\NOSE",157
"WYTHE COUNTY COMMUNITY HOSP","ER VISIT LVL I",312
"WYTHE COUNTY COMMUNITY HOSP","CONTRL NASAL BLDG COMPLX",736
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 7.6 TO 12.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX WRIST FX WO MANP",462
"WYTHE COUNTY COMMUNITY HOSP","TX SESAMOID BONE FX",462
"WYTHE COUNTY COMMUNITY HOSP","REGIONAL NERVE BLOCK",703
"WYTHE COUNTY COMMUNITY HOSP","URINE PREGNANCY TEST",55
"WYTHE COUNTY COMMUNITY HOSP","EPISTAXIS CONT ANT SIMP",470
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX DISLOCATED JAW",357
"WYTHE COUNTY COMMUNITY HOSP","VENIPUNCTURE",22
"WYTHE COUNTY COMMUNITY HOSP","TX BURN 1ST DEGREE LOCAL",261
"WYTHE COUNTY COMMUNITY HOSP","ED BLADDER SCAN",147
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX RADIUS\ULNA FX",736
"WYTHE COUNTY COMMUNITY HOSP","IMMUNIZATION ADMIN",109
"WYTHE COUNTY COMMUNITY HOSP","INFLUENZA VACCINE ADMIN",106
"WYTHE COUNTY COMMUNITY HOSP","REP HC MOUTH >2.6CM",2545
"WYTHE COUNTY COMMUNITY HOSP","WOUND EXPLORE EXTREMITY",456
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX ELBOW DISLOC WO",582
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX SHL BL FX W\O MN",413
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX LUNATE DISLOC W\",413
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX BIMALLE FX WITH",2456
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX EA ADDL <5CM",792
"WYTHE COUNTY COMMUNITY HOSP","REP COMP ENEL ADDITIONAL",792
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ARTICULAR MANIP",403
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX SHFT DIST\FX W\M",537
"WYTHE COUNTY COMMUNITY HOSP","CL TX METATAR FX WO MANI",570
"WYTHE COUNTY COMMUNITY HOSP","CAST APPLY SHORT LEG",245
"WYTHE COUNTY COMMUNITY HOSP","APPLY SHORT LEG SPLINT",235
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING TOES",118
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX METACARPAL FX",462
"WYTHE COUNTY COMMUNITY HOSP","ART CATH FOR SAMPLE PERC",330
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 20.1 TO 30CM",632
"WYTHE COUNTY COMMUNITY HOSP","CAST REMOVAL ARM/LEG",235
"WYTHE COUNTY COMMUNITY HOSP","TRACHEOSTOMY",2788
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX CLAVICLE W/MAN",362
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS N\H\F 7.6-12CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX HUMERUS FX WITH",2456
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM FX W\ MANIP",462
"WYTHE COUNTY COMMUNITY HOSP","ENDOTRACHEAL INTUBATION",905
"WYTHE COUNTY COMMUNITY HOSP","I\D BARTH GLAND ABSCESS",2266
"WYTHE COUNTY COMMUNITY HOSP","TX HIP ARTHRPLSTY DISLOC",479
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING HAND\FINGER",86
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX RAD\ULNA FX WITH",2456
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING ANKLE",118
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION OF KNEE",462
"WYTHE COUNTY COMMUNITY HOSP","FB REM CORNEA W/O SLIT",560
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX FINGER DISLOCAT",462
"WYTHE COUNTY COMMUNITY HOSP","FB REMOV CORNEA W\SLIT",426
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX ACETABLR FX WO",736
"WYTHE COUNTY COMMUNITY HOSP","I&D PERIANAL ABSCESS",736
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX FINGER DISL MANP",490
"WYTHE COUNTY COMMUNITY HOSP","APPLY WRIST/ELBOW SPLINT",371
"WYTHE COUNTY COMMUNITY HOSP","I&D EXTERNAL HEMORRHOID",498
"WYTHE COUNTY COMMUNITY HOSP","INSERT BLADDER CATH COMP",444
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING CHEST",102
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX INTTROCH FX",736
"WYTHE COUNTY COMMUNITY HOSP","SECONDARY CLOSURE WOUND",462
"WYTHE COUNTY COMMUNITY HOSP","ER VISIT LVL II",471
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX MED MALLEOUS FX",733
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 7.6 TO 12.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVAL EAR",223
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING TOES",235
"WYTHE COUNTY COMMUNITY HOSP","TX FOOT DISLTARSO\METATR",462
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX THUMB DISLOCT W\",462
"WYTHE COUNTY COMMUNITY HOSP","REMOV FB LARYNX",577
"WYTHE COUNTY COMMUNITY HOSP","NAIL PLATE AVULSION ADDL",218
"WYTHE COUNTY COMMUNITY HOSP","TX ELBOW DISLOCATION",462
"WYTHE COUNTY COMMUNITY HOSP","INJ NERVE FACIAL",577
"WYTHE COUNTY COMMUNITY HOSP","CLSD FX PELV RING FX\DS",462
"WYTHE COUNTY COMMUNITY HOSP","REP BLOOD VESSEL LES",4604
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX ULNAR FX W\MANP",413
"WYTHE COUNTY COMMUNITY HOSP","ER VISIT LVL III",699
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION ANKLE W/O MAN",462
"WYTHE COUNTY COMMUNITY HOSP","INTROS NDLE PLCMNT",352
"WYTHE COUNTY COMMUNITY HOSP","I&D PERITONSILLAR ABSCES",357
"WYTHE COUNTY COMMUNITY HOSP","MANUAL REMOVAL PLACENTA",145
"WYTHE COUNTY COMMUNITY HOSP","APPLY SHOULDER STRAPPING",371
"WYTHE COUNTY COMMUNITY HOSP","REMOVE IMPACT CERUMEN",268
"WYTHE COUNTY COMMUNITY HOSP","FB REMOVE CORNEA WO SLIT",459
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS N\H\F 20.1-30CM",518
"WYTHE COUNTY COMMUNITY HOSP","ER VISIT LVL IV",1201
"WYTHE COUNTY COMMUNITY HOSP","CL TX PAT FX W/O MAN",413
"WYTHE COUNTY COMMUNITY HOSP","I & D AXILLA",1255
"WYTHE COUNTY COMMUNITY HOSP","FACIAL COMPLEX 2.6-7.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","CL TX DIS RADL FX WO MAN",462
"WYTHE COUNTY COMMUNITY HOSP","CONTROL NASAL\ORAL BLEED",432
"WYTHE COUNTY COMMUNITY HOSP","INTERMED 12.6 TO 20CM",518
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX SCALP 2.6-7.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","SPLINT APPLY SHRT ARM ST",371
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX CLAVICLE FX WO",577
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION NURSEMAID ELBO",462
"WYTHE COUNTY COMMUNITY HOSP","TX EPICNDYLR HUM FX MAN",413
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX WRIST CARP FX WO",462
"WYTHE COUNTY COMMUNITY HOSP","NAIL AND MATRIX EXCISE",724
"WYTHE COUNTY COMMUNITY HOSP","IV HYDRATION 1ST HR",337
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX DISTAL RADIUS FX",2456
"WYTHE COUNTY COMMUNITY HOSP","FACIAL INTERMED <2.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX HUMERUS FX WO",736
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS TRNK\EXT > 30CM",2566
"WYTHE COUNTY COMMUNITY HOSP","TX FOOT DISL TALSOTARSAL",462
"WYTHE COUNTY COMMUNITY HOSP","DEB SUBQ TISSUE 20CM <",579
"WYTHE COUNTY COMMUNITY HOSP","TX SUP\TRNCONDYLR HUM FX",413
"WYTHE COUNTY COMMUNITY HOSP","EPISTAXIS CONT ANT COMP",470
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX FEMORAL FX",378
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX THUMB FX W\MANIP",462
"WYTHE COUNTY COMMUNITY HOSP","PF FAM PSYTX W PT 50",140
"WYTHE COUNTY COMMUNITY HOSP","PH ACTIVITY THERAPY",90
"WYTHE COUNTY COMMUNITY HOSP","APP LOWER LEG SPLINT",316
"WYTHE COUNTY COMMUNITY HOSP","PT EVAL MOD 30 MIN",381
"WYTHE COUNTY COMMUNITY HOSP","WORK HARD/COND ADDL 1HR",173
"WYTHE COUNTY COMMUNITY HOSP","WORK HARD/COND 1ST 2HRS",422
"WYTHE COUNTY COMMUNITY HOSP","WORK HARD COND ADDL 1HR",173
"WYTHE COUNTY COMMUNITY HOSP","STRAP ELBOW/WRIST",92
"WYTHE COUNTY COMMUNITY HOSP","WORK HARD/COND 1ST 2HRS",422
"WYTHE COUNTY COMMUNITY HOSP","APP UNNA BOOT",316
"WYTHE COUNTY COMMUNITY HOSP","PT EVAL LOW 20 MIN",343
"WYTHE COUNTY COMMUNITY HOSP","OT EVAL LOW 20 MIN",146
"WYTHE COUNTY COMMUNITY HOSP","APP FOREARM SPLNT STAT",316
"WYTHE COUNTY COMMUNITY HOSP","APP FOREARM SPLNT STAT",332
"WYTHE COUNTY COMMUNITY HOSP","COGNIT SKILLS DEV",211
"WYTHE COUNTY COMMUNITY HOSP","APP LONG ARM SPLINT",332
"WYTHE COUNTY COMMUNITY HOSP","ORT/PROS MGMT EA 15M",120
"WYTHE COUNTY COMMUNITY HOSP","ORT/PROS MGMT EA 15M",120
"WYTHE COUNTY COMMUNITY HOSP","APP FOREARM SPLNT DYN",180
"WYTHE COUNTY COMMUNITY HOSP","OT EVAL HIGH 60 MIN",178
"WYTHE COUNTY COMMUNITY HOSP","STRAP HAND/FINGER",96
"WYTHE COUNTY COMMUNITY HOSP","PT EVAL HIGH 60 MIN",420
"WYTHE COUNTY COMMUNITY HOSP","OT EVAL MOD 45 MIN",162
"WYTHE COUNTY COMMUNITY HOSP","APP FOREARM SPLNT DYN",168
"WYTHE COUNTY COMMUNITY HOSP","POLYSOMNOGRAPHY",2449
