MS DRG,MS DRG - Description,Average Total Charges
201,201 - PNEUMOTHORAX W/O CC/MCC,7212.45
202,202 - BRONCHITIS & ASTHMA W CC/MCC,17029.40
203,203 - BRONCHITIS & ASTHMA W/O CC/MCC,12243.38
204,204 - RESPIRATORY SIGNS & SYMPTOMS,7334.45
207,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PE,191349.92
208,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,53159.20
252,252 - OTHER VASCULAR PROCEDURES W MCC,43959.70
255,255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,21218.83
264,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,89270.52
280,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",27013.73
281,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",13295.02
283,"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",9000.98
286,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",41124.15
287,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",29008.25
291,291 - HEART FAILURE & SHOCK W MCC,27533.74
291,291 - HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE,23736.50
292,292 - HEART FAILURE & SHOCK W CC,17325.56
293,293 - HEART FAILURE & SHOCK W/O CC/MCC,12426.43
300,300 - PERIPHERAL VASCULAR DISORDERS W CC,7704.67
303,303 - ATHEROSCLEROSIS W/O MCC,11498.46
304,304 - HYPERTENSION W MCC,24715.90
305,305 - HYPERTENSION W/O MCC,11915.78
308,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,33346.85
309,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,18327.90
310,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,12541.93
312,312 - SYNCOPE & COLLAPSE,19821.27
313,313 - CHEST PAIN,18377.62
314,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,16227.78
315,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,19590.68
316,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,15267.69
326,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",100967.85
327,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",48056.60
329,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,135773.53
330,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,82050.40
337,337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,32659.80
339,339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,47074.73
340,340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,38237.20
342,342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,50475.24
343,343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,31188.11
346,346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,20883.68
351,351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,38458.25
352,352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,40879.40
354,354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,31728.20
356,356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,43579.70
369,369 - MAJOR ESOPHAGEAL DISORDERS W CC,28702.40
371,371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,33196.30
372,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,23533.72
373,373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/M,18876.00
375,375 - DIGESTIVE MALIGNANCY W CC,38017.47
377,377 - G.I. HEMORRHAGE W MCC,29143.70
378,378 - G.I. HEMORRHAGE W CC,23810.06
379,379 - G.I. HEMORRHAGE W/O CC/MCC,23896.94
380,380 - COMPLICATED PEPTIC ULCER W MCC,19231.48
386,386 - INFLAMMATORY BOWEL DISEASE W CC,22226.93
387,387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,22097.22
388,388 - G.I. OBSTRUCTION W MCC,56528.19
389,389 - G.I. OBSTRUCTION W CC,23338.66
390,390 - G.I. OBSTRUCTION W/O CC/MCC,19717.47
391,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",28598.63
392,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",21972.22
393,393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,50987.71
394,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,28031.20
395,395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,18926.09
415,415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,80187.09
416,416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,44615.77
417,417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,52111.35
418,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,39566.18
419,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,36491.03
432,432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,37068.80
433,433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,35727.47
435,435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,16637.33
436,436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,16269.21
437,437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,12049.50
438,438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,45035.82
439,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,25399.63
440,440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,14428.65
441,"441 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",23085.65
442,"442 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",17599.35
443,"443 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",24082.03
444,444 - DISORDERS OF THE BILIARY TRACT W MCC,39894.94
445,445 - DISORDERS OF THE BILIARY TRACT W CC,30038.75
446,446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,27792.68
462,462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MC,67820.18
464,"464 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC",51840.72
468,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,75924.17
469,469 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXT,106179.48
470,470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXT,59201.96
480,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,44473.34
481,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,54679.70
482,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,38973.77
486,486 - KNEE PROCEDURES W PDX OF INFECTION W CC,67071.62
493,"493 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",44235.48
494,"494 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",34999.24
515,515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,37394.72
534,534 - FRACTURES OF FEMUR W/O MCC,22015.35
535,535 - FRACTURES OF HIP & PELVIS W MCC,34749.67
536,536 - FRACTURES OF HIP & PELVIS W/O MCC,13369.15
543,543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,15939.14
544,544 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/M,36447.48
549,549 - SEPTIC ARTHRITIS W CC,28102.07
551,551 - MEDICAL BACK PROBLEMS W MCC,72662.92
552,552 - MEDICAL BACK PROBLEMS W/O MCC,22092.12
553,553 - BONE DISEASES & ARTHROPATHIES W MCC,59502.77
554,554 - BONE DISEASES & ARTHROPATHIES W/O MCC,15402.91
556,556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,12740.87
558,"558 - TENDONITIS, MYOSITIS & BURSITIS W/O MCC",19895.25
563,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",12614.80
565,565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,36391.57
570,570 - SKIN DEBRIDEMENT W MCC,35062.67
580,"580 - OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",38205.13
581,"581 - OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",36058.39
583,583 - MASTECTOMY FOR MALIGNANCY W/O CC/MCC,18131.50
585,"585 - BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MC",22342.70
600,600 - NON-MALIGNANT BREAST DISORDERS W CC/MCC,29938.40
601,601 - NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,23347.43
602,602 - CELLULITIS W MCC,26108.21
603,603 - CELLULITIS W/O MCC,20284.06
605,"605 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC",21195.30
623,"623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC",17742.45
637,637 - DIABETES W MCC,28148.82
638,638 - DIABETES W CC,18422.96
639,639 - DIABETES W/O CC/MCC,13131.64
640,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",37023.21
641,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MC",18089.70
643,643 - ENDOCRINE DISORDERS W MCC,41670.85
660,660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,27487.01
661,661 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,42526.02
682,682 - RENAL FAILURE W MCC,27398.16
683,683 - RENAL FAILURE W CC,20020.23
684,684 - RENAL FAILURE W/O CC/MCC,16936.71
687,687 - KIDNEY & URINARY TRACT NEOPLASMS W CC,13251.90
689,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,22988.52
690,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,18410.00
693,693 - URINARY STONES W/O ESW LITHOTRIPSY W MCC,14648.15
694,694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,22724.15
698,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,31718.02
699,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,18682.57
700,700 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,24699.80
717,717 - OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC,60657.90
726,726 - BENIGN PROSTATIC HYPERTROPHY W/O MCC,15274.05
728,728 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,18833.95
742,742 - UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,26980.68
743,743 - UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,25867.17
745,"745 - D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC",9229.00
754,"754 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC",31223.72
755,"755 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC",23239.53
761,761 - MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,16058.00
765,765 - CESAREAN SECTION W CC/MCC,23543.40
766,766 - CESAREAN SECTION W/O CC/MCC,28596.46
767,767 - VAGINAL DELIVERY W STERILIZATION &/OR D&C,20109.50
769,769 - POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,3602.30
774,774 - VAGINAL DELIVERY W COMPLICATING DIAGNOSES,8012.38
775,775 - VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,9302.23
776,776 - POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,28426.10
777,777 - ECTOPIC PREGNANCY,31200.25
778,778 - THREATENED ABORTION,2176.80
781,781 - OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,6533.55
785,785 - CESAREAN SECTION W STERILIZATION W/O CC/MCC,26677.00
786,786 - CESAREAN SECTION W/O STERILIZATION W MCC,31357.63
787,787 - CESAREAN SECTION W/O STERILIZATION W CC,23742.50
788,788 - CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,21211.91
789,"789 - NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",2431.14
793,793 - FULL TERM NEONATE W MAJOR PROBLEMS,2076.79
794,794 - NEONATE W OTHER SIGNIFICANT PROBLEMS,1927.79
795,795 - NORMAL NEWBORN,1390.70
806,806 - VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,11154.54
807,807 - VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,8879.52
809,809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,24589.78
810,810 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/M,20733.80
811,811 - RED BLOOD CELL DISORDERS W MCC,17929.77
812,812 - RED BLOOD CELL DISORDERS W/O MCC,19111.60
813,813 - COAGULATION DISORDERS,39773.15
814,814 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC,34911.90
815,815 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,67536.40
819,819 - OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W/O CC/MCC,15882.75
828,828 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MC,57009.00
831,831 - OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W MCC,10209.55
832,832 - OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,11226.35
842,842 - LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,5954.89
853,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,98782.62
854,854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,47165.59
863,863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,16211.15
870,870 - SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACOR,91093.76
871,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,36142.39
872,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,26692.28
884,884 - ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,36308.37
885,885 - PSYCHOSES,11290.30
894,"894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA",9127.78
896,896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,43387.87
897,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O M,19270.74
907,907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,57965.02
917,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,27433.97
918,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,14021.83
919,919 - COMPLICATIONS OF TREATMENT W MCC,8608.35
920,920 - COMPLICATIONS OF TREATMENT W CC,19077.38
947,947 - SIGNS & SYMPTOMS W MCC,15588.94
948,948 - SIGNS & SYMPTOMS W/O MCC,24143.63
974,974 - HIV W MAJOR RELATED CONDITION W MCC,20907.94
988,988 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,71375.57
