"BL087221",,"RH CONFIRMATION",264.25
"BL087223",,"RBC'S LEUKOREDUCED",505
"BL087224",,"PLATELET PHERESIS LEUKOREDUCED",1240.75
"BL087226",,"PLATELET PHERESIS LUEKO REDUCED",1624.5
"BL087231",,"FFP 8-24 HRS COLLECTION",192.5
"BLC00001",,"5986425-RBC RC PROC FEE",484
"CD000014",,"CARD STRESS TEST",1083
"CD000016",,"CARDIOVERSION EXTERNAL",1113.25
"CD000023",,"CATH PROC RT HEART",9205.5
"CD000024",,"CATH W INJ AORTOGRAM",778
"CD000030",,"CATH W INJ RV/RA ANGIOGRAM",878.75
"CD000031",,"CPR",1023.25
"CD000033",,"DOPPLER ECHO PED COMP",738
"CD000034",,"DOPPLER ECHO COLOR FLW MAPPING",611.5
"CD000036",,"ECHO 2D W WO M-MODE COMP",873.75
"CD000037",,"ECHO 2D W WO M-MODE LTD",1379.25
"CD000039",,"ECHO CONGENITAL ANOMALY COMP",1671.5
"CD000040",,"ECHO CONGENITAL ANOMALY LTD",1421.75
"CD000042",,"ECHO DOPPLER LTD",452
"CD000044",,"ECHO REST STRESS",1169.25
"CD000045",,"ECHO TRNSES-PLC I&R-CONG ANOM",1651.75
"CD000049",,"ECHO TRANSESHOPHAGEAL",2190.5
"CD000085",,"TILT TABLE EVAL",817.5
"CD000107",,"ECG/MONITORING/ANALYSIS 30 DAY",594
"CD000113",,"ECHO TRANSTHOR 2D W/M-MODE COMPLETE",2258.25
"CD000118",,"CATH PROC LHC CORS LV",13374
"CD000120",,"CATH PROC RHC LHC CORS LV",14916.75
"CD000125",,"CATH PROC COMB RT & LFT HRT W/LV",14916.75
"CD000126",,"CATH PROC LEFT HEART W/LV",13374
"CD000129",,"CATH PROC COR ANGIO W/INJ",7906.25
"CD000130",,"PROGRAMMING SINGLE LEAD PACEMAKER",198.5
"CD000131",,"PROGRAMMING DUAL LEAD PACEMAKER",241.25
"CD000137",,"PACEMAKER EVALUATION",169
"CD000174",,"ECHO TTHRC R-T 2D W/WO M-MODE REST&STRS CONT ECG",3077.5
"CD093355",,"ECHO TRANSESOPHAGEAL (TEE)",998.5
"CT000001",,"CT GUIDANCE SIMPLE",664.5
"CT000004",,"CT GUIDANCE NEEDLE PLACEMENT S&I",1955.25
"CT000014",,"CT HEAD/BRAIN WO/CONTRAST",1724.25
"CT000015",,"CT HEAD/BRAIN W/CONTRAST",2550
"CT000016",,"CT HEAD/BRAIN WO/W CONTRAST",3136
"CT000017",,"CT ORBIT/EAR WO/CONTRAST",1558.5
"CT000018",,"CT ORBIT/EAR W/CONTRAST",2026
"CT000019",,"CT ORBIT/EAR WO/W CONTRAST",1905
"CT000020",,"CT MAXILLOFACIAL WO/CONTRAST",2030.75
"CT000021",,"CT MAXILLOFACIAL W/CONTRAST",2090.75
"CT000022",,"CT MAXILLOFACIAL WO/W CONRAST",2138
"CT000023",,"CT ST NECK WO/CONTRAST",1887.5
"CT000024",,"CT ST NECK W/CONTRAST",2336.5
"CT000025",,"CT ST NECK WO/W CONTRAST",2759.5
"CT000026",,"CT ANGIO HEAD WO/W CONTRAST",2123.75
"CT000027",,"CT ANGIO NECK WO/W CONTRAST",2695.75
"CT000028",,"CT THORAX WO/CONTRAST",2299.75
"CT000029",,"CT THORAX W/CONTRAST",2785.5
"CT000030",,"CT THORAX WO/W CONTRAST",3351.25
"CT000031",,"CT ANGIO CHEST WO/W CONTRAST",2785.5
"CT000032",,"CT CERVICAL SPINE WO/CONTRAST",3107.5
"CT000033",,"CT CERVICAL SPINE W/CONTRAST",3200.25
"CT000034",,"CT CERVICAL SPINE WO/W CONTRST",3680
"CT000035",,"CT THORACIC SPINE WO/CONTRAST",3007.25
"CT000036",,"CT THORACIC SPINE W/CONTRAST",3200.25
"CT000037",,"CT THORACIC SPINE WO/W CONTRST",3680
"CT000038",,"CT LUMBAR SPINE WO/CONTRAST",3107.5
"CT000039",,"CT LUMBAR SPINE W/CONTRAST",3200.25
"CT000040",,"CT LUMBAR SPINE WO/W CONTRAST",3680
"CT000041",,"CT ANGIO PELVIS WO/W CONTRAST",2426
"CT000042",,"CT PELVIS WO/CONTRAST",3488.5
"CT000043",,"CT PELVIS W/CONTRAST",3762.5
"CT000044",,"CT PELVIS WO/W CONTRAST",4373.75
"CT000046",,"CT UPPER EXTREMITY WO/CONTRAST",1759.25
"CT000047",,"CT UPPER EXTREMITY W/CONTRAST",1788.5
"CT000048",,"CT UPPER EXTREM WO/W CONTRAST",1951.25
"CT000049",,"CT ANGIO UPPER EXTREM W/WO CON",1749.75
"CT000050",,"CT LOWER EXTREM WO/CONTRAST",1995
"CT000051",,"CT LOWER EXTREM W/CONTRAST",2175.75
"CT000052",,"CT LOWER EXTREM WO/W CONTRAST",2384.5
"CT000053",,"CT ANGIO LOWER EXTREM W/WO CON",1749.75
"CT000054",,"CT ABDOMEN WO/CONTRAST",3324
"CT000055",,"CT ABDOMEN W/CONTRAST",3966.5
"CT000056",,"CT ABDOMEN WO/W CONTRAST",4070.75
"CT000057",,"CT ANGIO ABD WO/W CONTRAST",2909
"CT000058",,"CT ANGIO ABD AORTA/BI ILIO",3219.5
"CT000059",,"3D RENDERING WO POSTPROCESS",919.5
"CT000060",,"CT LIMITED/LOCAL FU",857.5
"CT000066",,"CT: CARDIAC CALCIUM SCORING W/O CONTRAST",651.25
"CT000071",,"CT ABDOMEN/PELVIS W/O CONTRAST",6812.5
"CT000072",,"CT ABDOMEN/PELVIS W/CONTRAST",7728.5
"CT000073",,"CT ABDOMEN/PELVIS W/WO CONTRAST",7833
"CT000074",,"CT ANGIO ABD&PLVIS CNTRST MTRL W/WO CNTRST IMGES",1861
"CT000297",,"LDCT FOR LUNG CA SCREEN",280.75
"DIPC0001",,"DIALYSIS TREATMENT",908.75
"DM073942",,"SPLINT ANKLE STIRRUP",62.25
"DM075190",,"SPLINT ANKLE/FOOT AFO LEFT MENS (8-10)",119
"DM075194",,"SPLINT ANKLE/FOOT AFO RIGHT MENS (8-10)",119
"DM075195",,"SPLINT ANKLE/FOOT AFO LEFT WOMENS (7-9)",119
"DM075196",,"SPLINT ANKLE/FOOT AFO RIGHT WOMENS (7-9)",86.25
"DR000001",,"ANGIOGRAM EXTREMITY - BILAT",5520.5
"DR000002",,"ANGIOGRAM EXTREMTY - UNILAT",4736.75
"DR000008",,"CYSTOGRAPHY MINIMUM 3 VIEWS RA",596
"DR000027",,"LT RAD EX FOOT; CMPL MINI 3 VI",430.5
"DR000049",,"LT RADIOLOGIC EXAMINATION ANK;",330.75
"DR000055",,"RAD EX CHST 2 VIEWS FRNTL&LAT",333.75
"DR000056",,"RAD EX CHST; SINGLE VIEW FRNTL",129.75
"DR000057",,"RAD EX FCE BNS; CMPL MINI 3 VI",655.25
"DR000058",,"RAD EX KNEE; BOTH KNEES STANDI",155.25
"DR000059",,"RAD EX MAND; CMPL MINI 4 VIEWS",647
"DR000060",,"RAD EX NASL BNS CMPL MINI 3 VI",434
"DR000061",,"RAD EX PELV; CMPL MINI 3 VIEWS",450.25
"DR000062",,"RAD EX SACRUM&COCCYX MINI 2 VI",507.5
"DR000063",,"RAD EX SINUSES PARANASL < 3 VI",217.5
"DR000064",,"RAD EX SPN CERV; MINI 4 VIEWS",666.5
"DR000065",,"RAD EX SPN LUMBOSAC; MINI 4 VI",789.5
"DR000066",,"RAD EX SPN LUMBOSAC; TWO/3 VIE",472.5
"DR000067",,"RAD EX SPN SINGLE VIEW SPEC LE",228.5
"DR000068",,"RAD EX SPN; THOR MINI 4 VIEWS",145.5
"DR000069",,"RAD EX SPN; THORACOLUMB 2 VIEW",299.25
"DR000070",,"RAD EX TMJ OPEN&CLOS MOUTH; BILATERAL",536
"DR000071",,"RAD EX; SC JNT/JNT MINI 3 VIEW",157.5
"DR000073",,"RAD EXAM RIBS BILATERAL; W/PA",708.75
"DR000075",,"RAD EXAM SINUSES PARANASAL CMP",663
"DR000076",,"RAD EXAM SKULL; CMPL MINI 4 VI",821
"DR000077",,"RAD EXAM SKULL; LESS THAN 4 VI",310.75
"DR000078",,"RAD EXAM SPINE CERV; CMPL W/OB",844
"DR000080",,"RAD EXAM SPINE LUMBOSACRAL MIN",540.25
"DR000082",,"RAD EXAM; AC JNT BIL W/WO DIST",511.5
"DR000083",,"RADIOLOGIC EX MAND; PART < 4 V",219.25
"DR000084",,"RADIOLOGIC EX SI JNTS; 3/MORE",292.25
"DR000085",,"RADIOLOGIC EX SPN CERV; TWO/3",500
"DR000086",,"RADIOLOGIC EX; STERNUM MINI 2",395.25
"DR000087",,"RADIOLOGIC EXAM ABD; SINGLE AP",427.25
"DR000088",,"RADIOLOGIC EXAM CHST SPECIAL V",150
"DR000089",,"RADIOLOGIC EXAM FCE BNS; < 3 V",415.25
"DR000090",,"RADIOLOGIC EXAM PELV; 1/TWO VI",438.25
"DR000093",,"RADIOLOGIC EXAM SPINE; THOR 2",554.75
"DR000094",,"RADIOLOGIC EXAM SPINE; THOR 3",647
"DR000096",,"RADIOLOGIC EXAM; NECK SOFT TIS",407.5
"DR000126",,"URETHROCYSTOGRAPHY RETRO RAD S",633
"DR000127",,"URETHROCYSTOGRAPHY VOIDING RAD",832
"DR000128",,"UROGRAPHY ANTEGRADE RAD S&I",820
"DR000129",,"VENOGRAM 1 EXTRM - RAD S&I",1761.5
"DR000131",,"FLUORO NEEDLE/CATH SPINE/PARASPINAL DX/THER",421.5
"DR000135",,"ARTHROGRAM: SHOULDER",893.25
"DR000137",,"ARTHROGRAM: WRIST",537.75
"DR000138",,"ARTHROGRAM: HIP",686.75
"DR000139",,"ARTHROGRAM: KNEE",538
"DR000141",,"FLUOROSCOPY; UP TO 1 HOUR",643.75
"DR000146",,"MYELOGRAM: CERVICAL",861
"DR000156",,"BREAST SURGICAL SPECIMEN",999.25
"DR000177",,"JOINT SURVEY 1 OR MORE JOINTS",161
"DR000183",,"RADIOLOGIC EX RIBS UNI; 2 VIEW",433
"DR000185",,"RADIOLOGIC EXAM; CLAVICLE COMP",415.25
"DR000187",,"RADIOLOGIC EXAM SHLDR; 1 VIEW",290.75
"DR000188",,"RAD EX SHLDR; CMPL MINI 2 VIEW",481.25
"DR000189",,"RADIOLOGIC EXAM; HUMER MINI 2",420.25
"DR000190",,"RADIOLOGIC EXAM; ELBOW 2 VIEWS",340.75
"DR000191",,"RAD EXAM; ELBOW CMPL  3 VIEWS",475
"DR000192",,"RADIOLOGIC EXAM; FOREARM 2 VIE",407.75
"DR000193",,"RADIOLOGIC EXAM; WRST 2 VIEWS",346
"DR000194",,"RAD EXAM; WRIST CMPL  3 VIEWS",429.75
"DR000195",,"RADIOLOGIC EXAM; HAND 2 VIEWS",311.75
"DR000196",,"RADIOLOGIC EXAM; HAND 3 VIEWS",420.25
"DR000197",,"RADIOLOGIC EXAM; FINGER 2 VIEW",324
"DR000200",,"RADIOLOGIC EXAM; KNEE 1/2 VIEW",335
"DR000201",,"RADIOLOGIC EXAM; KNEE 3 VIEWS",541.75
"DR000202",,"RAD EXAM; KNEE CMPL MIN 4 VIEW",593
"DR000203",,"RAD EXAM; TIB&FIB 2 VIEWS",336.75
"DR000204",,"RAD EXAM; ANKLE CMPL 3 VIEWS",417.5
"DR000205",,"RAD EXAM; FOOT 2 VIEWS",311
"DR000206",,"RAD EXAM;  FOOT CMPL 3 VIEWS",430.5
"DR000207",,"RADIOLOGIC EXAM; CALCAN 2 VIEW",366
"DR000208",,"RADIOLOGIC EXAM; TOE 2 VIEWS",340.75
"DR000209",,"FLUOROSCOPIC GUIDANCE",536.5
"DR000218",,"RAD EX MASTOIDS COMPLETE",299
"DR000219",,"RAD EX OPTIC FORAMINA COMPL",597.25
"DR000221",,"RAD EX CHST FRNT/LAT/APICAL",301
"DR000222",,"RAD EX CHST FRNT/LAT/OBLIQUE",393.75
"DR000223",,"RAD EX CHST COMPLETE 4 VIEWS",379
"DR000224",,"RAD EX RIBS UNI W/PA CHEST",644.25
"DR000225",,"RAD EX RIBS BILAT 3 VIEWS",633
"DR000228",,"MYELOGRAPHY THORACIC",1288
"DR000229",,"MYELOGRAPHY LUMBOSACRAL",861
"DR000230",,"MYLEGRAPHY 2 OR MORE REGIONS",1288
"DR000232",,"RAD EX SCAPULA COMPLETE",501.5
"DR000233",,"RAD EX UPPER EXTREM INFANT",292.75
"DR000235",,"RAD EX LOWER EXTREM INFANT",262
"DR000236",,"RAD EX ANKLE 2 VIEWS",330.75
"DR000237",,"RAD EX ABD/AP/OBLIQUE/CONE",155.75
"DR000238",,"RAD EX ABD COMPLETE",436.5
"DR000239",,"RAD EX ACUTE ABD COMPLETE",510
"DR000240",,"RAD EX ESOPHAGUS",615.5
"DR000241",,"SWALLOWING FUNCTION W/VIDEO",441.25
"DR000243",,"RAD EX GASTRO UPPER WO/KUB",617.75
"DR000244",,"RAD EX GASTRO UPPER W/KUB",829.5
"DR000245",,"RAD EX GASTRO UPPER W/S INTEST",1375.5
"DR000247",,"RAD EX GASTRO UP W/AIR W/KUB",949
"DR000248",,"RAD EX GASTRO UP W/AIR W/S INT",1157.5
"DR000249",,"RAD EX SMALL INTESTINE",697
"DR000251",,"RAD EX COLON; BARIUM W/WO KUB",442
"DR000252",,"RAD EX COLON; AIR CONTRAST",915
"DR000257",,"ENDOSCOPIC CATH PANCREAS",461.25
"DR000261",,"INTRALUM DILATION; STRICTURES",933.75
"DR000263",,"UROGRAPHY; INTRAVENOUS",1190.25
"DR000264",,"UROGRPHY W/NEPHRO",1077.25
"DR000265",,"UROGRAPHY RETROGRADE",844
"DR000268",,"DILATION NEPHRO/URETER/URETHRA",3620.25
"DR000269",,"HYSTEROSALPINGOGRAPHY",769.25
"DR000271",,"AORTOGRAPHY ABDOMINAL",7200.25
"DR000312",,"CHANGE PERQ TUBE/DRNG CATH",406.75
"DR000315",,"RAD EX NOSE/RECTUM FB 1 VIEW",343
"DR000316",,"RAD EX ABSC FIST/SINUS TRACT",441.25
"DR000318",,"FLUORO GUIDANCE CVA",469.5
"DR000328",,"BONE AGE STUDIES",385.25
"DR000329",,"BONE LENGTH STUDIES",156
"DR000330",,"RAD EX OSSEOUS SURVEY LMTD",683.5
"DR000331",,"RAD EX OSSEOUS SURVEY COMPL",585.25
"DR000332",,"RAD EX OSSEOUS SURVEY INFANT",153.5
"DR000339",,"RAD EX EYE FB",519.75
"DR000361",,"CNTRST NJX RAD EVAL CTR VAD FLUOR IMG&REPRT",514.5
"DR000363",,"CHOLANGIOGRAM XRAY (OR)",662
"DR000364",,"LUMBAR SPINE:COMPLETE W/ BEND GREATER 5 VIEWS",1030
"DR000366",,"RAD EX CHEST; SINGLE VIEW",151.75
"DR000367",,"RAD EX CHEST; 2 VIEWS",151.75
"DR000368",,"RAD EX, CHEST; 3 VIEWS",151.75
"DR000369",,"RAD EX, CHEST; 4 OR MORE VIEWS",279.75
"DR000370",,"RAD EX, ABDOMEN; 1 VIEW",151.75
"DR000371",,"RAD EX, ABDOMEN; 2 VIEWS",279.75
"DR000372",,"RAD EX, ABDOMEN; 3 OR MORE VIEWS",279.75
"DR072081",,"XRAY EXAM ENTIRE SPI 1 VW",170.75
"DR072082",,"XRAY EXAM ENTIRE SPI 2/3 VW",521
"DR072083",,"XRAY EXAM ENTIRE SPI 4/5 VW",540
"DR073501",,"XRAY EXAM HIP UNI 1 VIEW",210.5
"DR073502",,"XRAY EXAM HIP UNI 2-3 VIEWS",441.25
"DR073503",,"XRAY EXAM HIP UNI 4/GRTR VIEWS",283.25
"DR073521",,"XRAY EXAM HIPS BI 2 VIEWS",466
"DR073522",,"XRAY EXAM HIPS BI 3-4 VIEWS",279.75
"DR073551",,"XRAY EXAM OF FEMUR 1",350.5
"DR073552",,"XRAY EXAM OF FEMUR 2/GRTR",437.75
"DR077065",,"DX MAMMO INCL CAD UNI",391.75
"DR077066",,"DX MAMMO INCL CAD BI",534
"DR077067",,"SCR MAMMO BI INCL CAD",491.5
"DR077080",,"DXA BONE DENSITY AXIAL 1+ SITES",563.25
"DRC00001",,"FL: SNIFF TEST (2V CXR & FLOURO)",393.75
"DRC00003",,"6470001-RADIOLOGY FILM COPIES",9
"DRC00004",,"6471090-PACEMAKER INSERTION",643.75
"DRC00005",,"6476006-STRESS VIEWS ANY JOINT",210.5
"DRC00006",,"6476100-TOMOGRAPHY",521.5
"DRC00008",,"6977086-MM DXA: AXIAL SKELE VERT",546
"ED000001",,"ED FORENSIC EXAM SVRS I",308.25
"ED000002",,"ED FORENSIC EXAM SVRS II",488.5
"ED000003",,"ED FORENSIC EXAM SVRS III",756
"ED000004",,"ED FORENSIC EXAM SVRS IV",988
"ED000005",,"ED FACILITY VISIT LEVEL 1",308.25
"ED000006",,"ED FACILITY VISIT LEVEL 2",488.5
"ED000007",,"ED FACILITY VISIT LEVEL 3",756
"ED000008",,"ED FACILITY VISIT LEVEL 4",988
"ED000009",,"ED FACILITY VISIT LEVEL 5",1796.75
"ED000010",,"ED FACILITY CRITICAL CARE 30-74MIN",1271
"ED000013",,"I & D PERIANAL ABSCESS SPRFCL",3651.25
"ED000014",,"INJECTION OF ANTIBIOTICIM",93
"ED000017",,"ED FACILITY CRITICAL CARE EA ADDL 30 MINS",392
"ED000535",,"MEAS POST-VOID RES URINE.",154
"ED069209",,"REMOVE IMPACTED EAR WAX UNI",170.75
"ED100003",,"APPLIC SPLINT; SHRT ARM STATIC (ED)",410.25
"ED100007",,"APPLIC SPLINT; FINGER STATIC (ED)",189.25
"ED100009",,"APPLIC SPLINT; LONG ARM (ED)",366.5
"ED100013",,"APPLIC SPLINT; SHORT LEG (ED)",338.5
"ED100016",,"ARTHROCEN/ASPIR/INJ SM JOINT (ED)",588
"ED100017",,"ARTHROCEN/ASPIR/INJ; MAJ JOINT (ED)",588
"ED100021",,"AVUL NAIL PLATE SINGLE (ED)",248.75
"ED100023",,"VAGINAL DELIVERY ONLY                01",2194
"ED100050",,"BURN LG DRESS/DEBRID WO ANES (ED)",248
"ED100051",,"BURN SM DRESS/DEBRID WO ANES (ED)",423
"ED100062",,"CATHETERIZATION URINARY (ED)",260
"ED100067",,"CHEMICAL CAUT GRANULATION TISS.",427
"ED100135",,"EVACUATION SUBUNGUAL HEMATOMA (ED)",102
"ED100164",,"REMOVAL OF NAIL BED",925
"ED100173",,"GASTROSTOMY TUBE CHANGE WO GUIDANCE (ED)",574.5
"ED100178",,"I&D ABSCESS; COMPLICATED/MULTIPLE (ED)",269.5
"ED100182",,"I&D HEMATOMA/SEROMA/FLUID COLLECTION (ED)",2904
"ED100183",,"I&D ABSCESS; SIMPLE OR SINGLE (ED)",398
"ED100184",,"I&D BARTHOLINS GLAND ABSCESS (ED)",395.75
"ED100187",,"INCISION&REMOVAL FB SUBQ TISSUE; SIMPLE (ED)",836
"ED100188",,"INJ ANES AGT; OTHER PERIPHERAL NERVE (ED)",1318.75
"ED100195",,"INJECTION(S); SINGLE/MULTI TRIGGER POINT(S) 1/2 MUSC (ED)",590.75
"ED100207",,"INSRT/PLC CNTRL VENOUS CATH OVER 5YRS (ED)",2402.5
"ED100221",,"INTUBATION ENDOTRACHEAL (ED)",460.5
"ED100227",,"LARYNGOSCOPY DIAGNOSTIC (ED)",393
"ED100232",,"LAYER CLOS FACE&/LIPS; < 2.5 (ED)",404.5
"ED100233",,"LAYER CLOS FACE&/LIPS; 2.6-5.0 (ED)",911
"ED100234",,"LAYER CLOS NECK FT&/GENIT; < 2.5 (ED)",269.5
"ED100235",,"LAYER CLOS NECK&/GENIT; 2.6-7.5 (ED)",269.5
"ED100236",,"LAYER CLOS SCLP&/TRUNK; < 2.5 (ED)",760.75
"ED100237",,"LAYER CLOS SCLP&/TRUNK; 2.6-7.5 (ED)",404.5
"ED100258",,"VENIPUNCT AGE 3 MD SKILL SEP P (ED)",25
"ED100262",,"PUNCT ASPIR ABSC/HEMAT/BULLA/CYST (ED)",558
"ED100264",,"REMV FB EXT AUDITORY CANAL WO ANESTH (ED)",154
"ED100265",,"REMV FB EXT EYE CNJNCT/SUPERFICIAL (ED)",260
"ED100266",,"REMV FB INTRANASAL (ED)",262.5
"ED100268",,"REMV IMPACTED CERUMEN 1/BOTH EAR(S) (ED)",154
"ED100272",,"REMV OF INTRAUTERINE DEVICE  (ED)",401.75
"ED100310",,"REPR SIMPLE WND HEAD/MUCOUS MEMB <2.5 (ED)",311.75
"ED100311",,"REPR SIMPLE WND SCALP/TRUNK/EXTREM <2.5 (ED)",311.75
"ED100313",,"SPINAL PUNCTURE LUMBAR DIAGNOSTIC (ED)",1623.25
"ED100317",,"STRAPPING; TOES (ED)",268.5
"ED100326",,"TRACH TUBE CHG BEFORE FISTULA TRACT",436.25
"ED100328",,"TRANSFUSION BLOOD/BLOOD COMPONENTS (ED)",715.75
"ED100401",,"I&D PILONIDAL CYST (ED)",269.5
"ED100425",,"REPR SIMPLE WND SCALP/TRUNK/EXTREM 2.6-7.5CM (ED)",311.75
"ED100426",,"REPR SIMPLE WND HEAD/MUCOUS MEMB 2.6-5.0CM (ED)",311.75
"ED100428",,"LAYER CLOS SCLP&/TRUNK; 7.6-12.5CM (ED)",269.5
"ED100429",,"LAYER CLOS SCLP&/TRUNK; 12.6-20CM (ED)",777
"ED100430",,"LAYER CLOS NECK&/GENIT; 7.6-12.5CM (ED)",269.5
"ED100515",,"CNTRL NASAL HEMORR ANTERIOR; SIMPLE (ED)",265.25
"ED100568",,"DRAIN EXTERNAL EAR ABSCESS/HEMATOMA; SIMPLE (ED)",337.75
"ED100586",,"INJECT ANES AGENT; TRIGEMINAL NERVE (ED)",612
"ED100590",,"LARYNGOSCOPY DIRECT DIAGNOSTIC (ED)",4982.75
"ED100616",,"INTRODUCTION OF NEEDLE VEIN (ED)",122.5
"ED100631",,"SIMPLE REPR SCLP&/TRUNK; 7.6-12.5CM (ED)",311.75
"ED100632",,"SIMPLE REPR SCLP&/TRUNK;12.6-20CM (ED)",311.75
"ED100633",,"SREP S/N/A/G/TR/E; 20.1-30.0CM",311.75
"ED100634",,"SIMPLE REPR SCLP & / TRUNK; OVER 30 CM",311.75
"ED100635",,"SIMPLE REPR FACE&/MUCOUS;5.1-7.5CM (ED)",311.75
"ED100636",,"SIMPLE REPR FACE&/MUCOUS;7.6-12.5CM (ED)",311.75
"ED100644",,"APPLICATION OF LONG LEG SPLINT (ED)",366.5
"ED100662",,"CLOS TX METACARP FX W/MANIPULATION EA BONE (ED)",519.5
"ED100678",,"CL TX DSTL FIB FX WO MANIP",777
"ED100688",,"CLOS TX DISTAL RADIAL FX W/MANIPULATION (ED)",1245.25
"ED100725",,"I&D ISCHIORECTAL/PERIRECTAL ABSCESS (ED)",5516.5
"ED100737",,"DRAINAGE DENTOALVEOLAR (ED)",257
"ED100742",,"BLEPHAROTOMY DRAIN EYELID (ED)",760.25
"ED100743",,"I&D PILONIDAL CYST COMP (ED)",2260.25
"ED100791",,"INJ ANES AGT FEMORAL NERVE 1 (ED)",915
"ED100827",,"TUBE THORACOSTOMY (ED)",1305.5
"ED100880",,"INFUSION THROMBOLYSIS CEREBRAL (ED)",561.75
"ED100930",,"CLOS TX RADIAL HEAD SUBLUXATION (ED)",525.25
"ED100931",,"NDL PLCM INTRAOSSEOUS INFUSION (ED)",858
"ED100932",,"REPAIR NAIL BED (ED)",1220.5
"ED100933",,"CLOS TX SHOULDER DISLOC W/MANIPULATION (ED)",383.25
"ED100935",,"CLOS TX INTERPHALAN JNT DISLOC (ED)",537
"ED100936",,"REPAIR LIP FULL THICKNESS; VERMILLION ONLY (ED)",1149.75
"ED100937",,"CLOS TX HIP DISLOCAT WO ANES (ED)",383.25
"ED100938",,"CLOS TX ANKLE DISLOC WO ANES (ED)",525.25
"ED100939",,"CLOS TX ELBOW DISLOC WO ANES (ED)",383.25
"ED100943",,"RMVL FB CORNEAL WO SLIT LAMP (ED)",414.25
"ED100946",,"CLOS TX PATELLAR DISLOC WO MANIPULATION (ED)",537.25
"ED100948",,"INCIS THROMBOS HEMORRHOID EXT (ED)",431.75
"ED100949",,"RMVL FB FOOT SUBCUTANEOUS (ED)",1887
"ED100951",,"CLOS TX TEMPOROMAND DISLOCATION (ED)",265.25
"ED100968",,"CLOS TX RADIUS/ULNA SHAFT W/MANIPULATION (ED)",2964.75
"ED101012",,"CLOS TX PROX HUMERAL FX W/MANIPULATION (ED)",4093.5
"ED101015",,"CLOS TX RADIAL SHAFT FX W/MANIPULATION (ED)",3292
"ED101019",,"CLOSED TX METACARPOPHALANGEAL DISLO W/MAN W/O ANES (ED)",398
"ED101020",,"CLOSED TX POST HIP ARTHROPLASTY DISLO W/O ANES (ED)",508.75
"ED101031",,"CLOS TX HUMERAL SHAFT FX W/MANIPULATION (ED)",626
"ED101069",,"CLOS TX PROX PHAL FX W MANIPULATION EA (ED)",398
"ED101071",,"CLOS TX TIBIAL FX PROX W/O MANIP W/TRACTION (ED)",4910
"ED101097",,"GASTRIC TUBE PLMT W/ASPIR/LAVAGE (ED)",322.25
"ED101118",,"NASAL / OROGASTRIC W/ TUBE PLMT",685.25
"ED101157",,"ABDOM PARACENTESIS DX/THER W IMAGING GUIDANCE (ED)",797.25
"ED101248",,"THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING (ED)",724
"ED120004",,"SLCTV WND DEBRIDEM 20 CM OR LESS",825.75
"ED186314",,"INSERT TEMP INDWELL BLAD CATH (ED)",133.5
"ED200001",,"OSTEOPATHIC TX 1 TO 2 REGIONS (ED)",67
"ED200003",,"THROMBOLYSIS COR - IV (ED)",561.75
"ED200009",,"CLTX CARPO/METACARPL DISLC THMB MANJ EA W/O ANES",525.25
"ED200011",,"CARDIOVERSION EXTERNAL (ED)",1113.25
