"Procedure Record Name","Unit Charge"
"Acetaminophen Suppos 650 MG","1.30"
"Acetaminophen Susp 160 MG/5ML","1.30"
"Acetaminophen Susp 160 MG/5ML","5.30"
"Acetaminophen Susp 160 MG/5ML","2.09"
"Acetaminophen Susp 160 MG/5ML","1.31"
"Acetaminophen Susp 160 MG/5ML","5.44"
"Acetaminophen Tab 325 MG","1.30"
"Acetaminophen Tab 500 MG","1.30"
"Acetaminophen w/ Codeine Soln 120-12 MG/5ML","1.30"
"Acetaminophen w/ Codeine Tab 300-30 MG","1.30"
"Acetazolamide Cap ER 12HR 500 MG","4.33"
"Acetazolamide Cap ER 12HR 500 MG","1.38"
"Acetazolamide Sodium For Inj 500 MG","368.31"
"Acetazolamide Sodium For Inj 500 MG","355.00"
"Acetazolamide Tab 250 MG","2.55"
"Acetazolamide Tab 250 MG","2.54"
"Acetic Acid 2% in Aluminum Acetate Otic Soln","311.62"
"Acetic Acid Irrigation Soln 0.25%","37.50"
"Acetic Acid Otic Soln 2%","162.56"
"Acetic Acid Otic Soln 2%","175.03"
"Acetic Acid Soln 3%","100.00"
"Acetic Acid Soln 3%","7.25"
"Acetic Acid Vaginal Solution","7.25"
"Acetylcholine Chloride Intraocular For Soln 20 MG (1:100)","98.73"
"Acetylcholine Chloride Intraocular For Soln 20 MG (1:100)","171.90"
"Acetylcysteine Cap 600 MG","1.30"
"Acetylcysteine Effervescent Tab 2.5 GM","5.52"
"Acetylcysteine Effervescent Tab 500 MG","4.39"
"Acetylcysteine Inhal Soln 10%","7.25"
"Acetylcysteine Inhal Soln 10%","24.91"
"Acetylcysteine Inhal Soln 10%","13.13"
"Acetylcysteine Inhal Soln 10%","15.19"
"Acetylcysteine Inhal Soln 10%","18.00"
"Acetylcysteine Inhal Soln 20%","7.25"
"Acetylcysteine Inhal Soln 20%","56.25"
"Acetylcysteine Inhal Soln 20%","22.97"
"Acetylcysteine Inhal Soln 20%","22.05"
"Acetylcysteine Inhal Soln 20%","10.41"
"Acetylcysteine Inhal Soln 20%","21.72"
"Acetylcysteine Inhal Soln 20%","22.78"
"Acetylcysteine Inhal Soln 20%","79.95"
"Acetylcysteine Inhal Soln 20%","11.33"
"Acetylcysteine Inhal Soln 20%","10.87"
"Acetylcysteine Inj 200 MG/ML","2163.15"
"Acetylcysteine Inj 200 MG/ML","2070.00"
"Acetylcysteine Inj 200 MG/ML","1964.70"
"Acetylcysteine Inj 200 MG/ML","1959.38"
"ACHILLES TENDON FRESH FROZEN AT290FF","4546.00"
"ACHILLES TENDON FROZEN CLEARANT","2597.00"
"ACTIVE RETURN EXT CORD WITH BANANNA","216.00"
"ACUFEX CANNFLX SCRW 7 X 25","606.00"
"ACUFEX CANNFLX SCRW 9 X 20","606.00"
"ACUFEX CANNFLX SILK SCR 7 X 20","606.00"
"ACUFEX CANNFLX SILK SCR 9 X 25","606.00"
"ACUFEX PASSING PIN 2.4","397.00"
"ACUMED SCW HDLESS/CANN 35MM AP-0035","1023.00"
"ACUTRAK FUSION DEVICE 24.0 ACM","832.00"
"ACUTRAK FUSION DEVICE 27.0 ACM","832.00"
"ACUTRAK FUSION DEVICE 32.0 ACM","832.00"
"ACUTRAK FUSION DEVICE 37.0 ACM","832.00"
"ACUTRAK MINI SCREW 10.0   ACMD","1069.00"
"ACUTRAK MINI SCREW 26.0   ACMD","1069.00"
"ACUTRAK STD SCREW 15.0    ACMD","1069.00"
"Acyclovir Cap 200 MG","1.30"
"Acyclovir Cream 5%","4309.07"
"Acyclovir Cream 5%","673.44"
"Acyclovir Oint 5%","3639.42"
"Acyclovir Oint 5%","4036.32"
"Acyclovir Oint 5%","632.86"
"Acyclovir Oint 5%","811.50"
"Acyclovir Oint 5%","905.07"
"Acyclovir Sodium For Inj 500 MG","30.10"
"Acyclovir Sodium IV Soln 50 MG/ML","117.56"
"Acyclovir Sodium IV Soln 50 MG/ML","44.94"
"Acyclovir Sodium IV Soln 50 MG/ML","219.45"
"Acyclovir Sodium IV Soln 50 MG/ML","196.46"
"Acyclovir Sodium IV Soln 50 MG/ML","365.75"
"Acyclovir Susp 200 MG/5ML","393.57"
"Acyclovir Susp 200 MG/5ML","4.16"
"Acyclovir Tab 400 MG","1.30"
"Acyclovir Tab 800 MG","1.30"
"Adalimumab Pen-injector Kit 40 MG/0.8ML","10109.46"
"ADAPTER ASPIRATION 3555-300","588.00"
"ADAPTER BRONCHOSCOPE OLYMPUS SD300BA-PK","290.00"
"ADAPTER FEEDING DUAL PORT","109.00"
"ADAPTER HEMI PROSTHESIS COCR DWD922","6816.00"
"ADAPTER SLEEVE HIP UNIVERSAL C-TAPER  2.5MM","641.00"
"ADAPTER SLEEVE UNIVERSAL V40 6519-T-204","641.00"
"ADAPTOR 1 X 4 POCKET 74001","1431.00"
"ADAPTOR 2X4 POCKET 74002","2455.00"
"ADAPTOR LUER-LOCK CONNECTOR (CYSTO)","496.00"
"ADAPTOR TO K STORZ LIGHT GUIDE","399.00"
"Adenosine IV Soln 12 MG/4ML","67.93"
"Adenosine IV Soln 3 MG/ML (Diagnostic)","2275.38"
"Adenosine IV Soln 3 MG/ML (Diagnostic)","3413.07"
"Adenosine IV Soln 3 MG/ML (Diagnostic)","1333.94"
"Adenosine IV Soln 3 MG/ML (Diagnostic)","2048.10"
"Adenosine IV Soln 3 MG/ML (Diagnostic)","2027.72"
"Adenosine IV Soln 6 MG/2ML","162.55"
"Adenosine IV Soln 6 MG/2ML","57.21"
"Adenosine IV Soln 6 MG/2ML","54.75"
"Adenosine IV Soln 6 MG/2ML","19.50"
"Adenosine IV Soln 6 MG/2ML","31.35"
"Adenosine IV Soln 6 MG/2ML","30.00"
"Adenosine IV Soln 6 MG/2ML","188.26"
"Adenosine IV Soln 6 MG/2ML","83.60"
"Ado-Trastuzumab Emtansine For IV Soln 100 MG","12428.71"
"Ado-Trastuzumab Emtansine For IV Soln 160 MG","19868.62"
"ADULT PADDLE 7.5CM","1527.00"
"Agalsidase beta For IV Soln 35 MG","24460.10"
"Agalsidase beta For IV Soln 5 MG","3494.30"
"AIRTRACH LARYNGOSCOPE","318.00"
"AIRWAY ZERO TIP RETRIEVAL BASKET 12MM M00513200","803.00"
"Albendazole Tab 200 MG","244.00"
"Albumin, Human Inj 25%","125.88"
"Albumin, Human Inj 25%","251.76"
"Albumin, Human Inj 25%","100.10"
"Albumin, Human Inj 25%","97.52"
"Albumin, Human Inj 25%","124.90"
"Albumin, Human Inj 25%","195.84"
"Albumin, Human Inj 25%","104.45"
"Albumin, Human Inj 5%","100.10"
"Albumin, Human Inj 5%","195.84"
"Albumin, Human Inj 5%","391.68"
"Albuterol Sulfate Inhal Aero 108 MCG/ACT (90MCG Base Equiv)","7.25"
"Albuterol Sulfate Soln Nebu 0.083% (2.5 MG/3ML)","7.25"
"Albuterol Sulfate Soln Nebu 0.5% (5 MG/ML)","7.25"
"Albuterol Sulfate Soln Nebu 1.25 MG/3ML (Base Equiv)","8.31"
"Albuterol Sulfate Syrup 2 MG/5ML","4.18"
"Albuterol Sulfate Syrup 2 MG/5ML","51.74"
"Albuterol Sulfate Tab 2 MG","6.50"
"Albuterol Sulfate Tab 2 MG","6.49"
"Albuterol Sulfate Tab 4 MG","3.25"
"Albuterol Sulfate Tab ER 12HR 4 MG","1.58"
"Albuterol Sulfate Tab ER 12HR 4 MG","1.30"
"Alcohol Absolute Inj 98%","104.50"
"Alcohol Absolute Inj 98%","1079.54"
"Alcohol, USP 95%","2173.60"
"Alendronate Sodium Tab 70 MG","1.30"
"Alfuzosin HCl Tab ER 24HR 10 MG","1.30"
"Alfuzosin HCl Tab ER 24HR 10 MG","13.07"
"Alglucosidase Alfa For IV Soln 50 MG","3257.75"
"ALIF ANT CONVEX 21MM 010621","8806.00"
"Aliskiren Fumarate Tab 150 MG (Base Equivalent)","6.08"
"Aliskiren Fumarate Tab 150 MG (Base Equivalent)","6.05"
"Aliskiren Fumarate Tab 150 MG (Base Equivalent)","5.54"
"Aliskiren Fumarate Tab 150 MG (Base Equivalent)","7.65"
"ALLOGRAFT 8MM PLIF","4373.00"
"ALLOGRAFT ACHILLES TENDON 1025-14","4774.00"
"ALLOGRAFT DENOVANT JUVENILE CHONDRAL 5606-000-11","9548.00"
"ALLOGRAFT FLEX HD DIAMOND XL 25 X 35CM THICK 4D1335","45466.00"
"ALLOGRAFT FRESH RT LATERAL FEMORAL HEMI CONDYLE 32147001","23219.00"
"ALLOGRAFT MEMBRANE 2CM X 3CM 7511002","2356.00"
"ALLOGRAFT PATELLA PRESHAPED FRESH FROZEN AT293FF","7367.00"
"ALLOGRAFT PERICARDIUM 1X2.5CM","682.00"
"ALLOGRAFT POSTERIOR TIBIALIS CTS 1021-14","4232.00"
"ALLOGRAFT ROTATOR CUFF","3255.00"
"ALLOPATCH 4 X 8CM THICK LARGE 471480","3613.00"
"ALLOPATCH HD 5X5CM THICK 471505","3244.00"
"ALLOPATCH HD 5X5CM THIN 470505","2695.00"
"Allopurinol Sodium For Inj 500 MG","16546.30"
"Allopurinol Tab 100 MG","1.30"
"Allopurinol Tab 300 MG","1.30"
"Aloe Vera Gel","21.25"
"Alogliptin Benzoate Tab 25 MG (Base Equiv)","7.18"
"Alprazolam Tab 0.25 MG","1.30"
"Alprazolam Tab 0.5 MG","1.30"
"Alprazolam Tab 1 MG","1.30"
"Alprazolam Tab ER 24HR 0.5 MG","1.30"
"Alprostadil Inj 500 MCG/ML","865.59"
"Alprostadil Inj 500 MCG/ML","865.56"
"Alteplase For Inj 100 MG","36521.49"
"Alteplase For Inj 100 MG","35201.44"
"Alteplase For Inj 2 MG","1752.54"
"Alteplase For Inj 2 MG","876.27"
"Alteplase For Inj 2 MG","841.83"
"Alteplase For Inj 50 MG","18260.75"
"Alum & Mag Hydroxide-Simethicone Susp 200-200-20 MG/5ML","1.30"
"Aluminum Hydroxide Gel Susp 320 MG/5ML","1.30"
"Aluminum Hydroxide Gel Susp 320 MG/5ML","5.75"
"Aluminum Hydroxide-Magnesium Carbonate Susp 95-358 MG/15ML","3.92"
"Aluminum Hydroxide-Magnesium Trisilicate Chew Tab 80-20 MG","1.30"
"Aluminum Sulfate & Calcium Acetate Powd Pack","7.25"
"Alvimopan Cap 12 MG","173.89"
"AM-12 MIDAS REX","343.00"
"Amantadine HCl Cap 100 MG","1.78"
"Amantadine HCl Cap 100 MG","3.04"
"Amantadine HCl Cap 100 MG","2.14"
"Amantadine HCl Cap 100 MG","1.30"
"Amantadine HCl Cap 100 MG","2.34"
"Amantadine HCl Cap 100 MG","2.33"
"Amantadine HCl Syrup 50 MG/5ML","2.36"
"Amantadine HCl Syrup 50 MG/5ML","19.86"
"Amantadine HCl Tab 100 MG","2.12"
"Amcinonide Cream 0.1%","681.66"
"Amikacin Sulfate Inj 1 GM/4ML (250 MG/ML)","76.29"
"Amikacin Sulfate Inj 1 GM/4ML (250 MG/ML)","256.15"
"Amikacin Sulfate Inj 1 GM/4ML (250 MG/ML)","167.20"
"Amikacin Sulfate Inj 500 MG/2ML (250 MG/ML)","38.67"
"Amikacin Sulfate Inj 500 MG/2ML (250 MG/ML)","122.56"
"Amikacin Sulfate Inj 500 MG/2ML (250 MG/ML)","128.12"
"Amikacin Sulfate Inj 500 MG/2ML (250 MG/ML)","77.50"
"Amikacin Sulfate Inj 500 MG/2ML (250 MG/ML)","70.02"
"Amiloride & Hydrochlorothiazide Tab 5-50 MG","1.30"
"Amiloride HCl Tab 5 MG","1.30"
"Amino Acid Electrolyte Infusion 3%","271.70"
"Amino Acid Electrolyte w/Cal Infusion 4.25% in D10W","152.32"
"Amino Acid Electrolyte w/Cal Infusion 4.25% in D25W","93.57"
"Amino Acid Electrolyte w/Cal Infusion 4.25% in D5W","152.32"
"Amino Acid Electrolyte w/Cal Infusion 5% in D15W","161.02"
"Amino Acid Electrolyte w/Cal Infusion 5% in D15W","84.86"
"Amino Acid Infusion 10%","48.38"
"Amino Acid Infusion 10%","108.80"
"Amino Acid Infusion 15%","58.75"
"Amino Acid Infusion 15%","248.06"
"Amino Acid Infusion 4.25% in D10W","143.62"
"Amino Acid Infusion 4.25% in D25W","71.81"
"Amino Acid Infusion 5% in D15W","152.32"
"Amino Acid Infusion 5% in D15W","82.69"
"Amino Acid Infusion 6%","48.96"
"Aminocaproic Acid Inj 250 MG/ML","68.55"
"Aminocaproic Acid Inj 250 MG/ML","22.57"
"Aminocaproic Acid Tab 500 MG","9.90"
"Aminocaproic Acid Tab 500 MG","47.47"
"Aminocaproic Acid Tab 500 MG","9.68"
"Aminophylline Inj 25 MG/ML","73.15"
"Aminophylline Inj 25 MG/ML","118.82"
"Aminophylline Inj 25 MG/ML","113.70"
"Amiodarone HCl in Dextrose 4.14% IV Soln 360 MG/200ML","100.53"
"Amiodarone HCl in Dextrose 4.21% IV Soln 150 MG/100ML","362.62"
"Amiodarone HCl Inj 150 MG/3ML (50 MG/ML)","36.43"
"Amiodarone HCl Inj 150 MG/3ML (50 MG/ML)","20.91"
"Amiodarone HCl Inj 150 MG/3ML (50 MG/ML)","20.01"
"Amiodarone HCl Inj 150 MG/3ML (50 MG/ML)","19.50"
"Amiodarone HCl Inj 450 MG/9ML (50 MG/ML)","19.50"
"Amiodarone HCl Inj 450 MG/9ML (50 MG/ML)","24.55"
"Amiodarone HCl Inj 900 MG/18ML (50 MG/ML)","23.70"
"Amiodarone HCl Tab 200 MG","1.30"
"Amitriptyline HCl Tab 10 MG","1.30"
"Amitriptyline HCl Tab 25 MG","1.30"
"Amitriptyline HCl Tab 50 MG","1.30"
"Amitriptyline HCl Tab 75 MG","1.30"
"Amlodipine Besylate Tab 10 MG (Base Equivalent)","1.30"
"Amlodipine Besylate Tab 2.5 MG (Base Equivalent)","1.30"
"Amlodipine Besylate Tab 5 MG (Base Equivalent)","1.30"
"Ammonia Aromatic Inhalation","7.25"
"Amoxapine Tab 50 MG","1.30"
"Amoxicillin & K Clavulanate Chew Tab 200-28.5 MG","1.88"
"Amoxicillin & K Clavulanate Chew Tab 400-57 MG","3.57"
"Amoxicillin & K Clavulanate For Susp 125-31.25 MG/5ML","461.37"
"Amoxicillin & K Clavulanate For Susp 125-31.25 MG/5ML","614.60"
"Amoxicillin & K Clavulanate For Susp 200-28.5 MG/5ML","9.56"
"Amoxicillin & K Clavulanate For Susp 250-62.5 MG/5ML","76.36"
"Amoxicillin & K Clavulanate For Susp 250-62.5 MG/5ML","57.18"
"Amoxicillin & K Clavulanate For Susp 250-62.5 MG/5ML","675.85"
"Amoxicillin & K Clavulanate For Susp 250-62.5 MG/5ML","100.11"
"Amoxicillin & K Clavulanate For Susp 400-57 MG/5ML","16.13"
"Amoxicillin & K Clavulanate For Susp 400-57 MG/5ML","11.93"
"Amoxicillin & K Clavulanate For Susp 400-57 MG/5ML","12.68"
"Amoxicillin & K Clavulanate For Susp 600-42.9 MG/5ML","41.44"
"Amoxicillin & K Clavulanate For Susp 600-42.9 MG/5ML","24.86"
"Amoxicillin & K Clavulanate For Susp 600-42.9 MG/5ML","24.75"
"Amoxicillin & K Clavulanate For Susp 600-42.9 MG/5ML","19.34"
"Amoxicillin & K Clavulanate For Susp 600-42.9 MG/5ML","1.66"
"Amoxicillin & K Clavulanate Tab 250-125 MG","5.24"
"Amoxicillin & K Clavulanate Tab 500-125 MG","1.50"
"Amoxicillin & K Clavulanate Tab 500-125 MG","1.49"
"Amoxicillin & K Clavulanate Tab 500-125 MG","1.30"
"Amoxicillin & K Clavulanate Tab 500-125 MG","1.56"
"Amoxicillin & K Clavulanate Tab 875-125 MG","1.79"
"Amoxicillin & K Clavulanate Tab 875-125 MG","1.78"
"Amoxicillin & K Clavulanate Tab 875-125 MG","1.87"
"Amoxicillin & K Clavulanate Tab ER 12HR 1000-62.5 MG","6.17"
"Amoxicillin (Trihydrate) Cap 250 MG","1.30"
"Amoxicillin (Trihydrate) Cap 500 MG","1.30"
"Amoxicillin (Trihydrate) Chew Tab 250 MG","1.30"
"Amoxicillin (Trihydrate) For Susp 125 MG/5ML","4.14"
"Amoxicillin (Trihydrate) For Susp 125 MG/5ML","2.65"
"Amoxicillin (Trihydrate) For Susp 125 MG/5ML","3.32"
"Amoxicillin (Trihydrate) For Susp 125 MG/5ML","2.74"
"Amoxicillin (Trihydrate) For Susp 200 MG/5ML","3.32"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","3.98"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","3.45"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","3.54"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","1.30"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","5.80"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","4.09"
"Amoxicillin (Trihydrate) For Susp 250 MG/5ML","3.62"
"Amoxicillin (Trihydrate) For Susp 400 MG/5ML","7.07"
"Amoxicillin (Trihydrate) For Susp 400 MG/5ML","7.04"
"Amoxicillin (Trihydrate) For Susp 400 MG/5ML","3.54"
"Amoxicillin (Trihydrate) For Susp 400 MG/5ML","8.73"
"Amoxicillin (Trihydrate) For Susp 400 MG/5ML","4.36"
"Amoxicillin (Trihydrate) Tab 875 MG","1.30"
"Amphetamine-Dextroamphetamine Cap ER 24HR 10 MG","2.71"
"Amphetamine-Dextroamphetamine Cap ER 24HR 5 MG","5.42"
"Amphetamine-Dextroamphetamine Tab 10 MG","1.30"
"Amphotericin B For Inj 50 MG","337.25"
"Amphotericin B Lipid Inj Susp (For IV Infusion) 5 MG/ML","1045.00"
"Amphotericin B Liposome IV For Susp 50 MG","1414.88"
"Ampicillin & Sulbactam Sodium For Inj 1.5 (1-0.5) GM","40.65"
"Ampicillin & Sulbactam Sodium For Inj 1.5 (1-0.5) GM","38.90"
"Ampicillin & Sulbactam Sodium For Inj 1.5 (1-0.5) GM","28.48"
"Ampicillin & Sulbactam Sodium For Inj 1.5 (1-0.5) GM","28.53"
"Ampicillin & Sulbactam Sodium For Inj 1.5 (1-0.5) GM","79.40"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","80.57"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","94.05"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","66.36"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","55.96"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","53.55"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","166.68"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","149.92"
"Ampicillin & Sulbactam Sodium For Inj 3 (2-1) GM","143.46"
"Ampicillin & Sulbactam Sodium For IV Soln 1.5 (1-0.5) GM","55.39"
"Ampicillin & Sulbactam Sodium For IV Soln 3 (2-1) GM","95.10"
"Ampicillin & Sulbactam Sodium For IV Soln 3 (2-1) GM","63.01"
"Ampicillin Cap 250 MG","1.30"
"Ampicillin Cap 500 MG","1.30"
"Ampicillin Sodium For Inj 1 GM","50.63"
"Ampicillin Sodium For Inj 1 GM","50.68"
"Ampicillin Sodium For Inj 1 GM","72.19"
"Ampicillin Sodium For Inj 1 GM","61.66"
"Ampicillin Sodium For Inj 125 MG","43.64"
"Ampicillin Sodium For Inj 125 MG","43.68"
"Ampicillin Sodium For Inj 2 GM","140.05"
"Ampicillin Sodium For Inj 2 GM","114.95"
"Ampicillin Sodium For Inj 2 GM","110.00"
"Ampicillin Sodium For Inj 2 GM","78.38"
"Ampicillin Sodium For Inj 2 GM","74.25"
"Ampicillin Sodium For Inj 2 GM","82.97"
"Ampicillin Sodium For Inj 250 MG","34.99"
"Ampicillin Sodium For Inj 250 MG","20.90"
"Ampicillin Sodium For Inj 250 MG","19.50"
"Ampicillin Sodium For Inj 250 MG","23.51"
"Ampicillin Sodium For Inj 500 MG","36.83"
"Ampicillin Sodium For Inj 500 MG","36.78"
"Ampicillin Sodium For Inj 500 MG","24.77"
"Ampicillin Sodium For Inj 500 MG","25.71"
"Ampicillin Sodium For IV Soln 2 GM","82.97"
"Ampicillin Sodium For IV Soln 2 GM","74.30"
"Ampicillin Sodium For IV Soln 2 GM","141.08"
"AMPLATZ SUPER STIFF GUD WIRE","111.00"
"AMS 800 CONTROL PUMP WITH IZ","12293.00"
"AMS S.T. CUFF BELT FGS 4.5CM IZ","12764.00"
"Anagrelide HCl Cap 0.5 MG","1.30"
"Anakinra Subcutaneous Soln Prefilled Syringe 100 MG/0.67ML","800.34"
"Anastrozole Tab 1 MG","1.30"
"Anastrozole Tab 1 MG","8.82"
"ANCHOR 3.5MM PUSHLOCK AR-1926BC","1156.00"
"ANCHOR 5.5MM CORKSCREW W/2 FIRBERWIRE  TIGERWIRE AR-1927BCF","1040.00"
"ANCHOR BIORAPTOR 2.9 AB SUTURE ULTRABRAID","1022.00"
"ANCHOR BIOZIP 5.0MM 3910-200-025","920.00"
"ANCHOR BIOZIP 6.5MM W/FIBER 3910-200-065","920.00"
"ANCHOR BONE PARASORB 3.0MM MAG  22-5030","716.00"
"ANCHOR BR 5.5 HEALIX W/ ORTHOCORD 222209","1254.00"
"ANCHOR BR W/PROKNOT GRYPHON 210820","1228.00"
"ANCHOR CORKSCREW FT DOUBLE-LOADED  4.7 5X 14MM AR-1927BCT-475","1468.00"
"ANCHOR CORKSCREW FT DOUBLE-LOADED W/SUTURETAPE A1927BCT","1468.00"
"ANCHOR FASTAK AR-1322-752SF","631.00"
"ANCHOR FASTENER PDS 8MMX12 228138","423.00"
"ANCHOR G2 QUICK 2 MITEK 222983","1387.00"
"ANCHOR G2 SUPER MITEK 210409","1572.00"
"ANCHOR GLENOID CROSSLINK 48MM","3038.00"
"ANCHOR GLENOID CROSSLINK 52MM","3038.00"
"ANCHOR HEALIX ADVANCE KNOTLESS 5.5MM 222331","1503.00"
"ANCHOR HEALIX ADVANCE PEEK W/ORTHOCORD 4.5MM 222321","4796.00"
"ANCHOR HEALIX ADVANCW/ORTHOCORD 4.5MM 222295","1436.00"
"ANCHOR HEALIX BR W/ORTHOCORD W/NEEDLE 6.5MM 222239","1040.00"
"ANCHOR HEALIX KNOTLESS ADVANCE PEEK 4.75MM 222330","1503.00"
"ANCHOR HEALIX KNOTLESS BR 222332","1503.00"
"ANCHOR HEALIX KNOTLESS BR 4.75MM","1274.00"
"ANCHOR HEALIX PEEK W/NEEDLE 5.5MM","1254.00"
"ANCHOR HEALIX PEEK W/NEEDLE 6.5MM","1254.00"
"ANCHOR HEALIX PEEK W/ORTHOCORD 4.5MM 222205","1254.00"
"ANCHOR INJEX BUMPY 97791","682.00"
"ANCHOR KNOTLESS QUATTRO LINK 2.9MM PEEK CM-9129","1008.00"
"ANCHOR KNOTLESS QUATTRO LINK 4.5MM PEEK CM-9145","1066.00"
"ANCHOR KNOTLESS QUATTRO LINK 5.5 PEEK CM-9155","1066.00"
"ANCHOR KNOTLESS QUATTRO LINK 6.5MM CM-9265","1066.00"
"ANCHOR KNOTLESS QUATTRO LINK PEEK 4.5 X TITANIUM TIP CM-9145SP","1170.00"
"ANCHOR KNOTLESS SUTURE PEEK 5.5MM CM-9255","992.00"
"ANCHOR MINI PUSHLOCK 2.5X8MM AR-8825P","1040.00"
"ANCHOR MINI QK PLUS 2/0SUTURE 212035","1168.00"
"ANCHOR MINI QUICK 0 MITEK 212038","1168.00"
"ANCHOR MITEK GII 210493","1384.00"
"ANCHOR MITEK MINI GII 210066","440.00"
"ANCHOR ONLY  ANCHORSURE A-SURE02","529.00"
"ANCHOR PEEK PUSHLOCK 3.5X19.5MM AR-1926PS","1040.00"
"ANCHOR PEG SHOULDER CROSSLING GLENOID SZ 40MM 1136-40-026","3038.00"
"ANCHOR QUICK G II","1156.00"
"ANCHOR SHOULDER CROSSLINK PEG GLENOID SZ 44MM","3038.00"
"ANCHOR SUT BIOAD KNOTLESS 72202397","1139.00"
"ANCHOR SUT CORKSCW PARACHUTE","720.00"
"ANCHOR SUT CORKSCW PARACHUTE 5","944.00"
"ANCHOR SUTURE  FORCE FIBER ICONIX 2.3MM 3910-500-422","1301.00"
"ANCHOR SUTURE  SWIVEL LOCK 4.75 X22 MM DOUBLE LOADED AR-2324BCC-2","1205.00"
"ANCHOR SUTURE 2.8MM PITON","897.00"
"ANCHOR SUTURE 4.75 X 14MM CORKSCREW BIOCOMPOSITE FT TRIPLEPLAY AR-1927BCF-475","1468.00"
"ANCHOR SUTURE BIO COMP. SUTURE TAK SM JOINT 3 X 15.5 MM AR-8934BCNF","1040.00"
"ANCHOR SUTURE BIO PUSHLOCK SHORT 2.9 X 12.5MM AR-2923BC","1156.00"
"ANCHOR SUTURE BIO SWIVELOCK 5.5 AR-2323BSLC","1084.00"
"ANCHOR SUTURE BIOCOMPOSITE SM JOINT 3 X 14.5MM AR-8934BCNF-00","1040.00"
"ANCHOR SUTURE BIOCOMPOSITE SWIVELOCK 5.5 X 19.1MM AR-2323BCC","1156.00"
"ANCHOR SUTURE BIOCOMPOSITE SWIVELOCK 5.5 X 22MM AR-2323BCT-2","1228.00"
"ANCHOR SUTURE BIO-CORKSCREW FT 4.5MM","912.00"
"ANCHOR SUTURE BIORAPTOR 2.9","726.00"
"ANCHOR SUTURE BIORAPTOR KNOTLESS 72202403","1157.00"
"ANCHOR SUTURE CORKSCREW 5.5MM W/2 TIGER TAIL AR-1927BCFT","997.00"
