"SVCCD","Description","PRICE1","As of Date"
"1050045","NI-DUPSCN HEMODIAL  ",2553.75,"12/20/2018"
"1050059","NI-LW EXT DPX ART UN",2118.50,"12/20/2018"
"1050070","NI-BP MONITOR RPT   ",4088.75,"12/20/2018"
"1050074","VESSEL MAPP HEMO ACC",4791.75,"12/20/2018"
"1050075","NI-TTE STRESS WWO   ",3473.00,"12/20/2018"
"1050078","NI-TEE COMP WWO     ",6312.25,"12/20/2018"
"1050079","NI-TTE 2D MM LTD WWO",3463.00,"12/20/2018"
"1050086","NI-TTE STRESS WO    ",3452.75,"12/20/2018"
"1050089","NI-TEE COMP WO      ",3956.50,"12/20/2018"
"1050090","NI-TTE 2D MM LTD WO ",3445.75,"12/20/2018"
"1050092","NI-TTE 2D W DOPP WO ",8028.50,"12/20/2018"
"1050115","NI-TTE 2D W DOPP WWO",8544.75,"12/20/2018"
"1061227","CC-PLACE CLOS DEV   ",2454.50,"12/20/2018"
"1061230","CC-PERICARDIO INI   ",6014.25,"12/20/2018"
"1061232","CC-INSERT IABP      ",39163.75,"12/20/2018"
"1061233","CC-REMOVE IABP      ",9782.00,"12/20/2018"
"1061242","IC-IVUS, INIT       ",12630.25,"12/20/2018"
"1061243","IC-IVUS, ADDL       ",7276.00,"12/20/2018"
"1061246","IC-PTCA, SINGLE     ",18578.25,"12/20/2018"
"1061247","IC-PTCA, ADDL       ",18578.25,"12/20/2018"
"1061259","EP-EVAL GEN, INDUC  ",812.50,"12/20/2018"
"1061265","P-INS GEN-LEAD ATR  ",37028.50,"12/20/2018"
"1061266","P-INS GEN-LEAD VEN  ",52013.75,"12/20/2018"
"1061267","P-INS DUAL PAC SYS  ",52013.75,"12/20/2018"
"1061268","P-INS TMP PAC LD SGL",19385.25,"12/20/2018"
"1061272","P-UPGRD SNG TO DUAL ",91339.75,"12/20/2018"
"1061273","P-REPOS RA-RV LEAD  ",9654.25,"12/20/2018"
"1061274","P-INS LEAD SNGL     ",19385.25,"12/20/2018"
"1061278","P-REVSE POCKET PACE ",10432.50,"12/20/2018"
"1061288","P-IMPLNT LOOP REC   ",27340.00,"12/20/2018"
"1061289","P-REMOV LOOP REC    ",7201.00,"12/20/2018"
"1061297","S-INJ VENOGRAPHY    ",6528.00,"12/20/2018"
"1061299","S-INTROCATH VEN 1ST ",6528.00,"12/20/2018"
"1061322","S-CATH EXTREM ART   ",6217.25,"12/20/2018"
"1061325","S-INTROCATH AORTA   ",6964.75,"12/20/2018"
"1061326","S-THORACIC 1ST ORDER",7311.25,"12/20/2018"
"1061327","S-THORACIC 2ND ORDER",6528.00,"12/20/2018"
"1061330","S-ABDOMEN 1ST ORDER ",6528.00,"12/20/2018"
"1061331","S-ABDOMEN 2ND ORDER ",6528.00,"12/20/2018"
"1061332","S-ABDOMEN 3RD ORDER ",3204.50,"12/20/2018"
"1061377","IR-INTRAVASC US INI ",12144.25,"12/20/2018"
"1061418","HEART FLOW MEASURE  ",9650.75,"12/20/2018"
"1061419","HEART FLOW MEAS ADD ",7276.00,"12/20/2018"
"1061424","IR-VENACAVAGRAM INF ",10853.00,"12/20/2018"
"1061457","TRAN STNT CCA WO EPS",16498.75,"12/20/2018"
"1061467","S-INS-REP PACE-DEFIB",99999.94,"12/20/2018"
"1061473","CC-INS NT CVC GT 5YR",10168.00,"12/20/2018"
"1061479","NI-TEMP EXT PACE    ",3272.00,"12/20/2018"
"1061480","NI-CARDIOVERSION    ",5273.75,"12/20/2018"
"1061501","CC-RHC              ",11701.75,"12/20/2018"
"1061503","CC-R-L CATH LV PUNC ",44096.00,"12/20/2018"
"1061504","CC-ANGIO CORON ONLY ",16231.00,"12/20/2018"
"1061505","CC-S-I VNT ATR ANGIO",18293.75,"12/20/2018"
"1061506","CC-R HRT CORONRY ART",27932.75,"12/20/2018"
"1061508","CC-L HRT ARTERY-VENT",44227.75,"12/20/2018"
"1061509","CC-L HRT ART-GRF ANG",46289.00,"12/20/2018"
"1061510","CC-R-L HRT ART-VENT ",53796.25,"12/20/2018"
"1061511","CC-R-L HRT ART-ANGIO",55858.50,"12/20/2018"
"1061513","S-ILIAC REVASC      ",18784.00,"12/20/2018"
"1061514","S-ILIAC REVAS W STNT",38415.75,"12/20/2018"
"1061517","S-FEM POP REVAS TLA ",25209.25,"12/20/2018"
"1061518","S-FEM POP REVAS ATHR",38415.75,"12/20/2018"
"1061519","S-FEM POP REVAS STNT",38415.75,"12/20/2018"
"1061520","S-FEM POP STNT ATHR ",65334.75,"12/20/2018"
"1061521","S-TIB PER REVAS W TL",24522.50,"12/20/2018"
"1061522","S-TIB PER REVAS ATHR",61643.00,"12/20/2018"
"1061523","S-TIB PER REVAS STNT",49740.00,"12/20/2018"
"1061526","S-INS CATH RENART 1U",11200.75,"12/20/2018"
"1061527","S-INS CATH RENART 1B",16580.50,"12/20/2018"
"1061536","S-INS ENDO VENA CAVA",13151.50,"12/20/2018"
"1061540","S-REM-REP PM GEN SNG",39122.25,"12/20/2018"
"1061541","S-REM-REP PM GEN DUL",40317.00,"12/20/2018"
"1061546","S-REM-REP CVD DUAL  ",99999.25,"12/20/2018"
"1061547","S-REM-REP CVD MULT  ",99999.25,"12/20/2018"
"1061550","S-PERC INS VAD ART  ",39163.75,"12/20/2018"
"1061554","IC-PRQ CRD STN W-ANG",26806.50,"12/20/2018"
"1061558","IC-PRQ RV BYP GRF IN",26806.50,"12/20/2018"
"1061560","IC-PRQ CARD REV 1 VS",26806.50,"12/20/2018"
"1061561","IC-PRQ REVSC CHR 1VS",26806.50,"12/20/2018"
"1061564","IC-PRQ DE COR STNT  ",39204.75,"12/20/2018"
"1061565","IC-PRQ DE COR STNT B",39204.75,"12/20/2018"
"1061566","IC-PRQ DE CR STNT AR",50921.00,"12/20/2018"
"1061568","IC-PRQ DE CR REV CAB",39204.75,"12/20/2018"
"1061570","IC-PRQ DE CR REV AMI",39204.75,"12/20/2018"
"1061571","IC-PRQ DE COR REV CH",39204.75,"12/20/2018"
"1061573","S-TRNSCTH THROM ART ",18839.00,"12/20/2018"
"1061587","IR-ANG SUBCL IPS UNI",23033.00,"12/20/2018"
"1061598","IR-TC PLC STN ART IN",38415.75,"12/20/2018"
"1061599","IR-TC PLC STNT VN IN",38415.75,"12/20/2018"
"1061801","IR-TLUM BAL ANG 1STA",14808.00,"12/20/2018"
"1061802","IR-TLUM BAL ANG 1STV",30569.50,"12/20/2018"
"1070031","S-INS ICD PLS GN MLT",99999.50,"12/20/2018"
"1070034","S-REM-REP PM GEN DUL",40317.00,"12/20/2018"
"1070052","P-IMPLNT LOOP REC   ",27340.00,"12/20/2018"
"1070053","P-REMOV LOOP REC    ",7201.00,"12/20/2018"
"1070054","P-INS GEN-LEAD VEN  ",52013.75,"12/20/2018"
"1070055","P-INS DUAL PAC SYS  ",52013.75,"12/20/2018"
"1070060","P-REPOS RA-RV LEAD  ",9654.25,"12/20/2018"
"1070066","P-REMOV LEAD, SNG   ",13096.50,"12/20/2018"
"1071261","EP-ABLATE AV NODE   ",17830.25,"12/20/2018"
"1071409","EP-COMP EP W- ARRY  ",17830.25,"12/20/2018"
"1071577","EP-ABLATE SPRVNT ART",55246.25,"12/20/2018"
"1110402","MSED SAMEGT5 1ST15  ",915.75,"12/20/2018"
"1110403","MODSED SAME ADD15MIN",440.75,"12/20/2018"
"1110801","OR LEV 1 INI 15 MIN ",3880.50,"12/20/2018"
"1110802","OR LEV 2 INI 15 MIN ",5125.75,"12/20/2018"
"1110803","OR LEV 3 INI 15 MIN ",6370.25,"12/20/2018"
"1110804","OR LEV 4 INI 15 MIN ",7615.25,"12/20/2018"
"1110805","OR LEV 5 INI 15 MIN ",8860.00,"12/20/2018"
"1110806","OR LEV 6 INI 15 MIN ",10103.75,"12/20/2018"
"1110811","OR LEV 1 EA ADD MIN ",115.75,"12/20/2018"
"1110812","OR LEV 2 EA ADD MIN ",153.50,"12/20/2018"
"1110813","OR LEV 3 EA ADD MIN ",192.75,"12/20/2018"
"1110814","OR LEV 4 EA ADD MIN ",230.50,"12/20/2018"
"1110815","OR LEV 5 EA ADD MIN ",269.75,"12/20/2018"
"1110816","OR LEV 6 EA ADD MIN ",308.25,"12/20/2018"
"1110821","AD PROCEDURE OR LV 1",1866.75,"12/20/2018"
"1110822","AD PROCEDURE OR LV 2",2489.75,"12/20/2018"
"1110823","AD PROCEDURE OR LV 3",3110.75,"12/20/2018"
"1110824","AD PROCEDURE OR LV 4",3733.50,"12/20/2018"
"1110825","AD PROCEDURE OR LV 5",4356.75,"12/20/2018"
"1110842","PAIN MGMT IN PROC L2",4798.50,"12/20/2018"
"1110864","LITHOTRIPSY         ",59266.25,"12/20/2018"
"1120001","PACU LEV 1 INI 15 MN",1326.25,"12/20/2018"
"1120002","PACU LEV 2 INI 15 MN",1990.50,"12/20/2018"
"1120003","PACU LEV 3 INI 15 MN",2655.00,"12/20/2018"
"1120004","PACU LEV 4 INI 15 MN",3318.25,"12/20/2018"
"1120011","PACU LEV 1 EA ADD MN",32.25,"12/20/2018"
"1120012","PACU LEV 2 EA ADD MN",49.00,"12/20/2018"
"1120013","PACU LEV 3 EA ADD MN",65.00,"12/20/2018"
"1120014","PACU LEV 4 EA ADD MN",82.00,"12/20/2018"
"1131111","ANES LV 1 INI 15 MIN",1062.00,"12/20/2018"
"1131112","ANES LV 2 INI 15 MIN",1593.00,"12/20/2018"
"1131113","ANES LV 3 INI 15 MIN",2122.75,"12/20/2018"
"1131114","ANES LV 4 INI 15 MIN",2655.25,"12/20/2018"
"1131121","ANES LV 1 EA ADD MIN",31.00,"12/20/2018"
"1131122","ANES LV 2 EA ADD MIN",47.50,"12/20/2018"
"1131123","ANES LV 3 EA ADD MIN",63.00,"12/20/2018"
"1131124","ANES LV 4 EA ADD MIN",79.00,"12/20/2018"
"1138501","LABOR EPIDURAL      ",530.75,"12/20/2018"
"1140405","MSED GI OTHGT5 1ST15",915.75,"12/20/2018"
"1140406","MODSED OTH ADD15MIN ",440.75,"12/20/2018"
"115110","R&B M/S PRIVATE     ",2739.50,"12/20/2018"
"115120","R&B M/S SEMI PRIVATE",2616.25,"12/20/2018"
"115207","R&B M/S SEMI PVT TEL",3687.00,"12/20/2018"
"1160111","GI LAB LEV 1 1ST 15 ",3195.75,"12/20/2018"
"1160112","GI LAB LEV 2 1ST 15 ",7835.00,"12/20/2018"
"1160113","GI LAB LEV 3 1ST 15 ",12657.00,"12/20/2018"
"1160114","GI LAB LEV 4 1ST 15 ",19285.50,"12/20/2018"
"1160121","GI LEV 1 EA ADD MIN ",97.25,"12/20/2018"
"1160122","GI LEV 2 EA ADD MIN ",234.50,"12/20/2018"
"1160123","GI LEV 3 EA ADD MIN ",380.25,"12/20/2018"
"1160124","GI LEV 4 EA ADD MIN ",579.75,"12/20/2018"
"1160131","AD PROCEDURE GI LV 1",1598.75,"12/20/2018"
"1160132","AD PROCEDURE GI LV 2",3918.25,"12/20/2018"
"1160133","AD PROCEDURE GI LV 3",6329.25,"12/20/2018"
"1160134","AD PROCEDURE GI LV 4",9642.50,"12/20/2018"
"1160148","ESOPHAGUS MOTIL STUD",1747.50,"12/20/2018"
"1160158","GI TRACT CAPSL ENDOS",7835.00,"12/20/2018"
"1160164","ESOPHAG CAPSULE ENDO",7835.00,"12/20/2018"
"1160402","MSED GI SAMGT5 1ST15",915.75,"12/20/2018"
"1160403","MODSED SAME ADD15MIN",440.75,"12/20/2018"
"1180131","PERFUSION LEVEL 1   ",1021.00,"12/20/2018"
"1210011","RHOPHYLAC 100UNT    ",27.75,"12/20/2018"
"1210013","ZOLEDRONIC ACID 1MG ",267.50,"12/20/2018"
"1210016","CEPHALEX 250/5 100ML",101.75,"12/20/2018"
"1210018","HYDROXYUREA 200MG CP",7.40,"12/20/2018"
"1210021","SACCHAROM BO 250MGCP",7.40,"12/20/2018"
"1210022","OXYCODONE 5MG/5ML OR",23.50,"12/20/2018"
"1210027","ALTEPLASE RECOM 1MG ",327.75,"12/20/2018"
"1210029","MESALAMINE 500MG CAP",17.00,"12/20/2018"
"1210031","NICARDIP 25/10ML INJ",208.25,"12/20/2018"
"1210056","QUETIAPINE 200MGSRTB",63.50,"12/20/2018"
"1210057","QUETIAPINE 300MGSRTB",100.00,"12/20/2018"
"1210059","BUPRENORPH 8MG SLTB ",30.00,"12/20/2018"
"1210060","MICONAZ 2%VAG CR 45G",29.75,"12/20/2018"
"1210067","SMZ-TMP 400-800 INJ ",24.00,"12/20/2018"
"1210072","FLUTICASO 110MCG PUF",9.10,"12/20/2018"
"1210075","FLUTICASO 220MCG PUF",13.25,"12/20/2018"
"1210077","ALBUTEROL 90MCG PUFF",7.40,"12/20/2018"
"1210090","LEVETIRACET 10MG INJ",2.80,"12/20/2018"
"1210095","FLU VAC NOPRSV ANTIG",141.50,"12/20/2018"
"1210115","RIVASTIG 9.5MG PATCH",51.50,"12/20/2018"
"1210116","RIVASTIG 4.6MG PATCH",51.75,"12/20/2018"
"1210140","CLOPIDOGREL 300MG TB",134.25,"12/20/2018"
"1210145","CEFEPIME 500MG INJ  ",14.25,"12/20/2018"
"1210147","ALTEPLASE RECOM 1MG ",368.50,"12/20/2018"
"1210148","ALTEPLASE RECOM 1MG ",368.50,"12/20/2018"
"1210149","CEFOXITIN 1GM IJ    ",41.50,"12/20/2018"
"1210153","LUPR 7.5 MALES>18YRS",5998.75,"12/20/2018"
"1210162","OCTREOTIDE ND 25MCG ",10.50,"12/20/2018"
"1210165","OCTREOTIDE ND 25MCG ",11.25,"12/20/2018"
"1210170","CISPLAT POW/SOL 10MG",22.25,"12/20/2018"
"1210175","RITUXIMAB 100MG INJ ",4017.25,"12/20/2018"
"1210176","FOSPHENYTOIN 50MG   ",5.90,"12/20/2018"
"1210181","ENOXAPARIN 10MG INJ ",42.50,"12/20/2018"
"1210182","ENOXAPARIN 10MG INJ ",41.50,"12/20/2018"
"1210183","ENOXAPARIN 10MG INJ ",42.50,"12/20/2018"
"1210184","ENOXAPARIN 10MG INJ ",43.75,"12/20/2018"
"1210185","ENOXAPARIN 10MG INJ ",42.50,"12/20/2018"
"1210186","ENOXAPARIN 10MG INJ ",42.50,"12/20/2018"
"1210187","ENOXAPARIN 10MG INJ ",42.50,"12/20/2018"
"1210188","AMPICILLIN/SUB 1.5GM",22.00,"12/20/2018"
"1210191","LEUCOVORIN 50MG INJ ",22.50,"12/20/2018"
"1210192","LEUCOVORIN 50MG INJ ",63.50,"12/20/2018"
"1210194","CEFAZOLIN 500MG INJ ",7.40,"12/20/2018"
"1210195","CEFTRIAXONE 250MGINJ",14.75,"12/20/2018"
"1210196","CEFTRIAXONE 250MGINJ",17.75,"12/20/2018"
"1210197","CEFTRIAXONE 250MGINJ",7.40,"12/20/2018"
"1210198","CEFUROXIME 750MG INJ",14.50,"12/20/2018"
"1210199","CEFTAZIDIM 500MG INJ",16.00,"12/20/2018"
"1210202","CIPROFLOXAC 200MG IV",8.90,"12/20/2018"
"1210203","CIPROFLOXAC 200MG IV",15.00,"12/20/2018"
"1210206","PHENYTOIN NA 50MGINJ",7.40,"12/20/2018"
"1210207","DOBUTAMINE 250MG INJ",83.75,"12/20/2018"
"1210208","ERYTHROMYC 500MG INJ",144.50,"12/20/2018"
"1210210","MEROPENEM 100MG INJ ",8.80,"12/20/2018"
"1210211","ACYCLOVIR 5MG INJ   ",1.70,"12/20/2018"
"1210212","ACYCLOVIR 5MG INJ   ",1.70,"12/20/2018"
"1210214","OXALIPLATIN .5MG INJ",5.70,"12/20/2018"
"1210224","LEVOFLOXAC 250MG INJ",43.00,"12/20/2018"
"1210225","LEVOFLOXAC 250MG INJ",27.25,"12/20/2018"
"1210233","KETOROLAC 15MG INJ  ",12.25,"12/20/2018"
"1210234","ONDANSETRON 1MG INJ ",2.20,"12/20/2018"
"1210235","AMIODARONE 30MG INJ ",7.40,"12/20/2018"
"1210236","AMPICILLIN 500MG INJ",19.00,"12/20/2018"
"1210237","AMPICILLIN 500MG INJ",14.75,"12/20/2018"
"1210238","FLUCONAZOL 200MG INJ",25.50,"12/20/2018"
"1210243","BISMUTH SUB 262MG/15",3.60,"12/20/2018"
"1210250","BUPIVAC-MPF .5% 30ML",11.75,"12/20/2018"
"1210251","MORPHINE PF 10MG INJ",110.75,"12/20/2018"
"1210262","FUROSEMIDE 20MG INJ ",7.40,"12/20/2018"
"1210263","FUROSEMIDE 20MG INJ ",7.40,"12/20/2018"
"1210266","MEGESTROL 400MG/10ML",22.50,"12/20/2018"
"1210267","MEPERID HCL 100MGINJ",49.50,"12/20/2018"
"1210268","MEPERID HCL 100MGINJ",14.75,"12/20/2018"
"1210293","LACTOBA-ACIDO-PEC TB",4.00,"12/20/2018"
"1210294","PIPER/TAZOB 1G/.125G",36.75,"12/20/2018"
"1210331","ALUMINUM HYD 320/5ML",1.30,"12/20/2018"
"1210343","EMOLLIENT LOT 473ML ",41.50,"12/20/2018"
"1210358","AMOX400-CLAV57 50ML ",71.75,"12/20/2018"
"1210371","CARBID25-LEVO100MGTB",7.40,"12/20/2018"
"1210376","CROMOLYN 5.2MG SP 26",47.25,"12/20/2018"
"1210399","HYDROXYZINE PAM 25MG",7.40,"12/20/2018"
"1210400","CALCIPOTR.005%CR 60G",1854.50,"12/20/2018"
"1210408","DOBUTAMINE 250MG INJ",34.25,"12/20/2018"
"1210425","BUTENAFINE 1%CRM 12G",46.50,"12/20/2018"
"1210432","AMMON LAC 12%CR 140G",39.75,"12/20/2018"
"1210435","PROPRANOLOL 60MG TAB",4.20,"12/20/2018"
"1210436","PED MVI/FE 10/ML 50M",3.00,"12/20/2018"
"1210474","PANTOPRAZ 40MG PKT  ",34.25,"12/20/2018"
"1210479","IVIG (PRIVIGEN)500MG",206.50,"12/20/2018"
"1210487","VANCOMYCIN 500MG INJ",42.50,"12/20/2018"
"1210498","THROMBIN 5000U RECOM",385.75,"12/20/2018"
"1210507","DEXAMETH 0.25MG ORAL",0.30,"12/20/2018"
"1210538","MIDAZOL  HCL 1MG INJ",7.40,"12/20/2018"
"1210542","DOXYLAMIN SUC 25MGTB",7.40,"12/20/2018"
"1210552","PHYTONADIONE 1MG INJ",94.25,"12/20/2018"
"1210554","IPRA-ALBU.5-2.5MG/3M",14.75,"12/20/2018"
"1210558","VANCOMYCIN 500MG INJ",39.00,"12/20/2018"
"1210559","CYSTEINE 50MG/ML 1ML",7.40,"12/20/2018"
"1210569","POTASSI CHL 2MEQ INJ",3.60,"12/20/2018"
"1210577","FE POLYSAC-B12-FA CP",7.40,"12/20/2018"
"1210582","EMOLLIENT OINT 400GM",28.50,"12/20/2018"
"1210585","GENTAMIC .1%CRM 15GM",162.00,"12/20/2018"
"1210588","PHEN-SHK-MO-PE OIN60",15.25,"12/20/2018"
"1210589","CLOBETA .05% OIN 30G",108.00,"12/20/2018"
"1210595","RALTEGRAVIR 400MG TB",107.75,"12/20/2018"
"1210596","ETRAVIRINE 100MG TAB",37.25,"12/20/2018"
"1210606","LET SOLN 3ML        ",15.75,"12/20/2018"
"1210607","ESTRAD.05MG/24 PT 2X",122.50,"12/20/2018"
"1210620","NYSTAT100K/GM OIN30G",138.75,"12/20/2018"
"1210665","DESVENLAF 50MG SR TB",48.00,"12/20/2018"
"1210666","LUBIPROSTONE 8MCG CP",23.50,"12/20/2018"
"1210730","ESTRAD.1MG/24HR PT2X",47.25,"12/20/2018"
"1210736","MAGNES SULF 500MGINJ",20.00,"12/20/2018"
"1210739","POTASSI CHL 2MEQ INJ",3.60,"12/20/2018"
"1210740","MORPHINE UP TO 10MG ",14.75,"12/20/2018"
"1210746","MULTIVITAM INJ 10ML ",45.00,"12/20/2018"
"1210752","VIT D3 1000UNT TAB  ",4.50,"12/20/2018"
"1210757","TRANEXAMIC 1000MG IJ",200.50,"12/20/2018"
"1210796","CEFEPIME 500MG INJ  ",21.75,"12/20/2018"
"1210801","DEXAMETH NA 1MG INJ ",5.90,"12/20/2018"
"1210802","DEXAMETH NA 1MG INJ ",3.60,"12/20/2018"
"1210807","LIP16.8-PRO40-AMY70C",17.75,"12/20/2018"
"1210822","ALBUMIN 25% 50ML IV ",687.00,"12/20/2018"
"1210827","ORAL VEHICLE 1ML    ",2.90,"12/20/2018"
"1210829","TRACE METALS NEO 2ML",43.75,"12/20/2018"
"1210860","POTASS CIT 5MEQ CRTB",7.40,"12/20/2018"
"1210870","BENDAMUSTINE 1MG INJ",129.75,"12/20/2018"
"1210873","HYDR PEROX 3% 480ML ",7.40,"12/20/2018"
"1210876","RANITIDINE 25MG INJ ",18.75,"12/20/2018"
"1210881","DEXAMETH 0.25MG ORAL",3.60,"12/20/2018"
"1210919","DICLOFEN 1% GEL 100G",226.25,"12/20/2018"
"1210928","APLIGRAF SKIN SQ CM ",278.00,"12/20/2018"
"1210952","MEPIVACAINE 10ML INJ",14.25,"12/20/2018"
"1210956","DARUNAVIR 600MG TAB ",91.50,"12/20/2018"
"1210961","REGADENOSON 0.1MG IJ",257.25,"12/20/2018"
"1210967","DEXAMETH NA 1MG INJ ",3.00,"12/20/2018"
"1210971","OXYCODONE 15MG SR TB",17.00,"12/20/2018"
"1210975","MICAFUNGIN 1MG INJ  ",9.00,"12/20/2018"
"1211033","POTASSI CHL 2MEQ INJ",1.40,"12/20/2018"
"1211035","DOPAMIN HCL 40MG INJ",8.60,"12/20/2018"
"1211036","MORPHINE PF 10MG INJ",47.50,"12/20/2018"
"1211037","MIDAZOL  HCL 1MG INJ",24.75,"12/20/2018"
"1211038","MIDAZOL  HCL 1MG INJ",7.40,"12/20/2018"
"1211039","GENTAMICIN UPTO 80MG",7.40,"12/20/2018"
"1211043","PEMETREXED 10MG INJ ",344.50,"12/20/2018"
"1211045","METHOTREX NA 5MG    ",7.40,"12/20/2018"
"1211048","EPO NESRD 1000 U INJ",125.00,"12/20/2018"
"1211052","EPO NESRD 1000 U INJ",125.00,"12/20/2018"
"1211068","METHYLPR ACE 40MGINJ",160.75,"12/20/2018"
"1211079","CALCIUM GLUC 10%10ML",7.40,"12/20/2018"
"1211080","TRIAMCIN ACE 10MGINJ",45.75,"12/20/2018"
"1211082","PAPAVERINE UPTO 60MG",14.50,"12/20/2018"
"1211091","HYDROCORTIS 100MGINJ",36.75,"12/20/2018"
"1211094","METHYLPRED 125MG INJ",16.00,"12/20/2018"
"1211098","OXYCODONE 20MG TAB  ",37.00,"12/20/2018"
"1211109","ACETYLCYS 20%INH 30M",107.50,"12/20/2018"
"1211114","HEPARIN 1000U INJ   ",5.90,"12/20/2018"
"1211117","HEPARIN NA 10U FLUSH",0.60,"12/20/2018"
"1211125","HYDROCORTIS 100MGINJ",174.75,"12/20/2018"
"1211128","DEXAMETH 0.25MG ORAL",27.50,"12/20/2018"
"1211129","DEXAMETH 0.25MG ORAL",5.90,"12/20/2018"
"1211142","CEFOXITIN 1GM IJ    ",57.50,"12/20/2018"
"1211143","CEFOXITIN 1GM IJ    ",61.75,"12/20/2018"
"1211153","CEFAZOLIN 500MG INJ ",12.75,"12/20/2018"
"1211157","SOD CHLOR .9% 10ML  ",3.00,"12/20/2018"
"1211159","MAGNES SULF 500MGINJ",8.90,"12/20/2018"
"1211162","HEPARIN 1000U INJ   ",3.40,"12/20/2018"
"1211166","HYDROXYZI UP TO 25MG",7.40,"12/20/2018"
"1211167","NITROFUR MONO 100MG ",12.75,"12/20/2018"
"1211176","MAGNES SULF 500MGINJ",1.70,"12/20/2018"
"1211179","HEPARIN 1000U INJ   ",19.25,"12/20/2018"
"1211180","AMPICILLIN 500MG INJ",14.75,"12/20/2018"
"1211185","PARICALCITOL 1MCGINJ",18.25,"12/20/2018"
"1211186","PHENYLEPHRIN 1ML INJ",21.50,"12/20/2018"
"1211187","MAGNES SULF 500MGINJ",7.40,"12/20/2018"
"1211199","DEXTROSE 50% 50ML   ",14.75,"12/20/2018"
"1211201","PHENYLEPH 1% SPR 15M",22.75,"12/20/2018"
"1211202","MULTIVIT-MIN LIQ 5ML",3.60,"12/20/2018"
"1211205","MULTIVITAMIN W/MINER",1.00,"12/20/2018"
"1211206","APAP/COD 120-12/5ML ",7.40,"12/20/2018"
"1211208","K & NA PHOS PWD PKT ",7.40,"12/20/2018"
"1211212","MORPH PO 10MG/5ML 5M",11.75,"12/20/2018"
"1211215","AMINOPHYLL 250MG INJ",7.40,"12/20/2018"
"1211216","DOBUTAMINE 250MG INJ",36.75,"12/20/2018"
"1211223","METHYLPRED 125MG INJ",17.75,"12/20/2018"
"1211226","MORPHINE UP TO 10MG ",49.50,"12/20/2018"
"1211254","MIDAZ 1MG/ML NS 50ML",91.75,"12/20/2018"
"1211255","FENT 10MCG/ML NS50ML",110.75,"12/20/2018"
"1211317","PORACTANT120MG/1.5ML",1725.75,"12/20/2018"
"1211325","PIMOZIDE 2MG TABLET ",10.00,"12/20/2018"
"1211347","MILRINONE 5MG INJ   ",100.00,"12/20/2018"
"1211348","FLUOROURACIL 500MG  ",19.25,"12/20/2018"
"1211361","CARBI25-LEVOD250 ODT",19.25,"12/20/2018"
"1211362","QUETIAPINE 50MG SRTB",39.00,"12/20/2018"
"1211363","QUETIAPINE 150MGSRTB",69.25,"12/20/2018"
"1211500","FEBUXOSTAT 40MG TAB ",34.50,"12/20/2018"
"1211507","DRONEDRARONE 400MG  ",29.75,"12/20/2018"
"1211520","PRASUGREL 10MG TAB  ",41.50,"12/20/2018"
