"Facility","Description","Price"
"Danville Regional","CLSD TX DIST PHAL FX EA",4027
"Danville Regional","STRAPPING HAND\FINGER",548
"Danville Regional","CLS TX HIP DISL W ANES",4000
"Danville Regional","TRACH TUBE CHANGE",2642
"Danville Regional","INJ FEMORAL NERVE",1377
"Danville Regional","CLSD TX RAD\ULNA FX WITH",3850
"Danville Regional","CPR",1365
"Danville Regional","COMPLEX SCALP 2.6-7.5CM",4803
"Danville Regional","CLSD TX ANKLE TALUS FX",4027
"Danville Regional","INFLUENZA VACCINE ADMIN",113
"Danville Regional","COMPLEX SCALP 1.1-2.5CM",2435
"Danville Regional","REM IMPCTD CERUMEN",284
"Danville Regional","CLOSD TX DISTL FIBULA FX",2507
"Danville Regional","FB REMOVE FOOT",3293
"Danville Regional","REDUCTN RAD HEAD MANIP",2655
"Danville Regional","FB EYE CONJ EMBEDDED",3415
"Danville Regional","CLSD TX METACARPL FX MAN",3713
"Danville Regional","CLSD TX HUM CON FX W\MAN",2765
"Danville Regional","CLSD TX HUM SFT FX W\MAN",2765
"Danville Regional","CLOSED TX FEMORAL FX",157
"Danville Regional","GASTRIC INTUBATION",313
"Danville Regional","TX FOOT DISL TALSOTARSAL",4472
"Danville Regional","CRITICAL CARE",3192
"Danville Regional","CLOSD TX RADIUS SHAFT FX",2967
"Danville Regional","CLSD TX PATEL DISL W/O",2818
"Danville Regional","STRAPPING APPLY SHOULDER",548
"Danville Regional","INTERNAL CARDIOVERSION",1332
"Danville Regional","CLSD TX HIP DISL W MANIP",3957
"Danville Regional","PORT FLUSH ONLY",168
"Danville Regional","TREATMENT FEMUR SHAFT FX",2783
"Danville Regional","CYSTO LEFT STENT REMOVAL",2360
"Danville Regional","WOUND EXPLORE TRUNK",1432
"Danville Regional","INGROWN NAIL",4027
"Danville Regional","TX HIP ARTHRPLSTY DISLOC",2655
"Danville Regional","COMPLEX SCALP EA ADDL <5",930
"Danville Regional","STRAPPING ANKLE",1889
"Danville Regional","CLSD TX CLAVICLE FX WO",2215
"Danville Regional","CLSD TX CLAV FX W\M MAN",2765
"Danville Regional","CLSD TX BIMALLE FX WITH",2215
"Danville Regional","APPLY LONG ARM SPLINT",2642
"Danville Regional","SPLINT APPLY LOWER LEG",548
"Danville Regional","TX BURN 1ST DEGREE LOCAL",389
"Danville Regional","IV THROMBOLYSIS CORONARY",2935
"Danville Regional","REGIONAL NERVE BLOCK",2462
"Danville Regional","TEMP TRANSCUTAN PACING",1246
"Danville Regional","INCISION SKIN LACERATION",276
"Danville Regional","NAIL PLATE AVULSION SNGL",1143
"Danville Regional","LAY CLOS N\H\F >30CM",4126
"Danville Regional","FACIAL INTER 2.6 TO 5CM",3863
"Danville Regional","DRAIN EXT AUD CNL ABSCS",3359
"Danville Regional","TX SUP\TRNCONDYLR HUM FX",3072
"Danville Regional","COMPLEX REPAIR 2.6-7.5CM",4803
"Danville Regional","REPLANTATION DIGIT",9000
"Danville Regional","CLSD TX THUMB DISLOCT W\",4027
"Danville Regional","LAY CLOS TRNK\EXT > 30CM",4126
"Danville Regional","CLOSED TX HUMERUS FX WO",2215
"Danville Regional","LAY CLOS N\H\F 20.1-30CM",4126
"Danville Regional","I&D ABSCESS RECTUM",3305
"Danville Regional","INTERMED 20.1 TO 30CM",2435
"Danville Regional","CLSD TX HUM FX W\ MANIP",3713
"Danville Regional","DRN FINGER ABSCESS COMP",3072
"Danville Regional","TX KNEE DISLOC",1165
"Danville Regional","CLOSED REDUC DISLOC HIP",3461
"Danville Regional","SPLNT APPLY FOREARM",548
"Danville Regional","CLSD TX RAD\INTERC\DX CL",2818
"Danville Regional","CLSD TX WRIST FX WO MANP",4027
"Danville Regional","THORACOTOMY/REPAIR",5099
"Danville Regional","INSERT PICC LINE",3755
"Danville Regional","FB REMOVE EYE",3003
"Danville Regional","DEB SUBQ TISSUE 20CM EA",721
"Danville Regional","REDUCTION (TOE)",2077
"Danville Regional","TX HAND DISLOCATION",4472
"Danville Regional","INTROS NDLE PLCMNT",3755
"Danville Regional","REPAIR BLD VESSEL UP EXT",5591
"Danville Regional","CLSD TX PHALANGL SHAFT",3226
"Danville Regional","AMPUTATION TOE SGL",3181
"Danville Regional","CLSD TX DISTAL RADIUS FX",3395
"Danville Regional","CLOSD TX FEM FX WO MANIP",4458
"Danville Regional","ASP PERITONS ABSCESS",535
"Danville Regional","CLSD FX ULNA W MANIP",2592
"Danville Regional","CLOSD TX FINGER DISLOCAT",3651
"Danville Regional","CLSD TX DIST PHAL FX EA",3725
"Danville Regional","INJ NERVE FACIAL",4027
"Danville Regional","LIG MJR ART EXT",1794
"Danville Regional","TX EPICNDYLR HUM FX MAN",3134
"Danville Regional","IM/SQ INJECTION",176
"Danville Regional","REPAIR TRUNK 2.6-7.5CM",2784
"Danville Regional","TX FOOT DISLTARSO\METATR",4472
"Danville Regional","INC/DRN BURSA UP ARM",3181
"Danville Regional","INCISION W REM FB TONGUE",2360
"Danville Regional","CLSD TX FINGER DISL MANP",4027
"Danville Regional","EPISTAXIS CONT ANT COMP",1815
"Danville Regional","SIMPLE WOUND DEHISCE REP",2655
"Danville Regional","I & D PILONIDAL CYST",2455
"Danville Regional","PERITONEAL LAVAGE",4000
"Danville Regional","AMPU FING/THUMB W/DIR CL",3376
"Danville Regional","URETH ADH REMOVAL",566
"Danville Regional","LAYER CLOS F\E\E\N\>3CM",4126
"Danville Regional","REDUCTION ANKLE",2655
"Danville Regional","DEBRIDE SKIN TISSUE",639
"Danville Regional","ENDOTRACHEAL INTUBATION",1088
"Danville Regional","IMMUNIZATION ADMIN",120
"Danville Regional","UNNA BOOT",3752
"Danville Regional","OBS CARE HOURLY",2805
"Danville Regional","I&D EXTERNAL HEMORRHOID",3651
"Danville Regional","CLD TX GR TOE FX W/MANI",3945
"Danville Regional","URINARY CATH SIMPLE",276
"Danville Regional","CLSD TX STNCLV DISL WO M",2765
"Danville Regional","CLSD TX ARTICULAR MANIP",3713
"Danville Regional","REP HC MOUTH >2.6CM",1627
"Danville Regional","NAIL PLATE AVULSION ADDL",1143
"Danville Regional","CLSD TX WRIST CARP FX WO",4027
"Danville Regional","INTERMED <2.5CM",3863
"Danville Regional","REDUCTN RAD HEAD W/O",750
"Danville Regional","CLOSED TX TOE FRACTURE",3651
"Danville Regional","TRACHEOSTOMY",3855
"Danville Regional","DESTRUCT LESION >=15",1970
"Danville Regional","LARYNGOSCOPY FB REMOVAL",2320
"Danville Regional","CIRCUMCISION",2006
"Danville Regional","ANOSCOPY W/FB REMOVAL",1296
"Danville Regional","FB REMOVAL EYELID",3359
"Danville Regional","DRAINAGE OF SCROTUM",1488
"Danville Regional","I&D PERIANAL ABSCESS",2987
"Danville Regional","EPISIOTOMY",4420
"Danville Regional","REPAIR NAIL BED",3753
"Danville Regional","BLOOD PATCH",3192
"Danville Regional","I&D ABSCESS MOUTH SIMPLE",3863
"Danville Regional","CLSD TX MALL FX W MANIP",1224
"Danville Regional","CLSD TX ULNAR STYLOID FX",4027
"Danville Regional","CONTRL NASAL BLDG COMPLX",2787
"Danville Regional","SUTURE FLEX TENDON HAND",3072
"Danville Regional","FACIAL INTERM 7.6-12.5CM",3302
"Danville Regional","FACIAL COMPLEX 2.6-7.5CM",2784
"Danville Regional","APPLY SHOULDER STRAPPING",3945
"Danville Regional","CLOSD TX RADIUS\ULNA FX",3226
"Danville Regional","CL TX METATAR FX WO MANI",4027
"Danville Regional","INFECTION TX FOOT",3842
"Danville Regional","SPLINT APPLY LONG ARM",548
"Danville Regional","CAST REMOVE ARM\LEG",548
"Danville Regional","REDUCTION ANKLE W/O MAN",1815
"Danville Regional","DEBRIDEMENT BONE",586
"Danville Regional","REP VERMILION <1/2 HT",2784
"Danville Regional","CLOSED TX KNEE W/O ANES",2655
"Danville Regional","REP TENDON FOREARM EA",4634
"Danville Regional","CL TX ANKLE TALUS FX W\M",3713
"Danville Regional","REMOV FB LARYNX",923
"Danville Regional","FB REMOVAL EAR",3406
"Danville Regional","CLSD TX ELBOW FX W\ANES",3713
"Danville Regional","REP COMP TRUNK 1.1-2.5CM",4126
"Danville Regional","INTERMED 2.6 TO 7.5CM",4027
"Danville Regional","FECAL IMPACTION REMOVAL",3581
"Danville Regional","LARYNGOSCOPY",2092
"Danville Regional","ARTHROCENTESIS ASP/ING",503
"Danville Regional","ANOSCOPY",2916
"Danville Regional","TRUNK COMPLEX EA ADDL <5",492
"Danville Regional","CLOSD TX PROX FIBIA FX",2215
"Danville Regional","CLSD TX METATARSAL FX",3651
"Danville Regional","FACIAL INTERM 5.1-7.5CM",3863
"Danville Regional","TREAT FIBULA FRACTUR",3175
"Danville Regional","I&D PALATE/UVULA ABS",3305
"Danville Regional","LARYNGOSCOPY",2642
"Danville Regional","FB REM SUBQ FOOT",3755
"Danville Regional","FORENSIC EXAM SANE RN",1549
"Danville Regional","DRAIN SCROTAL ABSCESS",2655
"Danville Regional","FB REMOV CORNEA W\SLIT",3003
"Danville Regional","REDUCTION TOE W/O ANESTH",3863
"Danville Regional","CLSD FX PELV RING FX\DS",3651
"Danville Regional","DEB SUBQ TISSUE 20CM <",639
"Danville Regional","CL TX PAT FX W/O MAN",2765
"Danville Regional","CLOSD TX HUMERUS FX WITH",2215
"Danville Regional","INTERMED 12.6 TO 20CM",4127
"Danville Regional","CLOSED TX ULNAR SHAFT",3651
"Danville Regional","CANALITH REPOSITION",183
"Danville Regional","FB REMOVE CORNEA WO SLIT",3003
"Danville Regional","FB REMOVE MOUTH\NOSE",4242
"Danville Regional","CLOSED TX CLAVICLE W/MAN",1815
"Danville Regional","SECONDARY CLOSURE WOUND",4126
"Danville Regional","INSERT SWAN GANZ",2001
"Danville Regional","CLSD TX SHFT DIS\FX NECK",3713
"Danville Regional","CLSD TX METACARPAL FX",3651
"Danville Regional","I&D FB COMPLEX",3415
"Danville Regional","CNTRL NASAL BLD POST SUB",2457
"Danville Regional","URINARY CATH COMPLEX",3863
"Danville Regional","DBRD SKN/TIS/MUS/BN FRAC",3803
"Danville Regional","CLSD TX STRNCLAV DIL W\M",2765
"Danville Regional","TX ANKLE TRIMALEOLAR FX",3134
"Danville Regional","INTRACORONR THROMBOLYSIS",4773
"Danville Regional","SA ANOSCOPY",3371
"Danville Regional","CLOSD TX HIP DISLOCAT WO",2507
"Danville Regional","CLOSED TX TIBIA FRACTURE",2215
"Danville Regional","BIOPSY EACH ADDL LESION",4057
"Danville Regional","CLD TX METATARSAL FX W\M",4105
"Danville Regional","CLSD TX ACETABLR FX WO",3651
"Danville Regional","CLSD TX STERNUM FRACTURE",3651
"Danville Regional","CAST APPLY LONG ARM",548
"Danville Regional","REDUCTION DIGIT W/O ANES",4027
"Danville Regional","CAST APPLY LONG LEG",548
"Danville Regional","EKG",166
"Danville Regional","STRAP ANKLE/FOOT BIL",3117
"Danville Regional","ASP PLEURA WO IMAGE",1343
"Danville Regional","SA NURSE EXAM",1392
"Danville Regional","CLSD TX SHL BL FX W\O MN",2765
"Danville Regional","NAIL DRAIN BLOOD",1143
"Danville Regional","CLSD TX TRNSSCPHPERILUNR",3713
"Danville Regional","I&D ABCESS EYELID",3076
"Danville Regional","CL TX FX PHAL WO MANP EA",4027
"Danville Regional","DRAIN SHOULDER BURSA",3416
"Danville Regional","FB REMOVAL PHARYNX",3399
"Danville Regional","POC GLUCOSE",52
"Danville Regional","TRIAGE ONLY",191
"Danville Regional","I\D BARTH GLAND ABSCESS",689
"Danville Regional","INTERMED 7.6 TO 12.5CM",4198
"Danville Regional","CLSD TX WRIST CARP FX W",2765
"Danville Regional","OP FAM PSYTX W PT 50",519
"Danville Regional","COGNIT SKILLS DEV",73
"Danville Regional","RIBS UNILAT W PA CHST RT",462
"Danville Regional","SINUSES MIN 3 VIEWS",429
"Danville Regional","ORBITS MIN 4 VIEWS",373
"Danville Regional","MRI UP EX JOINT W/O RT",3471
"Danville Regional","US RETROPERITONEAL LTD",445
"Danville Regional","KNEE MIN 4 VIEWS RT",260
"Danville Regional","CT MAXILO/SINUS W/CONTST",1076
"Danville Regional","DUP EXTRACRANIAL ART UNI",612
"Danville Regional","KNEE 1-2 VIEWS LT",227
"Danville Regional","FOOT MIN 3 VIEWS LT",331
"Danville Regional","DUPLEX ART/VEN FLOW ORG",947
"Danville Regional","CT CHEST W/O CONTRAST",1742
"Danville Regional","HIP 1 VIEW LT",227
"Danville Regional","MRI NECK WITH CONTRAST",2702
"Danville Regional","SACRUM & COCCYX MIN 2 VW",485
"Danville Regional","MRI RT LOW EXT NJ W/W/O",2362
"Danville Regional","FOOT MIN 3 VIEWS RT",300
"Danville Regional","AC JOINTS W/W/O WEIGHTS",404
"Danville Regional","ARTHROGRAM ELBOW LT",461
"Danville Regional","FOOT 2 VIEWS RT",258
"Danville Regional","MRI UP EX NONJT W/CTR RT",2702
"Danville Regional","ULTRASOUND CHEST",471
"Danville Regional","XR CHEST 4> VWS",333
"Danville Regional","BONE LENGTH STUDIES",284
"Danville Regional","UPPER GI WITH KUB",675
"Danville Regional","CERVICAL SPINE 1 VIEW",239
"Danville Regional","ABDOMEN F/PYLORIC STENOS",438
"Danville Regional","SHOULDER MIN VIEWS RT",234
"Danville Regional","US OB <14 WEEKS",630
"Danville Regional","CT ANGIO PELVIS W/WO CON",4452
"Danville Regional","SCAPULA LT",512
"Danville Regional","CT PELVIS W/O CONTRAST",1857
"Danville Regional","MASTOIDS MIN 3 VIEWS",405
"Danville Regional","HIP 1 VIEW RT",227
"Danville Regional","US FETAL BIOPHYSCAL PROF",690
"Danville Regional","SPINE ENTIRE AP/LAT",383
"Danville Regional","US EXTREMITY COMP LT",293
"Danville Regional","PELVIS 1-2 VIEWS",350
"Danville Regional","UPPER GI W\O KUB",930
"Danville Regional","COLON BARIUM ENEMA",402
"Danville Regional","CT LOW EXT W/W/O CONT RT",1515
"Danville Regional","DUP ART/VEN FLOW VASC",753
"Danville Regional","CT TEMPORAL BONE W/O CON",963
"Danville Regional","LOW EXTRM CHILD 2V RIGHT",187
"Danville Regional","LOW EXTRM CHILD 2V LEFT",187
"Danville Regional","MRI UP EX NONJT W/CON LT",2702
"Danville Regional","SACROILIAC JTS < 3 VIEWS",191
"Danville Regional","MANDIBLE MIN 4 VIEWS",366
"Danville Regional","CERVICAL SPINE COMPLETE",455
"Danville Regional","CT ABDOMEN WITH CONTRAST",2622
"Danville Regional","MRI PELVIS W/O CONTRAST",2566
"Danville Regional","CT LOW EXT W/O CONT LEFT",1119
"Danville Regional","CT ANGIO LOW EXT W/WO LT",1672
"Danville Regional","LUMBOSAC COMP W/BENDING",576
"Danville Regional","FOREARM 2 VIEWS LT",278
"Danville Regional","UPPER EXTREM INFANT RT",141
"Danville Regional","EYE FOR DETECTION FB",345
"Danville Regional","CT RECON W/PROCESSING",782
"Danville Regional","WRIST 2 VIEWS RT",224
"Danville Regional","CT ORBITS W/W/O CONTRAST",1604
"Danville Regional","CT ANGIO CHEST W/W/O CON",1737
"Danville Regional","CT IAC WITH CONTRAST",1024
"Danville Regional","CT UP EXT W/CONTRAST RT",1565
"Danville Regional","SMALL BOWEL SERIES",702
"Danville Regional","SHOULDER MIN VIEWS LT",306
"Danville Regional","CT ABD W/W/O CONTRAST",4202
"Danville Regional","THORACIC SPINE 1 VIEW",239
"Danville Regional","ISOVUE 300/ML",6
"Danville Regional","XR ABDOMEN 1 VIEW",170
"Danville Regional","US RIGHT UPPER QUADRANT",275
"Danville Regional","ULTRSND RETROPERITONEAL",555
"Danville Regional","CT NECK W/WO CONTRAST",3846
"Danville Regional","S C JOINTS MIN 4 VIEWS",234
"Danville Regional","US OB <14 WEEKS ADD",982
"Danville Regional","FOREARM 2 VIEWS RT",278
"Danville Regional","MRI UP EX JOINT W/CON RT",3755
"Danville Regional","ULTRASOUND ABDOMEN",634
"Danville Regional","ULTRASOUND INFANT HIP",571
"Danville Regional","MRI UP EX NONJT W/W/O RT",3627
"Danville Regional","CT ABDOMEN W/O CONTRAST",1689
"Danville Regional","RIBS UNILAT 2 VIEWS LT",276
"Danville Regional","ULTRASOND INFANT HIP DYN",287
"Danville Regional","KNEE 1-2 VIEWS RT",205
"Danville Regional","LOCM 200-299 MG/ML",262
"Danville Regional","US ABDOMEN LIMITED",518
"Danville Regional","CT ANGIO HEAD W/W/O CONT",4055
"Danville Regional","CT IAC W/O CONTRAST",915
"Danville Regional","LUMBOSACRAL 2-3 VIEWS",381
"Danville Regional","THORACOLUMBAR 2 VIEWS",205
"Danville Regional","CT TEMPORAL CONE W/WO CO",1685
"Danville Regional","HUMERUS MIN 2 VIEWS RT",275
"Danville Regional","ULTRASOUND SPINAL CANAL",301
"Danville Regional","MRI UP EX JNT W/W/O RT",4148
"Danville Regional","MRI ORBITS W/W/O CONTRST",4697
"Danville Regional","FACIAL BONES MIN 3 VIEWS",699
"Danville Regional","BE AIR CONTR W/HI DENST",691
"Danville Regional","CT ORBITS W/O CONTRAST",915
"Danville Regional","IVP",653
"Danville Regional","B/E AIR CONTR W/HI DENST",691
"Danville Regional","MRI RT LOW EXT NJ W/O CT",2253
"Danville Regional","UPPER EXTEM INFANT LT",141
"Danville Regional","MRI LOW EX JNT W/W/O RT",4112
"Danville Regional","NECK SOFT TISSUE",180
"Danville Regional","CT C-SPINE W/O CONTRAST",1574
"Danville Regional","DUP EXTRACRANIAL ART BIL",886
"Danville Regional","US SCROTUM\TESTICLES",851
"Danville Regional","CERVICAL SPINE 2-3 VIEWS",365
"Danville Regional","ARTHROGRAM WRIST RT",543
"Danville Regional","LUMBOSACRAL MIN 4 VIEW",404
"Danville Regional","ARTHROGRAM SHOULDER LT",640
"Danville Regional","US RENAL",445
"Danville Regional","MRI LOW EX JT W/W/O LEFT",4112
"Danville Regional","IM/SQ INJECTION",176
"Danville Regional","HAND MIN 3 VIEWS RT",261
"Danville Regional","SCAPULA RT",512
"Danville Regional","CT SELLA TURCICA W/WO CO",1604
"Danville Regional","CT LOW EXT W/WO CONT LT",1515
"Danville Regional","LOCM 300-399 MG/ML",6
"Danville Regional","UPPER GI W/SMALL BOWEL",1275
"Danville Regional","LUMBAR SPINE 1 VIEW",239
"Danville Regional","CT UP EXT W/O CONT LEFT",1384
"Danville Regional","ARTHROGRAM SHOULDER RT",760
"Danville Regional","MRI BRACHIAL PLEX WO CTR",3355
"Danville Regional","CALCANEUS MIN 2 VIEWS RT",187
"Danville Regional","THORACIC SPINE 4 VIEWS",331
"Danville Regional","ARTHROGRAM ANKLE RT",461
"Danville Regional","CT TEMPORAL BONE W/CONT",1076
"Danville Regional","ARTHROGRAM WRIST LT",543
"Danville Regional","WRIST 2 VIEWS LT",224
"Danville Regional","RETROGRADE PYELOGRAM",554
"Danville Regional","MRI UP EX JOINT W/O LT",3471
"Danville Regional","FOOT 2 VIEWS LT",258
"Danville Regional","OSCALCIS MIN 2V RIGHT",100
"Danville Regional","RIBS BILATERAL 3 VIEWS",335
"Danville Regional","CT NECK WITH CONTRAST",3196
"Danville Regional","MRI LOW EX JNT W/O CO LT",3723
"Danville Regional","MRI CHEST W/O CONTRAST",3355
"Danville Regional","CT ANGIO ABD W/WO W/ROFF",3013
"Danville Regional","CLAVICLE LT",461
"Danville Regional","CT UP EXT W/WO CONT LEFT",2006
"Danville Regional","ULTRASOUND TRANSVAGINAL",370
"Danville Regional","CT LOW EXT W/CONTRAST RT",1260
"Danville Regional","INJ ANKLE ARTHROGRAM",118
"Danville Regional","ULTRASOUND PELVIS LTD",224
"Danville Regional","XR CHEST 3 VIEWS",164
"Danville Regional","CT ANGIO UP EXT W/WO LT",1882
"Danville Regional","PELVIS MIN 3 VIEWS",227
"Danville Regional","SHOULDER 1 VIEW LT",374
"Danville Regional","CT L-SPINE W/O CONTRAST",3200
"Danville Regional","TIBIA FIBULA 2 VIEWS RT",289
"Danville Regional","HAND 2 VIEWS RT",263
"Danville Regional","MRI T-SPINE W/O CONTRAST",3569
"Danville Regional","OSCALCIS MIN 2V LEFT",100
"Danville Regional","ANKLE 2 VIEWS RT",536
"Danville Regional","INJ CONT KNEE ARTHGM",65
"Danville Regional","SINUSES 2 VIEWS",259
"Danville Regional","ULTRASOUND AORTA",555
"Danville Regional","OSSEOUS SURVEY LTD",355
"Danville Regional","TIBIA FIBULA 2 VIEWS LT",289
"Danville Regional","CERVICAL SPINE MIN 4 VW",365
"Danville Regional","MRI UP EX JOINT W/CON LT",3755
"Danville Regional","CT T-SPINE W/O CONTRAST",1792
