"Charge Code",,"Charge Description","Fee Schedule"
"CT000039",,"CT LUMBAR SPINE W/CONTRAST",2587
"CT000040",,"CT LUMBAR SPINE WO/W CONTRAST",2818
"CT000041",,"CT ANGIO PELVIS WO/W CONTRAST",4594
"CT000042",,"CT PELVIS WO/CONTRAST",2268
"CT000043",,"CT PELVIS W/CONTRAST",2587
"CT000044",,"CT PELVIS WO/W CONTRAST",2818
"CT000046",,"CT UPPER EXTREMITY WO/CONTRAST",2268
"CT000047",,"CT UPPER EXTREMITY W/CONTRAST",2587
"CT000048",,"CT UPPER EXTREM WO/W CONTRAST",2818
"CT000049",,"CT ANGIO UPPER EXTREM W/WO CON",3308
"CT000050",,"CT LOWER EXTREM WO/CONTRAST",2268
"CT000051",,"CT LOWER EXTREM W/CONTRAST",2587
"CT000052",,"CT LOWER EXTREM WO/W CONTRAST",2818
"CT000053",,"CT ANGIO LOWER EXTREM W/WO CON",3308
"CT000054",,"CT ABDOMEN WO/CONTRAST",2268
"CT000055",,"CT ABDOMEN W/CONTRAST",2587
"CT000056",,"CT ABDOMEN WO/W CONTRAST",2818
"CT000057",,"CT ANGIO ABD WO/W CONTRAST",4594
"CT000058",,"CT ANGIO ABD AORTA/BI ILIO",3308
"CT000059",,"3D RENDERING WO POSTPROCESS",1062
"CT000060",,"CT LIMITED/LOCAL FU",1570
"CT000061",,"CT: DIGITAL LEG LENGTHS",608
"CT000062",,"CT GUIDE PARENCHYMAL TISSUE",3027
"CT000063",,"CT COLONOGRAPHY DIAGNOSTIC W/O CONTRAST",1971
"CT000065",,"CT COLONOGRAPHY SCREENING",620
"CT000066",,"CT: CARDIAC CALCIUM SCORING W/O CONTRAST",738
"CT000067",,"CT: CARDIAC MORPHOLOGY W/CONTRAST",2587
"CT000069",,"CT: CARDIAC ANGIO W/CONTRAST",3308
"CT000070",,"CEREBRAL PERFUSION ANALYSIS W/CONTRAST",2662
"CT000071",,"CT ABDOMEN/PELVIS W/O CONTRAST",4536
"CT000072",,"CT ABDOMEN/PELVIS W/CONTRAST",5175
"CT000073",,"CT ABDOMEN/PELVIS W/WO CONTRAST",5634
"CT000074",,"CT ANGIO ABD&PLVIS CNTRST MTRL W/WO CNTRST IMGES",6725
"CT000075",,"CT GUIDANCE OSTEOPLASTY",2064
"CT000076",,"CT BONE MINERL DENSITY STUDY AXIAL SKEL",575
"DC000006",,"DENT EST OUTPT VISIT-MINIMAL",107
"DC000007",,"DENT EST OUTPT VISIT-PROBLEM FOCUSE",140
"DC000008",,"DENT EST OUTPT VISIT-EXPANDED",195
"DC000010",,"DENT EST OUTPT VISIT-COMPREHENSIVE",444
"DC000020",,"DENT NEW OUTPT VISIT-PROBLEM FOCUSE     01",154
"DC000021",,"DENT NEW OUTPT VISIT-EXPANDED                 01",273
"DC000022",,"DENT NEW OUTPT VISIT-LOW COMPLEXITY     01",387
"DC000023",,"DENT NEW OUTPT VISIT-MOD COMPREHENS    01",369
"DC000024",,"DENT NEW OUTPT VISIT-COMPREHENSIVE         01",580
"DC000025",,"DENT EST OUTPT VISIT-MINIMAL                        01",122
"DC000026",,"DENT EST OUTPT VISIT-PROBLEM FOCUSE          01",160
"DC000027",,"DENT EST OUTPT VISIT-EXPANDED                     01",221
"DC000028",,"DENT EST OUTPT VISIT-COMPREHENSIVE        01",273
"DC000029",,"DENT EST OUTPT VISIT-MOD COMPREHENSIVE",369
"DC000107",,"DENT BLOCK BITE TEETH GUARD",16
"DC000118",,"DENT CONSULT INPT - PROB FOCUSED",380
"DC000119",,"DENT ALVEOPLASTY W EXTS QUAD",211
"DC000120",,"DENT ALVEOPLASTY WO EXTS QUAD",369
"DC000122",,"DENT AMALGAM 2 SURFACE",186
"DC000123",,"DENT AMALGAM 3 SURFACE",221
"DC000125",,"DENT ANALGESIC NITROUS OXIDE",93
"DC000126",,"DENT ANES GENERAL 30MIN",641
"DC000129",,"DENT BITEWING 2 VIEW",72
"DC000130",,"DENT BITEWING 4 VIEW",81
"DC000134",,"DENT CORE BUILD UP",565
"DC000135",,"DENT CROWN PFM",800
"DC000136",,"DENT DEBRIDMENT - FULL",265
"DC000140",,"DENT EXTN ERUPTED TOOTH OR EXP",242
"DC000141",,"DENT FIXED APPL THERAPY",164
"DC000142",,"DENT FLUORIDE GEL CARRIER",232
"DC000143",,"DENT GENERAL ANESTH ADD 15MIN",175
"DC000146",,"DENT I&D ABSCESS INTRAORAL",271
"DC000147",,"DENT INTRAORAL PERI 1ST",115
"DC000148",,"DENT INTRAORAL PERI ADDL",88
"DC000151",,"DENT ORAL COMP",765
"DC000152",,"DENT ORAL HYGIENE",58
"DC000153",,"DENT ORAL LIMITED",89
"DC000154",,"DENT ORAL PERIODIC",58
"DC000155",,"DENT ORAL RE EVAL",48
"DC000157",,"DENT PERIDONTAL MAINT",180
"DC000158",,"DENT PERIO SCAL ROOT PLN QUAD",300
"DC000162",,"DENT PROPHYLAXIS ADULT",129
"DC000168",,"DENT REMOVE APPL NOT DDS",325
"DC000169",,"DENT RESIN 1 SURFACE ANTERIOR",231
"DC000170",,"DENT RESIN 1 SURFACE POSTERIOR",281
"DC000171",,"DENT RESIN 2 SURFACE ANTERIOR",299
"DC000172",,"DENT RESIN 2 SURFACE POSTERIOR",388
"DC000173",,"DENT RESIN 3 SURFACE ANTERIOR",366
"DC000174",,"DENT RESIN 4 SURFACE ANTERIOR",465
"DC000175",,"DENT ROOT CANAL ANTERIOR",862
"DC000176",,"DENT ROOT CANAL BICUSPID",1072
"DC000177",,"DENT ROOT CANAL MOLAR",1440
"DC000179",,"DENT SEDATIVE FILLING",164
"DC000180",,"DENT SURG EXTN IMPCT FULL BONY",601
"DC000181",,"DENT SURG EXTN IMPCT PART BONY",516
"DC000182",,"DENT SURG EXTN IMPCT SOFT TIS",430
"DC000183",,"DENT SURG EXTN ROOT TIPS",325
"DC000184",,"DENT SURG EXTN TOOTH ERUPTED",325
"DC000186",,"DENT TOPICAL FLUORIDE",44
"DC000188",,"DENT XRAY INTRAORAL COMP",217
"DC000213",,"DENT IVY LOOPS",578
"DC000224",,"DENT PACU 30MIN",559
"DC000251",,"DENT SEDATION IV 30MIN",316
"DC000252",,"DENT SEQUESTRECTOMY",399
"DC000264",,"DENT MAXILLARY PARTIAL DENTURE FLEXIBLE BASE",2120
"DC000267",,"DENT DENTAL CONSULTATION",127
"DC000324",,"TOPICAL FLUORIDE VARNISH",54
"DH000001",,"HD ACU OP FM N-MCV CH",990
"DH000002",,"HD ACU OP GR N-MCV CH",990
"DH000004",,"HD ACU OP SC N-MCV CH",990
"DH000005",,"HD TRV OP FM CH                           01",306
"DH000006",,"HD TRV OP FM N-MCV CH",2489
"DH000007",,"HD TRV OP GR N-MCV CH",2489
"DH000008",,"HD TRV OP SC CH",624
"DH000009",,"HD TRV OP SC N-MCV CH",2489
"DH000012",,"URR 60% TO 64.9%",0
"DH000013",,"URR 65% TO 69.9%",0
"DH000014",,"URR 70% TO 74.9%",0
"DH000015",,"URR 75% OR GREATER",0
"DH000016",,"URR LESS THAN 60%",0
"DH000017",,"HD TRV OP SC AC",907
"DH000018",,"HD TRV OP FM AC",981
"DI000001",,"CRRT FM IP AC - PRISMA",818
"DI000002",,"CRRT FM IP N-MCV CH - PRISMA",664
"DI000004",,"CRRT PM IP N-MCV CH - PRISMA",750
"DI000006",,"CRRT SC IP AC - PRISMA",720
"DI000007",,"CRRT SC IP N-MCV CH",804
"DI000008",,"HD ACU IN PM AC",1959
"DI000010",,"HD ACU IP FM AC",2299
"DI000012",,"HD ACU IP FM N-MCV CH",1633
"DI000014",,"HD ACU IP PM N-MCV CH",1524
"DI000015",,"HD ACU IP SC AC",1994
"DI000016",,"HD ACU IP SC N-MCV CH",1120
"DI000017",,"HD TRV IP FM AC",3075
"DI000018",,"HD TRV IP FM N-MCV CH",1425
"DI000019",,"HD TRV IP PM AC",1392
"DI000020",,"HD TRV IP PM CH",1988
"DI000021",,"HD TRV IP PM N-MCV CH",1425
"DI000022",,"HD TRV IP SC AC",3268
"DI000023",,"HD TRV IP SC N-MCV CH",1570
"DI000029",,"DIALYSIS NOT HEMO W/OVER 1 EVAL",754
"DM000773",,"CRTCH WLK 34-42IN SM YTH AL",21
"DM000774",,"CRTCH WLK 44-52IN MED ADLT AL",21
"DM000775",,"CRTCH WLK 48-60IN LG ADLT AL",23
"DM001075",,"PAD 4YDX4IN CTTN NS WBRL II",19
"DM001091",,"IMMB ORTH 20IN UNV KNEE CTTN",28
"DM001099",,"CANE WLK 29-38IN AL SGL PNT",11
"DM004360",,"RANGER R ROCKER WALKING BOOT",838
"DM006980",,"BRACE ANKLE AIR STIRRUP",26
"DM007337",,"BRC ORTH AIR STR SM RT ANKL",40
"DM007338",,"BRC ORTH AIR STR SM LEFT ANKL",41
"DM007712",,"CLLR CRVC ADLT TALL CHIN REST",47
"DM007713",,"CLLR CRVC ADLT SHRT CHIN REST",47
"DM008148",,"CLLR CRVC ADLT REG CHIN REST",47
"DM008149",,"PAD UNV ADLT CRVC CLLR REPL",28
"DM008829",,"STCKNT ORTH 25YDX3IN SYNTH 1P",23
"DM008960",,"SCSR 7.5IN SERR MULTICUT",36
"DM009149",,"STCKNT ORTH 25YDX4IN SYNTH 1P",29
"DM009366",,"BRC ORTH SM TIETX NPRN LEFT",35
"DM009367",,"BRC ORTH MED TIETX NPRN LEFT",35
"DM009368",,"BRC ORTH LG TIETX NPRN LEFT",35
"DM009370",,"BRC ORTH XL TIETX NPRN LEFT",35
"DM009374",,"BRC ORTH SM TIETX NPRN RT WRST",35
"DM009375",,"BRC ORTH MED TIETX NPRN RT",35
"DM009376",,"BRC ORTH LG TIETX NPRN RT WRST",35
"DM009381",,"BRC ORTH SM NPRN KNEE SLV OPEN",15
"DM009387",,"BRC ORTH MED NPRN KNEE SLV",15
"DM009396",,"BRC ORTH LG NPRN KNEE SLV OPEN",15
"DM009399",,"BRC ORTH XL NPRN KNEE SLV OPEN",15
"DM009401",,"BRC ORTH 2XL NPRN KNEE SLV",15
"DM009403",,"BRC ORTH 3XL NPRN KNEE SLV",15
"DM009469",,"CAST ORTH 15FTX3IN OTH-GLS",108
"DM009470",,"CAST ORTH 15FTX2IN OTH-GLS",78
"DM012311",,"STCKNT ORTH 25YDX2IN CTTN",18
"DM013845",,"CAST ORTH 15FTX4IN OTH-GLS",130
"DM014897",,"BRC ORTH AIR STR STD RT ANKL",38
"DM014898",,"BRC ORTH AIR STR STD LEFT ANKL",38
