CDM Number,Description,Fee
"57100,PR",BIOPSY OF VAGINAL MUCOSA; SIMPLE,126
"57100,UB",BIOPSY OF VAGINAL MUCOSA; SIMPLE,127
"56605,PR",BIOPSY OF VULVA OR PERINEUM (SEPARATE PROCEDURE); 1 LESION,118
"56605,UB",BIOPSY OF VULVA OR PERINEUM (SEPARATE PROCEDURE); 1 LESION,119
"55700,59,PR","BIOPSY, PROSTATE; NEEDLE OR PUNCH",262
"55700,59,UB","BIOPSY, PROSTATE; NEEDLE OR PUNCH",431
"55700,PR","BIOPSY, PROSTATE; NEEDLE OR PUNCH",262
"55700,UB","BIOPSY, PROSTATE; NEEDLE OR PUNCH",431
"11101,PR","BIOPSY, SKIN SUBQ/MUCOUS, EA ADD'L",70
"11101,UB","BIOPSY, SKIN SUBQ/MUCOUS, EA ADD'L",23
"51720,PR",BLADDER INSTILLATION OF ANTICARCI,130
"51720,UB",BLADDER INSTILLATION OF ANTICARCI,216
"51700,78,PR",BLADDER IRRIG SM,98
"51700,78,UB",BLADDER IRRIG SM,161
"51700,PR",BLADDER IRRIG SM,98
"51700,UB",BLADDER IRRIG SM,161
"94010,UB",BREATHING CAPACITY TEST,97
"G0443,PR","BRIEF, FACE-TO-FACE BEHAVIORAL COUNSELING SESSIONS, 15 MINUTES",27
"G0443,UB","BRIEF, FACE-TO-FACE BEHAVIORAL COUNSELING SESSIONS, 15 MINUTES",49
"94060,26,PR","BRONCHODILATION RESPONSIVENESS, S",45
"94060,TC,UB","BRONCHODILATION RESPONSIVENESS, S",125
"16030,PR","BURN TREATMENT W/O ANESTH, LARGE",195
"16030,UB","BURN TREATMENT W/O ANESTH, LARGE",293
"16020,PR","BURN TREATMENT W/O ANESTH, SMALL",109
"16020,UB","BURN TREATMENT W/O ANESTH, SMALL",115
"19100,PR",BX BREAST; PERQ,165
"19100,UB",BX BREAST; PERQ,223
"19102,PR",BX BREAST; PERQ,238
"19102,UB",BX BREAST; PERQ,374
"19103,50,PR",BX BREAST;PERQ V,1230
"19103,50,UB",BX BREAST;PERQ V,1856
"19103,PR",BX BREAST;PERQ V,615
"19103,UB",BX BREAST;PERQ V,928
"78472,26,PR","CARDIAC BLOOD POOL IMAGING,GATED",153
"78472,TC,UB","CARDIAC BLOOD POOL IMAGING,GATED",569
"93660,26,PR",CARDIOVASCULAR F,307
"93660,TC,UB",CARDIOVASCULAR F,190
"93017,UB",CARDIOVASCULAR STRESS TEST TRACING,220
"92960,26,PR",CARDIOVERS ELEC-,271
"92960,TC,UB",CARDIOVERS ELEC-,459
"99379,PR",CARE PLAN OVERSIGHT NF 15-29 MINS,104
"99379,UB",CARE PLAN OVERSIGHT NF 15-29 MINS,105
"93458,26,PR",CATH LT HRT COR+/-LT VGRAM,734
"93458,TC,UB",CATH LT HRT COR+/-LT VGRAM,1751
"93460,26,PR",CATH LT/RT HRT/COR +/-LT VGRAM,922
"93460,TC,UB",CATH LT/RT HRT/COR +/-LT VGRAM,2014
"51705,59,PR",CHANGE OF CYSTOS,127
"51705,59,UB",CHANGE OF CYSTOS,209
"51705,78,PR",CHANGE OF CYSTOS,127
"51705,78,UB",CHANGE OF CYSTOS,209
"51705,PR",CHANGE OF CYSTOS,127
"51705,UB",CHANGE OF CYSTOS,209
"17250,PR","CHEMICAL CAUTERY, GRANULATED TISSUE",41
"17250,UB","CHEMICAL CAUTERY, GRANULATED TISSUE",161
"96402,UB",CHEMO HORMON ANTINEOPL SQ/IM,105
"64612,PR",CHEMODENERVATION OF MUSCLE(S); MUSCLE(S) INNERVATE,191
"64612,UB",CHEMODENERVATION OF MUSCLE(S); MUSCLE(S) INNERVATE,274
"64613,59,PR",CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE(S) (EG,182
"64613,59,UB",CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE(S) (EG,269
"64613,PR","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE(S) (EG,",182
"64613,UB","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE(S) (EG,",269
"64616,50,PR","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE[S], EXCLUDING MUSCLES OF THE LARYNX, UNILATERAL",256
"64616,50,UB","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE[S], EXCLUDING MUSCLES OF THE LARYNX, UNILATERAL",290
"64616,PR","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE[S], EXCLUDING MUSCLES OF THE LARYNX, UNILATERAL",128
"64616,UB","CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE[S], EXCLUDING MUSCLES OF THE LARYNX, UNILATERAL",145
"99490,PR",CHRONIC CARE MANAGEMENT SERVICES,49
"99490,UB",CHRONIC CARE MANAGEMENT SERVICES,77
"45378,PR",COLONOSCOPY FLEX,450
"45378,UB",COLONOSCOPY FLEX,661
"45385,PR",COLONOSCOPY FLEX,605
"45385,UB",COLONOSCOPY FLEX,897
"45384,59,PR",COLONOSOCPY FLEX,533
"45384,59,UB",COLONOSOCPY FLEX,782
"45384,PR",COLONOSOCPY FLEX,533
"45384,UB",COLONOSOCPY FLEX,782
"G0105,PR",COLOREC CANCR SC,450
"G0105,UB",COLOREC CANCR SC,661
"G0328,UB",COLORECTALCANCER SCREENING; FECAL-OCCULT BLOOD TES,68
"57454,PR",COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH BIOPSY(S),221
"57454,UB",COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH BIOPSY(S),221
"57420,UB","COLPOSCOPY OF THE ENTIRE VAGINA, WITH CERVIX IF PRESENT",166
"56821,PR",COLPOSCOPY OF THE VULVA; WITH BIOPSY(S),211
"56821,UB",COLPOSCOPY OF THE VULVA; WITH BIOPSY(S),211
"57420,PR","COLPOSCOPY, ENTIRE VAGINA, W/CERVIX IF P",166
"56820,PR","COLPOSCOPY, VULVA",158
"56820,UB","COLPOSCOPY, VULVA",159
"51726,51,26,PR","COMCOMPLEX CYSTOMETROGRAM (EG, CALIBPLEX CYSTOMETROGRAM (EG, CALIB",267
"51726,26,PR","COMPLEX CYSTOMETROGRAM (EG, CALIB",267
"51726,51,TC,UB","COMPLEX CYSTOMETROGRAM (EG, CALIB",666
"51726,TC,UB","COMPLEX CYSTOMETROGRAM (EG, CALIB",666
"51741,26,PR","COMPLEX UROFLOWMETRY (EG, CALIBRA",178
"51741,51,26,PR","COMPLEX UROFLOWMETRY (EG, CALIBRA",178
"51741,51,TC,UB","COMPLEX UROFLOWMETRY (EG, CALIBRA",75
"51741,TC,UB","COMPLEX UROFLOWMETRY (EG, CALIBRA",75
"74430,26,PR",CONTRAST X-RAY BLADDER,50
"74430,TC,UB",CONTRAST X-RAY BLADDER,178
"74420,26,PR",CONTRST X-RAY URINARY TRACT,57
"74420,TC,UB",CONTRST X-RAY URINARY TRACT,337
"74425,26,PR",CONTRST X-RAY URINARY TRACT,56
"74425,TC,UB",CONTRST X-RAY URINARY TRACT,168
"50434,PR","CONVERT NEPHROSTOMY CATHETER TO NEPHROURETERAL CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION, VIA PRE-EXISTING NEPHROSTOMY TRACT",1349
"50434,UB","CONVERT NEPHROSTOMY CATHETER TO NEPHROURETERAL CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION, VIA PRE-EXISTING NEPHROSTOMY TRACT",1349
"93016,59,PR","CV STRESS, PHY",72
"93016,PR","CV STRESS, PHY",72
"93018,59,PR",CV STRESS; INTER,48
"93018,PR",CV STRESS; INTER,48
"51728,26,PR",CYSTOMETROGRAM W/VP,322
"51728,TC,UB",CYSTOMETROGRAM W/VP,543
"52224,PR",CYSTOSCOPY AND TREATMENT,851
"52224,UB",CYSTOSCOPY AND TREATMENT,1475
"52000,22,PR",CYSTOURETHROSCOP,240
"52000,22,UB",CYSTOURETHROSCOP,389
"52000,51,PR",CYSTOURETHROSCOP,240
"52000,51,UB",CYSTOURETHROSCOP,389
"52000,59,PR",CYSTOURETHROSCOP,240
"52000,59,UB",CYSTOURETHROSCOP,389
"52000,78,PR",CYSTOURETHROSCOP,240
"52000,78,UB",CYSTOURETHROSCOP,389
"52000,79,PR",CYSTOURETHROSCOP,240
"52000,79,UB",CYSTOURETHROSCOP,389
"52000,PR",CYSTOURETHROSCOP,240
"52000,UB",CYSTOURETHROSCOP,389
"52001,78,PR",CYSTOURETHROSCOPY,437
"52001,78,UB",CYSTOURETHROSCOPY,726
"52001,PR",CYSTOURETHROSCOPY,437
"52001,UB",CYSTOURETHROSCOPY,726
"52353,78,PR",CYSTOURETHROSCOPY WITH URETEROSCO,493
"52353,78,UB",CYSTOURETHROSCOPY WITH URETEROSCO,830
"52353,PR",CYSTOURETHROSCOPY WITH URETEROSCO,493
"52353,UB",CYSTOURETHROSCOPY WITH URETEROSCO,830
"52281,51,PR","CYSTOURETHROSCOPY, WITH CALIBRATI",306
"52281,51,UB","CYSTOURETHROSCOPY, WITH CALIBRATI",600
"52281,78,PR","CYSTOURETHROSCOPY, WITH CALIBRATI",306
"52281,78,UB","CYSTOURETHROSCOPY, WITH CALIBRATI",600
"52281,79,PR","CYSTOURETHROSCOPY, WITH CALIBRATI",306
"52281,79,UB","CYSTOURETHROSCOPY, WITH CALIBRATI",600
"52281,PR","CYSTOURETHROSCOPY, WITH CALIBRATI",306
"52281,UB","CYSTOURETHROSCOPY, WITH CALIBRATI",600
"52332,50,PR","CYSTOURETHROSCOPY, WITH INSERTION",1126
"52332,50,UB","CYSTOURETHROSCOPY, WITH INSERTION",1784
"52332,78,51,PR","CYSTOURETHROSCOPY, WITH INSERTION",563
"52332,78,51,UB","CYSTOURETHROSCOPY, WITH INSERTION",892
"52332,78,PR","CYSTOURETHROSCOPY, WITH INSERTION",563
"52332,78,UB","CYSTOURETHROSCOPY, WITH INSERTION",892
"52332,PR","CYSTOURETHROSCOPY, WITH INSERTION",563
"52332,UB","CYSTOURETHROSCOPY, WITH INSERTION",892
"52310,78,PR","CYSTOURETHROSCOPY, WITH REMOVAL O",285
"52310,78,UB","CYSTOURETHROSCOPY, WITH REMOVAL O",471
"52310,PR","CYSTOURETHROSCOPY, WITH REMOVAL O",285
"52310,UB","CYSTOURETHROSCOPY, WITH REMOVAL O",471
"11720,PR",DEBRIDEMENT NAIL,17
"11720,UB",DEBRIDEMENT NAIL,68
"11000,PR",DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE,62
"11000,UB",DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE,84
"11042,78,PR",DEBRIDEMENT; SKI,121
"11042,78,UB",DEBRIDEMENT; SKI,80
"11042,79,PR",DEBRIDEMENT; SKI,121
"11042,79,UB",DEBRIDEMENT; SKI,80
"11042,PR",DEBRIDEMENT; SKI,121
"11042,UB",DEBRIDEMENT; SKI,80
"Q9957,UB","DEFINITY INJECTION, 1ML",124
"17000,PR","DESTROY BENIGN/PREMALIG LESION, 1",158
"17000,UB","DESTROY BENIGN/PREMALIG LESION, 1",62
"17004,PR","DESTROY BENIGN/PREMALIG LESION, 15+",194
"17004,UB","DESTROY BENIGN/PREMALIG LESION, 15+",289
"17003,PR","DESTROY BENIGN/PREMALIG LESION,2-14",8
"17003,UB","DESTROY BENIGN/PREMALIG LESION,2-14",13
"17110,PR","DESTROY FLAT WART, UP TO 14 LESIONS",256
"17110,UB","DESTROY FLAT WART, UP TO 14 LESIONS",42
"54060,59,PR",DESTRUC LESION P,212
"54060,59,UB",DESTRUC LESION P,343
"64634,PR","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); CERVICAL OR THORACIC, EACH ADD'L FACET JOINT(LIST SEPARATELY IN ADDITION TO CODE FOR PRIM PROCEDURE",233
"64634,UB","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); CERVICAL OR THORACIC, EACH ADD'L FACET JOINT(LIST SEPARATELY IN ADDITION TO CODE FOR PRIM PROCEDURE",375
"64633,PR","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); CERVICAL OR THORACIC, SINGLE FACET JOINT.",508
"64633,UB","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); CERVICAL OR THORACIC, SINGLE FACET JOINT.",819
"64636,PR","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); LUMBAR OR SACRAL, SINGLE JOINT,EACH ADD'L FACET JOINT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIM PROCEDURE",209
"64636,UB","DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S),W/IMAGING GUIDANCE (FLOUROSCOPY OR CT); LUMBAR OR SACRAL, SINGLE JOINT,EACH ADD'L FACET JOINT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIM PROCEDURE",338
"64600,PR","DESTRUCTION BY NEUROLYTIC AGENT, TR",459
"64600,UB","DESTRUCTION BY NEUROLYTIC AGENT, TR",666
"64605,PR","DESTRUCTION BY NEUROLYTIC AGENT, TR",660
"64605,UB","DESTRUCTION BY NEUROLYTIC AGENT, TR",1019
"46900,PR",DESTRUCTION OF LESION ANUS SIMPLE/CHEMICAL,266
"46900,UB",DESTRUCTION OF LESION ANUS SIMPLE/CHEMICAL,350
"54055,PR","DESTRUCTION, PENIS LESION(S)",135
"54055,UB","DESTRUCTION, PENIS LESION(S)",212
"62270,PR","DIAGNOSTIC SPINAL FLUID TAP, LUMBAR",175
"62270,UB","DIAGNOSTIC SPINAL FLUID TAP, LUMBAR",263
"53660,59,PR",DILAT FE URETHRA,84
"53660,59,UB",DILAT FE URETHRA,135
"53600,PR",DILATE URETHRA STRICTURE,98
"53600,UB",DILATE URETHRA STRICTURE,163
"53601,78,PR",DILATE URETHRA STRICTURE,95
"53601,78,UB",DILATE URETHRA STRICTURE,157
"53601,PR",DILATE URETHRA STRICTURE,95
"53601,UB",DILATE URETHRA STRICTURE,157
"53661,PR",DILATION OF URETHRA,83
"53661,UB",DILATION OF URETHRA,134
"53660,UB","DILATION, FEMALE URETHRA W/SUPPOSITORY &",135
"53660,PR","DILATION, FEMALE URETHRA W/SUPPOSITORY &DILAT FE URETHRA",84
"11740,PR",DRAIN BLOOD FROM UNDER NAIL,57
"11740,UB",DRAIN BLOOD FROM UNDER NAIL,67
"10061,PR","DRAIN SKIN ABSCESS, COMPLIC/MULT",353
"10061,UB","DRAIN SKIN ABSCESS, COMPLIC/MULT",160
"10060,59,PR","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",178
"10060,59,UB","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",125
"10060,79,PR","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",178
"10060,79,UB","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",125
"10060,PR","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",178
"10060,UB","DRAIN SKIN ABSCESS, SIMPLE/SINGLE",125
"20605,50,PR",DRAIN/INJECT INTERMED JOIN/BURSA,96
"20605,50,UB",DRAIN/INJECT INTERMED JOIN/BURSA,422
"20605,PR",DRAIN/INJECT INTERMED JOINT/BURSA,48
"20605,UB",DRAIN/INJECT INTERMED JOINT/BURSA,211
"20610,50,PR",DRAIN/INJECT MAJOR JOINT OR BURSA,102
"20610,50,UB",DRAIN/INJECT MAJOR JOINT OR BURSA,396
"20610,51,PR",DRAIN/INJECT MAJOR JOINT OR BURSA,51
"20610,51,UB",DRAIN/INJECT MAJOR JOINT OR BURSA,198
"20610,LT,PR",DRAIN/INJECT MAJOR JOINT OR BURSA,51
"20610,LT,UB",DRAIN/INJECT MAJOR JOINT OR BURSA,198
"20610,PR",DRAIN/INJECT MAJOR JOINT OR BURSA,51
"20610,RT,PR",DRAIN/INJECT MAJOR JOINT OR BURSA,51
"20610,RT,UB",DRAIN/INJECT MAJOR JOINT OR BURSA,198
"20610,UB",DRAIN/INJECT MAJOR JOINT OR BURSA,198
"20600,PR",DRAIN/INJECT SMALL JOINT OR BURSA,52
"20600,UB",DRAIN/INJECT SMALL JOINT OR BURSA,198
"10081,PR","DRAINAGE OF PILONIDAL CYST, COMPLIC",287
"10081,UB","DRAINAGE OF PILONIDAL CYST, COMPLIC",424
"10080,PR","DRAINAGE OF PILONIDAL CYST, SIMPLE",187
"10080,UB","DRAINAGE OF PILONIDAL CYST, SIMPLE",266
"55100,PR",DRAINAGE OF SCRO,251
"55100,UB",DRAINAGE OF SCRO,405
"10140,PR",DRAINAGE OF SKIN LESION,173
"10140,UB",DRAINAGE OF SKIN LESION,252
"36415,UB","DRAWING BLOOD, ROUTINE",9
"G0434,UB","DRUG SCREEN, OTHER THAN CHROMATOGRAPHIC; ANY NUMBE",61
"G0430,UB","DRUG SCREEN, QUALITATIVE, MULTIPLE DRUG CLASSES",62.5
"G0431,UB","DRUG SCREEN, QUALITATIVE, MULTIPLE DRUG CLASSES",62.5
"G0480,UB","DRUG TEST(S), DEFINITIVE, UTILIZING DRUG IDENTIFICATION METHODS ABLE TO IDENTIFY INDIVIDUAL DRUGS AND DISTINGUISH BETWEEN STRUCTURAL ISOMERS (BUT NOT NECESSARILY STEREOISOMERS), INCLUDING, BUT NOT LIMITED TO GC/MS (ANY TYPE, SINGLE OR TANDEM) AND LC/MS (ANY TYPE, SINGLE OR TANDEM AND EXCLLUDING IMMUNOASSAYS (EG, IA, EIA, ELISA, EMIT, FPIA) AND ENZYMATIC METHODS (EG, ALCOHOL DEHYDROGENASE); QUALITATIVE OR QUANTITATIVE, ALL SOURCES, INCLUDES SPECIMEN VALIDITY TESTING, PER DAY, 1-7 DRUG CLASS(ES), INCLUDING METABOLITE(S) IF PERFORMED",240
