Medication,Package Size,Package Unit,UOM charge
ACTIVATED CHARCOAL- SORBITOL 25 GRAM/120 ML ORAL SUSP,120,mL,86.24
ACTIVATED CHARCOAL- SORBITOL 25 GRAM/120 ML ORAL SUSP,120,mL,142.18
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSP,240,mL,122.76
ACYCLOVIR 200 MG CAP,1,Each,26
ACYCLOVIR 200 MG/5 ML ORAL SUSP,5,mL,26
ACYCLOVIR 200 MG/5 ML ORAL SUSP,473,mL,1259.24
ACYCLOVIR 5 % OINTMENT,15,g,706.71
ACYCLOVIR 5 % OINTMENT,15,g,1127.95
ACYCLOVIR 800 MG TAB,1,Each,26
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,10,mL,80
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,20,mL,94.33
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,10,mL,123.39
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,20,mL,230.33
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,20,mL,349.94
ACYCLOVIR SODIUM 500 MG IV POWDER FOR SOLUTION,1,Each,80
ACYCLOVIR SODIUM 500 MG IV POWDER FOR SOLUTION,1,Each,371.44
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT,1,Each,14857.865
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,30,mL,1026.73
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,20,mL,1328.06
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,30,mL,1576.4
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,30,mL,1992.08
ADENOSINE 3 MG/ML IV SOLN,2,mL,80
ADENOSINE 3 MG/ML IV SOLN,2,mL,120.1
ADENOSINE 3 MG/ML IV SOLN,4,mL,240.2
ADENOSINE 3 MG/ML IV SYRINGE,2,mL,360.2
ADO-TRASTUZUMAB EMTANSINE 100 MG IV SOLUTION,1,Each,19760.81
ADO-TRASTUZUMAB EMTANSINE 160 MG IV SOLUTION,1,Each,31552.47
AL HYD-MG TR-ALG AC-SOD BICARB 80 MG-20 MG CHEWABLE TAB,1,Each,1
ALBENDAZOLE 200 MG TAB,1,Each,360.579
ALBENDAZOLE 200 MG TAB,1,Each,780.675
"ALBUMIN, HUMAN 25 % IV",50,mL,321.84
"ALBUMIN, HUMAN 25 % IV",50,mL,344.93
"ALBUMIN, HUMAN 25 % IV",50,mL,364.42
"ALBUMIN, HUMAN 25 % IV",100,mL,1447.79
"ALBUMIN, HUMAN 25 % IV",50,mL,566.94
"ALBUMIN, HUMAN 5 % IV",250,mL,316.54
"ALBUMIN, HUMAN 5 % IV",250,mL,321.84
"ALBUMIN, HUMAN 5 % IV",250,mL,335.84
"ALBUMIN, HUMAN 5 % IV",250,mL,436.23
"ALBUMIN, HUMAN 5 % IV",250,mL,566.94
"ALBUMIN, HUMAN 5 % IV",500,mL,579.54
ALBUTEROL SULFATE 0.083 % (0.83 MG/ML) SOLN FOR INHALATION,3,mL,26
ALBUTEROL SULFATE 1.25 MG/3 ML (0.042 %) SOLN FOR INHALATION,3,mL,26
ALBUTEROL SULFATE 2 MG TAB,1,Each,26
ALBUTEROL SULFATE 2 MG TAB,1,Each,38.04
ALBUTEROL SULFATE 2 MG/5 ML SYRUP,473,mL,286.77
ALBUTEROL SULFATE 2.5 MG/0.5 ML NEB SOLUTION,1,Each,26
ALBUTEROL SULFATE 5 MG/ML (0.5 %) SOLN FOR INHALATION,20,mL,100.1
ALBUTEROL SULFATE 5 MG/ML (0.5 %) SOLN FOR INHALATION,20,mL,188.36
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,8,g,138.71
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,18,g,284.77
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,8.5,g,315.6
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,6.7,g,422.42
ALBUTEROL SULFATE SR 4 MG 12 HR TAB,1,Each,26
ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOLUTION,1.2,mL,136289.76
ALENDRONATE 10 MG TAB,1,Each,26
ALENDRONATE 70 MG TAB,1,Each,26
ALFENTANIL 500 MCG/ML IJ SOLN,2,mL,115
ALFENTANIL 500 MCG/ML IJ SOLN,5,mL,115
ALFUZOSIN SR 10 MG 24 HR TAB,1,Each,26
ALISKIREN 150 MG TAB,1,Each,26
ALISKIREN 300 MG TAB,1,Each,26
ALISKIREN 300 MG TAB,1,Each,30.897
ALLOPURINOL 100 MG TAB,1,Each,26
ALLOPURINOL 300 MG TAB,1,Each,26
ALPHA LIPOIC ACID 100 MG CAPSULE,1,Each,1
ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1 GRAM/50 ML (2 %) IV,1000,mg,3293.6
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG (+/-) IV SOLUTION",1,Each,3049.63
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG IV SUSP",1000,mg,2500.7
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG IV SUSP",1000,mg,3049.63
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG IV SUSP",1000,mg,3171.61
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG IV SUSP",1000,mg,3293.6
ALPRAZOLAM 0.25 MG TAB,1,Each,38
ALPRAZOLAM 0.5 MG TAB,1,Each,38
ALPRAZOLAM 1 MG TAB,1,Each,38
ALPROSTADIL 500 MCG/ML IJ SOLN,1,mL,871.41
ALPROSTADIL 500 MCG/ML IJ SOLN,1,mL,953.73
ALTEPLASE 100 MG IV SOLUTION,1,Each,37030.86
ALTEPLASE 2 MG SOLUTION FOR INJECTION,1,Each,1231.1
ALTEPLASE 50 MG IV SOLUTION,1,Each,18515.43
"ALUM, AMMONIUM (BULK) POWDER",170,g,51.99
"ALUM, AMMONIUM (BULK) POWDER",340,g,123.79
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSP,473,mL,33.69
ALUMINUM HYDROXIDE GEL 600 MG/5 ML ORAL SUSP,360,mL,14.51
ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSP,30,mL,1
ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSP,355,mL,14.16
ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSP,355,mL,24.06
ALUMINUM-MAGNESIUM HYDROXIDE 200 MG-200 MG/5 ML ORAL SUSP,30,mL,8.73
ALUM-MAG HYDROXIDE-SIMETH 200 MG-200 MG-20 MG/5 ML ORAL SUSP,30,mL,9.21
ALUM-MAG HYDROXIDE-SIMETH 400 MG-400 MG-40 MG/5 ML ORAL SUSP,30,mL,9.81
ALVIMOPAN 12 MG CAP,1,Each,445.81
ALVIMOPAN 12 MG CAP,1,Each,556.382
AMANTADINE 100 MG CAP,1,Each,26
AMANTADINE 50 MG/5 ML SYRUP,473,mL,116.37
AMIFOSTINE CRYSTALLINE 500 MG IV SOLUTION,1,Each,3049.627
"AMIKACIN 1,000 MG/4 ML INJECTION",4,mL,255.56
"AMIKACIN 1,000 MG/4 ML INJECTION",4,mL,268.85
AMIKACIN 500 MG/2 ML INJECTION,2,mL,127.78
AMIKACIN 500 MG/2 ML INJECTION,2,mL,134.43
AMILORIDE 5 MG TAB,1,Each,26
AMINO ACID 4.25% DEXTROSE 10% INFUSION,1000,mL,248
AMINO ACID 4.25% DEXTROSE 10% INFUSION,2000,mL,415.76
AMINO ACID 4.25% DEXTROSE 10% W/ ELECTROLYTES INFUSION,1000,mL,293.86
AMINO ACID 4.25% DEXTROSE 10% W/ ELECTROLYTES INFUSION,2000,mL,440.95
AMINO ACID 5% DEXTROSE 15% INFUSION,1000,mL,265.87
AMINO ACID 5% DEXTROSE 15% INFUSION,2000,mL,440.95
AMINO ACID 5% DEXTROSE 15% W/ ELECTROLYTES INFUSION,1000,mL,272.87
AMINO ACID 5% DEXTROSE 15% W/ ELECTROLYTES INFUSION,2000,mL,466.15
AMINO ACID 5% DEXTROSE 20% INFUSION,1000,mL,272.87
AMINO ACID 5% DEXTROSE 20% INFUSION,2000,mL,453.55
AMINO ACID 5% DEXTROSE 20% W/ ELECTROLYTES INFUSION,1000,mL,279.86
AMINO ACID 5% DEXTROSE 20% W/ ELECTROLYTES INFUSION,2000,mL,478.75
AMINO ACID 5% DEXTROSE 25% INFUSION,2000,mL,453.55
AMINO ACID 5% DEXTROSE 25% W/ ELECTROLYTES INFUSION,2000,mL,478.75
AMINO ACID INFUSION 10 % IV,500,mL,248
AMINO ACID INFUSION 5.4 % IV,250,mL,248
AMINO ACID INFUSION 6 % IV,500,mL,248
AMINOCAPROIC ACID 25 % SYRUP,15,mL,135.96
AMINOCAPROIC ACID 25 % SYRUP,236.5,mL,8983.55
AMINOCAPROIC ACID 250 MG/ML IV SOLN,20,mL,80
AMINOCAPROIC ACID 500 MG TAB,1,Each,26
AMINOCAPROIC ACID 500 MG TAB,1,Each,75.943
AMINOPHYLLINE 250 MG/10 ML IV,10,mL,124.71
AMINOPHYLLINE 500 MG/20 ML IV,20,mL,80
AMIODARONE 100 MG TAB,1,Each,26
AMIODARONE 200 MG TAB,1,Each,26
AMIODARONE 50 MG/ML IV SOLN,3,mL,80
AMIODARONE 50 MG/ML IV SOLN,9,mL,80
AMIODARONE 50 MG/ML IV SOLN,18,mL,149.26
AMITRIPTYLINE 10 MG TAB,1,Each,26
AMITRIPTYLINE 25 MG TAB,1,Each,26
AMITRIPTYLINE 50 MG TAB,1,Each,26
AMLODIPINE 2.5 MG TAB,1,Each,26
AMLODIPINE 5 MG TAB,1,Each,26
AMLODIPINE-VALSARTAN 10 MG-320 MG TAB,1,Each,30
AMLODIPINE-VALSARTAN 10 MG-320 MG TAB,1,Each,102.73
AMMONIA AROMATIC 15 % (W/V) SOLN FOR INHALATION,1,Each,1.72
AMMONIA AROMATIC 15 % (W/V) SOLN FOR INHALATION,1,Each,1.75
AMMONIUM LACTATE 12 % LOTION,226,g,26
AMMONIUM LACTATE 12 % LOTION,222,mL,38.81
AMMONIUM LACTATE 12 % LOTION,227,g,63.2
AMMONIUM LACTATE 12 % LOTION,225,g,65.56
AMMONIUM LACTATE 12 % TOPICAL CREAM,140,g,67.98
AMMONIUM LACTATE 5 % LOTION,222,mL,26
AMOXAPINE 50 MG TAB,1,Each,26
AMOXICILLIN 125 MG/5 ML ORAL SUSP,100,mL,26
AMOXICILLIN 250 MG CAP,1,Each,26
AMOXICILLIN 250 MG/5 ML ORAL SUSP,100,mL,26
AMOXICILLIN 250 MG/5 ML ORAL SUSP,80,mL,26
AMOXICILLIN 400 MG/5 ML ORAL SUSP,75,mL,31.08
AMOXICILLIN 400 MG/5 ML ORAL SUSP,75,mL,31.57
AMOXICILLIN 400 MG/5 ML ORAL SUSP,75,mL,37.39
AMOXICILLIN 500 MG CAP,1,Each,26
AMOXICILLIN CLAVULANATE 875 MG-125 MG TAB,1,Each,26
AMOXICILLIN-CLAVULANATE 500 MG-125 MG TAB,1,Each,26
AMOXICILLIN-POT CLAVULANATE 250 MG-125 MG TAB,1,Each,26
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,75,mL,274.18
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,75,mL,480.02
AMOXICILLIN-POT CLAVULANATE 400 MG-57 MG/5 ML ORAL SUSP,75,mL,74.3
AMOXICILLIN-POT CLAVULANATE 400 MG-57 MG/5 ML ORAL SUSP,100,mL,94.53
AMOXICILLIN-POT CLAVULANATE 600 MG-42.9 MG/5 ML ORAL SUSP,75,mL,92.26
AMOXICILLIN-POT CLAVULANATE 600 MG-42.9 MG/5 ML ORAL SUSP,75,mL,145.68
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",1,Each,26.313
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,1,Each,26
AMPHETAMINE-DEXTROAMPHETAMINE 5 MG TAB,1,Each,38
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,1,Each,38
AMPHETAMINE-DEXTROAMPHETAMINE SR 5 MG 24 HR CAP,1,Each,38
AMPHOTERICIN B 50 MG SOLUTION FOR INJECTION,1,Each,379.93
AMPHOTERICIN B LIPOSOME 50 MG IV SUSP,1,Each,1507.37
AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN 125 MG SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN 125 MG/5 ML ORAL SUSP,100,mL,41.44
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,87.09
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,147
AMPICILLIN 250 MG CAP,1,Each,26
AMPICILLIN 250 MG SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN 250 MG/5 ML ORAL SUSP,100,mL,69.93
AMPICILLIN 250 MG/5 ML ORAL SUSP,200,mL,139.85
AMPICILLIN 500 MG CAP,1,Each,26
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN-SULBACTAM 1.5 GRAM IV SOLUTION,1,Each,80
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,83.34
AMPICILLIN-SULBACTAM 3 GRAM IV SOLUTION,1,Each,80
AMPICILLIN-SULBACTAM 3 GRAM IV SOLUTION,1,Each,99.81
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,80
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,84.57
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,157.35
ANAGRELIDE 0.5 MG CAP,1,Each,26
ANAGRELIDE 1 MG CAP,1,Each,26
ANASTROZOLE 1 MG TAB,1,Each,26
ANASTROZOLE 1 MG TAB,1,Each,61.829
ANIDULAFUNGIN 100 MG INTRAVENOUS SOLUTION,1,Each,1447.79
ANIDULAFUNGIN 50 MG IV SOLUTION,1,Each,812.16
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE ADENINE SOLUTION,500,mL,135.96
ANTICOAGULANT CITRATE PHOSPHATE DOUBLE DEXTROSE ADENINE SOLUTION,500,mL,135.96
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT IV SOLUTION",1,Each,80
ANTIHEMOPHILIC FACTOR (RECOMB) 500 (+/-) UNIT IV SOLUTION,1,Each,80
"ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 1,000 (+/-) UNIT IV SOLN",1,Each,80
"ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 1,000 (+/-) UNIT IV SOLN",1000,Int'l Units,8965.9
ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 500 (+/-) UNIT IV SOLN,1,Each,80
"ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT IV KIT",1,Each,80
"ANTIHEMOPHILIC FACTOR-VWF 1,000(VWF 1,000) UNIT/10 ML INTRAVENOUS SOLN",1,Each,80
ANTIHEMOPHILIC FACTOR-VWF 250 UNIT-600 UNIT IV KIT,1,Each,80
ANTIHEMOPHILIC FACTOR-VWF 500 (500 VWF) UNIT/5 ML INTRAVENOUS SOLUTION,1,Each,80
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT INTRAVENOUS SOLUTION",1,Each,80
"ANTIHEMOPHILIC FVIII,FULL LENGTH(ALB-FREE) 3,000(+/-) UNIT IV SOLUTION",1,Each,80
"ANTI-INHIBITOR COAGULANT COMPLEX 1,750 UNIT-3,250 UNIT IV SOLUTION",1,Each,248
ANTI-INHIBITOR COAGULANT COMPLEX 400 UNIT-650 UNIT IV SOLUTION,1,Each,248
"ANTI-INHIBITOR COAGULANT COMPLEX 651 UNIT-1,200 UNIT IV SOLUTION",1,Each,248
ANTIPYRINE-BENZOCAINE 5.4 %-1.4 % EAR DROPS,10,mL,62.22
ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT IV SOLR,1,Each,80
ANTIVENIN LATRODECTUS MACTANS IJ,1,Each,277.05
APIXABAN 2.5 MG TABLET,1,Each,26
APIXABAN 5 MG TABLET,1,Each,26
APRACLONIDINE 0.5 % EYE DROPS,5,mL,340.41
APRACLONIDINE 0.5 % EYE DROPS,5,mL,786.05
APRACLONIDINE 1 % EYE DROPPERETTE,1,Each,163.22
APREPITANT 125 MG (1)-80 MG (1)-80 MG(1) CAPS IN DOSE PACK,1,Dose Pack,2737.75
APREPITANT 125 MG CAP,1,Each,4325.34
APREPITANT 40 MG CAP,1,Each,417.332
APREPITANT 80 MG CAP,1,Each,4325.34
ARFORMOTEROL 15 MCG/2 ML NEB SOLUTION,2,mL,104.76
ARGATROBAN 100 MG/ML IV SOLN,2.5,mL,4110.9
ARGATROBAN 100 MG/ML IV SOLN,2.5,mL,8011.37
ARGATROBAN 50 MG/50 ML (1 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV,50,mL,925.74
ARGATROBAN 50 MG/50 ML (1 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV,50,mL,955.19
ARGININE HCL (L-ARGININE) 10 % IV,300,mL,260.27
ARIPIPRAZOLE 10 MG TAB,1,Each,26
ARIPIPRAZOLE 10 MG TAB,1,Each,35.274
ARIPIPRAZOLE 10 MG TAB,1,Each,64.6
"ARIPIPRAZOLE 10 MG TAB, RAPID DISSOLVE",1,Each,108.31
"ARIPIPRAZOLE 10 MG TAB, RAPID DISSOLVE",1,Each,125.114
ARIPIPRAZOLE 15 MG TAB,1,Each,26
ARIPIPRAZOLE 15 MG TAB,1,Each,29.461
ARIPIPRAZOLE 15 MG TAB,1,Each,85.443
ARIPIPRAZOLE 15 MG TAB,1,Each,105.118
ARIPIPRAZOLE 2 MG TAB,1,Each,26
ARIPIPRAZOLE 2 MG TAB,1,Each,29.461
ARIPIPRAZOLE 2 MG TAB,1,Each,105.118
ARIPIPRAZOLE 20 MG TAB,1,Each,26
ARIPIPRAZOLE 20 MG TAB,1,Each,44.194
ARIPIPRAZOLE 20 MG TAB,1,Each,82.44
ARIPIPRAZOLE 20 MG TAB,1,Each,148.65
ARIPIPRAZOLE 30 MG TAB,1,Each,26
ARIPIPRAZOLE 30 MG TAB,1,Each,44.194
ARIPIPRAZOLE 30 MG TAB,1,Each,82.93
ARIPIPRAZOLE 5 MG TAB,1,Each,26
ARIPIPRAZOLE 5 MG TAB,1,Each,29.461
ARIPIPRAZOLE 5 MG TAB,1,Each,79.107
ARIPIPRAZOLE 5 MG TAB,1,Each,105.114
ARIPIPRAZOLE 5 MG TAB,1,Each,105.118
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,2,mL,84.74
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,150,mL,2994.75
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,150,mL,3470.45
ARIPIPRAZOLE 9.75 MG/1.3 ML IM,1.3,mL,278.35
"ARIPIPRAZOLE ER 300 MG SUSPENSION, EXTENDED REL. INTRAMUSCULAR SYRINGE",1,Each,9910.13
ARSENIC TRIOXIDE 10 MG/10 ML IV SOLN,10,mL,4139.57
ARTEMETHER-LUMEFANTRINE 20 MG-120 MG TABLET,1,Each,26
ARTIFICIAL SALIVA (YERBAS-LYT) SPRAY,60,mL,31.08
ARTIFICIAL TEAR (HYPROMELLOSE) 0.3 % GEL,10,g,22.93
ARTIFICIAL TEAR (HYPROMELLOSE) 0.3 % GEL,10,g,25.92
ARTIFICIAL TEAR (HYPROMELLOSE) 0.3 % GEL,10,g,35.88
ARTIFICIAL TEAR (HYPROMELLOSE) 0.4 % EYE DROPS,15,mL,10.95
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,7.48
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,10.95
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,23.92
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,30,mL,43.89
ARTIFICIAL TEARS (DEXTRAN-HYPROMELLOSE-GLYCERIN) 0.1 %-0.3 %-0.2 % EYE DROPS,15,mL,23.92
ASCORBIC ACID 500 MG TAB,1,Each,1
ASCORBIC ACID 500 MG/ML IJ SOLN,50,mL,816.68
ASENAPINE 10 MG SUBLINGUAL TAB,1,Each,44.661
ASENAPINE 10 MG SUBLINGUAL TAB,1,Each,70.76
ASENAPINE 10 MG SUBLINGUAL TAB,1,Each,74.42
ASENAPINE 5 MG SUBLINGUAL TAB,1,Each,40.637
ASENAPINE 5 MG SUBLINGUAL TAB,1,Each,70.76
ASENAPINE 5 MG SUBLINGUAL TAB,1,Each,129.55
ASPIRIN 300 MG RECTAL SUPPOSITORY,1,Each,4.653
ASPIRIN 325 MG TAB,1,Each,1
"ASPIRIN 325 MG TAB, DELAYED RELEASE",1,Each,1
"ASPIRIN 325 MG TAB, DELAYED RELEASE",1,Each,1.758
"ASPIRIN 325 MG TAB, DELAYED RELEASE",1,Each,1.76
ASPIRIN 600 MG RECTAL SUPPOSITORY,1,Each,4.812
ASPIRIN 81 MG CHEWABLE TAB,1,Each,1
"ASPIRIN 81 MG TAB, DELAYED RELEASE",1,Each,1
"ASPIRIN, BUFFERED 325 MG TAB",1,Each,1
ATAZANAVIR 150 MG CAP,1,Each,86.224
ATAZANAVIR 150 MG CAP,1,Each,1500.61
ATAZANAVIR 200 MG CAP,1,Each,86.224
ATAZANAVIR 200 MG CAP,1,Each,116.73
ATAZANAVIR 300 MG CAP,1,Each,147.583
ATAZANAVIR 300 MG CAP,1,Each,170.814
ATAZANAVIR 300 MG-COBICISTAT 150 MG TABLET,1,Each,189.206
ATENOLOL 100 MG TAB,1,Each,26
ATENOLOL 25 MG TAB,1,Each,26
ATENOLOL 50 MG TAB,1,Each,26
