Medication,Package Size,Package Unit,UOM charge
GENTAMICIN 40 MG/ML IJ SOLN,2,mL,45
LIDOCAINE HCL 1 % (10 MG/ML) IJ SOLN,20,mL,45
LIDOCAINE HCL 1 % (10 MG/ML) IJ SOLN,10,mL,45
IRINOTECAN 100 MG/5 ML IV,5,mL,352.07
DACARBAZINE 200 MG IV SOLUTION,1,Each,371.86
LIDOCAINE HCL 1 % (10 MG/ML) IJ SOLN,50,mL,45
LIDOCAINE HCL 2 % (20 MG/ML) IJ SOLN,20,mL,45
MESNA 100 MG/ML IV SOLN,10,mL,373.21
FLUOROURACIL 5 GRAM/100 ML INTRAVENOUS SOLUTION,100,mL,375.92
LIDOCAINE (PF) 40 MG/ML (4 %) IJ SOLN,5,mL,45
DOXORUBICIN 50 MG/25 ML IV,25,mL,376.15
PACLITAXEL 6 MG/ML IV CONC,16.7,mL,376.22
MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJECTION,20,mL,45
ACEBUTOLOL 200 MG CAP,1,Each,14
MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJECTION,2,mL,45
MANNITOL 25 % IV SOLN,50,mL,45
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,45
METOCLOPRAMIDE 5 MG/ML IJ SOLN,2,mL,45
CEFAZOLIN 500 MG SOLUTION FOR INJECTION,1,Each,45
OXYTOCIN 10 UNIT/ML INJECTION,1,mL,45
CEFUROXIME SODIUM 750 MG SOLUTION FOR INJECTION,1,Each,45
PHENYTOIN SODIUM 50 MG/ML IV,5,mL,45
PHENYTOIN SODIUM 50 MG/ML IV,2,mL,45
PROMETHAZINE 25 MG/ML INJECTION,1,mL,45
SODIUM CHLORIDE 0.9% BOLUS IV,150,mL,130
DEXTROSE 5% IN WATER (D5W) IV PIGGY BACK,50,mL,130
METHOTREXATE SODIUM 25 MG/ML IJ SOLN,10,mL,378.55
SODIUM ACETATE 2 MEQ/ML IV,50,mL,45
SODIUM ACETATE 2 MEQ/ML IV,20,mL,45
DEXTROSE 5% IN WATER (D5W) IV PIGGY BACK,100,mL,130
SODIUM CHLORIDE 0.9 % IV,100,mL,130
SODIUM CHLORIDE 4 MEQ/ML IV,30,mL,45
TOBRAMYCIN 10 MG/ML INJECTION,2,mL,45
TOBRAMYCIN 40 MG/ML INJECTION,2,mL,45
"VANCOMYCIN 1,000 MG IV SOLR",1,Each,45
AMIODARONE 50 MG/ML IV SOLN,9,mL,45
AMIODARONE 50 MG/ML IV SOLN,3,mL,45
CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,1,Each,45
DILTIAZEM HCL 5 MG/ML IV SOLN,10,mL,45
ENALAPRILAT 1.25 MG/ML IV INJ,1,mL,45
"HEPARIN (PORCINE) 1,000 UNIT/ML IJ SOLN",10,mL,45
CISPLATIN 1 MG/ML IV SOLN,100,mL,382.25
IRINOTECAN 100 MG/5 ML IV,5,mL,382.25
SODIUM CHLORIDE 0.9 % IV,50,mL,130
SODIUM CHLORIDE 0.9 % IV,150,mL,130
CISPLATIN 1 MG/ML IV SOLN,100,mL,401.23
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.171
IFOSFAMIDE 1 GRAM IV SOLR,1,Each,407.01
IRINOTECAN 40 MG/2 ML IV,2,mL,407.01
IRINOTECAN 100 MG/5 ML IV,5,mL,412.34
ETOPOSIDE 20 MG/ML IV SOLN,25,mL,418.4
CISPLATIN 1 MG/ML IV SOLN,100,mL,439.18
VINBLASTINE 1 MG/ML IV,10,mL,464.21
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.852
"HEPARIN (PORCINE) 10,000 UNIT/ML IJ SOLN",1,mL,45
VINORELBINE 50 MG/5 ML IV,5,mL,471.17
"HEPARIN (PORCINE) 5,000 UNIT/ML IJ SOLN",1,mL,45
KETOROLAC TROMETHAMINE 60 MG/2 ML IM,2,mL,45
LABETALOL 5 MG/ML IV SOLN,20,mL,45
"LIDOCAINE-EPINEPHRINE PF 2 %-1:200,000 IJ SOLN",20,mL,45
PHYTONADIONE 1 MG/0.5 ML INJECTION,0.5,mL,45
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,1,Each,1.992
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION,26.3,mL,478.32
"LIDOCAINE-EPINEPHRINE 0.5 %-1:200,000 IJ SOLN",50,mL,45
OXALIPLATIN 50 MG/10 ML SOLN,10,mL,485.75
ACETAMINOPHEN 325 MG TABLET,1,Each,1
DEXTROSE 5%-1/4 NORMAL SALINE IV,1000,mL,130
DEXTROSE 10%-1/4 NORMAL SALINE IV,250,mL,130
KETAMINE 50 MG/ML IJ SOLN,10,mL,29
HEPARIN LOCK FLUSH 100 UNIT/ML IV SOLN,5,mL,45
HEPARIN LOCK FLUSH 100 UNIT/ML IV SOLN,1,mL,45
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 IJ SOLN",20,mL,45
GEMCITABINE 1 GRAM IV SOLR,1,Each,490.06
PARENTERAL AMINO ACID 10 % COMBINATION NO.4 INTRAVENOUS SOLUTION,1000,mL,130
DEXTROSE 10% 250 ML W/ HEPARIN 1 UNIT/ML IV INFUSION (NEONATE) (PREMIX),250,mL,130
FLUOROURACIL 5 GRAM/100 ML INTRAVENOUS SOLUTION,100,mL,497.25
"HEPARIN, PORCINE (PF) 100 UNIT/ML IV SYRINGE",5,mL,45
"HEPARIN, PORCINE (PF) 10 UNIT/ML IV SYRINGE",5,mL,45
LIDOCAINE (PF) 20 MG/ML (2 %) IV SYRINGE,5,mL,45
KETOROLAC TROMETHAMINE 15 MG/ML INJECTION,1,mL,45
KETOROLAC TROMETHAMINE 30 MG/ML INJECTION,1,mL,45
TUBERCULIN PPD 5 UNIT/0.1 ML INTRADERMAL,0.1,mL,45
ROPIVACAINE 2 MG/ML INJECTION,10,mL,45
CEFTRIAXONE 1 GRAM SOLUTION FOR INJECTION,1,Each,45
CEFTAZIDIME 1 GRAM SOLUTION FOR INJECTION,1,Each,45
CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION,1,Each,45
ENOXAPARIN 30 MG/0.3 ML SUB-Q SYRINGE,0.3,mL,45
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 IJ SOLN",30,mL,45
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 IJ SOLN",10,mL,45
DOXORUBICIN 50 MG/25 ML IV,25,mL,499.73
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 IJ SOLN",10,mL,45
CARBOPLATIN 10 MG/ML IV SOLN,45,mL,499.76
BUPIVACAINE (PF) 0.5 % (5 MG/ML) IJ SOLN,30,mL,45
POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,30,mL,45
GENTAMICIN IN SALINE (ISO-OSMOTIC) 120 MG/100 ML IV PIGGY BACK,100,mL,45
ANTIHEMOPHILIC FACTOR-VWF 250 UNIT-600 UNIT IV KIT,1,Each,45
"ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT IV KIT",1,Each,45
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT INTRAVENOUS SOLUTION",1,Each,45
LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN,5,mL,45
LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN,30,mL,45
ACETAMINOPHEN 500 MG TAB,1,Each,1
GEMCITABINE 1 GRAM IV SOLR,1,Each,517.8
LIDOCAINE (PF) 20 MG/ML (2 %) IJ SOLN,10,mL,45
LIDOCAINE (PF) 20 MG/ML (2 %) IJ SOLN,2,mL,45
DEXTROSE 5% IN WATER (D5W) IV,25,mL,130
LIDOCAINE (PF) 20 MG/ML (2 %) IJ SOLN,5,mL,45
ONDANSETRON (PF) 4 MG/2 ML INJECTION,2,mL,45
EPINEPHRINE (PF) 1 MG/ML INJECTION,1,mL,45
FAMOTIDINE (PF) 20 MG/2 ML IV,2,mL,45
FOSPHENYTOIN 100 MG PE/2 ML INJECTION,2,mL,45
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,45
DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN,1,mL,45
GENTAMICIN SULFATE (PEDIATRIC-PF) 10 MG/ML INJECTION,2,mL,45
HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,1,mL,45
OCTREOTIDE ACETATE 100 MCG/ML INJECTION,1,mL,45
PROCHLORPERAZINE EDISYLATE 5 MG/ML INJECTION,2,mL,45
ROCURONIUM 10 MG/ML IV,5,mL,45
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML SYRINGE",0.5,mL,45
METHOTREXATE NA (PRESERV FREE) 1 GRAM IJ SOLR,1,Each,522.32
CEFOTAXIME 500 MG SOLUTION FOR INJECTION,1,Each,45
GEMCITABINE 1 GRAM IV SOLR,1,Each,523.22
NITROGLYCERIN 1 MG/10 ML (100 MCG/ML COMPOUNDED) INJEC,10,mL,45
CEFOTAXIME 1 GRAM SOLUTION FOR INJECTION,1,Each,45
CEFOTAXIME 2 GRAM SOLUTION FOR INJECTION,1,Each,45
LIDOCAINE HCL 0.5 % IJ SOLN,50,mL,45
ACYCLOVIR SODIUM 500 MG IV POWDER FOR SOLUTION,1,Each,45
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,1.06
SODIUM CHLORIDE 0.9 % IV,25,mL,130
DOPAMINE 200 MG/5 ML (40 MG/ML) IV,5,mL,45
DOXORUBICIN 50 MG IV POWDER FOR SOLUTION,1,Each,530.94
PACLITAXEL 6 MG/ML IV CONC,16.7,mL,535
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,2.147
CEFAZOLIN 1 GRAM IV SOLUTION,1,Each,45
CEFTRIAXONE 500 MG SOLUTION FOR INJECTION,1,Each,45
"COAGULATION FACTOR VIIA RECOMB 1 MG (1,000 MCG) IV SOLUTION",1,Each,45
"COAGULATION FACTOR VIIA RECOMB 2 MG (2,000 MCG) IV SOLUTION",1,Each,45
"COAGULATION FACTOR VIIA RECOMB 5 MG (5,000 MCG) IV SOLUTION",1,Each,45
"ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 1,000 (+/-) UNIT IV SOLN",1,Each,45
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,2.148
ACETAMINOPHEN 80 MG CHEWABLE TAB,1,Each,1
NALBUPHINE 10 MG/ML INJECTION,1,mL,45
ACETAMINOPHEN SR 650 MG TAB,1,Each,1
ACETAMINOPHEN SR 650 MG TAB,1,Each,2.368
BACTERIOSTATIC SALINE 0.9 % IJ SOLN,30,mL,45
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,1,Each,15
IFOSFAMIDE 1 GRAM IV SOLR,1,Each,551.88
DOXORUBICIN 200 MG/100 ML IV,75,mL,552.5
ACETAMINOPHEN-ISOMETHEPTENE-DICHLORAL 325 MG-65 MG-100 MG CAP,1,Each,15
ACETAMINOPHEN-ISOMETHEPTENE-DICHLORAL 325 MG-65 MG-100 MG CAP,1,Each,18.216
ACETAZOLAMIDE 250 MG TAB,1,Each,14
ACETAZOLAMIDE 250 MG TAB,1,Each,18.222
ACETAZOLAMIDE SR 500 MG CAP,1,Each,16.186
PROMETHAZINE 50 MG/ML INJECTION,1,mL,45
CEFAZOLIN 3 GRAM/20 ML IN STERILE WATER INTRAVENOUS SYRINGE,20,mL,45
ACETAZOLAMIDE SR 500 MG CAP,1,Each,26.336
EPIRUBICIN 50 MG/25 ML IV,25,mL,567.9
ETOPOSIDE 20 MG/ML IV SOLN,25,mL,585.98
PACLITAXEL 6 MG/ML IV CONC,50,mL,592.55
METHOTREXATE NA (PRESERV FREE) 1 GRAM IJ SOLR,1,Each,597.48
ACYCLOVIR 200 MG CAP,1,Each,14
ACYCLOVIR 800 MG TAB,1,Each,14
AMPICILLIN 125 MG SOLUTION FOR INJECTION,1,Each,45
AMPICILLIN 250 MG SOLUTION FOR INJECTION,1,Each,45
COAGULATION FACTOR IX (RECOMB) 500 UNIT INTRAVENOUS SOLUTION,1,Each,45
AL HYD-MG TR-ALG AC-SOD BICARB 80 MG-20 MG CHEWABLE TAB,1,Each,1
ALBENDAZOLE 200 MG TAB,1,Each,532.506
ALBUTEROL SULFATE SR 4 MG 12 HR TAB,1,Each,14
ATROPINE 0.4 MG/ML IJ SOLN,1,mL,45
BUPIVACAINE 0.5 % (5 MG/ML) IJ SOLN,50,mL,45
ALENDRONATE 10 MG TAB,1,Each,14
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,1,Vial,45
ALENDRONATE 35 MG TAB,1,Each,14
CEFUROXIME SODIUM 1.5 GRAM IV SOLUTION,1,Each,45
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,5,mL,45
ALENDRONATE 35 MG TAB,1,Each,16.843
DOXORUBICIN 200 MG/100 ML IV,100,mL,604.05
ALENDRONATE 40 MG TAB,1,Each,35.503
ALENDRONATE 5 MG TAB,1,Each,14
DROPERIDOL 2.5 MG/ML IJ SOLN,2,mL,45
PACLITAXEL 6 MG/ML IV CONC,50,mL,604.87
CARBOPLATIN 10 MG/ML IV SOLN,45,mL,608.81
ALENDRONATE 70 MG TAB,1,Each,14
ALFUZOSIN SR 10 MG 24 HR TAB,1,Each,14
FUROSEMIDE 10 MG/ML IJ SOLN,10,mL,45
SUFENTANIL CITRATE 50 MCG/ML IV,1,mL,29
HYDRALAZINE 20 MG/ML IJ SOLN,1,mL,45
LIDOCAINE HCL 2 % (20 MG/ML) IJ SOLN,2,mL,45
LIDOCAINE HCL 2 % (20 MG/ML) IJ SOLN,50,mL,45
LIDOCAINE HCL 2 % (20 MG/ML) IJ SOLN,10,mL,45
IRINOTECAN 100 MG/5 ML IV,5,mL,608.98
MESNA 100 MG/ML IV SOLN,10,mL,619.66
MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJECTION,10,mL,45
ALISKIREN 150 MG TAB,1,Each,37.002
ALLOPURINOL 100 MG TAB,1,Each,14
ALLOPURINOL 300 MG TAB,1,Each,14
PHENYLEPHRINE 10 MG/ML INJECTION,1,mL,45
IFOSFAMIDE 1 GRAM IV SOLR,1,Each,620.31
CITRATE DEXTROSE SOLUTION - INFUSION,500,mL,130
CITRATE DEXTROSE SOLUTION - INFUSION,1000,mL,130
ALPRAZOLAM 0.25 MG TAB,1,Each,15
ALPRAZOLAM 0.5 MG TAB,1,Each,15
DOCETAXEL 20 MG/2 ML (10 MG/ML) IV SOLN,2,mL,639.78
BACTERIOSTATIC SALINE 0.9 % IJ SOLN,10,mL,45
SURGICAL LUBRICANT JELLY TOPICAL,5,g,6
ALPRAZOLAM 1 MG TAB,1,Each,15
SODIUM CHLORIDE 4 MEQ/ML IV,100,mL,45
SUCCINYLCHOLINE CHLORIDE 20 MG/ML INJECTION,10,mL,45
CARBOPLATIN 10 MG/ML IV SOLN,60,mL,664.02
CISPLATIN 1 MG/ML IV SOLN,200,mL,668.13
ALPRAZOLAM SR 0.5 MG 24 HR TAB,1,Each,15
ALPRAZOLAM SR 1 MG 24 HR TAB,1,Each,15
ALVIMOPAN 12 MG CAP,1,Each,821.67
AMANTADINE 100 MG CAP,1,Each,14
AMANTADINE 100 MG CAP,1,Each,14.348
AMILORIDE 5 MG TAB,1,Each,14
DIPYRIDAMOLE 5 MG/ML INTRAVENOUS SOLUTION,10,mL,45
AMINO ACID (NEU-RECOVER) CAP ,1,Each,1
AMINOCAPROIC ACID 500 MG TAB,1,Each,22.88
AMINOCAPROIC ACID 500 MG TAB,1,Each,23.391
AMINOCAPROIC ACID 500 MG TAB,1,Each,112.153
AMIODARONE 200 MG TAB,1,Each,14
"HEPARIN (PORCINE) 1,000 UNIT/ML IJ SOLN",1,mL,45
AMITRIPTYLINE 10 MG TAB,1,Each,14
TERBUTALINE 1 MG/ML SUB-Q,1,mL,45
"LIDOCAINE-EPINEPHRINE 2 %-1:100,000 IJ SOLN",20,mL,45
AMITRIPTYLINE 25 MG TAB,1,Each,14
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 IJ SOLN",50,mL,45
MEPERIDINE (PF) 100 MG/ML IJ SOLN,1,mL,29
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,45
AMITRIPTYLINE 50 MG TAB,1,Each,14
AMLODIPINE 10 MG TAB,1,Each,14
ROPIVACAINE 2 MG/ML INJECTION,20,mL,45
AMLODIPINE 2.5 MG TAB,1,Each,14
AMLODIPINE 5 MG TAB,1,Each,14
"COAGULATION FACTOR IX (RECOMB) 1,000 UNIT INTRAVENOUS SOLUTION",1,Each,45
DOCETAXEL 20 MG/ML (1 ML) IV,1,mL,691.13
OXALIPLATIN 50 MG/10 ML SOLN,10,mL,773.28
VINORELBINE 50 MG/5 ML IV,5,mL,773.28
ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 500 (+/-) UNIT IV SOLN,1,Each,45
"HEPARIN, PORCINE (PF) 100 UNIT/ML IV SYRINGE",1,mL,45
AMLODIPINE-BENAZEPRIL 5 MG-10 MG CAP,1,Each,14
AMOXICILLIN 250 MG CAP,1,Each,14
AMOXICILLIN 875 MG TAB,1,Each,14
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 IJ SOLN",30,mL,45
DEXTROSE 10% IN WATER (D10W) IV,500,mL,130
AMOXICILLIN CLAVULANATE 875 MG-125 MG TAB,1,Each,14
BUPIVACAINE (PF) 0.5 % (5 MG/ML) IJ SOLN,10,mL,45
POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,20,mL,45
IRINOTECAN 100 MG/5 ML IV,5,mL,805.15
GEMCITABINE 2 GRAM/52.6 ML (38 MG/ML) INTRAVENOUS SOLUTION,52.6,mL,808.29
LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN,2,mL,45
AMOXICILLIN CLAVULANATE 875 MG-125 MG TAB,1,Each,67.224
AMOXICILLIN-CLAVULANATE 500 MG-125 MG TAB,1,Each,14
AMOXICILLIN-POT CLAVULANATE 250 MG-125 MG TAB,1,Each,31.918
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",1,Each,37.561
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,1,Each,14
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,1,Each,33.578
AMPHETAMINE-DEXTROAMPHETAMINE 20 MG TAB,1,Each,15
LEVETIRACETAM 500 MG/5 ML IV SOLN,5,mL,45
"ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 1,000 (+/-) UNIT IV KIT",1,Each,45
VINORELBINE 50 MG/5 ML IV,5,mL,814.12
OXALIPLATIN 50 MG/10 ML SOLN,10,mL,814.12
AMPHETAMINE-DEXTROAMPHETAMINE 5 MG TAB,1,Each,15
OXALIPLATIN 100 MG/20 ML SOLN,20,mL,814.12
GENTAMICIN IN SALINE (ISO-OSMOTIC) 80 MG/100 ML IV PIGGY BACK,100,mL,45
AMPHETAMINE-DEXTROAMPHETAMINE 7.5 MG TAB,1,Each,15
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,1,Each,18.453
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,1,Each,23.286
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,1,Each,33.815
AMPHETAMINE-DEXTROAMPHETAMINE SR 15 MG 24 HR CAP,1,Each,23.286
AMPHETAMINE-DEXTROAMPHETAMINE SR 5 MG 24 HR CAP,1,Each,18.453
AMPHETAMINE-DEXTROAMPHETAMINE SR 5 MG 24 HR CAP,1,Each,23.286
AMPICILLIN 250 MG CAP,1,Each,14
