PROC #,Procedure Description,IP Price,OP Price,Note (*)
85,ANGIO RENAL SEL BTL 1ST LT,6281,6281,
86,ANGIO RENAL SEL BTL 2ND,8875.5,8875.5,
87,ANGIOSEAL VIP,1362.5,1362.5,
88,ANGIOTENSIN CONVERTING ENZY,314,179.5,
89,ANORECTAL EXAM WITH ANES,2980,2980,
90,ANORECTAL MANOMETRY TEST,1400.5,1400.5,
91,ANOSCOPY W/ABLATION,2205,2205,
92,ANOSCOPY W/CONTROL BLEED,1529,1529,
93,ANTENNA STIMULATOR MEDTR 37092,500,500,
94,ANTIBODY BACTERIUM NOS Q128,156.5,89.5,
95,ANTIBODY BORDETELLA 2,238,136,
96,ANTIBODY EHRLICHIA,429,245,
97,ANTIBODY ENTEROVIRUS 2,277.5,158.5,
98,ANTIBODY IDENTIFICATION LEUK,196,112,
99,ANTIBODY INFLUENZA VIRUS SO,164.5,94,
100,ANTIBODY RESP SYNCYTIAL VIRUS,180.5,103,
101,ANTIBODY RICKETTSIA,452.5,258.5,
102,ANTIBODY SCREEN RBC,423.5,242,
103,ANTIBODY TETANUS Q338,192.5,110,
104,ANTIBODY VIRUS NOS 5674,169,96.5,
105,ANTICOAGULANT DEXTROSE 500ML,31,31,
106,ANTIDIURETIC HORMONE,950.5,543,
107,ANTIGEN TESTING OF DONOR EA AG,912.5,521.5,
108,ANTIHUMAN GLOBULIN COOMBS D,496,283.5,
109,ANTINUCLEAR ANTIBODY,145.5,83,
110,ANTITHROMBIN III AG,426,243.5,
111,ANTITHROMBIN III FUNCTIONAL,368.5,210.5,
112,AORTOGRAM ABDOM W/RUNOFF BIL,14462,8264,
113,APHERESIS PLASMA,5266.5,3009.5,
114,APLIGRAF PER 1 SQ CM_44,241,241,
115,APNEA MONITOR DAILY,325.5,325.5,
116,APOLIPOPROTEIN A-1 AND B,188,107.5,
117,APPL RIGID TOTAL CONT LEG CAST,369,369,
118,APPL SKIN SUB F/NK/HF/G  ADDL 25 SQ CM,348.5,348.5,
119,APPL SKIN SUB F/NK/HF/G 1ST 25 SQ CM,1469.5,1469.5,
120,APPL SKIN SUB T/A/L 1ST 25 SQ,1469.5,1469.5,
121,APPL SKIN SUB T/A/L ADDL 25 SQ,200.5,200.5,
122,APPLICATION ON BODY INJECTOR,130,130,
123,APPLICATOR DUPLOSPRAY MIS,609,609,
124,APPLICATOR DUPLOTIP,350.5,350.5,
125,APPLICATOR ENDOSCOPIC,385.5,385.5,
126,APPLICATOR EXT SPRAY TIP PROGEL,531.5,531.5,
127,APPLIER CLIP DIRECT DRIVE,531.5,531.5,
128,APPLIER ENDOCLIP 325,571.5,571.5,
129,APPLIER LIGACLIP 175,661.5,661.5,
130,APPLIER LIGACLIP 200,403,403,
131,APTT MIXING STUDIES,126,72,
132,ARSENIC,534,305,
133,ARTERIAL CATH/CANNULATION,371.5,371.5,
134,ARTERIAL PUNCTURE,99.5,99.5,
135,ARTHRECTOMY FEM/POP PERC,21820,21820,
136,ASPERGILLUS ANTIGEN,233.5,133.5,
137,ASPIRATOR ULTRASONIC,2990.5,2990.5,
138,AST,244,139.5,
139,ATHR FEM/POP REVASC STENT,26223.5,26223.5,
140,AVULSION NAIL PLATE EA ADD,165.5,165.5,
141,AVULSION NAIL PLATE SINGLE,360,360,
142,B CELLS TOTAL COUNT,456,260.5,
143,B TYPE NATRIURETIC PEPTIDE,410.5,234.5,
144,BAG DRAINAGE,83.5,83.5,
145,BAG DRAINAGE CSF SYSTEM,219.5,219.5,
146,BAG EXT VENTRICULAR DRAIN,1025.5,1025.5,
147,BAG HYPERINFLATION 2 LITER,89,89,
148,BAG INTESTINAL 650,2162.5,2162.5,
149,BAG PRESSURE INFUSOR,76.5,76.5,
150,BAG SILO 10CM,2162.5,2162.5,
151,BAG SILO 5CM,1732.5,1732.5,
152,BAG SILO 7.5CM,2047.5,2047.5,
153,BAG URINARY W/URINEMETER,144.5,144.5,
154,BALLOON ASD SIZING AMPLATZER,1306.5,1306.5,
155,BALLOON BLUNT TIP SYS,210.5,210.5,
156,BALLOON CTO,1062.5,1062.5,
157,BALLOON DILATION SYS,3649,3649,
158,BALLOON DILATION SYSTEM,1244,1244,
159,BALLOON DIST AND INFLAT BULB,1725.5,1725.5,
160,BALLOON DRUG COATD,5370,5370,
161,BALLOON DRUG ELUTING,4842.5,4842.5,
162,BALLOON INOUE PTMC,7150,7150,
163,BALLOON IVAS 10/15/20MM,3612.5,3612.5,
164,BALLOON PDB DISSECTN SPACEMAKR,1725.5,1725.5,
165,BALLOON PV 300-500,3182.5,3182.5,
166,BALLOON PV DIAMOND,1403,1403,
167,BALLOON PV ZMED 6-7,3979,3979,
168,BALLOON SINUS INFLATION,540.5,540.5,
169,BALLOON STRYKER IVAS KIT,4250,4250,
170,BALLOON VALVULOPLASTY,4335.5,4335.5,
171,BALLOON VIATRAC 14 PLUS,1807.5,1807.5,
172,BANDAGE QUICK CLOT HEMO 2X2,239,239,
173,BARRIER INTERCEED 425,1392,1392,
174,BARTONELLA,257.5,147,
175,BARTONELLA AMP PROBE,950.5,543,
176,BASIC METABOLIC PANEL,289.5,165.5,
177,BASKET STONE 350,1168.5,1168.5,
178,BASKET STONE 450,1168.5,1168.5,
179,BASKET STONE 475,1168.5,1168.5,
180,BASKET STONE 500,1181.5,1181.5,
181,BATTERY PACK STERILE,863,863,
182,BB LEUKO RED IRR RBCS <=150ML,422,422,
183,BB LEUKO RED IRR RBCS <=50ML,141,141,
184,BB LEUKO RED IRR RBCS <=75ML,281,281,
185,BCR/ABL1 MAJOR BREAKPOINT,1976,1129,
186,BCR/ABL1 MINOR BREAKPOINT,1745.5,997.5,
187,BETA 2 GLYCOPROTEIN 1 AB EACH,280,160,
188,BETA HCG QUALITATIVE SERUM,289.5,165.5,
189,BETA-2 MICROGLOBULIN,197,112.5,
190,BILE ACIDS TOTAL Q361,350,200,
191,BILIRUBIN DIRECT,311.5,178,
192,BILIRUBIN TOTAL,302,172.5,
193,BINDER ABDOMINAL,124.5,124.5,
194,BINDER ABDOMINAL ALL SIZES,83,83,
195,BIOPSY SET BONOPTY,625,625,
196,BIOPSY WALL ANORECTAL,2580,2580,
197,BISECTOR EVH GUID VH2000,3517.5,3517.5,
198,BLADDER IRRIGATE,845,845,
199,BLADDER SCAN,105,105,
200,BLADE,1900.5,1900.5,
201,BLADE 100,369.5,369.5,
202,BLADE 125,314,314,
203,BLADE 150,200,200,
204,BLADE 175,356,356,
205,BLADE 200,361.5,361.5,
206,BLADE 225,590.5,590.5,
207,BLADE 275,894,894,
208,BLADE 30,103.5,103.5,
209,BLADE 300,931.5,931.5,
210,BLADE 325,887.5,887.5,
211,BLADE 350,906.5,906.5,
212,BLADE 375,2990.5,2990.5,
213,BLADE 4.0MM 40DEG AGG SERR,890,890,
214,BLADE 4.0MM AGGRESSIVE SERRATE,861,861,
215,BLADE 4.0MM AGGRESSIVE SERRATE 11CM,803,803,
216,BLADE 4.0MM ANGLD AGGRESSIVE,801.5,801.5,
217,BLADE 40,105.5,105.5,
218,BLADE 400,1339,1339,
219,BLADE 450,1708.5,1708.5,
220,BLADE 50,121.5,121.5,
221,BLADE 60,185.5,185.5,
222,BLADE 70,82.5,82.5,
223,BLADE 700,1339.5,1339.5,
224,BLADE 80,147,147,
225,BLADE 90,226.5,226.5,
226,BLADE AGGRESSIVE,1089,1089,
227,BLADE AGGRESSIVE PLUS 4.0,152.5,152.5,
228,BLADE ANGLED F SERIES STRYKER,435,435,
229,BLADE CARPAL TUNNEL CENTERLINE,1200,1200,
230,BLADE DERMATOME,293.5,293.5,
231,BLADE GIGLI 300MM ZMR,126.5,126.5,
232,BLADE GIGLI SAW 510MM,137,137,
233,BLADE GLIDESCOPE TI LPRO ALL SZS,280,280,
234,BLADE HIP F SERIES STRYKER,543,543,
235,BLADE LARYNG DISP VIDEO ALL SZ,105,105,
236,BLADE LRG TEAR CROSS CUT,631,631,
237,BLADE PLASMA MEDTR,2100,2100,
238,BLADE RECIPROCATING STRYKER,515,515,
239,BLADE RETRACTOR,500,500,
240,BLADE SAGITTAL THICK 25MMX73MM,195,195,
241,BLADE SAMURAI HIP ARTHROSCOPY,1347.5,1347.5,
242,BLADE SAW,1086,1086,
243,BLADE SHAVER,1012.5,1012.5,
244,BLADE SHAVER F SERIES STRYKER,304.5,304.5,
245,BLADE SHAVER RAD/TRICUT,1332.5,1332.5,
246,BLADE SKIMMER LARYNGEAL SHAVER,1465,1465,
247,BLASTOMYCES,157.5,90,
248,BLOCK CORNEAL 50,506.5,506.5,
249,BLOOD OCCULT FECAL IMMUNOASSAY,193.5,110.5,
250,BLOOD TYPING ABO,496,283.5,
251,BLOOD TYPING RH D,271.5,155,
252,BLOWER MISTER 22150 MEDTRN 120,181.5,181.5,
253,BOLT FIXATION CANNULATED,450,450,
254,BOLT FIXATION HALF PIN 3-6 MM,1633.5,1633.5,
255,BOLT SLOTTED WIRE FIXATION,450,450,
256,BONE CEMENT PALACOS ZMR,405.5,405.5,
257,BONE CEMENT SIMPLEX GENTAMICIN,959,959,
258,BONE CEMENT SMARTMIX TOWER,1669.5,1669.5,
259,BONE DENSITY STUDY,637.5,364.5,
260,BONE DENSITY STUDY APPENDIC,322,184,
261,BONE FILLER STRYKER,355.5,355.5,
262,BONE GRAFT AUGMENT,10793.5,10793.5,
263,BONE GRAFT BIOACTIVE,2926,2926,
264,BONE MARROW ASPIRATION,1238.5,1238.5,
265,BONE MATRIX DBX STRIP 2.5X10CM,4054.5,4054.5,
266,BONE PIN,399,399,
267,BONE REMOVAL SCREW,931.5,931.5,
268,BONE SCALPEL,3101.5,3101.5,
269,BONE SCALPEL 10/20MM LONG,1982.5,1982.5,
270,BONE SCALPEL 10/20MM SHORT,1549,1549,
271,BONE SHAVER MICRO HOOK,1811.5,1811.5,
272,BOOT AIR WALKER TALL OTS,377,377,
273,BOOT EX TRACKER WALKER,122,122,
274,BOOT ORTHO,76,76,
275,BOOT PNEUMATIC OTS,163,163,
276,BOOT PREVALON,391.5,391.5,
277,BOOT TRACTION BUCKS ALL SIZES,111,111,
278,BOOT WALKER SHORT LEG ALL SZ OTS,171,171,
279,BORDETELLA PERTUSSIS Q,184.5,105.5,
280,BOWL VACUUM MIX ORTHO 175,349.5,349.5,
281,BRA SURGICAL SZ SM-2XL,133.5,133.5,
282,BRAC SURGICAL SZ 3XL-4XL,193.5,193.5,
283,BRACE ANKLE STIRRUP OTS,83.5,83.5,
284,BRACE ELBOW ROM ALL SIZES,625,625,
285,BRACE KNEE HINGED ALL STYLES OTS,558.5,558.5,
286,BRACE KNEE TRANSITION DEROYAL OTS,520,520,
287,BRACE KNEE UNIVERSAL,634.5,634.5,
288,BRACHYTX NON-STR HDR IR-192,109,109,
289,BRACHYTX NON-STR YTTRIUM-90,52000,52000,
290,BRACHYTX NON-STRANDED PD-103,370,370,
291,BRAF,1584,905,
292,BRONCH EBUS IVNTJ PERPH LES,637.5,637.5,
293,BRONCH EBUS SAMPLING 3/> NODE,2402,2402,
294,BRONCH EBUS SAMPLNG 1/2 NODE,2402,2402,
295,BRONCHOSCOPY DIAG W/WO WASHING,1239.5,1239.5,
296,BRONCHOSCOPY W/ALVEOLAR LAVAGE,1278.5,1278.5,
297,BRONCHOSCOPY W/BIOPSY,1475,1475,
298,BRONCHOSCOPY W/BRONCH STENT,3997.5,3997.5,
299,BRONCHOSCOPY W/BRUSHING,1262.5,1262.5,
300,BRONCHOSCOPY W/DESTRUCT TUMOR,2721,2721,
301,BRONCHOSCOPY W/DILAT FX REDUCT,3006,3006,
302,BRONCHOSCOPY W/PLMT FIDUCIAL MKS,3997.5,3997.5,
303,BRONCHOSCOPY W/REMOVE FB,1655,1655,
304,BRONCHOSCOPY W/THERAP ASP INIT,1383.5,1383.5,
305,BRONCHOSCOPY W/THERAP ASP SUB,1337.5,1337.5,
306,BRONCHOSCOPY W/TRANSBRONCH ASP,2575.5,2575.5,
307,BRONCHOSCOPY W/TRANSBRONCH BIO,2402,2402,
308,BRONCHOSCOPY W/TRANSBRONCH BX EA ADDL,464.5,464.5,
309,BRUCELLA,338.5,193.5,
310,BRUSH BONE FEMORAL 110033,177.5,177.5,
311,BRUSH BONE FEMORAL 70,135,135,
312,BUNDLE OF HIS RECORDING,11746,11746,
313,BUR 3.0,719,719,
314,BUR 3.0MM,1367,1367,
315,BUR DIAMOND/MULTI FLUTE STRYKR,819.5,819.5,
316,BUR HOLE COVER,1237.5,1237.5,
317,BUR LONG HIP ANGLD,525,525,
318,BUR PRECISION ENT,1273.5,1273.5,
319,BUR ROUND,1273.5,1273.5,
320,BUR ROUND 1.8MM CARBIDE,41,41,
321,BUR ROUND LONG HIP,480,480,
322,BUR ROUND STRYKER,331,331,
323,BUR ROUND STRYKR,226.5,226.5,
324,BUR ROUND SYNTHES 1.0 - 8.0,519,519,
325,BUR STRYKER,719,719,
326,BUTTON CABLE 2.5MM HEX DR ZMR,742.5,742.5,
327,BUTTON CERCLAGE,756,756,
328,BUTTON GASTROSTOMY ALL SIZES,1387.5,1387.5,
329,BUTTON NASAL SEPTAL,518,518,
330,BX ENDOMETRIAL,437,437,
331,C DIFFICILE TOXIN A AND B EIA,179.5,102.5,
332,C02,75.5,43,
333,C02 EXPIRED GAS DETERM DAILY,552,552,
334,CA 19-9,252,144,
335,CABLE ABLATION CONNECTION,1444,1444,
336,CABLE CABLEREADY ASSEMBLY,2375,2375,
337,CABLE COAXIAL UMBILICAL MEDTR 203CXC,906.5,906.5,
338,CABLE ELECTRCL UMBILICAL MEDTR 2035UC,1250,1250,
339,CABLE INTEGRAL LONG ZIMMER,8363.5,8363.5,
340,CABLE INTERSTIM,500,500,
341,CABLE MICROELECTRODE,562.5,562.5,
342,CABLE MYO/LEAD DISP BLUE/WHITE,98,98,
343,CABLE PACING DISP,123.5,123.5,
344,CABLE PIONEER STERNAL 400-689,1652.5,1652.5,
345,CABLE READY CABLE ASSY CERCLAGE,1555.5,1555.5,
346,CABLE REMINGTON S101 50,96.5,96.5,
347,CABLE REMINGTON S101 60,522,522,
348,CABLE STERNAL 400-401,420.5,420.5,
349,CABLE W/CRIMP 1.0/1.7 750MM,1698.5,1698.5,
350,CABLE/EXT PRECISION SPECTRA,625,625,
351,CADMIUM Q ASSAY,483,276,
352,CAFFEINE,172.5,98.5,
353,CALCITONIN,324.5,185.5,
354,CALCIUM,65.5,37.5,
355,CALCIUM IONIZED,266,152,
356,CALCIUM URINE,76,43.5,
357,CALCULUS INFRARED SPECTROS Q38,210,120,
358,CALIFORNIA ENCEPHALITIS,149.5,85.5,
359,CALIPER DISP,290,290,
360,CALPROTECTIN FECAL,238,136,
361,CANCER ANTIGEN 125,252,144,
362,CANCER SCREEN COLONOSCOPY HI RISK,2205,2205,
363,CANCER SCREEN FLEX SIGMOID,1365,1365,
364,CANDIDA SPECIES DP,237,135.5,
365,CANISTER SUCTION ASPIRATION,1825,1825,
366,CANNULA AND SEAL,547,547,
367,CANNULA AORTIC 100,274,274,
368,CANNULA AORTIC 21FR,267.5,267.5,
369,CANNULA AORTIC ROOT 80,254,254,
370,CANNULA ARTERIAL,1627.5,1627.5,
371,CANNULA ARTERIAL 70,141,141,
372,CANNULA ARTERIAL 80,125,125,
373,CANNULA ARTERIAL W/GUID 800,1319,1319,
374,CANNULA CARDIOPLEGIA 200,486,486,
375,CANNULA CARDIOPLEGIA 250,560,560,
376,CANNULA CEMENT 10 GAUGE,355.5,355.5,
377,CANNULA CLEAR 5.5-8.5MM THREADED,1219,1219,
378,CANNULA CLEAR THREADED,174,174,
379,CANNULA CORONARY 200,512.5,512.5,
380,CANNULA CORONARY 60,208,208,
381,CANNULA CORONARY SINUS PERFUS,524.5,524.5,
382,CANNULA CRYSTL SMOOTH ARTHRX,181.5,181.5,
383,CANNULA EYE 75,304.5,304.5,
384,CANNULA FENSTRTD SCREW,2415,2415,
385,CANNULA FLEX TIP 25G,162.5,162.5,
386,CANNULA FLOWPORT II W/OBTURATR,1555.5,1555.5,
387,CANNULA SEAL ENDOWRIST STAPLER,145,145,
388,CANNULA SEAL REDUCER,181.5,181.5,
389,CANNULA SHOEHORN ARTHREX,181.5,181.5,
390,CANNULA SINGLE INSERTION,1022.5,1022.5,
391,CANNULA TRANSPORT,489.5,489.5,
392,CANNULA TRANSPORT PIVOT MED,616,616,
393,CANNULA UNIVERSAL ORTHO,96,96,
394,CANNULA VEIN GRAFT,1334,1334,
395,CANNULA VENOUS,1890,1890,
396,CANNULA VENOUS 100,169.5,169.5,
397,CANNULA VENOUS 80,200,200,
398,CANNULA VENOUS 90,255.5,255.5,
399,CANNULA W/DILATOR  ANGLD,39000,39000,
400,CANNULA/DILATOR,687.5,687.5,
401,CAP FOR FIXATION PIN,193,193,
402,CAP HEALING W/PLUG,105,105,
403,CAP LOCKING GLOBUS MEDICAL,947,947,
404,CAP LOCKING SPINE,581.5,581.5,
405,CAP MINI EXTEND LIFE TRANSFER,308,308,
406,CAP SEAL DEXTRUS ENDOPATH,2542,2542,
407,CARBAMAZEPINE TOTAL,176,100.5,
408,CARBOHYDRATE DEFICIENT TRANSFERRIN,219,125,
409,CARBON MONOXIDE DIFF (DLCO),389,389,
410,CARBOXYHEMOGLOBIN,355.5,203,
411,CARCINOEMBRYONIC ANTIGEN,230,131.5,
412,CARDIAC REHAB MONITORED OP,417.5,417.5,
413,CARDIAC REHAB PHYS SPV W/O CONT ECG,261,261,
414,CARDIOLIPIN ANTIBODY EACH LG C,393,224.5,
415,CARDIOVERSION EXTERNAL,1168.5,1168.5,
416,CARNITINE TOTAL AND FREE QN,280,160,
417,CARTRIDGE OIL MAESTRO DRILL,1286,1286,
418,CASSETTE IRRIGATION ESSX,476,476,
419,CASSETTE VERAFLO ULTA,379,379,
420,CAST SPICA,800,800,
421,CAST TOTAL CONTACT,640.5,640.5,
422,CATECHOLAMINE FRACT 24 HR U,332.5,190,
423,CATH,164.5,164.5,
424,CATH ABLATION BI-D SJ,5850,5850,
425,CATH ABLATION BLAZER PRIME 7F,3091,3091,
426,CATH ACCU VU OMNI FLUSH >35 CM,174,174,
427,CATH ACCUCATH INTRAVASC 1.25,346,346,
428,CATH ACCUCATH INTRAVASC ALL SIZES,179,179,
429,CATH ACCUNAV ICE,9100,9100,
430,CATH ACUNAV BIOSENSE WEB,9100,9100,
431,CATH ADVANCE 14 BALLOON,1929.5,1929.5,
432,CATH ADVANCE 18 BALLOON,1281.5,1281.5,
433,CATH ADVANCE 35 BALLOON,816,816,
434,CATH ANGIO ART/GRAFT LEFT HEART,19113,19113,
435,CATH ANGIO ART/VENT LEFT HEART,17418,17418,
436,CATH ANGIOGRAPHC BEACON TIP,248.5,248.5,
437,CATH ANGIOGRAPHC IMAGER II,380.5,380.5,
438,CATH ANGIOGRAPHIC,174,174,
439,CATH ANGIOGRAPHIC 5FR 65CM COR,197.5,197.5,
440,CATH ANGIOGRAPHIC 5FR 70CM,769.5,769.5,
441,CATH ANGIOGRAPHIC MARINER,656.5,656.5,
442,CATH ANGIOGRAPHIC SOS OMN,103,103,
443,CATH ANGIOGRAPHIC TEMPO,205.5,205.5,
444,CATH ANGIOGRAPHIC TORCON NB ADVANTAGE,106.5,106.5,
445,CATH ANGIOGRPHC HYDROPHLC COATD,599,599,
446,CATH ANGIOGRPHC SOFT VU,210.5,210.5,
447,CATH ANGLD TAPR GLIDECATH,1463.5,1463.5,
448,CATH APC TORCON NB ADVANTAGE,106.5,106.5,
449,CATH APOLLO,6159,6159,
450,CATH ARTERIAL 110,225,225,
451,CATH ARTERIAL 225,782.5,782.5,
452,CATH ATHERECTMY DIAMONDBACK,11034,11034,
453,CATH ATLAS PTA BALLOON,1601.5,1601.5,
454,CATH ATTAIN COMMAND + SUREVALVE,1500,1500,
455,CATH ATTAIN SELECT II + SUREVALVE,1250,1250,
456,CATH AXS CATALYST 5 DAC,4950,4950,
457,CATH BALLOON,1537,1537,
458,CATH BALLOON ANGIO,1951.5,1951.5,
459,CATH BALLOON AORTIC 1300,3815,3815,
460,CATH BALLOON CRE WG ESOPH/PYLO,1456.5,1456.5,
461,CATH BALLOON CUTTING,3400,3400,
462,CATH BALLOON GUIDE,3920,3920,
463,CATH BALLOON GUIDE CELLO,2072.5,2072.5,
464,CATH BALLOON GUIDE FLOWGATE,3859.5,3859.5,
465,CATH BALLOON LUTONIX DRUG COAT,1094,1094,
466,CATH BALLOON MONORAIL,3400,3400,
467,CATH BALLOON OCCLUSION,2256,2256,
468,CATH BALLOON SPRINTER,937.5,937.5,
469,CATH BALLOON STENT GRAFT,2546.5,2546.5,
470,CATH BALLOON TRI-LOBE GORE,3225,3225,
471,CATH BARD 200473 QUAD,1342,1342,
472,CATH BEACON TIP COOK,298,298,
473,CATH BENCHMARK DELIVERY,4144,4144,
474,CATH BERENSTEIN,105,105,
475,CATH BI CAVAL DUAL LUMEN,7637.5,7637.5,
476,CATH BILIARY DRAINAGE,511,511,
477,CATH BIOSENSE WEBSTER DX ULTRSOUND,8541,8541,
478,CATH BLLN BILIARY 125,296.5,296.5,
479,CATH BLLN DILATATION,3412.5,3412.5,
480,CATH BLLN DILATION 350,1062,1062,
481,CATH BLLN MUSTANG,1000,1000,
482,CATH BLLN NEPHROSTOMY 550,1491.5,1491.5,
483,CATH BLLN SINUS RELIEVA,493,493,
484,CATH BLLN URETERAL 600,1422.5,1422.5,
485,CATH BLLN URETERAL 650,1437.5,1437.5,
486,CATH BLLN VALVULOPLASTY ZMED II,3595.5,3595.5,
487,CATH BS ACUITY PRO LEAD DELIVRY SYSTM,3575,3575,
488,CATH BSW BI-DIRECTIONAL,2856,2856,
489,CATH BSW EZ STEER 4MM,3357.5,3357.5,
490,CATH BSW EZ STEER 8MM DS,3463,3463,
491,CATH BSW EZ STEER 8MM DS NAV,9035,9035,
492,CATH BSW EZ STEER THERMOCOOL,9425,9425,
493,CATH BSW FIXED CIRC MAPPING,3900,3900,
494,CATH BSW PENTARAY NAV,3510,3510,
495,CATH BSW STEERABLE DIAG 6F,2091,2091,
496,CATH BSW THERMACOOL SF NAV,10887.5,10887.5,
497,CATH BW 6F QUAD,527.5,527.5,
498,CATH C2 GLIDECATH 4 FR,100,100,
499,CATH C2 GLIDECATH 5 FR,268.5,268.5,
500,CATH C2 GLIDECATH TERUMO,404,404,
501,CATH CABLE,1444,1444,
502,CATH CARDIAC DIAG MULTIPAK,270.5,270.5,
503,CATH CARDIAC DIAGNOSTIC,185,185,
504,CATH CAS I II III ANGIO CORDIS,281,281,
505,CATH CHAIT PERC CECOSTROMY,487.5,487.5,
506,CATH CHOLANGIOGRAM 70,176,176,
507,CATH COBRA,404,404,
508,CATH COBRA 1-2 5F 65CM,404.5,404.5,
509,CATH CODA LP BALLOON,1659.5,1659.5,
510,CATH CONQUEST PTA,1375,1375,
511,CATH CORDIS 4F 538-460,281,281,
512,CATH CORDIS 4F 5F 6F,244.5,244.5,
513,CATH CORONARY SINUS GUIDE WORLEY,1622.5,1622.5,
514,CATH COUDE URETERAL 40,506.5,506.5,
515,CATH COYOTE BALLOON DILAT PTA,1785,1785,
516,CATH CROSSER,6419,6419,
