DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
184 - MAJOR CHEST TRAUMA W CC,25710.02,6470.14
186 - PLEURAL EFFUSION W MCC,46112,9718.57
187 - PLEURAL EFFUSION W CC,14869,6749.98
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,26740.2,7652.39
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,22044,7243.42
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,19824.91,5802.85
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,15687.5,4713.15
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,30630.11,8288.73
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20800.75,5927.09
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,16062.75,4467.81
196 - INTERSTITIAL LUNG DISEASE W MCC,32586.5,10203.07
200 - PNEUMOTHORAX W CC,19663.5,6790.8
201 - PNEUMOTHORAX W/O CC/MCC,21229,No Medicare Payment Available
202 - BRONCHITIS & ASTHMA W CC/MCC,20279.62,5762.94
203 - BRONCHITIS & ASTHMA W/O CC/MCC,20395,2341.58
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,33166.5,9249.64
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,20670.17,5460.8
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,50320.67,14918.72
240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,147509,No Medicare Payment Available
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,62995,No Medicare Payment Available
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,32822.75,10427.7
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,17004.5,6215.63
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,11332.33,4847.73
291 - HEART FAILURE & SHOCK W MCC,27417.4,9307.21
292 - HEART FAILURE & SHOCK W CC,20795.55,6716.35
293 - HEART FAILURE & SHOCK W/O CC/MCC,15333.2,4421.73
299 - PERIPHERAL VASCULAR DISORDERS W MCC,46149.33,9009.11
300 - PERIPHERAL VASCULAR DISORDERS W CC,21220.63,6242.74
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,14512,No Medicare Payment Available
303 - ATHEROSCLEROSIS W/O MCC,13741.4,4321.52
304 - HYPERTENSION W MCC,20185.2,5585.42
305 - HYPERTENSION W/O MCC,20510.53,4321.42
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,24818.25,7615.85
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,23323.21,4944.77
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,14887.2,3631.19
312 - SYNCOPE & COLLAPSE,18105.33,4902.29
313 - CHEST PAIN,11256.17,3349
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,31295,12321.35
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,35099,5818.74
326 - STOMACH; ESOPHAGEAL & DUODENAL PROC W MCC,55652,28854.25
328 - STOMACH; ESOPHAGEAL & DUODENAL PROC W/O CC/MCC,124587,9616.62
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,241179.25,43886.81
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,109550.86,15839.68
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,76611.75,No Medicare Payment Available
335 - PERITONEAL ADHESIOLYSIS W MCC,88583.5,26104.91
336 - PERITONEAL ADHESIOLYSIS W CC,131729,15142.94
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,64190,No Medicare Payment Available
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,75167.5,10895.5
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,91866,9519.24
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,62252.5,8444.49
369 - MAJOR ESOPHAGEAL DISORDERS W CC,28393,No Medicare Payment Available
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,26173,10992.21
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,19313.63,6551.92
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,21114,4885.45
375 - DIGESTIVE MALIGNANCY W CC,19809.67,7870.62
377 - G.I. HEMORRHAGE W MCC,33773.67,10876.32
378 - G.I. HEMORRHAGE W CC,27883.9,5940.89
379 - G.I. HEMORRHAGE W/O CC/MCC,15254.17,4131.42
380 - COMPLICATED PEPTIC ULCER W MCC,73542,No Medicare Payment Available
381 - COMPLICATED PEPTIC ULCER W CC,29140.5,6899.17
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,31738,5442.08
386 - INFLAMMATORY BOWEL DISEASE W CC,17254,6158.43
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,25703,4647.18
388 - G.I. OBSTRUCTION W MCC,30126.33,9597.18
389 - G.I. OBSTRUCTION W CC,21142.22,5459.16
390 - G.I. OBSTRUCTION W/O CC/MCC,21478.25,No Medicare Payment Available
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,22817.75,7942.76
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,22024.05,4418.92
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,36073,10459.3
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,27553.14,5380.12
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,90745.01,15395.07
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,58019.8,8333.41
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,18731,11503.46
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,15955.5,6508.35
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,27006.5,10631.35
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,20760,5583.98
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,18371.67,4094.39
441 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W MCC,59623,11602.28
442 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W CC,33267.5,6015.03
443 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W/O CC/MCC,18380,No Medicare Payment Available
444 - DISORDERS OF THE BILIARY TRACT W MCC,25564,9719.2
445 - DISORDERS OF THE BILIARY TRACT W CC,34135.33,6758.27
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,39359,No Medicare Payment Available
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,83607,19079.16
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,82415.02,13061.7
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,95060,No Medicare Payment Available
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,61952,12772.69
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,47925.75,10666.99
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,66331,14073.68
494 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W/O CC/MCC,28225,No Medicare Payment Available
501 - SOFT TISSUE PROCEDURES W CC,29414,No Medicare Payment Available
513 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,12519,No Medicare Payment Available
533 - FRACTURES OF FEMUR W MCC,33483,9153.99
535 - FRACTURES OF HIP & PELVIS W MCC,43666,8233.73
536 - FRACTURES OF HIP & PELVIS W/O MCC,22735.5,4472.42
544 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,10986,No Medicare Payment Available
548 - SEPTIC ARTHRITIS W MCC,38498,No Medicare Payment Available
551 - MEDICAL BACK PROBLEMS W MCC,26008.5,9222.8
552 - MEDICAL BACK PROBLEMS W/O MCC,21259.17,5715.24
553 - BONE DISEASES & ARTHROPATHIES W MCC,16376,8244.2
554 - BONE DISEASES & ARTHROPATHIES W/O MCC,22844.01,4642.38
555 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,62918.02,No Medicare Payment Available
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,21574.5,227.56
558 - TENDONITIS; MYOSITIS & BURSITIS W/O MCC,17222.33,No Medicare Payment Available
559 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,40490.95,10717.48
562 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W MCC,34652,8822.37
563 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W/O MCC,26132,No Medicare Payment Available
565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,18898.67,6173.07
571 - SKIN DEBRIDEMENT W CC,31325,10392.56
572 - SKIN DEBRIDEMENT W/O CC/MCC,20327,7821.58
579 - OTHER SKIN; SUBCUT TISS & BREAST PROC W MCC,95768,16732.02
580 - OTHER SKIN; SUBCUT TISS & BREAST PROC W CC,42825,No Medicare Payment Available
581 - OTHER SKIN; SUBCUT TISS & BREAST PROC W/O CC/MCC,37101.33,7829.2
592 - SKIN ULCERS W MCC,16709,8962.44
596 - MAJOR SKIN DISORDERS W/O MCC,10535,5651.13
600 - NON-MALIGNANT BREAST DISORDERS W CC/MCC,32178,No Medicare Payment Available
601 - NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,30295,No Medicare Payment Available
602 - CELLULITIS W MCC,34399.5,8621.05
603 - CELLULITIS W/O MCC,22600.38,5351.61
605 - TRAUMA TO THE SKIN; SUBCUT TISS & BREAST W/O MCC,21199.75,5143.94
607 - MINOR SKIN DISORDERS W/O MCC,26225,No Medicare Payment Available
616 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W MCC,31587,25108.01
617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W CC,51328.83,13400.54
623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W CC,46404,11913.28
629 - OTHER ENDOCRINE; NUTRIT & METAB O.R. PROC W CC,36319,No Medicare Payment Available
637 - DIABETES W MCC,28823.98,8032.89
638 - DIABETES W CC,22180.19,5354.13
639 - DIABETES W/O CC/MCC,12171.17,4294
640 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W MCC,20945.23,6584.99
641 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W/O MCC,17617.63,4838.58
643 - ENDOCRINE DISORDERS W MCC,38333.25,10068.62
644 - ENDOCRINE DISORDERS W CC,27561.6,6074.27
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,74479.5,22375.53
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,111402,14766.56
682 - RENAL FAILURE W MCC,28760.75,9362.78
683 - RENAL FAILURE W CC,20307.73,5944.11
684 - RENAL FAILURE W/O CC/MCC,14556.75,3576.94
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,21453.6,6725.18
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,17531.1,4836.44
694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,13714.33,5314.41
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,33040.78,10023.38
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,23369,6646.08
723 - MALIGNANCY; MALE REPRODUCTIVE SYSTEM W CC,14446,7178.53
754 - MALIGNANCY; FEMALE REPRODUCTIVE SYSTEM W MCC,38611,11440.37
808 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,34425,13405.66
809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,21012.43,7633.17
811 - RED BLOOD CELL DISORDERS W MCC,38124.68,7922.24
812 - RED BLOOD CELL DISORDERS W/O MCC,21926.94,5563.03
815 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,9000,6376.96
820 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,317493,51014.35
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,18882,No Medicare Payment Available
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,48779,19655.36
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,48024,10330.53
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,125696.5,35602.84
854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,41764.64,15256.12
856 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,64738,No Medicare Payment Available
857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,48093,12699.95
862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,26132,11320.44
863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,19194,No Medicare Payment Available
864 - FEVER,19353.5,5661.57
865 - VIRAL ILLNESS W MCC,25308,No Medicare Payment Available
866 - VIRAL ILLNESS W/O MCC,21010.86,4770.56
870 - SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,136864,No Medicare Payment Available
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,41498.73,11757.34
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,27104.6,6541.16
876 - O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,31815,9778.74
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,15762,5153.8
881 - DEPRESSIVE NEUROSES,3986.5,1489.35
882 - NEUROSES EXCEPT DEPRESSIVE,18039,4448.1
883 - DISORDERS OF PERSONALITY & IMPULSE CONTROL,14409.5,6832.03
884 - ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,36143.8,10538
885 - PSYCHOSES,40788.69,12446.42
894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE; LEFT AMA,55193,No Medicare Payment Available
896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,33058.67,No Medicare Payment Available
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,17002,3572.64
907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,98445,25951.91
908 - OTHER O.R. PROCEDURES FOR INJURIES W CC,86458,No Medicare Payment Available
914 - TRAUMATIC INJURY W/O MCC,36939.02,5318.92
916 - ALLERGIC REACTIONS W/O MCC,18164,3825.99
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,19280.67,8581.32
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,13496.33,5133.84
919 - COMPLICATIONS OF TREATMENT W MCC,12995,9846.66
920 - COMPLICATIONS OF TREATMENT W CC,31903,6396.85
921 - COMPLICATIONS OF TREATMENT W/O CC/MCC,13935,No Medicare Payment Available
934 - FULL THICKNESS BURN W/O SKIN GRFT OR INHAL INJ,42189,9798.85
947 - SIGNS & SYMPTOMS W MCC,24956.5,7461.61
948 - SIGNS & SYMPTOMS W/O MCC,19775.67,4281.33
951 - OTHER FACTORS INFLUENCING HEALTH STATUS,2251.13,No Medicare Payment Available
964 - OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,21736,7794.71
974 - HIV W MAJOR RELATED CONDITION W MCC,16464,17611.34
981 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,58140,26890.85
982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,195757.12,No Medicare Payment Available
