'Procedure ID','Description','Amount'
'1537','AMOXICILLIN 250MG/5ML   ','4.00'
'1548','AMPHET/DEXAMPHT 10MG TAB','3.00'
'1552','AMPHOT B LIPID 10 MG INJ','308.00'
'1581','AMPHOT B LIPOSOME 10 MG ','2038.00'
'1589','AMPICILN/SULBACTM 1.5 G ','95.00'
'1641','AMPICILLIN 250MG CAP    ','6.00'
'1643','AMPICILLIN 250 MG/ML INJ','52.00'
'1648','AMINO ACIDS 500ML       ','208.00'
'1655','AMYL NITRITE 0.3ML INAMP','44.00'
'1662','AMYLA/LIP/PROT EC CAP   ','9.00'
'1675','ANASTROZOLE 1 MG PO     ','71.00'
'1678','ANTIPYRINE/BENZ 10ML OT ','279.00'
'1688','APRACLONIDINE 1% OP     ','120.00'
'1693','SODIUM CHL 0.9% K20MEQ1L','212.00'
'1695','ARIPIPRAZOLE 10MG TAB   ','139.00'
'1696','ARIPIPRAZOLE 15MG TAB   ','139.00'
'1697','ARIPIPRAZOLE 5MG TAB    ','159.00'
'1702','ASCORBIC ACID 500MG TAB ','6.00'
'1704','BACITRACIN/POLYMYXIN 30G','44.00'
'1725','ATENOLOL 25MG TAB       ','23.00'
'1728','ATENOLOL 50MG TAB       ','21.00'
'1745','ATORVASTATIN 20MG TAB   ','37.00'
'1746','ATORVASTATIN 10MG TAB   ','28.00'
'1749','ATOVAQUONE 750MG/5ML LIQ','214.00'
'1755','ATRACURIUM 100MG/10ML VL','758.00'
'1764','ATROPINE 1% 1ML OP      ','46.00'
'1766','ATROPINE 1% 5ML OP      ','219.00'
'1778','AZATHIOPRINE 50 MG PO   ','25.00'
'1785','AZITHROMYCIN 200MG/5ML  ','21.00'
'1786','AZITHROMYCIN 250MG      ','98.00'
'1787','AZITHROMYCIN 500 MG INJ ','411.00'
'1788','AZTREONAM 1GM VL        ','262.00'
'1791','AZTREONAM 2GM VL        ','509.00'
'1803','BACITRACIN 500U/GM 30GM ','40.00'
'1809','BACITRACIN/POLYMYXIN 15G','21.00'
'1810','BACITRACIN/POLYMYXIN3.5G','94.00'
'1812','BACLOFEN 10MG TAB       ','21.00'
'1827','BECLOMETHASONE 16.8G INH','234.00'
'1830','BRIMONIDINE 0.2% 5ML OP ','270.00'
'1835','BELLADONNA/PB 16.2/5ML  ','25.00'
'1844','BELLADONNA/PB TAB       ','6.00'
'1850','BENAZEPRIL 10MG TAB     ','21.00'
'1856','BENAZEPRIL 5MG TAB      ','21.00'
'1891','BUPRENORPHINE <=3MG PO  ','31.00'
'1896','BENZOCAINE/MENTHOL LOZ  ','5.00'
'2034','BUPRENORPHINE 2 MG PO   ','28.00'
'2043','BENZONATATE 100MG CAP   ','24.00'
'2079','BENZTROPINE 0.5MG TAB   ','6.00'
'2086','BUPRENORPHINE 8 MG PO   ','52.00'
'2098','BERACTANT 100MG VL      ','1655.00'
'2119','BETAMETH 0.05% 15GM CR  ','188.00'
'2191','BETAXOLOL 0.5% 2.5ML OP ','212.00'
'2193','BETAXOLOL 10MG TAB      ','21.00'
'2196','BETHANECHOL 10MG TAB    ','6.00'
'2256','BICALUTAMIDE 50MG TAB   ','98.00'
'2260','BIMATOPRST 0.03% 2.5MLOP','805.00'
'2264','BISACODYL 10MG SUPP     ','21.00'
'2269','BISACODYL 5MG EC TAB    ','5.00'
'2296','BISMUTH SUBSA 262MG/15ML','48.00'
'2408','BISOPROLOL/HCTZ 5/6.25  ','21.00'
'2430','CAPSAICIN 0.025% 60GM CR','30.00'
'2441','BRINZOLAMIDE 1% 5ML OP  ','487.00'
'2446','BROMOCRIPTINE 2.5MG TAB ','28.00'
'2462','INHBUDESOND NC 0.25MG   ','52.00'
'2463','INH BUDESOND NC TO 0.5MG','70.00'
'2479','BUMETANIDE 1MG/4ML VL   ','73.00'
'2480','BUMETANIDE 1MG TAB      ','9.00'
'2489','BUPIVICAINE 30 ML INJ   ','98.00'
'2492','BUPIVACAIN 0.75% 30MLINJ','81.00'
'2495','BUPIVACAIN/EPI 0.75%30ML','149.00'
'2496','BUPIVACAIN/EPI 0.25%50ML','95.00'
'2499','BUPIVACAINE 0.25% 50MLVL','149.00'
'2505','BUPIVICAINE 30 ML INJ   ','83.00'
'2509','BUPIVACAINE 0.5% 50ML VL','132.00'
'2519','BUPIVACAINE/EPI 0.5%30ML','122.00'
'2549','BUPROPION 100MG SR TAB  ','26.00'
'2550','BUPROPION 150MG SR TAB  ','23.00'
'2551','BUPROPION 100MG TAB     ','23.00'
'2552','BUPROPION 75MG TAB      ','21.00'
'2559','BUSPIRONE 5MG TAB       ','21.00'
'2560','BUSULFAN 2 MG PO        ','26.00'
'2585','CALAMINE 180ML LOT      ','6.00'
'2586','CALAMINE 120ML LOT      ','48.00'
'2594','CALCITONIN SALMON 400 U ','501.00'
'2598','CALCITRIOL 0.25MCG CAP  ','24.00'
'2607','CALCIUM ACET 667MG TAB  ','6.00'
'2618','CALCIUM CARB 1250MG TAB ','6.00'
'2632','CALCIUM CARB/VIT D 1.5GM','18.00'
'2634','CALCIUM CARB/VIT D 500MG','6.00'
'2638','CALCIUM CHL 1GM 10ML SYR','233.00'
'2658','CA GLUCONATE 10 ML INJ  ','46.00'
'2677','CANDESARTAN 8MG TAB     ','24.00'
'2687','CAPSAICIN 0.025% 45GM CR','233.00'
'2694','CLOBETASL 0.05% TOP 30GM','316.00'
'2696','CAPTOPRIL 25MG TAB      ','23.00'
'2705','CARBACHOL 0.01% 1.5ML VL','418.00'
'2712','CARBAMAZEPINE 100MG CHEW','6.00'
'2713','CARBAMAZEPINE 100MG/5ML ','9.00'
'2732','CARBAMIDE PER 6.5%15MLOT','6.00'
'2734','CARBAMIDE PER 6.5%30MLOT','135.00'
'2739','CARBIDOPA/LEVO 10/100 TB','21.00'
'2743','CARBIDOPA/LEVO 25/100 CR','6.00'
'2745','CARBIDOPA/LEVO 25/100 TB','21.00'
'2746','CARBIDOPA/LEVO 25/250 TB','23.00'
'2748','CARBIDOPA/LEVO 50/200 CR','26.00'
'2749','CARBOPROST 250MCG INJ   ','488.00'
'2770','CARTEOLOL 1% 5ML OP     ','326.00'
'2771','CARVEDILOL 12.5MG TAB   ','24.00'
'2774','CARVEDILOL 3.125MG TAB  ','6.00'
'2840','CEFDINIR 300MG CAP      ','42.00'
'2842','CEFEPIME 1GM VL         ','233.00'
'2844','CEFEPIME 2GM VL         ','379.00'
'2862','CEFOTAXIME 1 G VL       ','199.00'
'2925','CEFUROXIME 250MG TAB    ','52.00'
'2929','CEFUROXIME 750 MG VL    ','141.00'
'2931','CELECOXIB 100MG CAP     ','23.00'
'2934','CELECOXIB 200MG CAP     ','26.00'
'2947','CEPHALEXIN 250MG CAP    ','23.00'
'2950','CEPHALEXIN 250MG/5ML LIQ','235.00'
'2951','CEPHALEXIN 500MG CAP    ','28.00'
'2960','CETIRIZINE 10MG TAB     ','28.00'
'2969','CETYLPYRIDINIUM LOZ     ','4.00'
'2979','CHLORAL HYDRAT 500MG/5ML','5.00'
'3034','CHLORDIAZEP/CLIDIN 5/2.5','6.00'
'3077','CHLORDIAZEPOXID 25MG CAP','24.00'
'3078','CHLORDIAZEPOXIDE 5MG CAP','9.00'
'3148','CHLORPHENIRAMINE 4MG TAB','6.00'
'3180','CHLORPROMAZINE TO 50 MG ','46.00'
'3191','CHLORTHALIDONE 25MG TAB ','9.00'
'3198','CHOLESTYR/ASPART 4GM/5GM','26.00'
'3224','CHONDROIT/SOD HYAL 0.5ML','638.00'
'3228','CHONDROITIN/SOD HYAL KT ','2375.00'
'3245','CILOSTAZOL 100MG TAB    ','42.00'
'3269','CILOSTAZOL 50MG TAB     ','24.00'
'3288','CIMETIDINE 300MG TAB    ','24.00'
'3297','CIPROFLO/HC0.2%/0.1%10ML','639.00'
'3324','CIPROFLOXACIN 0.3% 2.5ML','30.00'
'3334','CIPROFLOXACIN 250MG TAB ','51.00'
'3338','CIPROFLOXACIN 750MG TAB ','63.00'
'3345','CISATRACURIUM 200 MG INJ','140.00'
'3350','CITALOPRAM 10MG TAB     ','37.00'
'3358','CLARITHROMYCIN 250MG TAB','42.00'
'3360','CLARITHROMYCIN 250MG/5ML','423.00'
'3361','CLARITHROMYCIN 500MG TAB','51.00'
'3378','CLINDAMYCIN 150MG CAP   ','25.00'
'3381','CLINDAMYCIN 2% 40GM CR  ','535.00'
'3389','CLINDAMYCIN 600MG/D 50ML','38.00'
'3390','CLINDAMYCIN 600MG/4ML VL','200.00'
'3392','CLINDAMYCIN 900MG/6ML VL','285.00'
'3394','CLINDAMYCIN 900MG/D 50ML','82.00'
'3406','CLOBETASOL 0.05% 30GM CR','316.00'
'3414','CLOMIPRAMINE 25MG CAP   ','23.00'
'3418','CLONAZEPAM 0.5MG TAB    ','23.00'
'3423','CLONIDINE 0.1MG TAB     ','6.00'
'3427','CLONIDINE 0.1MG/24HR PAT','153.00'
'3429','CLONIDINE 0.2MG/24HR PAT','265.00'
'3430','CLONIDINE 0.3MG/24HR PAT','364.00'
'3441','CLONIDINE HCL 1 MG INJ  ','745.00'
'3447','CLOPIDOGREL 75MG TAB    ','37.00'
'3449','CLORAZEPATE 3.75MG TAB  ','26.00'
'3453','CLORAZEPATE 7.5MG TAB   ','28.00'
'3454','CLOTRIMA/BETAMET 15GM CR','387.00'
'3465','CLOTRIMAZOLE 1% 15GM CR ','254.00'
'3466','CLOTRIMAZOLE 1% 30GM CR ','83.00'
'3469','CLOTRIMAZOLE 1% 45GM VAG','139.00'
'3472','CLOTRIMAZOLE 10MG TAB   ','24.00'
'3479','CLOZAPINE 25 MG PO      ','25.00'
'3488','COCAINE 4% 4ML SOL      ','311.00'
'3572','CODEINE 30MG TAB        ','9.00'
'3587','COLCHICINE 0.6MG TAB    ','6.00'
'3629','COLCHICINE/PROB 0.5/500 ','9.00'
'3659','COLLAGENASE 30 GM TOP   ','747.00'
'3727','CROMOLYN SPR 8.1GM INH  ','807.00'
'3731','CYANIDE ANTIDOTE KIT    ','2256.00'
'3738','CYANOCOBALAMIN 100MCG TB','4.00'
'3741','CYANOCOBALAMIN 1MG TAB  ','6.00'
'3766','CYANOCOBALAMIN 1000 MCG ','46.00'
'3767','CYANOCOBALAMIN 500MCG TA','6.00'
'3774','CYCLOBENZAPRINE 10MG TAB','23.00'
'3787','CYCLOSPORINE 100 MG PO  ','4542.00'
'3798','CYPROHEPTADINE 4MG TAB  ','6.00'
'3857','SOLUTION IV 10% DEX 1L  ','63.00'
'3897','D20/W 500ML             ','82.00'
'3931','D5/0.25NS 1000ML        ','29.00'
'3939','SOLUTION IV 5% DEX 0.45 ','38.00'
'3944','D5/0.33NS 500ML         ','29.00'
'3947','D5/0.33NS KCL 20MEQ 1L  ','87.00'
'3948','SOL IV D5W 45NACL 1000  ','48.00'
'3963','D5/0.5NS KCL 20MEQ1000ML','120.00'
'3976','D5LRS 1000ML            ','29.00'
'3984','D5/NS 1000ML            ','29.00'
'3986','D5NS 500 ML             ','60.00'
'3988','D5/NS KCL 20MEQ 1000ML  ','89.00'
'3992','D5W 1000ML              ','31.00'
'3997','D5/W 250ML              ','29.00'
'4207','D5W 500 ML              ','31.00'
'4214','D5/KCL 1000ML           ','187.00'
'4221','D50/W 500ML             ','79.00'
'4247','DANTROLENE 20MG VL      ','940.00'
'4248','DANTROLENE 25MG CAP     ','23.00'
'4252','DAPSONE 25MG TAB        ','11.00'
'4261','DEMECLOCYCLINE 150MG TAB','75.00'
'4268','FOSFOMYCIN 3GM POW      ','417.00'
'4270','DESIPRAMINE 10MG TAB    ','21.00'
'4271','DESIPRAMINE 25MG TAB    ','21.00'
'4282','DESMOPRESSIN 0.2MG TAB  ','48.00'
'4302','DEXAMETHAS 0.1% 5ML OP  ','305.00'
'4310','DEXAMETHASONE 0.5 MG PO ','21.00'
'4314','DEXAMETHASONE 0.75 MG PO','21.00'
'4337','DEXTRAN-70 32%/D10 100ML','443.00'
'4363','DEXTROSE 25% 10ML SYR   ','42.00'
'4368','DEXTROSE 50% 50ML SYR   ','303.00'
'4432','DIAZEPAM 2MG TAB        ','6.00'
'4433','DIAZEPAM 5MG TAB        ','9.00'
'4464','DICYCLOMINE 10MG TAB    ','6.00'
'4673','DIGOXIN 0.05MG/ML LIQ   ','24.00'
'4688','DIGOXIN 0.125MG TAB     ','6.00'
'4759','DIGOXIN UP TO 0.5 MG    ','201.00'
'4782','**DILTIAZEM 100MG VL    ','59.00'
'4785','DILTIAZEM 120MG SA CAP  ','24.00'
'4786','DILTIAZEM 125MG/25ML VL ','106.00'
'4834','DILTIAZEM 180MG SA CAP  ','25.00'
'4842','DILTIAZEM 240MG SA CAP  ','28.00'
'4844','DILTIAZEM 25MG/5ML VL   ','11.00'
'4853','DILTIAZEM 30MG TAB      ','21.00'
'4864','DILTIAZEM 60MG SA CAP   ','23.00'
'4874','DILTIAZEM 90MG SA CAP   ','24.00'
'4878','DIMENHYDRINATE 50MG TAB ','6.00'
'4891','DIPHENHYDRAMI 12.5MG/5ML','5.00'
'4908','DIPHENHYDRAMNE 50 MG INJ','51.00'
'4918','DIPYRIDAMOLE 25MG TAB   ','9.00'
'4925','DIPYRIDAMOLE/ASA SA CAP ','24.00'
'4927','DISOPYRAMIDE 150MG CAP  ','9.00'
'4933','DIVALPROEX 125MG EC TAB ','9.00'
'4934','DIVALPROEX 250MG EC TAB ','21.00'
'4938','DIVALPROEX 250MG ER TAB ','10.00'
'4939','DIVALPROEX 500MG EC TAB ','42.00'
'4945','DOBUTAMINE 250 MG VL    ','784.00'
'4953','DOCUSATE 100MG          ','6.00'
'4966','DOCUSATE 50MG/5ML LIQ   ','9.00'
'4975','KETOROLAC 0.5% 3ML OP   ','69.00'
'4984','DONEPEZIL 5MG TAB       ','48.00'
'5075','DORZOLAMIDE 2% 5ML OP   ','410.00'
'5078','DORZOLAMIDE/TIMOLOL 5ML ','487.00'
'5084','DOXAZOSIN 1MG TAB       ','23.00'
'5095','DOXEPIN 10MG CAP        ','9.00'
'5097','DOXEPIN 10MG/ML LIQ     ','4.00'
'5100','DOXEPIN 25MG CAP        ','9.00'
'5106','LIDO/EPI/TETRAC 5ML INJ ','12.00'
'5131','DOXYCYCLINE 100MG       ','24.00'
'5133','DOXYCYCLINE 100MG VL    ','233.00'
'5168','DROPERIDOL 5 MG INJ     ','104.00'
'5192','DUTASTERIDE 0.5MG CAP   ','37.00'
'5289','ENALAPRIL 2.5MG/2ML VL  ','435.00'
'5292','ENALAPRIL 5MG TAB       ','24.00'
'5325','EPHEDRINE 50MG/1ML AMP  ','51.00'
'5330','EPINEPHRI 2.25% 0.5MLINH','46.00'
'5347','EPINEPHRINE 1MG/10ML SYR','213.00'
'5349','EPINEPHRINE 1MG/1ML AMP ','9.00'
'5375','EPINEPHRINE 30MG/30ML VL','164.00'
'5388','ERGOCALCIFEROL 50000IU  ','23.00'
'5432','ERYTHRMYCN 200/5 PO100ML','23.00'
'5439','ERYTHROMYCIN 1GM OP     ','39.00'
'5445','ERYTHROMYCIN 250MG TAB  ','6.00'
'5446','ERYTHROMYCIN 3.5GM OP   ','84.00'
'5456','ESCITALOPRAM 10MG TAB   ','26.00'
'5461','ESMOLOL 100MG/10ML VL   ','262.00'
'5462','ESMOLOL 2500MG BAG      ','1296.00'
'5464','ESOMEPRAZOL 20MG TAB    ','63.00'
'5465','ESOMEPRAZOL 40MG TAB    ','63.00'
'5475','ESTRADIOL 0.05MG/D WKPAT','25.00'
'5476','ESTRADIOL 1MG TAB       ','9.00'
'5477','ESTRADIOL 0.1MG/D WKPAT ','25.00'
'5518','ESTROGEN 0.625MG TAB    ','9.00'
'5519','ESTROGEN 0.3MG TAB      ','9.00'
'5536','ESTROGEN 42.5GM VAG CR  ','713.00'
'5537','ESTROPIPATE 0.625MG TAB ','21.00'
'5608','ETHAMBUTOL 400MG TAB    ','28.00'
'5634','ETHYL CHLORIDE 120ML SPR','233.00'
'5653','ETOMIDATE 40MG/20ML INJ ','233.00'
'5663','EZETIMIBE 10MG TAB      ','91.00'
'5684','FAMCICLOVIR 500MG TAB   ','98.00'
'5686','FAMOTIDINE 20MG TAB     ','26.00'
'5687','MELATONIN 3MG TAB       ','6.00'
'5694','FAMOTIDINE 20MG/2ML VL  ','38.00'
'5716','FAT EMULSION 10% 500ML  ','729.00'
'5719','FAT EMULSION 20% 500ML  ','345.00'
'5720','FAT EMULSION 20% 250ML  ','165.00'
'5733','FELODIPINE 5MG SA TAB   ','23.00'
'5734','FENOFIBRATE 160MG TAB   ','63.00'
'5737','FENOFIBRATE 54MG TAB    ','6.00'
'5768','FENTANYL CIT 0.1 MG INJ ','126.00'
'5781','FENTANYL 25MCG/HR PAT   ','212.00'
'5786','FENTANYL 50MCG/HR PAT   ','312.00'
'5803','FERROUS FUM/C/B12/ST CAP','9.00'
'5813','FERROUS GLUC 300MG TAB  ','6.00'
'5818','FERROUS SULF 220MG/5ML  ','6.00'
'5819','FERROUS SULF 325MG TAB  ','6.00'
'5827','FEXOFENADINE 180MG      ','25.00'
'5828','FEXOFENADINE 60MG       ','23.00'
'5844','FINASTERIDE 5 MG PO     ','37.00'
'5852','FLAVOXATE 100MG TAB     ','23.00'
'5853','FLECANIDE 100MG TAB     ','25.00'
'5860','FLUCONAZOLE 100MG TAB   ','111.00'
'5861','MIDODRINE 10MG TAB      ','71.00'
'5865','FLUCONAZOLE 200 MG BAG  ','2035.00'
'5877','FLUDROCORTISONE 0.1MGTAB','21.00'
'5880','FLUMANEZIL 0.5MG/5ML VL ','36.00'
'5881','FLUMANEZIL 1MG/10ML VL  ','735.00'
'5882','FLUNISOLID 0.025% 25MLSP','517.00'
'5886','FLUNISOLIDE 7GM INH     ','1095.00'
'5905','FLUOCINONID 0.05% 30GMCR','134.00'
'5964','FLUORESCEIN 9MG STRIP   ','5.00'
'5965','FLUOROMETHOLONE 0.1% 5ML','325.00'
'5975','FLUOXETINE 10MG CAP     ','37.00'
'5976','FLUOXETINE 20MG CAP     ','44.00'
'5982','FLUPHENAZIN DEC 125MG VL','730.00'
'5994','FLUPHENAZINE 5MG TAB    ','26.00'
'6016','FLURBIPROFEN 0.03% 2.5ML','230.00'
'6026','FLUTICASO 220MCG 13G INH','713.00'
'6027','FLUTICASO 44MCG 7.9G INH','407.00'
'6029','FLUTICASO 50MCG 16GM SPR','566.00'
'6036','FLUVASTATIN 20MG CAP    ','25.00'
'6043','FLUVASTATIN 80MG XL TAB ','42.00'
'6054','FLUVOXAMINE 50MG TAB    ','42.00'
'6064','FOLIC ACID 1MG TAB      ','6.00'
'6065','FOLIC ACID 5MG/ML INJ   ','201.00'
'6075','FORMOTEROL 12MCG INH KIT','37.00'
'6077','FOSINOPRIL 10MG TAB     ','23.00'
'6098','FUROSEMIDE 20MG TAB     ','6.00'
'6099','FUROSEMIDE 20 MG INJ    ','70.00'
'6190','FUROSEMIDE 40MG/5ML LIQ ','9.00'
'6192','GABAPENTIN 100MG CAP    ','9.00'
'6199','GABAPENTIN 300MG CAP    ','24.00'
'6215','GABAPENTIN 400MG CAP    ','21.00'
'6217','GALANTAMINE 4MG TAB     ','44.00'
'6267','GELATIN SPONGE 25X50 OP ','343.00'
'6268','GELATIN SPONGE SIZE 100 ','435.00'
'6287','GELATIN SPONGE SIZE 12/7','109.00'
'6316','GEMFIBROZIL 600MG TAB   ','25.00'
'6328','GENTAMICIN 0.1% 15GM OI ','370.00'
'6343','GENTAMICIN 0.3% 3.5GM OP','326.00'
'6344','GENTAMICIN 0.3% 5ML OP  ','158.00'
'6346','GENTAMICIN UP TO 80 MG  ','46.00'
'6378','GENTAMICIN UP TO 80 MG  ','52.00'
'6397','GENTIAN VIOLET 1% 30ML  ','27.00'
'6411','GLIMEPIRIDE 2MG TAB     ','9.00'
'6427','GLIPIZIDE 5MG TAB       ','9.00'
'6428','GLIPIZIDE 2.5MG XL TAB  ','21.00'
'6435','GLIPIZIDE 5MG XL TAB    ','9.00'
'6453','GLYBURIDE 1.25MG TAB    ','9.00'
'6455','GLYBURIDE 1.5MG TAB     ','9.00'
'6458','GLYBURIDE 3MG TAB       ','21.00'
'6463','GLYBURIDE 5MG TAB       ','21.00'
'6488','GLYCERIN ADULT SUPP     ','9.00'
'6491','GLYCERIN PEDIATRIC SUPP ','9.00'
'6594','GLYCOPYRROLATE 0.2MG VL ','52.00'
'6675','GUAIFENES/DEXTROMETH LIQ','9.00'
'6678','GUAIFENESI 100MG/5ML LIQ','9.00'
'6687','GUAIFENESIN 600MG SA TAB','9.00'
'6688','GUAIFENESIN/CODEINE LIQ ','21.00'
'6699','GUANFACINE HCL 1MG TAB  ','23.00'
'6745','HALOPERIDOL 0.5MG TAB   ','5.00'
'6754','HALOPERIDOL 1MG TAB     ','5.00'
'6755','HALOPERIDOL 2MG TAB     ','5.00'
'6757','HALOPERIDOL 2MG/ML LIQ  ','27.00'
'6758','HALOPERIDOL 5MG TAB     ','9.00'
'6767','HALOPERIDOL LACT 5MG INJ','126.00'
'6774','HEPARIN 1000 U INJ      ','46.00'
'6775','HEPARIN 1000 U INJ      ','24.00'
'6784','HEPARIN 10 U LOCK       ','46.00'
'6876','HEPB VAC ADULT 3DOSE IM ','526.00'
'6878','HEPB VAC PED 3 DOSE IM  ','983.00'
'6879','HETASTARCH 6%/NS 500ML  ','774.00'
'6883','HEXACHLOROPHENE 3% 148ML','240.00'
'6895','HOMATROPINE 5% 5ML OP   ','109.00'
'6928','HYALURONIDASE UP TO 150U','343.00'
'6930','HYDRALAZINE 10MG TAB    ','6.00'
'6937','HYDRALAZINE 20 MG INJ   ','167.00'
'6948','HYDRALAZINE 25MG TAB    ','6.00'
'6958','HYDROCHLOROTHIA 25MG TAB','6.00'
'6959','HYDROCHLOROTHIA 50MG TAB','6.00'
'6967','HYDROCO/APAP LIQ        ','23.00'
'7108','HYDROCODON/APAP 5/500 T ','9.00'
'7124','HYDROCORT 2.5% 30GM R CR','153.00'
'7135','HYDROCORT SUCC 100MG INJ','71.00'
'7148','HYDROCORTISONE 1% 30G CR','199.00'
'7149','RISEDRONATE 35MG TAB    ','270.00'
'7151','HYDROCORTISONE 1% 30G OI','21.00'
'7152','HYDROCORTISONE 10MG TAB ','21.00'
'7155','HYDROCORTISONE 20MG TAB ','9.00'
'7157','HYDROCORTISONE 25MG SUPP','42.00'
'7173','SARGRAMOSTIM 50 MCG     ','343.00'
'7179','HYDROMORPH 2 MG INJ     ','51.00'
'7180','HYDROMORPHONE 2MG TAB   ','21.00'
'7181','HYDROMORPHONE 3MG SUPP  ','63.00'
'7193','HYDROXYCHLOROUIN 200MG T','25.00'
'7208','HYDROXYUREA 500 MG PO   ','25.00'
'7213','HYDROXYZINE 10MG TAB    ','21.00'
'7217','HYDROXYZINE PAM 25 MG PO','23.00'
'7218','HYDROXYZINE 10MG/5ML LIQ','21.00'
'7235','HYOSCYAMIN 0.375MG SA   ','23.00'
'7236','HYOSCYAMINE 0.125MG TAB ','9.00'
'7249','IBUPROFEN 600MG TAB     ','9.00'
'7253','IBUPROFEN 800MG TAB     ','9.00'
'7269','IMIPRAMINE 10MG TAB     ','6.00'
'7273','IMIPRAMINE 25MG TAB     ','6.00'
'7293','INDAPAMIDE 2.5MG TAB    ','24.00'
'7294','INDIGOTINDISUL 0.8% 5MLA','149.00'
'7295','INDINAVIR 400MG CAP     ','26.00'
'7302','INDOMETHACIN 25MG CAP   ','9.00'
'7313','INDOMETHACIN 75MG SR CAP','26.00'
'7314','FLUVAC IIV3 0.5ML IM    ','45.00'
'7413','IPRATROPI 0.5MG/2.5MLINH','24.00'
'7420','IPRATROPIUM INH 14GM    ','254.00'
'7423','IRBESARTAN 150MG TAB    ','23.00'
'7433','IRON POL/B12/FA150MG/5ML','6.00'
'7449','ISONIAZID 300MG TAB     ','6.00'
'7466','TRANEXAMIC AC 1000MG AMP','181.00'
'7472','ISOSORBIDE DN 10MG TAB  ','6.00'
'7484','ISOSORBIDE DN 5MG TAB   ','6.00'
'7486','ISOSORBIDE MN 20MG TAB  ','23.00'
'7487','ISOSORBIDE MN 30MG SA T ','23.00'
'7499','ISRADIPINE 2.5MG CAP    ','9.00'
'7560','TRAZODONE 150MG TAB     ','23.00'
'7564','ITRACONAZOLE 100MG CAP  ','98.00'
'7583','KETAMINE 500MG/10ML VL  ','132.00'
'7586','KETAMINE 200MG/20ML VL  ','240.00'
'7589','KETOCONAZOLE 2% 120ML   ','81.00'
'7590','KETOCONAZOLE 2% 15GM CR ','286.00'
'7599','KETOCONAZOLE 200MG TAB  ','52.00'
'7665','KETOROLAC 0.5% 5ML OP   ','416.00'
'7666','KETOROLAC 10MG TAB      ','25.00'
'7681','LABETALOL 100MG TAB     ','21.00'
'7684','LABETALOL 100MG/20ML VL ','531.00'
'7688','LABETALOL 20MG/4ML SYR  ','4.00'
'7713','LACTOBACILLUS ACIDO CHEW','6.00'
'7725','LACTULOSE 10GM/15ML LIQ ','48.00'
'7735','LAMIVUDINE 150MG TAB    ','70.00'
