DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
194 - SIMPLE PNEUMONIA & PLEURISY W CC,27083.81,5064.23
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,14189.3,3995.12
196 - INTERSTITIAL LUNG DISEASE W MCC,29257,9491.51
197 - INTERSTITIAL LUNG DISEASE W CC,28097.33,6066.21
199 - PNEUMOTHORAX W MCC,86085.19,10623.35
200 - PNEUMOTHORAX W CC,43403.37,6260.15
201 - PNEUMOTHORAX W/O CC/MCC,17862.65,4465.14
202 - BRONCHITIS & ASTHMA W CC/MCC,25063.35,5369.96
203 - BRONCHITIS & ASTHMA W/O CC/MCC,12447.66,4038.58
204 - RESPIRATORY SIGNS & SYMPTOMS,19667.54,4611.88
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,39497.63,8798.46
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,23618.22,4873.93
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,166612.67,28919.09
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,83103.22,12912.75
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,289517.21,No Medicare Payment Available
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,228943.63,33766.77
227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,158851,31758.48
239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,352688,No Medicare Payment Available
240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,168544,13625.37
242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,148694.14,21619.3
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,85356.61,16540.27
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,76170.46,12592.1
245 - AICD GENERATOR PROCEDURES,147564.25,32039.11
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,122971.43,20507.71
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,87710.82,12220.87
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ ART/STENTS,141503.5,No Medicare Payment Available
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,104354.63,No Medicare Payment Available
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,94763.17,No Medicare Payment Available
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,63979.38,No Medicare Payment Available
252 - OTHER VASCULAR PROCEDURES W MCC,161204.12,24157.7
253 - OTHER VASCULAR PROCEDURES W CC,105393.6,16020.56
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,65052.52,10659.91
255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,45638,13452.31
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,122866.38,No Medicare Payment Available
260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,176286.5,21104.04
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,25246,9742.52
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,84801.25,20282.66
268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,55831.25,38372.12
269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,172637.31,24429.87
270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,149917.97,29645.41
271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,111527.92,21111.78
272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,190325.25,30532.76
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,58400.89,9250.9
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,40269.05,5669.74
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,42879.63,4456.05
283 - ACUTE MYOCARDIAL INFARCTION; EXPIRED W MCC,101723.88,10316.93
285 - ACUTE MYOCARDIAL INFARCTION; EXPIRED W/O CC/MCC,21358.77,3274.86
286 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W MCC,80919.75,12818.81
287 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W/O MCC,49636.62,6788.51
288 - ACUTE & SUBACUTE ENDOCARDITIS W MCC,61433.76,10916.16
289 - ACUTE & SUBACUTE ENDOCARDITIS W CC,42603.52,6434.28
291 - HEART FAILURE & SHOCK W MCC,35960.44,8237.63
292 - HEART FAILURE & SHOCK W CC,27540.12,5619.11
293 - HEART FAILURE & SHOCK W/O CC/MCC,24950.58,3850.29
296 - CARDIAC ARREST; UNEXPLAINED W MCC,243338.5,No Medicare Payment Available
299 - PERIPHERAL VASCULAR DISORDERS W MCC,55973.95,8313.82
300 - PERIPHERAL VASCULAR DISORDERS W CC,28925.02,4784.85
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,31619.38,4275.97
303 - ATHEROSCLEROSIS W/O MCC,24950.63,15872.19
304 - HYPERTENSION W MCC,44642.36,6207.02
305 - HYPERTENSION W/O MCC,33161.05,4075.35
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,42046.78,6805.07
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,23062.2,4362.06
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,18749.11,3305.29
311 - ANGINA PECTORIS,24204.38,4066.83
312 - SYNCOPE & COLLAPSE,30021.59,4479.86
313 - CHEST PAIN,28593.05,4123.01
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,44582.67,9632.48
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,38214.07,5544.49
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,22804.25,4358.45
326 - STOMACH; ESOPHAGEAL & DUODENAL PROC W MCC,125833,27943.14
327 - STOMACH; ESOPHAGEAL & DUODENAL PROC W CC,92901.9,14140.14
328 - STOMACH; ESOPHAGEAL & DUODENAL PROC W/O CC/MCC,71953.94,8531.34
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,120917.91,25520.02
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,102945.01,14706.33
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,91259.87,10224
336 - PERITONEAL ADHESIOLYSIS W CC,83526.6,13772.98
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,50128.5,No Medicare Payment Available
338 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,61133.5,15659.24
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,56492.11,10042.34
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,47786.28,7075.85
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,46462.25,8763.89
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,42392.1,5843.99
345 - MINOR SMALL & LARGE BOWEL PROCEDURES W CC,45220,9193.05
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,27936.17,No Medicare Payment Available
348 - ANAL & STOMAL PROCEDURES W CC,57763.5,No Medicare Payment Available
349 - ANAL & STOMAL PROCEDURES W/O CC/MCC,39647.5,5988.93
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,42069.7,8446.47
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,41472.79,5745.4
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,42528.68,9926.4
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,44986.78,7785.59
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,133798.54,15195.23
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,76499.28,12364.71
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,39110.69,No Medicare Payment Available
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,65213,10807.74
369 - MAJOR ESOPHAGEAL DISORDERS W CC,44137.56,7223.37
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,83040.33,11683.66
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,30355.22,6192.81
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,18795.38,4414.46
374 - DIGESTIVE MALIGNANCY W MCC,55173.59,12399.22
375 - DIGESTIVE MALIGNANCY W CC,54635.48,6829.18
377 - G.I. HEMORRHAGE W MCC,66101.24,9881.95
378 - G.I. HEMORRHAGE W CC,39239.73,5533.51
379 - G.I. HEMORRHAGE W/O CC/MCC,24920.19,3810.9
380 - COMPLICATED PEPTIC ULCER W MCC,70917.11,10309.02
381 - COMPLICATED PEPTIC ULCER W CC,40949.45,6308.17
382 - COMPLICATED PEPTIC ULCER W/O CC/MCC,11375.25,4745.75
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,30751.47,5147.88
385 - INFLAMMATORY BOWEL DISEASE W MCC,28037.65,9733.72
386 - INFLAMMATORY BOWEL DISEASE W CC,48820.84,5676.24
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,34857.33,No Medicare Payment Available
388 - G.I. OBSTRUCTION W MCC,49135.91,7896.03
389 - G.I. OBSTRUCTION W CC,29784.56,5032.89
390 - G.I. OBSTRUCTION W/O CC/MCC,22723.24,3520.78
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,34254.74,6668.28
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,28194.67,4361.72
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,51674.69,9449.52
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,32663.81,5521.51
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,23392.97,3121.82
405 - PANCREAS; LIVER & SHUNT PROCEDURES W MCC,157872.13,31068.64
407 - PANCREAS; LIVER & SHUNT PROCEDURES W/O CC/MCC,144597.5,No Medicare Payment Available
408 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,287908.25,36388.13
410 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,71542.63,No Medicare Payment Available
414 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,131767.01,No Medicare Payment Available
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,50699,8396.18
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,75714.66,14114.67
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,67137.06,9916.71
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,46624.48,7494.11
424 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,116021.25,13272.33
425 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,45625.5,No Medicare Payment Available
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,78921.67,10593.21
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,48155.83,6013.54
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,55027.36,9806.1
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,35439.73,7991.74
437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,52497.25,No Medicare Payment Available
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,47826.69,8039.99
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,32783.35,5144.51
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,28997.65,3023.46
441 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W MCC,60683.7,10373.55
442 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W CC,30169.35,5446
443 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W/O CC/MCC,22411.75,4014.28
444 - DISORDERS OF THE BILIARY TRACT W MCC,52461.55,9211.03
445 - DISORDERS OF THE BILIARY TRACT W CC,38737.6,6225.99
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,33806.79,3117.19
453 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,260134.64,57238.2
454 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,243641.39,42054.93
455 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,185519.27,30312.21
457 - SPINAL FUS EXC CERV W SPINAL CURV MALIG/ INFEC OR EXT FUS W CC,270558.96,51741.69
458 - SPINAL FUS EXC CERV W SPINAL CURV MALIG INFEC OR  EXT FUS WO CCMCC,191890.25,31529.17
459 - SPINAL FUSION EXCEPT CERVICAL W MCC,246723.7,42232.01
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,112524.15,23965.65
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,126013.66,19263.21
463 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W MCC,235241.25,37422.42
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,247790.5,15666.11
465 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W/O CC/MCC,143638.05,14469.44
466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,144846.1,29607.54
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,119448.09,21575.01
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,96118.99,16016.1
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,120309.83,19022.81
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,69913.8,11711.61
471 - CERVICAL SPINAL FUSION W MCC,164240.69,29867.32
472 - CERVICAL SPINAL FUSION W CC,79758.45,16807.8
473 - CERVICAL SPINAL FUSION W/O CC/MCC,64010.93,13482.04
474 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,103584,No Medicare Payment Available
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,96189.38,12673.74
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,108449.25,13801.75
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,118264.21,19037.77
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,77878.22,11863.68
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,56162.02,9382.97
483 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,135683.49,14762.97
486 - KNEE PROCEDURES W PDX OF INFECTION W CC,106911,No Medicare Payment Available
487 - KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,71982.5,No Medicare Payment Available
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,31089,11756.62
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,53558.76,No Medicare Payment Available
492 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W MCC,106086.63,13185.76
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,95836.52,12957.65
494 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W/O CC/MCC,91791.98,11333.66
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,119601.5,No Medicare Payment Available
497 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,83070.63,8172.1
499 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,31823.5,7317.29
501 - SOFT TISSUE PROCEDURES W CC,49021.3,9201.43
502 - SOFT TISSUE PROCEDURES W/O CC/MCC,44694.75,5012.16
504 - FOOT PROCEDURES W CC,67871.65,10285.53
505 - FOOT PROCEDURES W/O CC/MCC,71667.15,9181.76
510 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W MCC,127355.67,No Medicare Payment Available
511 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W CC,95358.76,10401.9
512 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W/O CC/MCC,54831.06,8464.02
513 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,97375.75,No Medicare Payment Available
514 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC,61749.75,No Medicare Payment Available
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,129120.63,17179.42
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,70253.66,11065.28
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,61053.24,9395.64
518 - BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,101363.62,24523.43
