DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
326 - STOMACH; ESOPHAGEAL & DUODENAL PROC W MCC,606972.79,50286.69
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,309695.24,28275.75
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,203147.79,13952.54
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,161533.85,9582.89
336 - PERITONEAL ADHESIOLYSIS W CC,177592.83,13240.03
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,127000,8195.91
338 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,197265.16,15905.99
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,132915,9732.62
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,126274.5,6970.86
341 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,124225,No Medicare Payment Available
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,109141,8560.79
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,87821.5,6174.91
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,134747,6396.82
347 - ANAL & STOMAL PROCEDURES W MCC,121137,No Medicare Payment Available
348 - ANAL & STOMAL PROCEDURES W CC,180860,6826.09
349 - ANAL & STOMAL PROCEDURES W/O CC/MCC,37702.54,No Medicare Payment Available
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,148711,8567.34
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,82273,6073.94
353 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,91663.03,16908.06
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,80773.5,No Medicare Payment Available
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,98959,No Medicare Payment Available
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,163660,21321.16
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,118592.8,11876.22
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,97221.5,9176.02
369 - MAJOR ESOPHAGEAL DISORDERS W CC,77404.5,No Medicare Payment Available
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,72472.13,9875.83
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,60488.43,6053.36
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,28776,4544.21
374 - DIGESTIVE MALIGNANCY W MCC,90371,11333.84
375 - DIGESTIVE MALIGNANCY W CC,99676.15,6314.89
376 - DIGESTIVE MALIGNANCY W/O CC/MCC,36335,5510.87
377 - G.I. HEMORRHAGE W MCC,68266.86,8858.24
378 - G.I. HEMORRHAGE W CC,58174.04,5502.71
379 - G.I. HEMORRHAGE W/O CC/MCC,48730.54,3828.76
380 - COMPLICATED PEPTIC ULCER W MCC,67802,10814.82
381 - COMPLICATED PEPTIC ULCER W CC,56372.77,6285.3
383 - UNCOMPLICATED PEPTIC ULCER W MCC,38557,7800.32
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,53395,5187.38
385 - INFLAMMATORY BOWEL DISEASE W MCC,50873,9306.85
386 - INFLAMMATORY BOWEL DISEASE W CC,52917.33,5579.46
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,41698.6,4399.31
388 - G.I. OBSTRUCTION W MCC,108798.01,9831.97
389 - G.I. OBSTRUCTION W CC,51871.26,4836.39
390 - G.I. OBSTRUCTION W/O CC/MCC,32517,3635.09
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,69411.92,6891.81
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,43584.46,4438.06
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,103878.62,9126.92
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,48247.82,5056.48
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,38105.17,4061.72
409 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,295813,No Medicare Payment Available
412 - CHOLECYSTECTOMY W C.D.E. W CC,169119,13416.89
414 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,167256,No Medicare Payment Available
415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,150513.67,No Medicare Payment Available
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,177953,8065.19
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,217160.42,16093.56
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,126273.19,9453.35
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,105803.57,7412.1
423 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,247978.55,21215.79
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,123545.21,9857.63
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,89434.15,5822.07
434 - CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,53985.5,No Medicare Payment Available
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,116854,9308.42
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,76380.33,6614.56
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,130059.2,8893.22
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,51418.96,5146.8
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,40129.18,3748.33
441 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W MCC,120874,10343.17
442 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W CC,39256.2,5492.13
443 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W/O CC/MCC,39141.75,No Medicare Payment Available
444 - DISORDERS OF THE BILIARY TRACT W MCC,131349.08,11825.56
445 - DISORDERS OF THE BILIARY TRACT W CC,75343.5,6011.81
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,55983.63,3866.61
455 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,704578,No Medicare Payment Available
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,331934.67,21415.79
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,401637,No Medicare Payment Available
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,304477.5,No Medicare Payment Available
465 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W/O CC/MCC,96152,10731.47
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,221561.63,No Medicare Payment Available
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,413675,28226.91
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,261279.77,17971.32
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,186870.96,11314.65
472 - CERVICAL SPINAL FUSION W CC,445497,No Medicare Payment Available
473 - CERVICAL SPINAL FUSION W/O CC/MCC,233725.52,No Medicare Payment Available
477 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,309405.77,18187.07
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,100983,12653.85
479 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,155676.05,10046.6
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,276729.21,22626.07
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,138018.46,10989.71
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,135760.18,9132.7
483 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,324928.6,17987
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,608893.16,No Medicare Payment Available
492 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W MCC,157738.21,15260.42
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,223241,16108.77
494 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W/O CC/MCC,195025,No Medicare Payment Available
495 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC,159438,No Medicare Payment Available
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,253588.77,No Medicare Payment Available
501 - SOFT TISSUE PROCEDURES W CC,116956.05,9245.58
502 - SOFT TISSUE PROCEDURES W/O CC/MCC,91293.27,7299.41
504 - FOOT PROCEDURES W CC,104358.64,8875
505 - FOOT PROCEDURES W/O CC/MCC,69405.05,8741.21
507 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC,273493,No Medicare Payment Available
511 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W CC,80229,10204.07
512 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W/O CC/MCC,163643,8407.67
514 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC,80795.5,5957.88
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,159221.89,10703.87
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,97195.83,6985.18
534 - FRACTURES OF FEMUR W/O MCC,25847,3246.61
535 - FRACTURES OF HIP & PELVIS W MCC,67343.69,7139.58
536 - FRACTURES OF HIP & PELVIS W/O MCC,29607.76,4276.43
540 - OSTEOMYELITIS W CC,28542.97,6647.05
541 - OSTEOMYELITIS W/O CC/MCC,105807.93,No Medicare Payment Available
542 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,61518,9746.6
543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,46002.68,6308.33
546 - CONNECTIVE TISSUE DISORDERS W CC,34771,No Medicare Payment Available
548 - SEPTIC ARTHRITIS W MCC,94120,No Medicare Payment Available
550 - SEPTIC ARTHRITIS W/O CC/MCC,38895,No Medicare Payment Available
551 - MEDICAL BACK PROBLEMS W MCC,38804,8895.79
552 - MEDICAL BACK PROBLEMS W/O MCC,41900.69,5121.03
554 - BONE DISEASES & ARTHROPATHIES W/O MCC,26163.6,4488.13
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,39634.31,4535.96
557 - TENDONITIS; MYOSITIS & BURSITIS W MCC,70591.02,No Medicare Payment Available
558 - TENDONITIS; MYOSITIS & BURSITIS W/O MCC,44673.55,5071.45
560 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,51297.9,6193.19
561 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,164697,No Medicare Payment Available
562 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W MCC,46814.5,7974.86
563 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W/O MCC,36689.5,4506.26
564 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,55240.06,No Medicare Payment Available
565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,31997.14,5602.65
566 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,19021.21,5115.33
570 - SKIN DEBRIDEMENT W MCC,83931,No Medicare Payment Available
571 - SKIN DEBRIDEMENT W CC,70209.16,No Medicare Payment Available
572 - SKIN DEBRIDEMENT W/O CC/MCC,84794.77,No Medicare Payment Available
574 - SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC,163048.08,No Medicare Payment Available
577 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,110471.54,13765.38
579 - OTHER SKIN; SUBCUT TISS & BREAST PROC W MCC,93253.81,15001.81
580 - OTHER SKIN; SUBCUT TISS & BREAST PROC W CC,73764.38,8610.04
581 - OTHER SKIN; SUBCUT TISS & BREAST PROC W/O CC/MCC,56820.9,No Medicare Payment Available
592 - SKIN ULCERS W MCC,54588.54,No Medicare Payment Available
593 - SKIN ULCERS W CC,38751.77,6048.75
600 - NON-MALIGNANT BREAST DISORDERS W CC/MCC,86496.87,No Medicare Payment Available
601 - NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,29355.16,3797.63
602 - CELLULITIS W MCC,84657.13,7969.25
603 - CELLULITIS W/O MCC,35404.07,4670.41
605 - TRAUMA TO THE SKIN; SUBCUT TISS & BREAST W/O MCC,86912.39,No Medicare Payment Available
616 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W MCC,387917.57,24683.63
617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W CC,130622.67,11896.57
622 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W MCC,107081.77,19062.94
623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W CC,93118.81,10816.41
629 - OTHER ENDOCRINE; NUTRIT & METAB O.R. PROC W CC,141484.61,12575.96
637 - DIABETES W MCC,70697.38,6239.39
638 - DIABETES W CC,39306.77,4616.35
639 - DIABETES W/O CC/MCC,30625.99,3248.47
640 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W MCC,66861.67,6455.98
641 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W/O MCC,42217.34,4367.12
643 - ENDOCRINE DISORDERS W MCC,69722.02,9081.95
644 - ENDOCRINE DISORDERS W CC,44651.34,5870.92
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,198441.67,19751.56
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,125214.96,13096.45
682 - RENAL FAILURE W MCC,88171.6,7659.14
683 - RENAL FAILURE W CC,41182.79,5145.56
684 - RENAL FAILURE W/O CC/MCC,30521.93,3639.84
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,58905.82,5743.79
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,34067.53,4345.04
694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,50042,4830.25
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,95739.36,7773.6
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,52979.81,5373.82
728 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,48301.33,No Medicare Payment Available
746 - VAGINA; CERVIX & VULVA PROCEDURES W CC/MCC,34821.08,No Medicare Payment Available
750 - OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,71000,No Medicare Payment Available
754 - MALIGNANCY; FEMALE REPRODUCTIVE SYSTEM W MCC,76449,10204.37
776 - POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,31253.67,No Medicare Payment Available
804 - OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC,61145,No Medicare Payment Available
808 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,62857,10720.34
809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,63864.76,6943.1
811 - RED BLOOD CELL DISORDERS W MCC,81095.46,7244
812 - RED BLOOD CELL DISORDERS W/O MCC,39146.44,4786.45
813 - COAGULATION DISORDERS,75720.5,9873.26
824 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,26261,No Medicare Payment Available
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,136240,17263.01
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,36119.4,7363.58
842 - LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,13824,6527
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,271624.56,36119.49
854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,243249.06,25841.58
855 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC,21275,No Medicare Payment Available
856 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,617861.34,52001.91
857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,68691.08,5443.71
862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,151763.97,14186.9
863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,67182.01,5886.46
864 - FEVER,41419.8,5131.23
865 - VIRAL ILLNESS W MCC,45969,No Medicare Payment Available
866 - VIRAL ILLNESS W/O MCC,31441.83,4714.23
867 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,163916.03,12003.24
868 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,43002.03,3393.53
870 - SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,458663.5,36030.25
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,120842.96,10301.87
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,64018.48,5802.75
876 - O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,29279.77,No Medicare Payment Available
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,22228.53,3627.7
881 - DEPRESSIVE NEUROSES,28471.14,5074.15
882 - NEUROSES EXCEPT DEPRESSIVE,31619.92,No Medicare Payment Available
883 - DISORDERS OF PERSONALITY & IMPULSE CONTROL,17280.8,No Medicare Payment Available
884 - ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,50077.35,11282.6
885 - PSYCHOSES,39566.27,10063.75
894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE; LEFT AMA,22969.85,No Medicare Payment Available
895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,32330.2,No Medicare Payment Available
896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,194241.01,No Medicare Payment Available
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,36087.29,5256.47
