DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,30066.6,9154.18
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,33947.63,4991.17
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,68488.52,10262.61
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,35247.01,No Medicare Payment Available
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,30570,No Medicare Payment Available
080 - NONTRAUMATIC STUPOR & COMA W MCC,82171.03,11154.68
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,20474,No Medicare Payment Available
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,11688,13105.62
089 - CONCUSSION W CC,19209.03,No Medicare Payment Available
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,26775.42,9164.55
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,33724.82,6143.68
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,27108.35,4274.28
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,56475.02,No Medicare Payment Available
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,39532.52,15152.52
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,50361.51,No Medicare Payment Available
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,41044.96,No Medicare Payment Available
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,20034.5,7963.18
100 - SEIZURES W MCC,33157.89,10343.6
101 - SEIZURES W/O MCC,21672.4,5349.2
103 - HEADACHES W/O MCC,19157.43,4389.35
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,58130.01,No Medicare Payment Available
123 - NEUROLOGICAL EYE DISORDERS,35267.03,No Medicare Payment Available
125 - OTHER DISORDERS OF THE EYE W/O MCC,43133.01,5181.97
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,163531,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,73156.5,No Medicare Payment Available
134 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC,27120.5,No Medicare Payment Available
135 - SINUS & MASTOID PROCEDURES W CC/MCC,57668,No Medicare Payment Available
137 - MOUTH PROCEDURES W CC/MCC,38595.5,8965.89
139 - SALIVARY GLAND PROCEDURES,57360,7332.34
146 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W MCC,27730.51,10537.7
149 - DYSEQUILIBRIUM,21040.03,4784.21
150 - EPISTAXIS W MCC,27411.51,8679.14
151 - EPISTAXIS W/O MCC,9719.52,4926.91
152 - OTITIS MEDIA & URI W MCC,28434,No Medicare Payment Available
153 - OTITIS MEDIA & URI W/O MCC,7701.7,4842
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,42579,5975.51
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,5944,4527.32
157 - DENTAL & ORAL DISEASES W MCC,14913.02,10091.53
158 - DENTAL & ORAL DISEASES W CC,17852.85,6032.46
159 - DENTAL & ORAL DISEASES W/O CC/MCC,18418.8,No Medicare Payment Available
163 - MAJOR CHEST PROCEDURES W MCC,147752.34,31798.28
164 - MAJOR CHEST PROCEDURES W CC,85720.01,14951.61
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,76457.5,No Medicare Payment Available
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,48465.02,No Medicare Payment Available
175 - PULMONARY EMBOLISM W MCC,24054.61,No Medicare Payment Available
176 - PULMONARY EMBOLISM W/O MCC,20227.26,5967.38
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,40924.87,11074.34
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,41040.52,5760.32
180 - RESPIRATORY NEOPLASMS W MCC,60899.27,10939.03
181 - RESPIRATORY NEOPLASMS W CC,35834.6,7605.08
183 - MAJOR CHEST TRAUMA W MCC,18885.52,9742.04
184 - MAJOR CHEST TRAUMA W CC,21930.88,6300.59
185 - MAJOR CHEST TRAUMA W/O CC/MCC,19202.5,5098.61
186 - PLEURAL EFFUSION W MCC,34668.82,8785.01
187 - PLEURAL EFFUSION W CC,12359,4341.06
188 - PLEURAL EFFUSION W/O CC/MCC,14758.01,5350.1
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,31642.53,7886.42
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,31139.56,7270.2
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,22870.56,6052.48
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,22665.01,4884.45
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,33361.97,8797.49
194 - SIMPLE PNEUMONIA & PLEURISY W CC,21579.45,6052.96
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,19573.26,4788.25
196 - INTERSTITIAL LUNG DISEASE W MCC,21242.61,10369.92
197 - INTERSTITIAL LUNG DISEASE W CC,19043.01,6939.36
199 - PNEUMOTHORAX W MCC,38537.5,11739.2
200 - PNEUMOTHORAX W CC,17715,7027
201 - PNEUMOTHORAX W/O CC/MCC,13152.33,No Medicare Payment Available
202 - BRONCHITIS & ASTHMA W CC/MCC,23191.59,5744.8
203 - BRONCHITIS & ASTHMA W/O CC/MCC,7469.86,4648.62
204 - RESPIRATORY SIGNS & SYMPTOMS,29629.01,5149.33
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,43714.51,9788.93
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,19253.64,5500.8
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,97686,14403.34
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,86631,16809.29
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,127443.38,20343.02
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,109582.7,12359.87
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ ART/STENTS,87052,No Medicare Payment Available
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,82265.5,10203.7
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,98623.5,16157.9
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,79715,No Medicare Payment Available
252 - OTHER VASCULAR PROCEDURES W MCC,69253.01,20585.67
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,42853,11352.59
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,44390.68,18971.41
272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,55828,No Medicare Payment Available
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,40885.96,9662.72
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,31261.86,5887.24
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,33353.86,5102.44
286 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W MCC,52325,No Medicare Payment Available
287 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W/O MCC,51970.93,7725.69
291 - HEART FAILURE & SHOCK W MCC,29290.26,9030.5
292 - HEART FAILURE & SHOCK W CC,19915.19,6366.74
293 - HEART FAILURE & SHOCK W/O CC/MCC,9198.33,3300.95
296 - CARDIAC ARREST; UNEXPLAINED W MCC,6828,9702.6
299 - PERIPHERAL VASCULAR DISORDERS W MCC,20295.28,8549.07
300 - PERIPHERAL VASCULAR DISORDERS W CC,21668.81,6258.51
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,21069.5,4894.93
302 - ATHEROSCLEROSIS W MCC,22471,7084.57
303 - ATHEROSCLEROSIS W/O MCC,15330,No Medicare Payment Available
304 - HYPERTENSION W MCC,21868.06,6931.46
305 - HYPERTENSION W/O MCC,21117.9,4154.08
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,17690.51,8923.55
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,21647.75,7647.18
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,16783.66,5142.49
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,14826.83,3577.95
311 - ANGINA PECTORIS,13299,No Medicare Payment Available
312 - SYNCOPE & COLLAPSE,27377.58,5224.31
313 - CHEST PAIN,18478.87,4636.46
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,37506.84,12455.58
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,30290.51,6000.05
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,42487,No Medicare Payment Available
326 - STOMACH; ESOPHAGEAL & DUODENAL PROC W MCC,243293.02,33299.17
327 - STOMACH; ESOPHAGEAL & DUODENAL PROC W CC,96274.51,13688.37
328 - STOMACH; ESOPHAGEAL & DUODENAL PROC W/O CC/MCC,76684,9817.33
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,179892.01,29122.14
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,135458.45,15872.51
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,102955.59,10921.99
335 - PERITONEAL ADHESIOLYSIS W MCC,96208,26209.69
336 - PERITONEAL ADHESIOLYSIS W CC,65195.5,15173.03
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,104299,No Medicare Payment Available
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,66398.25,11110.93
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,77452.75,No Medicare Payment Available
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,70981.8,9758.4
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,52469.73,No Medicare Payment Available
345 - MINOR SMALL & LARGE BOWEL PROCEDURES W CC,61002.02,No Medicare Payment Available
347 - ANAL & STOMAL PROCEDURES W MCC,27916.53,15624.96
348 - ANAL & STOMAL PROCEDURES W CC,87686.02,9242.3
349 - ANAL & STOMAL PROCEDURES W/O CC/MCC,35675.2,6718.19
350 - INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,287851.04,33224.41
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,53748.01,9737.09
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,56579,No Medicare Payment Available
353 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,83592,No Medicare Payment Available
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,94860.87,11203.3
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,97969.26,No Medicare Payment Available
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,39319,24441.26
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,78990,No Medicare Payment Available
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,62121.53,11950.99
369 - MAJOR ESOPHAGEAL DISORDERS W CC,46149,No Medicare Payment Available
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,29112.04,11225.96
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,23133.19,6385.17
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,19772.5,No Medicare Payment Available
374 - DIGESTIVE MALIGNANCY W MCC,24714.62,11174.85
375 - DIGESTIVE MALIGNANCY W CC,38407.01,8146.27
377 - G.I. HEMORRHAGE W MCC,58204.55,10072.62
378 - G.I. HEMORRHAGE W CC,34948.6,6337.73
379 - G.I. HEMORRHAGE W/O CC/MCC,24132.67,4145.35
380 - COMPLICATED PEPTIC ULCER W MCC,21339.07,No Medicare Payment Available
381 - COMPLICATED PEPTIC ULCER W CC,43843.5,6843.99
382 - COMPLICATED PEPTIC ULCER W/O CC/MCC,29752,No Medicare Payment Available
383 - UNCOMPLICATED PEPTIC ULCER W MCC,18238,8764.61
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,38497,No Medicare Payment Available
385 - INFLAMMATORY BOWEL DISEASE W MCC,36483.5,10794.92
386 - INFLAMMATORY BOWEL DISEASE W CC,19678.86,6645.18
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,28305,No Medicare Payment Available
388 - G.I. OBSTRUCTION W MCC,28710.51,9491.89
389 - G.I. OBSTRUCTION W CC,20345.68,5142.55
390 - G.I. OBSTRUCTION W/O CC/MCC,23364.44,4083.41
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,32966.34,7318.38
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,20899.58,4983.39
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,32923.01,10622.79
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,25250.58,6266.43
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,12388.25,4584.53
406 - PANCREAS; LIVER & SHUNT PROCEDURES W CC,68903,No Medicare Payment Available
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,83479.71,15934
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,65592.94,10744.85
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,60149,8444.33
421 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,90225,12247.32
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,44661.71,11268.74
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,22716.57,6736.2
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,27548,10182.17
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,25292.51,6174.87
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,49777.4,9458.35
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,24709.69,5568.32
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,17857.75,4333.43
441 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W MCC,34948.19,11726.02
442 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W CC,27329.11,6225.26
444 - DISORDERS OF THE BILIARY TRACT W MCC,51076.01,10440.66
445 - DISORDERS OF THE BILIARY TRACT W CC,12793.69,4249.93
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,19088,4645.35
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,191576.51,20956.5
463 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W MCC,213338.01,No Medicare Payment Available
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,185071.34,16709.76
465 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W/O CC/MCC,60760.06,No Medicare Payment Available
466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,245334.03,41036.08
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,224039.51,31185.74
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,238112.69,33473.24
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,223444.14,32526.76
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,129001.06,12989.73
473 - CERVICAL SPINAL FUSION W/O CC/MCC,96675.5,No Medicare Payment Available
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,39304.02,No Medicare Payment Available
476 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,28741,7696.02
477 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,51061.36,19274.16
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,93865.67,14464.99
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,137617.36,18359.63
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,107528.39,13052.39
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,80469.17,10909.43
483 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,161260.76,16733.44
486 - KNEE PROCEDURES W PDX OF INFECTION W CC,39805.04,14400.55
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,92152.28,12931.61
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,103995.68,8470.14
492 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W MCC,133568.68,20519.77
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,98599.51,13604.68
494 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W/O CC/MCC,85433.58,11079.56
498 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,95721.04,No Medicare Payment Available
499 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,34116,8155.08
501 - SOFT TISSUE PROCEDURES W CC,57346.51,9382.16
502 - SOFT TISSUE PROCEDURES W/O CC/MCC,49823.51,8050.23
503 - FOOT PROCEDURES W MCC,32220,No Medicare Payment Available
504 - FOOT PROCEDURES W CC,165575.02,No Medicare Payment Available
505 - FOOT PROCEDURES W/O CC/MCC,72982.01,9775.03
508 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,43867,No Medicare Payment Available
511 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W CC,103851.33,11553.85
512 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W/O CC/MCC,94567.01,8666.41
513 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,37911,10383.75
514 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC,30371,No Medicare Payment Available
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,114863.56,18772.6
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,99427.16,11910.91
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,83082.62,9404.29
519 - BACK & NECK PROC EXC SPINAL FUSION W CC,111395,No Medicare Payment Available
520 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,66736.01,8513.18
534 - FRACTURES OF FEMUR W/O MCC,20428.7,4463.33
536 - FRACTURES OF HIP & PELVIS W/O MCC,17745.5,4439.44
539 - OSTEOMYELITIS W MCC,13280,4357.81
540 - OSTEOMYELITIS W CC,14237,No Medicare Payment Available
542 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,30459.76,10088.82
543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,27899.81,6689.26
544 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,11058.5,5184.13
545 - CONNECTIVE TISSUE DISORDERS W MCC,28812.01,13163.41
546 - CONNECTIVE TISSUE DISORDERS W CC,14695.9,No Medicare Payment Available
547 - CONNECTIVE TISSUE DISORDERS W/O CC/MCC,19097.02,No Medicare Payment Available
549 - SEPTIC ARTHRITIS W CC,18770.04,7855.41
550 - SEPTIC ARTHRITIS W/O CC/MCC,45900.01,No Medicare Payment Available
551 - MEDICAL BACK PROBLEMS W MCC,25184.84,7002.77
552 - MEDICAL BACK PROBLEMS W/O MCC,24673.27,5417.65
553 - BONE DISEASES & ARTHROPATHIES W MCC,29431,No Medicare Payment Available
554 - BONE DISEASES & ARTHROPATHIES W/O MCC,16415.44,5044.13
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,24246.11,5224.82
557 - TENDONITIS; MYOSITIS & BURSITIS W MCC,32124,No Medicare Payment Available
558 - TENDONITIS; MYOSITIS & BURSITIS W/O MCC,17876.34,5094.37
561 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,490,No Medicare Payment Available
562 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W MCC,40165.21,9195.35
563 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W/O MCC,19854.11,5278.68
564 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,38755.03,No Medicare Payment Available
565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,19179.8,4958.85
566 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,10166,5212.93
570 - SKIN DEBRIDEMENT W MCC,35827.01,16048.91
571 - SKIN DEBRIDEMENT W CC,28187,No Medicare Payment Available
578 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,191143,No Medicare Payment Available
579 - OTHER SKIN; SUBCUT TISS & BREAST PROC W MCC,47154.01,16873.15
580 - OTHER SKIN; SUBCUT TISS & BREAST PROC W CC,93016.43,10019.13
581 - OTHER SKIN; SUBCUT TISS & BREAST PROC W/O CC/MCC,130041.33,No Medicare Payment Available
583 - MASTECTOMY FOR MALIGNANCY W/O CC/MCC,38218,8912.01
592 - SKIN ULCERS W MCC,13205.01,4819.12
593 - SKIN ULCERS W CC,13473.53,5275.6
600 - NON-MALIGNANT BREAST DISORDERS W CC/MCC,14778,6352.3
601 - NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,8941,No Medicare Payment Available
602 - CELLULITIS W MCC,30392.85,9471.64
603 - CELLULITIS W/O MCC,19211.69,5374.87
604 - TRAUMA TO THE SKIN; SUBCUT TISS & BREAST W MCC,58552.02,9271.97
605 - TRAUMA TO THE SKIN; SUBCUT TISS & BREAST W/O MCC,18332.02,5667.49
606 - MINOR SKIN DISORDERS W MCC,7881.02,9016.62
607 - MINOR SKIN DISORDERS W/O MCC,12781.01,5294.17
616 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W MCC,58192.06,12305.18
617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W CC,50666.21,11476.28
622 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W MCC,44857,No Medicare Payment Available
623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W CC,47491.53,11641.67
628 - OTHER ENDOCRINE; NUTRIT & METAB O.R. PROC W MCC,71912.03,19787.24
629 - OTHER ENDOCRINE; NUTRIT & METAB O.R. PROC W CC,51019,14951.05
637 - DIABETES W MCC,25160.57,8716.83
638 - DIABETES W CC,19172.5,5485.55
639 - DIABETES W/O CC/MCC,15804.74,305.42
640 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W MCC,33104.61,6861.21
641 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W/O MCC,16402.63,4977.31
643 - ENDOCRINE DISORDERS W MCC,53095.02,10371.51
644 - ENDOCRINE DISORDERS W CC,26350.87,6653.65
645 - ENDOCRINE DISORDERS W/O CC/MCC,30209.03,4970.58
654 - MAJOR BLADDER PROCEDURES W CC,133958.52,17816.05
660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,54098.01,No Medicare Payment Available
662 - MINOR BLADDER PROCEDURES W MCC,170579,No Medicare Payment Available
668 - TRANSURETHRAL PROCEDURES W MCC,96775.34,16973.35
669 - TRANSURETHRAL PROCEDURES W CC,57321,No Medicare Payment Available
670 - TRANSURETHRAL PROCEDURES W/O CC/MCC,40657.5,No Medicare Payment Available
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,73784.52,22649.02
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,30933,15025.76
682 - RENAL FAILURE W MCC,26677.43,9040.62
683 - RENAL FAILURE W CC,19087.52,6062.32
684 - RENAL FAILURE W/O CC/MCC,12887.58,3904.53
687 - KIDNEY & URINARY TRACT NEOPLASMS W CC,18404,7280.86
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,25053.96,6372.09
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,19083.42,4618.75
694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,40673.01,No Medicare Payment Available
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,38423.12,9451.49
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,18694.17,6937.59
