Charge name,Charge procedure master #,Revenue ID,Associated Cost Centers & NAME,HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE,Fee Schedule Year
HC INTERMEDIATE ICU,H2060001,206,"20 SURG TELEMETRY STEP-DOWN
20 CRITICAL CARE  4
20 CRITICAL CARE 2
20 CRITICAL CARE 1
20 CRITICAL CARE STEP DOWN
20 CRITICAL CARE 3
25 MEDICAL/SURGICAL
45 MEDICAL/SURGICAL
20 MED TELEMETRY STEP- DOWN
30 SMH CRITICAL CARE STEPDOWN","$1,933.00",2018
HC CCU,H2100001,210,20 CRITICAL CARE 3,"$2,437.00",2018
HC RX 250,H2500001,250,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 250 UB2 999,H2500003,250,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 250 UB2 999 UB3 UB4 UB5 636,H2500004,250,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 250 UB3 UB4 UB5 636,H2500005,250,"55 RADIOLOGY - MAIN DEPT
20 PHARMACY
25 PHARMACY
30 PHARMACY
45 PHARMACY
55 PHARMACY
80 PHARMACY
20 PHARMACY-IV SOLUTIONS
25 PHARMACY-IV SOLUTIONS
45 PHARMACY- IV SOLUTIONS
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 250 UB2 637 UB3 UB4 UB5 636,H2500006,250,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 254,H2540001,254,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS











",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 254 UB4 UB5 636,H2540002,254,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 255 UB4 UB5 636,H2550017,255,"20 CT SCAN
25 RADIOLOGY DIAGNOSTIC
25 MAGNETIC RESONANCE IMAGING
30 CT SCAN
30 RADIOLOGY DIAGNOSTIC
30 MAGNETIC RESONANCE IMAGING
45 CT-SCAN RADIOLOGY
45 RADIOLOGY
45 MAGNETIC RESONANCE IMAGING
20 MAGNETIC RESONANCE IMAGING
20 MRI-ODC
25 CARDIOVASCULAR LAB
20 CARDIOVASCULAR LAB
55 RADIOLOGY - MAIN DEPT
20 CT SCAN - RADIOLOGY
20 RADIOLOGY - MAIN DEPT
80 RADIOLOGY-ULTRASOUND
30 CARDIOVASCULAR LAB
80 MAGNETIC RENOSANCE IMAGING
20 SPECIAL PROCEDURES
20 CT SCAN- OPDC
80 CT SCAN - RADIOLOGY
20 PHARMACY
25 PHARMACY
30 PHARMACY
55 PHARMACY
80 PHARMACY

",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 255 UB2 636,H2550018,255,"25 CT SCAN
25 RADIOLOGY DIAGNOSTIC
25 MAGNETIC RESONANCE IMAGING
30 CT SCAN
30 RADIOLOGY DIAGNOSTIC
30 MAGNETIC RESONANCE IMAGING
45 CT-SCAN RADIOLOGY
45 RADIOLOGY
45 MAGNETIC RESONANCE IMAGING
20 CT SCAN - RADIOLOGY
80 CT SCAN - RADIOLOGY
55 RADIOLOGY - MAIN DEPT
20 SURGICAL SERVICES
20 SPECIAL PROCEDURES
20 RADIOLOGY - MAIN DEPT
20 CT SCAN- OPDC
20 CARDIAC CATH LAB
20 MRI-ODC
20 MAGNETIC RESONANCE IMAGING
20 MEDICAL IMAGING-OPDC
25 SURGICAL SERVICES
80 MAGNETIC RENOSANCE IMAGING
80 SURGICAL SERVICES
55 SURGICAL SERVICES",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 255 UB2 636 ANTHEM 320,H2550020,255,"25 CT SCAN
25 RADIOLOGY DIAGNOSTIC
25 MAGNETIC RESONANCE IMAGING
30 CT SCAN
30 RADIOLOGY DIAGNOSTIC
30 MAGNETIC RESONANCE IMAGING
45 CT-SCAN RADIOLOGY
45 RADIOLOGY
45 MAGNETIC RESONANCE IMAGING
20 CT SCAN - RADIOLOGY
80 CT SCAN - RADIOLOGY
55 RADIOLOGY - MAIN DEPT
20 SURGICAL SERVICES
20 SPECIAL PROCEDURES
20 RADIOLOGY - MAIN DEPT
20 CT SCAN- OPDC
20 CARDIAC CATH LAB
20 MRI-ODC
20 MAGNETIC RESONANCE IMAGING
20 MEDICAL IMAGING-OPDC
25 SURGICAL SERVICES
80 MAGNETIC RENOSANCE IMAGING
80 SURGICAL SERVICES
55 SURGICAL SERVICES",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 256,H2560001,256,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 258,H2580001,258,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 258 UB4 UB5 636,H2580002,258,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 259,H2590001,259,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 259 UB2 637,H2590002,259,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 259 UB2 637 UB3 UB4 UB5 636,H2590003,259,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC RX 259 UB3 UB4 UB5 636,H2590004,259,"20 PHARMACY
20 PHARMACY-IV SOLUTIONS
30 PHARMACY
45 PHARMACY
45 PHARMACY- IV SOLUTIONS
25 PHARMACY
25 PHARMACY-IV SOLUTIONS
55 PHARMACY
80 PHARMACY
80 PHARMACY -IV SOLUTIONS





 







",CALL FOR ESTIMATE.  CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST.  COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE.  CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.,2018
HC IV INF HYDRATION INI 31-60 MIN,H2600001,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 MED TELEMETRY STEP- DOWN
20 SURG TELEMETRY STEP-DOWN
25 INFUSION CENTER
30 INFUSION CENTER
20 OBED
45 INFUSION CENTER
20 MEDICAL OVERFLOW UNIT
80 MEDICAL/SURGICAL
20 PROCEDURES - CRITICAL CARE
30 SMH CRITICAL CARE STEPDOWN
20 WMC SHORT STAY UNIT
20 CT SCAN - RADIOLOGY
",$354.00,2018
HC IV INF HYDRATION EA ADDL HR,H2600002,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 MED TELEMETRY STEP- DOWN
20 SURG TELEMETRY STEP-DOWN
25 INFUSION CENTER
30 INFUSION CENTER
45 INFUSION CENTER
80 INFUSION CENTER
20 OBED
80 MEDICAL/SURGICAL
20 PROCEDURES - CRITICAL CARE
20 MEDICAL OVERFLOW UNIT
20 SURGICAL SERVICES
20 CRITICAL CARE STEP DOWN
30 SMH CRITICAL CARE STEPDOWN
20 CLINICAL DECISION UNIT ER
20 WMC SHORT STAY UNIT
20 CT SCAN - RADIOLOGY
",$113.00,2018
HC IV INF THER INITIAL UP TO 1 HR,H2600003,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 CLINICAL DECISION UNIT ER
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 CONGEST HEART FAILURE CLINIC
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ULTRASOUND- RADIOLOGY
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
30 INFUSION CENTER
25 INFUSION CENTER
45 INFUSION CENTER
80 INFUSION CENTER
20 MED TELEMETRY STEP- DOWN
20 OBED
20 MEDICAL OVERFLOW UNIT
80 MEDICAL/SURGICAL
20 SURG TELEMETRY STEP-DOWN
20 CARDIAC CATH LAB
20 CRITICAL CARE STEP DOWN
30 SMH CRITICAL CARE STEPDOWN
20 WMC SHORT STAY UNIT
20 PROCEDURES - CRITICAL CARE",$432.00,2018
HC IV INF THERA EA ADDL HR,H2600004,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 MED TELEMETRY STEP- DOWN
20 SURG TELEMETRY STEP-DOWN
25 INFUSION CENTER
30 INFUSION CENTER
20 OBED
45 INFUSION CENTER
20 MEDICAL OVERFLOW UNIT
80 MEDICAL/SURGICAL
20 PROCEDURES - CRITICAL CARE
30 SMH CRITICAL CARE STEPDOWN
20 WMC SHORT STAY UNIT
20 CT SCAN - RADIOLOGY
",$145.00,2018
HC IV INF TX ADDL NEW DRUG SEQ UP TO 1 HR,H2600005,260,"20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 LABOR & DELIVERY
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 EMERGENCY ROOM NURSING
45 EMERGENCY ROOM
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 PEDIATRICS
25 INFUSION CENTER
30 INFUSION CENTER
45 INFUSION CENTER
80 INFUSION CENTER
20 4 SURGICAL
20 SURG TELEMETRY STEP-DOWN
20 PULMONARY CARE
20 OBED
20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
 55 MEDICAL/SURGICAL
80 MEDICAL/SURGICAL
45 MEDICAL/SURGICAL
20 CLINICAL OBSERVATION UNIT
20 MEDICAL OVERFLOW UNIT
25 INTENSIVE CARE
20 NEURO SURGICAL
20 WMC SHORT STAY UNIT

",$239.00,2018
HC IV INF THER CONCURRENT,H2600006,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 MED TELEMETRY STEP- DOWN
20 SURG TELEMETRY STEP-DOWN
25 INFUSION CENTER
30 INFUSION CENTER
20 OBED
45 INFUSION CENTER
20 MEDICAL OVERFLOW UNIT
80 MEDICAL/SURGICAL
20 PROCEDURES - CRITICAL CARE
30 SMH CRITICAL CARE STEPDOWN
20 WMC SHORT STAY UNIT
20 CT SCAN - RADIOLOGY
",$140.00,2018
HC INJ THER PROPH/DX IA,H2600007,260,"20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
25 EMERGENCY ROOM
30 EMERGENCY ROOM NURSING
45 EMERGENCY ROOM
80 EMERGENCY ROOM NURSING
",$114.00,2018
HC IV PUSH 1ST SBST/DRUG,H2600008,260,"20 GI/ENDO/GEN MED
20 MEDICAL ONCOLOGY
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 PEDIATRICS
20 MOTHER/BABY NURSING
20 PULMONARY CARE
20 LABOR & DELIVERY
20 CLINICAL OBSERVATION UNIT
20 AM ADMITTING
20 EMERGENCY ROOM NURSING
20 ENDOSCOPY
20 INFUSION CENTER
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
25 LABOR & DELIVERY
25 SURGICAL SERVICES
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
30 AMBULATORY SURGERY UNIT
30 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
45 AMBULATORY SURGERY UNIT
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 SURGICAL SERVICES
55 EMERGENCY ROOM NURSING
55 OUTPATIENT INFUSION
80 EMERGENCY ROOM NURSING
80 CLINIC
20 MED TELEMETRY STEP- DOWN
20 SURG TELEMETRY STEP-DOWN
25 INFUSION CENTER
30 INFUSION CENTER
20 OBED
45 INFUSION CENTER
20 MEDICAL OVERFLOW UNIT
80 MEDICAL/SURGICAL
20 PROCEDURES - CRITICAL CARE
30 SMH CRITICAL CARE STEPDOWN
20 WMC SHORT STAY UNIT
20 CT SCAN - RADIOLOGY
",$322.00,2018
