"Description","Price"
" Lap Rad Nephrectmy-incl/fatty tissue removal, rgnl lymphadenct, & adrenalectmy",16662
" Laparoscopy, surgical; nephrectomy, including partial ureterectomy",16662
" Laparoscopy, surgical; partial nephrectomy",13178
" Litholapaxy w/stone fragment removal of <2.5cm or Simple",4092
" Low Extremity Art Treadmill CHARGE",908
" Lysis/Excise Post-circumcision Adhesions",6925
" Max V02 Cardiac Rehab CHARGE",666
" Mesh implant hernia incisional/ventral",7353
" Motor and Sen > 13 Nrv Cond Test",1086
" Myocardial Strain Imaging CHARGE",1517
" Myoview Rest Cardiac CHARGE",629
" Myoview Stress Cardiology CHARGE",629
" N Block Inj Ilio-Ing/Hypogi",1323
" Non-Invasive Physio Ext Vein Charge",350
" Non-Newborn Slitting of Prepuce",6330
" Non-Selective Cath Placement in Aorta",884
" Open Fem Art Expose for Endovasc Prosthesis Delivery, Unilat",5904
" Open Rad Nephrectmy including part ureterectmy, w/rgnl lymphadenectmy/vena caval thrombectmy",9499
" Open repair of incarcerated inguinal hernia using mesh in adult",7452
" Pacemaker Evaluation Dual CHARGE",172
" Pacemaker Evaluation Dual Charge",373
" Pacemaker Evaluation Single CHARGE",373
" Pacemaker Reprogram Cardiac Rehab CHARGE",199
" Pacemaker Reprogram Single",172
" Partial amputation of penis",9884
" Penile Plastic Operation for Injury",12902
" Physical Perf Test Each 15 min Cardiac Rehab CHARGE",135
" PMCT CHARGE",170
" Primary Mechanical Thrombectomy, Noncoronary, Arterial, Init Vessel",12108
" Prostate Biopsy, Needle/Punch-1 or  more",2909
" Psychological Testing Charge",650
" Pulmonary Rehab w Exercise 1 hr Cardiac Rehab CHARGE",337
" Pulmonary Stress Test Complete Cardiac Rehab CHARGE",574
" Pulse Oximetry Multiple Dete Cardiac Rehab CHARGE",188
" Pulse Oximetry Single Determin Cardiac Rehab CHARGE",78
" Removal Of Kidney Stone",9499
" Repair Blood Vessel, Direct, Lower Extremity",5111
" Repair recurrent incisional/ventral hernia, incarc/strangulate",7353
" Repair recurrent inguinal hernia, incarc/strangulate",7353
" Revise/Remove Neuroelectrode",6002
" Rhythm ECG Tracking Only Cardiac Rehab CHARGE",162
" Routine Echo w Color Doppler Charge",2327
" Selective Cath Placement; 1st Ord Abd/Pelvic/Lower Extremity Art Brnch",1210
" Selective Cath Placement; 1st Ord Thoracic or Brachiceph Art Branch",1511
" Selective Cath Placement; 2nd Ord Abd/Pelvic/Lower Extremity Art Brnch",1210
" Selective Cath Placement; 2nd Ord Thoracic or Brachiceph Art Branch",1815
" Selective Cath Placement; 3rd Ord Abd/Pelvic/Lower Extremity Art Brnch",2117
" Simple Lac Repair Ext/Scalp 2.6-7.5CM",1317
" Simple Orchiectomy, scrotal or inguinal approach",7279
" Six Minute Walk Test Cardiac Rehab CHARGE",574
" Stent & Atherectomy, Femoral/Popliteal, Unilateral",54318
" Stent Placement, Iliac, Unilateral, each addl ipsilateral Iliac Vessel",37614
" Stent Placement, Iliac, Unilateral, initial vessel",38874
" Stent, Femoral/Popliteal, Unilateral",38434
" Stent, Tibeal/Peroneal, Unilateral, initial vessel",50271
" Stress Echo CHARGE",2077
" Stress Echo w Contrast CHARGE",1587
" Stress Echo with Contrast Charge",2116
" Stress TTE Complete Charge",3292
" Subsequent Hospital Care/Day 35 Minutes",135
" Surgical Reduction of Testis Torsion",5987
" Therapeutic Exercise Single Cardiac Rehab CHARGE",135
" Therapeutic Group Cardiac Rehab CHARGE",202
" Therapeutic Proc > 1 area 15 min Cardiac Rehab CHARGE",135
" Tissue grafts, other (eg, paratenon, fat, dermis)",5491
" Transperineal Ndl/Catheter Place in Prostate-Brachytherapy",8963
" Treatment of Extremity Pseudoaneurysm via Injection (eg, thrombin)",1085
" TTE w or wo Contrast Cont ECG",2116
" TURP; residual or regrowth w/control of postop bleeding, complete",9499
" Unlisted Vascular Surgery Procedure",3669
" Upper Duplex Ext Venous Left CHARGE",1439
" Urine without Microscope",35
" Varicocele Excision or Spermatic Vein Ligation for Varicocele",7279
" Vas Deferens Repair (Reverse Vasectomy)",3954
" Venous Mechanical Thrombectomy",12108
" ZIO XT Monitor CHARGE",469
"00002-7623-01 PEMETREXED 500 MG VIAL",108
"00002-7640-01 PEMETREXED 100MG VIAL",128
"00002-7669-01 RAMUCIRUMAB 100MG 10ML VIAL",96
"00002-7678-01 RAMUCIRUMAB 500MG 50ML VIAL",96
"00002-8215-01 INSULIN(HUM R)IVDRIP1UNIT/ML100ML",1
"00002-8215-17 Humulin insulin Reg Human Recomb",1
"00002-8926-01 Olaratumab (Lartruvo) 500 MG/50 ML",4843
"00003-2291-11 EMPLICITI: Elotuzumab 300mg",3319
"00003-2327-11 ipilmumab 50 mg vial",29
"00003-2328-22 IPILIMUMAB 200MG 40ML VIAL",8
"00003-3772-11 NIVOLUMAB SOLN 40MG/4ML",54
"00003-3774-12 NIVOLUMAB SOLN 100MG/10ML",45
"00003-4522-11 EMPLICITI: Elotuzumab 400mg",4425
"00004-0350-09 PEGINTFER ALFA2A 180MCG 1ML VIAL",1772
"00005-1971-05 PREVNAR 13 0.5ML PREFIL SYRINGE",482
"00006-3026-02  Pembrolizumab (Keytruda) 100MG/4ML",81
"00006-3026-05 PEMBROLIZUMAB 25MG/4ML 100MG VIAL",81
"00006-3029-02 KEYTRUDA 50MG/15ML SDV",81
"00006-3061-00 EMEND: Fosaprepitant 150 MG",6
"00006-3843-71 ERTAPENEM 1GM VIAL",168
"00006-3941-32 FOSAPREPITANT 150MG 10ML VIAL",5
"00006-4739-00 Pneumoccocal 25mcg .5ml vial",764
"00006-4837-03 Pneumovax23: Pneumococcal 23 val psac vacc",260
"00006-4943-01 Pneumovax 23  25mcg",260
"00006-4995-00 ENGERIX-B: Hep B Vaccine",210
"00006-4995-01 HEPATITIS B VACCINE .5ML 10X.5ML",78
"00007-4401-06 ARRANON: Nelarabine 250 mg",1551
"00008-1179-01 TEMSIROLIMUS 25 MG KIT",87
"00009-0011-03 HYDROCORTISONE 100MG 2ML VIAL",50
"00009-0039-30 METHYLPREDINSOLONE SUCC 40MG/1ML VL",36
"00009-0039-32 METHYLPREDINSOLONE SUCC 40MG/1ML VL",36
"00009-0047-22 METHYLPREDNISOL SUCC 125MG/2ML VL",48
"00009-0626-01 MEDROXYPROGESTERO 400MG/ML 2.5ML VL",16
"00009-0758-01 METHYLPREDNISOLO 500MG/4ML 4ML VL",29
"00009-0825-01 HYDROCORTISONE 100MG 2ML VIAL",37
"00009-1111-01 IRINOTECAN 40MG/2ML VIAL",4
"00009-1111-02 IRINOTECAN 20MG/ML 5ML VIAL",22
"00009-5093-01 EPIRUBICIN 200MG/100ML VIAL",5
"00009-7224-02 ATGAM: Lymphocyte immune globulin",5304
"00009-7529-03 IRINOTECAN HCL SOLN 20MG/ML 5ML VIAL",22
"00009-7529-04 IRINOTECAN HCL SOLN 40MG/2ML 2ML VIAL",6
"00009-7529-05 CAMPTOSAR: Irinotecan HCI 300 MG/15 ML vial",19
"00013-8727-89 DEXRAZOXANE 500MG 1ML VIAL",323
"00015-1910-12 IXABEPILONE 15MG KIT",125
"00015-1911-13 IXABEPILONE 45MG",125
"00024-2792-10 FERRLECIT Sodium ferric gluc cplx",36
"00024-5150-10 RASBURICASE 1.5MG",1287
"00024-5151-75 RASBURICASE 7.5MG VIAL",429
"00024-5824-11 CABAZITAXEL 60MG/1.5ML KIT",261
"00024-5840-01 ZIV-AFLIBERCEPT 100MG 4ML VIAL",18
"00024-5841-01 ZIV-AFLIBERCEPT 200MG 8ML VIAL",15
"00069-0103-03 VINORELBINE TARTRATE 10MG/ML 5ML VIAL",45
"00069-0105-03 FLUMAZENIL 0.1MG/ML 5ML VIAL",52
"00069-0177-02 DEXAMETHASONE 10MG/ML 10ML VIAL",1
"00069-0186-01 PAMIDRONATE 30MG 10ML VIAL",71
"00069-0205-50 VINORELBINE TARTRATE 10MG/ML 5ML VIAL",45
"00069-3034-20 DOXORUBICIN 10ML INJECTION",13
"00069-4034-01 DOXORUBICIN 10ML INJECTION",13
"00071-0418-13 NITROGLYCERIN SUBL 0.4MG TABLET",2
"00074-3346-03 LEUPROLIDE (3MONTH) 22.5MG SYRG",1567
"00074-3473-03 LEUPROLIDE 45 MG KIT",310
"00074-3641-03 Lupron: Leuprolide acetate",1566
"00074-3642-03 LEUPROLIDE 7.5MG SYRG",1866
"00074-3663-03 Lupron (3 month)3.75 mg",1721
"00074-3683-03 LEUPROLIDE (4MONTH) 30 MG SYRG",1567
"00075-2451-01 DESMOPRESSIN 4MCG/ML 1ML AMP",31
"00075-2915-01 ENOXAPARIN 150MG/ML 1ML SYRG",15
"00078-0181-01 SandoSTATIN: Octreotide acetate 100mcg ampule",31
"00078-0340-61 OCTREOTIDE ACETATE 10MG SYRG",379
"00078-0341-61 OCTREOTIDE ACETATE 20MG SYRG",249
"00078-0342-61 OCTREOTIDE ACETATE 30MG SYRG",248
"00078-0435-61 ZOLEDR ACID-MANNTL5MG/100ML-1MG",391
"00078-0495-61 ALDESLEUKIN 22 MILLION UNIT VIAL",1551
"00078-0590-61 ZOLEDRONIC ACID-MANNITOL-WATER (Zometa) 100ML BAG",29
"00078-0646-81 SandoSTATIN LAR: Octreotide acetate",418
"00078-0647-81 SandoSTATIN LAR: Octreotide acetate 20 mg",291
"00078-0648-81  SandoSTATIN LAR: Octreotide acetate 30MG",248
"00078-0669-13 ARZERRA: Ofatumumab",288
"00078-0690-61 ARZERRA: Ofatumumab 1000mg",13
"00085-0539-01 ITERF ALFA-2B 50MILLION UNIT VIAL",35
"00085-0571-02 INTERFER ALFA-2B 10MILLION UNITVL",59
"00085-1110-01 INTFER ALFA2B 18MILLION UNIT VL",50
"00085-1133-01 INTFER ALFA2B 25MILLUNIT 3.2ML VL",592
"00085-1168-01 Intron-A: interferon alfa      ",53
"00085-1287-02 PEGINFER ALFA2B 444MCG VIAL",3320
"00085-1304-01 PEGINTEF ALFA2B 120MCG/0.5ML KIT",1780
"00085-1388-01 PEGINTF ALFA2B 296MCG VIAL",2214
"00085-4350-01 Intron-A: interferon alfa      ",53
"00085-4351-01 INTFER ALFA2B 18MILLION UNIT VL",52
"00143-9552-01 Leucovorin calcium",47
"00143-9681-10 FLUMAZENIL 0.1MG/ML 5ML VIAL",4
"00143-9684-10 FLUMAZENIL 0.1MG/ML 5ML VIAL",30
"00143-9701-01 Camptosar:Irinotecan HCI",4
"00143-9702-01 CAMPTOSAR: Irinotecan CHI",4
"00143-9872-01 PROPRANOLOL 1MG/ML 1ML VIAL",18
"00143-9890-01 ONDANSETRON HCL 2MG/ML 20ML VIAL",1
"00173-0821-33 OFATUMUMAB (Arzerra)",288
"00264-7510-10 D5W (EXCEL) 500ML IV BAG",35
"00264-7510-20 D5W (EXCEL) 250ML IV BAG",35
"00264-7800-00 SODIUM CHLORIDE .9% 1000ML 12CS",35
"00264-7800-10 NS EXCEL BAG 500ML",35
"00264-7800-20 DEXTROSE 5% IN WATER D5W",27
"00310-0720-10 FULVESTRANT 250MG/5ML SYRG",193
"00310-0950-36 GOSERELIN 3.6MG SYRG",913
"00310-0951-30 GOSERELIN 10.8MG SYRG",664
"00338-1305-01 MESNEX:Mesna 100 MG/10 ML Vial",12
"00338-5197-41 Pepcid: Famotidine",34
"00409-0181-01 Gemzar Gemcitabine HCI 200mg",232
"00409-0181-25 Gemcitabine  (gemzar) ",43
"00409-0182-01 Gemzar: Gemcitabine HCI200MG",232
"00409-0182-25 GEMCITABINE 2GM VIAL",38
"00409-0183-01 Gemcitabine  (gemzar) ",64
"00409-0183-25 GEMZAR: Gemcitabine HCI",69
"00409-0185-01 GEMCITABINE 200MG VIAL",70
"00409-0186-01 GEMCITABINE 1GM VIAL",47
"00409-0187-01 GEMCITABINE 2GM VIAL",38
"00409-0201-20 DOCETAXEL 160MG/16ML VIAL",13
"00409-0302-01 TOPOTECAN 4MG 4ML VIAL",10
"00409-0302-25 TOPOTECAN 4MG 4ML VIAL",10
"00409-1176-30 MEPERIDINE 25MG/ML 1ML CARPJ",45
"00409-1178-30 Demerol (meperidine)",40
"00409-1215-01 NALOXONE 0.4MG/ML 1ML VIAL",230
"00409-1215-25 NALOXONE 0.4MG/ML 1ML VIAL",296
"00409-1219-01 NALOXONE 0.4MG/ML 1ML VIAL",57
"00409-1253-01 MEPERIDINE 50MG/ML 1ML AMP",5
"00409-1273-32 DIAZEPAM 10MG/2ML 2ML SYRG",53
"00409-1323-05 LIDOCAINE HCL 100MG/5ML(2%)5MLSYR",19
"00409-1412-04 BUMETANIDE 0.25MG/ML 4ML VIAL",9
"00409-1890-01 MORPHINE SULFATE 2MG/1ML",75
"00409-2168-02 MAGNESIUM SULFATE 4MEQ/ML 20ML VL",4
"00409-2336-10 DEFEROXAMINE 500MG VIAL",51
"00409-4031-01 OSMITROL: Mannitol 12.5 GM/50 ML vial",11
"00409-4910-34 ATROPINE 0.5ML/5ML SYRG",5
"00409-4911-34 ATROPEN: Atropine sulfate 1mg (.01 mg vial)",5
"00409-4921-34 EPINEPHRINE 0.1MG/ML 10ML ABBOJECT",3
"00409-5921-01 AMINOPHYLLINE 250MG/10ML VIAL",78
"00409-6102-02 FUROSEMIDE INJ 10MG/ML 2ML VIAL",23
"00409-6102-04 FUROSEMIDE INJ 10MG/ML 4ML VIAL",18
"00409-6102-25 FUROSEMIDE INJ 10MG/ML 2ML VIAL",23
"00409-6533-01 VANCOMYCIN 1GM VIAL",16
"00409-6533-49 VANCOMYCIN 1GM VIAL",16
"00409-6625-02 SODIUM BICARBONATE 8.4% 50ML VIAL",56
"00409-6635-01 potassium chloride 10meq",6
"00409-6648-02 DEXTROSE 50% IN WATER  50ML VIAL",23
"00409-6651-06 POTASSIUM CHLORIDE 2MEQ/ML 10MLVL",3
"00409-6653-05 POTASSIUM CHLORIDE 2MEQ/ML 20MLVL",2
"00409-6729-23 Magnesium Sulfate 4GM/100 ML STERILE WATER",6
"00409-6729-24 Magnesium Sulfate 2 GM/50 ML Sterile Water Bag",22
"00409-6780-02 ATIVAN: LORazepam",6
"00409-7241-01 EPINEPHRINE 1MG/ML  1ML AMPULE",2
"00409-7332-01 CEFTRIAXONE 1 GM VIAL",3
"00409-7337-01 CEFTRIAXONE 250 MG VIAL",7
"00409-7517-16 DEXTROSE 25GM/50M L ANSYR SYRG",18
"00409-7923-36 DEXTROSE 5%IN WATER (D5W)",16
"00409-9157-01 PHYTONADIONE 1MG/0.5ML AMP",33
"00409-9158-01 PHYTONADIONE 10MG/ML 1ML AMP",7
"00517-0401-25 atropen sulfate 0.4 mg",1
"00517-0650-01 FERRIC CARBOX IRON 750MG 15ML VL",7
"00517-1010-25 ATROPINE 1MG/ML 1ML VIAL",2
"00517-2310-05 IRON SUCROSE 200MG 10ML VIAL",4
"00591-0149-87 ferrlecit sodium ferric gluc cplx 62.5mg",18
"00591-2508-87 SODFER GLUCO-SUCRO 62.5MG/5ML VL",18
"00641-0367-25 DEXAMETHASONE 10MG/ML 1ML VIAL",1
"00641-0376-25 DIPHENHYDRAMINE HCL 50MG/ML 1MLVL",8
"00641-0928-25 PROMETHAZINE 25MG/ML 1ML VIAL",14
"00641-0955-25 PROMETHAZINE 25MG/ML 1ML VIAL",14
"00641-1410-35 DIGOXIN 0.25MG/ML  2ML AMPULE",30
"00641-6006-10 ATROPINE 0.4MG/ML 20ML VIAL",1
"00641-6008-10 BUMETANIDE 0.25MG/ML 4ML VIAL",9
"00641-6021-10 FAMOTIDINE 10MG/ML 20ML VIAL",7
"00641-6022-25 FAMOTIDINE 10MG/ML 2ML VIAL",9
"00641-6044-25 LORAZEPAM 2MG/ML 1ML VIAL",5
"00641-6046-10 LORAZEPAM 2MG/ML 10ML VIAL MDV",5
"00641-6048-25 Ativan: Lorazepam",5
"00641-6050-10 ativan lorazepam 20mg",5
"00641-6072-01 MORPHINE 15MG/ML 20ML VIAL",20
"00641-6079-01 Zofran: Ondansetron HCI 2mg/ml 20ml vial",2
"00703-3155-01 BLEOMYCIN 30 UNIT VIAL",170
"00703-3671-03 METHOTREXATE SODIUM 50MG 2ML VIAL",20
"00703-3671-93 Methotrexate sodium 50mg",20
"00703-3678-01 Methotrexate sodium",7
"00703-4239-01 CARBOPLATIN 600MG 60 ML VIAL",17
"00703-4402-11 ONCOVIN:VinCRIStine sulfate",36
"00703-4432-11 Camptosar: Irinotecan 40MG",4
"00703-4685-01 MITOXANTRONE 2MG/ML 10ML VIAL",82
"00703-4714-01 HYCAMTIN: Topotecan HCI",8
"00703-5040-01 adriamycin doxorubicin hci 200mg",21
"00703-5075-01 DARCARBAZINE 200MG 20ML VIAL",46
"00703-5140-01 LEUCOVORIN CALCIUM",28
"00703-5145-01 LEUCOVORIN CALCIUM 350 MG VIAL",17
"00703-5145-91 LEUCOVORIN CALCIUM 350 MG VIAL",17
"00703-5656-01 VEPESID/TOPOSAR: Etoposide",3
"00703-5657-01 ETOPOSIDE 20MG/ML  50ML VIAL",3
"00703-5657-91 ETOPOSIDE 1GM 50ML VIAL",3
"00703-5748-11 CISPLATIN 100ML VIAL",21
"00703-8560-23 ENOXAPARIN 60MG/0.6ML SYRG",11
"00703-8680-23 ENOXAPARIN 80MG/0.8ML SYRG",9
"0075-0622-80 ENOXAPARIN 80MG/0.8ML SYRG",9
"00781-3207-95 ceftriaxone sodium 500 MG vial",5
"00781-3208-95 Ceftriaxone Sodium (Rocephin) 1GM",3
"00781-3253-94  AzaCITIDine 100MG vial (VIDAZA)",6
"00781-3500-69 LOVENOX: Enoxaparin 100mg (10mg syringe)",10
"00781-9253-94 AZACITIDINE 1MG VIAL",9
"00781-9315-70 Oxaliplatin 50 MG/10 ML (ELOXATIN)",2
"00781-9317-80 Oxaliplatin 100 MG/20 ML (ELOXATIN)",3
"00781-9328-95 CEFTRIAXONE 1 GM VIAL",3
"00781-9350-95 PIPERACILLIN-TAZO 3.375 GM",61
"00944-2700-04 Gammagard: Immune Globulin 5000 mg",95
"00944-2700-05 Gammagard: Immune Globulin 10000mg",89
"00944-2700-07  Gammagard: Immune Globulin 30000mg",155
"00955-1003-10 ENOXAPARIN 30MG/0.3 ML SYRG",11
"00955-1004-10 ENOXAPARIN 40MG/0.4ML SYRG",12
"00955-1006-10 ENOXAPARIN 60MG/0.6ML SYRG",11
"00955-1010-10 ENOXAPARIN 100MG/ML 1ML SYRG",17
"00955-1012-10 ENOXAPARIN 120MG/0.8ML SYRG",8
"00955-1015-10 ENOXAPARIN 150MG/ML 1ML SYRG",2
"00955-1727-20 ELOXATIN: Oxaliplatin",2
"0409-0181-25 GENICITABINE 1GM VIAL",43
"1 Level Visit - 99211 -> Yes",265
"10019-0925-01 IFOSFAMIDE 1GM VIAL",186
"10019-0938-01 Cyclophosphamide (Cytoxan) 500MG Vial",130
"10019-0939-01 Cyclophosphamide (Cytoxan) 1000 MG Vial",113
"10019-0953-01 MESNA 1GM 10ML VIAL",14
"10019-0955-01 CYCLOPHOSPHAMIDE 500 MG VIAL",134
"10019-0956-01 CYCLOPHOSPHAMIDE 1GM VIAL",116
"10019-0957-01 CYCLOPHOSPHAMIDE 2GM VIAL",97
"15054-0090-01 SOMATULINE: Lanreotide",130
"15054-0090-03 SOMATULINE: Lanreotide",130
"15054-1060-03 SOLATULINE: Lanreotide SYRN 60MG Syringe",125
"15054-1120-03 SOLATULINE: Lanreotide SYRN 120MG Syringe",94
"16729-0108-11 MITOMYCIN 20MG VIAL",213
"16729-0114-31 ETOPOSIDE 100MG 5ML VIAL",8
"16729-0115-05 MITOMYCIN 5MG VIAL",419
"16729-0151-31 TOPOTECAN 4MG 4ML VIAL",10
"16729-0247-11 MUTAMYCIN: MitoMYcin 20 mg (5mg vial)",208
"16729-0276-11 5-FU: Fluorouracil 2.5GM/50ML",15
"16729-0276-38 5-FU: Fluorouracil 5000mg",12
"16729-0277-30 METHOTREXATE SODIUM 50MG 2ML VIAL",35
"17474-0125-05 HEP LOCK FLUSH100UNIT/ML 5MLSYRG",3
"17478-0546-02 GRANISETRON HCL 1000MCG/ML 4ML VL",5
"17478-0546-05 Kytril: Granisetron HCI",4
"18-30 COMPRESSION RTW WAIST HI",181
"23155-0168-31 INJECTION ONDANSETRON HCL 1 MG",1
"23155-0186-31 Zoledronic Acid (ZOLEDRONIC ACID-MANNITOL AND WATER 5MG/100ML)",346
"23155-0294-42 PROCHLORPER EDISY 5MG/ML 2ML VIAL",77
"23155-0549-31 Zofran: Ondansetron HCI  2MG/ML 20ML VIAL",1
"24 Hr pH Monitoring w/o Capsule -> Yes",1737
"24 hr pH Study -> Yes",1273
"24208-0002-01 HYALURONIDASE (OVINE) 200U/ML 1.2ML VIAL",2
"25021-0201-10 MESNA 100MG/ML 10ML VIAL",14
"25021-0201-11 MESNA 100MG/ML 10ML VIAL",14
"25021-0202-51 paraplatin carboplatin 600 mg",17
"25021-0203-25 EPIRUBICIN 50MG 25ML VIAL",8
"25021-0203-51 EPIRUBICIN 200MG/100ML VIAL",5
"25021-0204-01 VINORELBINE 10MG/ML 1ML VIAL",89
"25021-0204-05 Navelbine: Vinorelbine tartrate 10 mg",89
"25021-0205-05 (Fludara)  fludarabine phosphate ",232
"25021-0207-51 ADRIAMYCIN: DOXOrubicin HCI 10mg (10mg vial)",21
"25021-0211-20 OXALIPLATIN 50MG 10ML VIAL",6
"25021-0215-98 5-FU: Fluorouracil 2.5GM/50ML",14
"25021-0233-10 OXALIPLATIN 50MG 10ML VIAL",6
"25021-0233-20 OXALIPLATIN 100MG 20ML VIAL",3
"25021-0234-10 GEMZAR: Gemcitabine HCI 200 MG Vial",52
"25021-0235-50 Gemzar: Gemcitabine HCI 1000mg",43
"25021-0236-04  Topotecan HCI (Hycamtin) 4MG Vial",8
"25021-0779-01 GRANISETRON HCL 1000MCG/ML 4ML VL",3
"25021-0781-04 GRANISETRON HCL 1000MCG/ML 4ML VL",3
"25021-0801-66 zometa zoledronic 4mg",96
"25021-0813-10 LEUCOVORIN CALCIUM 50MG VIAL",69
"25021-0814-30 LEUCOVORIN CALCIUM 100MG VIAL",64
"25021-0815-30 LEUCOVORIN CALCIUM 200MG VIAL",31
"25021-0816-30 Leucovorin calcium 350MG vial",40
"25021-0826-82 ZOLEDRONIC 4 MG 100ML PREMIX BAG",74
"25021-0830-82 ZOLEDRONIC ACID 5MG/100ML",97
"25021-202-51 CARBOPLATIN 600MG 60 ML VIAL",17
"25021-8113-10 LEUCOVORIN CALCIUM 50MG VIAL",69
"25682-0001-01 ECULIZUMAB 300MG 30ML VIAL",439
"3 Level Visit - 99213 -> Yes",371
"30-40 COMPRESSION KNEE HI",111
"30-40 COMPRESSION RTW WAIST HI",192
"36000-0013-01 Zofran ondansetron HCI 40mg",1
"36000-0282-25 LASIX: Furosemide 20MG",12
"38222 Bone Marrow Aspirate & Biopsy",616
"3D RENDER W/INTRP POSTPROCES - IND WS",1821
"3D SIMULATION PLANNING",9361
"40-50 COMPRESSION RTW KNEE HI",142
"42023-0163-01 RECLAST: Zoledronic Acid",118
"42998-0402-01 ISOPROTERENOL 0.2MG/ML 5ML AMPULE",3144
"42998-0402-05 ISOPROTERENOL 0.2MG/ML 5ML AMPULE",3144
"43598-0330-11 ZOLEDRONIC ACID 4MG/5ML 5ML VIAL",92
