"Mnemonic","Description","Price"
"20550FAC","INJ TENDON SHEATH/LIGAMENT",309
"20551FAC","INJ TENDON ORIGIN/INSERTION",309
"20552FAC","TRIGGER POINT INJ 1-2 MUS G",360
"20553FAC","TRIGGER POINT INJ 3+ MUSCLE",360
"20600FAC","DRAIN/INJ JOINT/BURSA W/O U",309
"20604FAC","DRAIN/INJ JOINT/BURSA W/US",444
"20605FAC","DRAIN/INJ JOINT/BURSA W/O U",325
"20606FAC","ARTHROCENT INTERMED JNT/BUR",418
"20610FAC","DRAIN/INJ JOINT/BURSA W/O U",355
"20611FAC","ARTHROCENTESIS MAJOR JNT/BU",418
"23500FAC","TREAT CLAVICLE FRACTURE",256
"24650FAC","TREAT RADIUS FRACTURE",338
"25600FAC","TREAT FRACTURE RADIUS/ULNA",394
"26600FAC","TREAT METACARPAL FRACTURE",338
"26605FAC","TREAT METACARPAL FRACTURE",378
"26720FAC","TREAT FINGER FRACTURE EACH",256
"26750FAC","TREAT FINGER FRACTURE EACH",256
"26770FAC","TREAT FINGER DISLOCATION",244
"27760FAC","CLTX MEDIAL ANKLE FX",394
"27786FAC","TREATMENT OF ANKLE FRACTURE",337
"28190FAC","REMOVAL OF FOOT FOREIGN BOD",915
"28470FAC","TREAT METATARSAL FRACTURE",338
"28490FAC","TREAT BIG TOE FRACTURE",256
"28660FAC","Treat toe dislocation",251
"29105FAC","APPLY LONG ARM SPLINT",259
"29125FAC","APPLY FOREARM SPLINT",292
"29130FAC","APPLICATION OF FINGER SPLIN",266
"29345FAC","APPLICATION OF LONG LEG CAS",302
"29505FAC","APPLICATION LONG LEG SPLINT",162
"29515FAC","APPLICATION LOWER LEG SPLIN",162
"30300FAC","REMOVE NASAL FOREIGN BODY",249
"62368FAC","ANALYZE SP INF PUMP W/REPRO",384
"62369FAC","ELECT ANALYSIS OF PROG PUMP",482
"64400FAC","INJ TRIGEMINAL NERVE BLOCK",737
"64405FAC","N BLOCK INJ OCCIPITAL",608
"64413FAC","N BLOCK INJ CERVICAL PLEXUS",515
"64418FAC","N BLOCK INJ SUPRASCAPULAR",489
"64420FAC","INJ INTERCOSTAL NERVE SGL",712
"64421FAC","INJ INTERCOSTAL NERVE MULTI",677
"64425FAC","N BLOCK INJ ILIOING/HYPOGI",492
"64447FAC","N BLOCK INJ FEM SINGLE",407
"64450FAC","INJ OTHER PERIPHERAL NERVE",930
"64486FAC","TAP BLOCK UNIL BY INJECTION",47
"64488FAC","TAP BLOCK BILAT INJECTION",47
"64505FAC","N BLOCK SPENOPALATINE GANGL",760
"64611FAC","CHEMODENERV SALIV GLANDS",462
"64612FAC","DESTROY NERVE FACE MUSCLE",562
"64615FAC","CHEMODENERV MUSC MIGRAINE",371
"64616FAC","CHEMODENERV OF MUSCLES NECK",482
"64617FAC","CHEMODENERV OF MUSCLES LARY",760
"64642FAC","CHEMODENERV ONE EXTREMITY 1",760
"64643FAC","CHEMODENERVATION ONE EXTREM",491
"64644FAC","CHEMODENERV ONE EXTREM 5+ M",760
"64645FAC","CHEMODENERVATION ONE EXTREM",491
"64646FAC","CHEMODENERV TRUNK MUSC 1-5",760
"64647FAC","CHEMODENERVATION TRUNK MUSC",760
"65210FAC","REMOVE FOREIGN BODY FROM EY",539
"65220FAC","REMOVE FOREIGN BODY FROM EY",472
"69200FAC","CLEAR OUTER EAR CANAL",155
"69209FAC","REMOVE IMPACTED EAR WAX",113
"69210FAC","EAR IRRIGATION",155
"76536FAC","US EXAM OF HEAD AND NECK",644
"76942FAC","USG FOR NEEDLE PLACEMENT",520
"80305FAC","DRUG SCREEN ANY NUMBER CLAS",72
"83026FAC","Hemoglobin copper sulfate",25
"90471FAC","INJ ADMIN",68
"94640FAC","NEBULIZER TREAT",144
"95250FAC","GLUCOSE MONITORING CONT",196
"95874FAC","GUIDE NERV DESTR NEEDLE EMG",60
"95885FAC","MUSC TST DONE W/NERV TST LI",294
"95886FAC","MUSC TEST DONE W/N TEST COM",410
"95887FAC","MUSC TST DONE W/N TST NONEX",274
"95907FAC","NVR CNDJ TST 1-2 STUDIES",281
"95908FAC","NRV CNDJ TST 3-4 STUDIES",360
"95909FAC","NRV CNDJ TST 5-6 STUDIES",403
"95910FAC","NRV CNDJ TEST 7-8 STUDIES",557
"95911FAC","NRV CNDJ TEST 9-10 STUDIES",625
"95912FAC","NRV CNDJ TEST 11-12 STUDIES",803
"95913FAC","NRV CNDJ TEST 13/> STUDIES",787
"95970FAC","ANALYSIS NEUROSTIM W/O PROG",192
"95971FAC","ANALYZE NEUROSTIM SIMPLE",373
"96360FAC","IV INFUSION",272
"96361FAC","HYDRATE IV INFUSION ADD-ON",90
"96372FAC","THER/PROPH/DIAG INJ SC/IM",82
"96374FAC","THER/PROPH/DIAG INJ IV PUSH",244
"96375FAC","THER/PROPH/DIAG INJ IV PUSH",194
"97605FAC","NEG PRESS WOUND TX </=50 CM",162
"97802FAC","MEDICAL NUTRITION INDIV IN",38
"97803FAC","MED NUTRITION INDIV SUBSEQ",35
"97804FAC","MEDICAL NUTRITION GROUP",26
"98925FAC","Osteopath manip1-2 regions",92
"98926FAC","Osteopath manip 3-4 regions",92
"99000FAC","CONVEYANCE OF SPECIMEN",21
"G0108FAC","DIAB MANAGE TRN PER INDIV",120
"G0109FAC","DIAB MANAGE TRN IND/GROUP",89
"G0463FAC","OUTPATIENT CLINIC VISIT",158
"J0475FAC","BACLOFEN 10 MG INJECTION",331
"J0585FAC","BOTULINUM TOXIN A PER UNIT",6
"J0585JWFAC","BOTULINUM TOXIN A PER UNIT",6
"J0587FAC","BOTULINUM TOXIN TYPE B",13
"J0588FAC","INCOBOTULINUMTOXIN A",6
"J0897FAC","Denosumab injection 1mg",24
"J1030FAC","METHYLPREDNIS ACET 40MG INJ",17
"J1100FAC","DEXAMETHASONE SODIUM PHOS",12
"J1885FAC","KETOROLAC TROMETHAMINE INJ",17
"J3301FAC","TRIAMCINOLONE ACET INJ NOS",6
"J7321FAC","HYALGAN/SUPARTZ INJ PER DOS",152
"J7323FAC","EUFLEXXA INJ PER DOSE",638
"J7326FAC","HYALURONAN OR DERIVATIV GEL",945
"J7999FAC","IMPLANTABLE PUMP - DRUGS",250
39001,"IP HEMODIALYSIS",426
39002,"OP HEMODIALYSIS",496
"G0257","Unsch outpt dialysis ESRD h",540
"ICU118","HOSPICE ACUTE",690
"ICU150","ICU ROOM RATE",2285
"ICU300","PACU 1ST HOUR",1789
"ICU302","OBSERVATION PER HOUR",95
"ICU303","DIRECT ADMIT OBSV CARE",575
"ICU90471","ICU VACC ADMIN SINGLE",68
"ICU90782","INJECTION IM/SQ THER/PRO/DI",82
"ICU90784","IV PUSH INITIAL THPY/PRO/DX",244
"ICU90945","Dialysis non-hemo single ev",412
"ICU96367","IV ADD SEQ INF UP TO 1 HR T",248
"ICUB1","BLOOD ADMINISTRATION",881
"ICUFLU","ICU-INFLUENZA VACCINE",37
"ICUIVA","IV PUSH EA ADD THPY/PRO/DX",194
"ICUIVI","IV INITIAL 31 MIN - 1 HR -H",272
"ICUIVIT","IV INITIAL UP TO 1 HR - THE",327
"ICUIVPSD","TX/PRO/DX INJ SAME DRUG ADO",168
"ICUIVS","IV SUBSEQ EA ADD HR - HYDRA",90
"ICUIVST","IV SUBSEQ EA ADD HR - THERA",107
"49083ED","EDUS ABD PARACENTESIS W IMA",952
"76512ED","ED US OCULAR (EYE)",366
"76536ED","ED US SOFT TISSUE FACE NECK",644
"76604ED","ED US CHEST",458
"76642RTED","EDUS Rt Breast Ltd",257
"76705ED","ED US ABDOMEN LIMITED",1202
"76775ED","ED US RETROPERITONEAL LIMIT",324
"76815ED","ED US TRANSABDOMINAL PREGNA",489
"76857ED","ED US PELVIC LIMITED",824
"76882ED","ED US EXTREMITY - NON VASC",668
"76937ED","ED US VASCULAR ACCESS",179
"83514ED","ISTAT TROPONIN",83
"90051A","ED-VENIPUNCTURE",31
"90471ED","VACCINE ADMINISTRATION SING",68
"90472ED","VACCINE ADMINSTRATION; EA A",48
"90782ED","INJECTION IM/SQ THER/PRO/DI",82
"90784ED","IV PUSH INITIAL THPY/PRO/DX",244
"92960ED","CARDIOVERSION",932
"92977ED","THROMBOLYTIC ADMINISTRATION",1316
"93308ED","EDUS CARDIAC HEMODYNAMIC AS",397
"93970-52ED","ED US BIL DEEP VEIN THROMBO",1019
"93971LTED","ED US LT DEEP VEIN THROMBOS",681
"93971RTED","ED US RT DEEP VEIN THROMBOS",681
"99281ED","LEVEL 1 EMERGENCY CARE",293
"99282ED","LEVEL 2 EMERGENCY CARE",412
"99283ED","LEVEL 3 EMERGENCY CARE",759
"99284ED","LEVEL 4 EMERGENCY CARE",997
"99285ED","LEVEL 5 EMERGENCY CARE",1764
"99291ED","LEVEL 6 CRITICAL CARE -E.D.",2595
"99292ED","CRITICAL CARE -EA ADD'L 30",710
"ARTERIPUNC","ED ARTERIAL PUNCTURE",128
"CATHINSED","INSERTION OF FOLEY CATHETER",130
"ED302","ED-OBSERVATION PER HOUR",33
"ED96367","IV ADD SEQ INF UP TO 1 HR T",248
"ED96368","IV CONCURRENT INFUSION",121
"EDB1","BLOOD ADMINISTRATION",881
"EDBDRAW","ED-BLOOD ALCOHOL DRAW",60
"EDFLU","ED - INFLUENZA VACCINE",37
"EDIVI","IV INITIAL 31 MIN - 1 HR -H",272
"EDIVIT","IV INITIAL UP TO 1 HR - THE",327
"EDIVPSD","TX/PRO/DX INJ SAME DRUG ADO",168
"EDIVS","IV SUBSEQ EA ADD HR - HYDRA",90
"EDIVST","IV SUBSEQ EA ADD HR - THERA",107
"EDPROC1","ED PROCEDURE LEVEL 1",385
"EDPROC2","ED PROCEDURE LEVEL 2",515
"EDPROC3","ED PROCEDURE LEVEL 3",644
"EDPROC4","ED PROCEDURE LEVEL 4",1028
"EDPROC5","ED PROCEDURE LEVEL 5",2396
"IVAED","IV PUSH EA ADD THPY/PRO/DX",194
8010115,"SURGICEL 4X8 1952",874.184805
8010265,"GEL IODOSORB 40G 6602125040",563.1525
8030821,"DERMABOND SKIN ADHESIVE",228.58524
8030908,"TRAY SUTURE TRISTATE",153.6975
8050159,"CATHETER HEMATURIA 24 FR 3",240.1569
8050207,"CATHETER HEMATURIA 22FR 3 W",240.1569
8050362,"SET URETERAL DILATATION 240",1806.3405
8070241,"NEEDLE EZ-I ADULT STERILE 9",1659.69
8070242,"NEEDLE EZ-I PEDIATRIC 9018",1659.69
8070293,"SAFESTEP PORT ACCESS 3/4 2""",194.4
8070297,"POWERLOC PORT ACCESS 3/4 2""",206.55
8070298,"POWERLOC PORT ACCESS 3/4 2""",147.015
8090067,"CATHETER INFUSION INSYTE 20",171.106
8090068,"CATHETER INFUSION INSYTE 22",171.106
8090069,"CATHETER INFUSION INSYTE 18",171.106
8090070,"CATHETER INFUSION INSYTE 20",171.106
8090071,"CATHETER INFUSION INSYTE 16",171.1471
8090072,"CATHETER INFUSION INSYTE 14",171.106
8090275,"CATHETER INFUSION INSYTE 24",171.106
8090314,"CATHETER INFUSION INSYTE 24",171.9196
8090326,"CATHETER INSYTE 20 X 1.88",171.15276
8090347,"SET TUBING INFUSER 3-SPIKE",1674.421875
8090353,"CATHETER INSYTE 18 X 1.88",171.15276
8110053,"DRAIN CHEST SYSTEM PLEUROVA",503.708625
8120011,"CAUTERY ACCU-TEMP",136.6389
8160052,"IMMOBILIZER KNEE UNIVERSAL",215.49969
8160053,"IMMOBILIZER KNEE UNIN 7088-",247.661955
8160055,"IMMOBILIZER KNEE UNIVERSAL",264.30624
8160440,"IMMOBILIZER KNEE UNIVERSAL",258.54957
10254,"DRESSING PROFORE LATEX FREE",115.63
8180083,"PUMP BREAST UNIVERSAL MEDEL",341.658
8220274,"LINE SAMPLE NASAL CO2 4000",58.08186
8220739,"FILTER LINE H SET",150.0525
8240039,"STOCKING SCD TEARAWAY LG",531.8865
10358,"DRESSING ALLEVYN AG 5 X 5",127.76
8250148,"MORGAN LENS",290.385
8250360,"KIT PERC SHEATH INTRODUCER",347.0283
8250613,"VACUUM DRESSING MED BLACK K",534.2598
8250649,"TRAY TRIPLE LUMEN IC 7FR 20",1561.183875
8250705,"TRAY TRIPLE LUMEN COOK 7FR/",1202.85
8261181,"SURGICEL SNOW 2X4 2082 J&J",2533.30175
8371318,"TUBE GASTROSTOMY 0100-14LV",373.977
8371494,"TUBE GASTROSTOMY 0100-16LV",373.977
8371657,"TUBE GASTROTOMY FEED 0100-2",448.578
8371989,"TRAY PNEUMOTHORAX WAYNE G12",2296.593
8372130,"TUBE GASTROSTOMY 0100-18LV",373.977
"SANE","SEXUAL ASSAULT NURSE EXAM",620
"PED302","OBSERVATION PER HOUR",33
"PED303","DIRECT ADMIT OBSERV CARE",575
"PED90782","INJECTION IM/SQ THER/PRO/DI",82
"PED90784","IV PUSH INITIAL THPY/PRO/DX",244
"PED96367","IV ADD SEQ INF UP TO 1 HR T",248
"PEDFLU","PED-INFLUENZA VACCINE",37
"PEDIVA","IV PUSH EA ADD THPY/PRO/DX",194
"PEDIVI","IV INITIAL 31 MIN - 1 HR -H",272
"PEDIVIT","IV INITIAL UP TO 1 HR - THE",327
"PEDIVPSD","TX/PRO/DX INJ SAME DRUG ADO",168
"PEDIVS","IV SUBSEQ EA ADD HR - HYDRA",90
"PEDIVST","IV SUBSEQ EA ADD HR - THERA",107
"PEDS105","PEDS (1 EAST)-ROOM",762
"PEDS96368","IV CONCURRENT INFUSION",121
76946,"USG AMNIOCENTESIS",289
"LACTCONSU","LACTATION CONSULTATION",232
"OB302","OBSERVATION EACH HOUR",33
"OB303","DIRECT ADMIT OBSERV CARE",575
"OB96367","IV ADD SEQ INF UP TO 1 HR T",248
"OB96368","IV CONCURRENT INFUSION",121
"OBFLU","OB-INFLUENZA VACCINE",37
"OBGYN105","OBGYN-ROOM",762
"OBIVPSD","TX/PRO/DX INJ SAME DRUG ADO",168
"NSY121","NEWBORN NURSERY ADVANCED",820
"NSY122","NEWBORN NURSERY INTERMEDIAT",757
"NSY123","NEWBORN NURSERY ROUTINE",694
"NURB1","BLOOD ADMINISTRATION",881
"OB309","NUR-HEARING SCREENING NEWBO",556
"02700F1","VAGINAL DELIVERY WITH BLOCK",4308
"02700G1","VAGINAL DELIVERY",3688
"02700J1","VAGINAL DELIVERY COMPLICATE",4722
"02700K1","PLACENTA DELIVERY/PP REPAIR",723
"02700R.25","C-SECTION RECOVERY EA ADD 1",465
"59020OB","FETAL CONTRACTION STRESS",287
"59025OB","FETAL NON STRESS TEST",276
"OB90471","VACCINE ADMINISTRATION SING",68
"OB90782","INJECTION IM/SQ THER/PRO/DI",82
"OB90784","IV PUSH INITIAL THPY/PRO/DX",244
"OBB1","BLOOD ADMINISTRATION",881
"OBIVA","IV PUSH EA ADD THPY/PRO/DX",194
"OBIVI","IV INITIAL 31 MIN - 1 HR -H",272
"OBIVIT","IV INITIAL UP TO 1 HR - THE",327
"OBIVS","IV SUBSEQ EA ADD HR - HYDRA",90
"OBIVST","IV SUBSEQ EA ADD HR - THERA",107
"AMI10I500","10% AMINO ACIDS 500 ML BOT",128.15
"D10W500","D10W 500 ML BOT",20
"D10WI1000","D10W 1000 ML BOT",20
"D5HNSI1000","D5W\0.45% NACL 1000 ML BOT",20
"D5LRI1000","D5W IN LR 1000 ML BAG",20
"D5NSI1000","D5W\0.9% NACL 1000 ML BOT",20
"D5QNSI1000","D5W\0.225% NACL 1000 ML BOT",20
"D5WI100","D5W 100 ML BOT",26.88
"D5WI1000","D5W 1000 ML BAG",20
"D5WI250","D5W 250 ML BOT",40.13
"D5WI50","D5W 50 ML BAG",20
"D5WI500","D5W 500 ML BAG",20
"D70WI500","D70W 500 ML BOT",54.91
"DHS10I1000","D51/2NS W/KCL10 1000 ML BAG",20
"DHS20I1000","D51/2NS W/KCL20 1000 ML BAG",29.42
"DOP70","DOPAMINE 400MG/D5W 500 ML B",183.46
"EMP75","TPN EMPTY BAG (LITER) 3000M",137.47
"HNSI1000","0.45% NACL 1000 ML BAG",20
"LIDOCI500","0.4% LIDOCAINE/D5W 500 ML B",44.06
"LRI1000","RINGER'S LACTATED 1000 ML B",67.55
"LTA95","LTA KIT 1 EA KIT",68.96
"MAN74","20% MANNITOL 500 ML BOT",137.64
"MANNII50","25% MANNITOL 250 MG/ML VL",20
"NSI100","0.9% NACL 100 ML BAG",20
"NSI1000","0.9% NACL 1000 ML BAG",20
"NSI150","0.9% NACL 150 ML BAG",58.8
"NSI250","0.9% NACL 250 ML BAG",20
"NSI50","0.9% NACL 50 ML BAG",20
"NSI500","0.9% NACL 500 ML BAG",20
"NSIRRI1000","0.9% NACL IRR 1000 ML BOT",20
"WATIRI1000","STERILE H2O FOR IRR 1000 ML",20
"36415MED","VENIPUNCTURE",31
"90471MED","MED VACC ADMIN SINGLE",68
"96360MED","IV INITIAL 31MIN-1HR HYDR",272
"96361MED","IV SUBSEQ EA ADD HR - HYDRA",90
"96365MED","IV INITIAL UP TO 1 HR THERA",327
"96366MED","IV SUBSEQ EA ADD HR - THERA",107
"96367MED","IV ADD SEQ INF UP TO 1 HR T",248
"96368MED","IV CONCURRENT INFUSION",134
"96372MED","INJECTION IM/SQ THER/PRO/DI",82
"96374MED","IV PUSH INITIAL THPY/PRO/DX",244
"96375MED","IV PUSH EA ADD THPY/PRO/DX",194
"96376MED","TX/PRO/DX INJ SAME DRUG ADO",168
"MED105","MEDICAL ROOM",762
"MED117","HOSPICE RESPITE",163
"MED118","HOSPICE ACUTE",690
"MED120","HOSPICE ROUTINE",158
"MED146","ROOM W/ TELEMETRY",1146
"MED302","OBSERVATION PER HOUR",33
"MED303","DIRECT ADMIT OBSERV CARE",548
"MEDB1","BLOOD ADMINISTRATION",881
"MEDFLU","MED INFLUENZA VACCINE",37
"MEDPNEUM","MED PNEUMOCOCCAL VACCINE",53
"SURG105","SURGICAL-ROOM",762
"SURG117","HOSPICE RESPITE",163
"SURG118","HOSPICE ACUTE",690
"SURG120","HOSPICE ROUTINE",158
"SURG146","ROOM W/ TELEMETRY",1146
"SURG302","SURG-OBSERVATION PER HR",33
"SURG303","DIRECT ADMIT OBSERV CARE",575
"SURG90051A","SURG-VENIPUNCTURE",31
"SURG90471","VACCINE ADMINISTRATIN SINGL",68
"SURG90782","INJECTION IM/SQ THER/PRO/DI",82
"SURG90784","IV PUSH INITIAL THPY/PRO/DX",244
"SURG96367","IV ADD SEQ INF UP TO 1 HR T",248
"SURG96368","IV CONCURRENT INFUSION",121
"SURGB1","BLOOD ADMINISTRATION",881
"SURGFLU","SURG-INFLUENZA VACCINE",37
"SURGIVA","IV PUSH EA ADD THPY/PRO/DX",194
"SURGIVI","IV INITIAL 31 MIN - 1 HR -H",272
"SURGIVIT","IV INITIAL UP TO 1 HR - THE",327
"SURGIVPSD","TX/PRO/DX INJ SAME DRUG ADO",168
"SURGIVS","IV SUBSEQ EA ADD HR - HYDRA",90
"SURGIVST","IV SUBSEQ EA ADD HR - THERA",107
"SURGPNEUM","SURG-PNEUMOCOCCAL VACCINE",53
"JNT100","JOINT CENTER ROOM",762
"JNT146","ROOM WITH TELEMETRY",1146
"JNT302","JOINT OBSERVATION PER HOUR",33
"JNT303","DIRECT ADMIT OBSERV CARE",575
"JNT90782","INJ IM/SQ THER/PRO/DI",82
"JNT90784","IV PUSH INITIAL THPY/PRO/DX",244
"JNTFLU","JOINT-INFLUENZA VACCINE",37
"JNTIVA","IV PUSH EA ADD THPY/PRO/DX",194
"JNTIVIT","IV INITIAL UP TO 1 HR",327
"JNTIVPSD","TX/PRO/DX INJ SAME DRUG",168
"JNTIVS","IV SUBSEQ EA ADD HR HYDRA",90
"JNTIVST","IV SUBSEQ EA ADD HR THERA",107
"36415PCU","VENIPUNCTURE",31
"90471PCU","PCU VACC ADMIN SINGLE",68
"96360PCU","IV INITIAL 31MIN-1HR HYDR",272
"96361PCU","IV SUBSEQ EA ADD HR - HYDRA",90
"96365PCU","IV INITIAL UP TO 1 HR THERA",327
"96366PCU","IV SUBSEQ EA ADD HR - THERA",107
"96367PCU","IV ADD SEQ INF UP TO 1 HR T",248
"96368PCU","IV CONCURRENT INFUSION",121
"96372PCU","INJECTION IM/SQ THER/PRO/DI",82
"96374PCU","IV PUSH INITIAL THPY/PRO/DX",244
"96375PCU","IV PUSH EA ADD THPY/PRO/DX",194
"96376PCU","TX/PRO/DX INJ SAME DRUG ADO",168
"PCU105","PCU MEDICAL ROOM",762
"PCU117","HOSPICE RESPITE",163
"PCU118","HOSPICE ACUTE",690
"PCU120","HOSPICE ROUTINE",158
"PCU146","ROOM W/ TELEMETRY",1146
"PCU302","OBSERVATION PER HOUR",33
"PCU303","DIRECT ADMIT OBSERV CARE",575
"PCUB1","BLOOD ADMINISTRATION",881
"PCUFLU","PCU-INFLUENZA VACCINE",37
"PCUPNEUM","PCU-PNEUMOCOCCAL VACCINE",53
"94004DAYS","SUPPLY OF OXYGEN",108
"94665S","AEROSOL INHALATION SUBSEQUE",144
"SNF105","SNF-ROOM",206
"REHAB126","REHAB-ROOM",696
"PSY137","CROSSROADS ROOM (NON EXEMPT",731
"PSY136","PSYCH-ROOM (CROSSROADS EXTE",731
"51059AE","OP NON-AIR IOP",189
"51059P","RC NON AIR IOP",194
"90785PSY","OP PSYTX COMPLEX INTERACTIV",3
"90785RC","RC PSYTX COMPLEX INTERACTIV",3
"90832PSY","OP PSYTX PT&/FAMILY 30 MINU",164
"90832RC","RC PSYTX PT&/FAMILY 30 MINU",164
"90834PSY","OP PSYTX PT&/FAMILY 45 MINU",265
"90834RC","RC PSYTX PT&/FAMILY 45 MINU",265
"90853CS","RC CSAC GROUP COUNSELING",102
"90853F","OP GROUP THERAPY, FOCUSED",102
"90853RC","RC GROUP PSYCHOTHERAPY",102
"H0015","Alcohol and/or drug service",214
"LETTERS","LETTERS FOR MANDATED SERVIC",26
"90785BH","PSYTX COMPLEX INTERACTIVE",4
"90791BH","PSYCH DIAGNOSTIC EVALUATION",120
"90832BH","PSYTX W PT 30 MINUTES",55
"90834BH","PSYTX W PT 45 MINUTES",80
"90837BH","PSYTX W PT 60 MINUTES",110
"90846BH","FAMILY THERAPY W/O PT PRESE",90
"90847BH","FAMILY PSYTX W/PT 50 MIN",90
"90853BH","GROUP PSYCHOTHERAPY",53
"99404BH","PREVENTIVE COUNSELING IND E",80
"CISD","CRITICAL INCIDENT STRESS DE",150
"CISDT1","CISD TRAVEL per 45 minutes",30
"COURT","COURT RELATED FEE",50
"DOTMAND","DOT MANDATED ASSESSMENT",290
"EAPFUWPO","WPO EAP FOLLOW-UP CLIENT",65
"EAPIEWPO","WPO EAP Initial Eval CLIENT",65
"EAPNSWPO","WPO EAP No Show/Late Chg CL",32.5
"EAPQUARTER","EAP SVCS QUARTERLY CHG CLIE",4.5
"HIGHBH","Highland Med Ctr BH",60
"LATECX","Late Cancellation",20
"LETTER","LETTER FOR MANDATED SERVICE",20
"MANDFU","Mandated Follow-up SP",50
"MANDGRP","Mandated ED Group SP",20
"MANDIELD","MANDATED INIT EVAL LEGALDSS",120
"MANDIEV","Mandated Initial Eval VASAP",60
"MISC30","MISC COUNSELING 20-30 MIN",30
"MISC45","MISC COUNSELING 45+ MIN",50
"MISCGRP","MISC COUNSELING GRP",20
"MISCINIT","MISC COUNSELING INITITAL",60
"NOSHOWBH","No Show",20
"SUPGRP","Support Group",10
"USPROBCM","US PROB Case Mgmt 30min CLI",25
"USPROBGRP","US PROB Group 30min CLIENT",26.5
"USPROBIE","US PROB Initial Eval CLIENT",290
"USPROBIN30","US PROB Individual 30min CL",40
"02300A","GENERAL ANESTHESIA 1/4 HOUR",885
"02303A","REGIONAL ANES BLOCK 1/4 HOU",562
2304,"MON ANESTHESIA/TIVA",36
371174,"NEEDLE GUIDE C1410A",148.23
3070301,"NEEDLE SONOPLEX 22GA X 3 1/",176.175
3070302,"NEEDLE SONOPLEX 22GA X 2",176.175
3090068,"CATHETER INFUSION INSYTE 22",171.106
3090069,"CATHETER INFUSION INSYTE 18",171.106
3090070,"CATHETER INFUSION INSYTE 20",171.106
3090071,"CATHETER INFUSION INSYTE 16",171.1471
3090072,"CATHETER INFUSION INSYTE 14",171.106
3090275,"CATHETER INFUSION INSYTE 24",171.106
3150104,"TUBE TRACH BRONCHO CATH 37",625.482
3220260,"NERVE BLOCK SET CNB150",233.847
3220696,"SET NERVE BLOCK TOOHY CONT",266.814
2002,"OR 15 MIN LEVEL 1",1782
2003,"OR 15 MINUTES LEVEL 2-3",2137
2004,"OR 15 MINUTES LEVEL 4-5",2672
2251,"ULTRASOUND VOLUME STUDIES P",1486
2252,"DENTAL RESTORATION/EXTRACTI",2147
2215,"OR-CLOSED REDUCTION/MANIPUL",1990
2241,"LASER-SECONDARY CATARACT-66",839
"02279A","LITHOTRIPSY UNILATERAL",13001
"34705AN","EVAR AORTO BI-ILIAC ENDOGRA",8209
"34706AN","EVAR AORTO BI-ILIAC ENDOGRA",8209
"34712AN","EVAR TRANSCATH FIX DEVICE",1584
"34713AN","PERQ ACCESS & CLOSE FEM ART",845
"36005AN","INJ PROC EXTREMITY VENOGRAM",461
