Medication,Package Size,Package Unit,UOM charge 
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,30,mL,556.612
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,20,mL,690.236
ADENOSINE 3 MG/ML IV SOLN,2,mL,16.898
ADENOSINE 3 MG/ML IV SOLN,2,mL,17.04
ADENOSINE 3 MG/ML IV SOLN,2,mL,31.098
ADENOSINE 3 MG/ML IV SYRINGE,2,mL,114.203
ADO-TRASTUZUMAB EMTANSINE 100 MG IV SOLUTION,1,Each,5557.513
ADO-TRASTUZUMAB EMTANSINE 160 MG IV SOLUTION,1,Each,8892.028
"ALBUMIN, HUMAN 25 % IV",50,mL,160.54
"ALBUMIN, HUMAN 25 % IV",50,mL,160.54
"ALBUMIN, HUMAN 25 % IV",50,mL,167.52
"ALBUMIN, HUMAN 25 % IV",50,mL,200.326
"ALBUMIN, HUMAN 25 % IV",100,mL,261.28
"ALBUMIN, HUMAN 25 % IV",100,mL,280.024
"ALBUMIN, HUMAN 25 % IV",100,mL,280.024
"ALBUMIN, HUMAN 25 % IV",100,mL,326.032
"ALBUMIN, HUMAN 25 % IV",100,mL,326.032
"ALBUMIN, HUMAN 25 % IV",100,mL,511.2
"ALBUMIN, HUMAN 25 % IV",100,mL,511.2
"ALBUMIN, HUMAN 5 % IV",250,mL,160.54
"ALBUMIN, HUMAN 5 % IV",250,mL,160.54
"ALBUMIN, HUMAN 5 % IV",250,mL,167.52
"ALBUMIN, HUMAN 5 % IV",250,mL,167.52
"ALBUMIN, HUMAN 5 % IV",250,mL,175.373
"ALBUMIN, HUMAN 5 % IV",250,mL,175.373
"ALBUMIN, HUMAN 5 % IV",250,mL,241.683
"ALBUMIN, HUMAN 5 % IV",250,mL,241.683
"ALBUMIN, HUMAN 5 % IV",250,mL,314.1
"ALBUMIN, HUMAN 5 % IV",250,mL,314.1
"ALBUMIN, HUMAN 5 % IV",500,mL,321.08
"ALBUMIN, HUMAN 5 % IV",500,mL,321.08
"ALBUMIN, HUMAN 5 % IV",500,mL,483.365
"ALBUMIN, HUMAN 5 % IV",500,mL,628.2
"ALBUMIN, HUMAN 5 % IV",500,mL,628.2
"ALBUMIN, HUMAN 5 % IV",50,mL,92.584
"ALBUMIN, HUMAN 5 % IV",50,mL,92.584
ALBUTEROL SULFATE 0.083 % (0.83 MG/ML) SOLN FOR INHALATION,3,mL,0.879
ALBUTEROL SULFATE 1.25 MG/3 ML (0.042 %) SOLN FOR INHALATION,3,mL,5.808
ALBUTEROL SULFATE 2 MG TAB,30,Each,24.162
ALBUTEROL SULFATE 2 MG TAB,1,Each,24.162
ALBUTEROL SULFATE 2 MG TAB,1,Each,25.674
ALBUTEROL SULFATE 2.5 MG/0.5 ML NEB SOLUTION,1,Each,1.661
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,8,g,93.623
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,8,g,93.623
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,18,g,234.879
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,8.5,g,260.313
ALBUTEROL SULFATE SR 4 MG 12 HR TAB,100,Each,6.236
"ALDESLEUKIN 22,000,000 UNIT IV SOLUTION",1,Each,7261.273
ALFUZOSIN SR 10 MG 24 HR TAB,100,Each,0.511
ALFUZOSIN SR 10 MG 24 HR TAB,100,Each,1.53
ALFUZOSIN SR 10 MG 24 HR TAB,100,Each,1.53
ALFUZOSIN SR 10 MG 24 HR TAB,90,Each,1.7
ALISKIREN 150 MG TAB,30,Each,24.044
ALISKIREN 150 MG TAB,30,Each,30.271
ALLANTOIN-ONION-PEGS-WATER TOPICAL GEL,20,g,63.453
ALLOPURINOL 100 MG TAB,100,Each,1.372
ALLOPURINOL 100 MG TAB,1,Each,1.373
ALLOPURINOL 100 MG TAB,100,Each,1.809
ALLOPURINOL 100 MG TAB,100,Each,1.809
ALLOPURINOL 300 MG TAB,100,Each,2.622
ALLOPURINOL 300 MG TAB,25,Each,2.762
ALLOPURINOL 300 MG TAB,100,Each,3.212
ALMOTRIPTAN MALATE 12.5 MG TAB,12,Each,62.446
ALMOTRIPTAN MALATE 12.5 MG TAB,1,Each,62.446
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG IV SUSP",1000,mg,1476.8
ALPHA-D-GALACTOSIDASE 150 UNIT TABLET,30,Each,0.529
ALPRAZOLAM 0.25 MG TAB,1,Each,0.342
ALPRAZOLAM 0.25 MG TAB,100,Each,0.112
ALPRAZOLAM 0.25 MG TAB,100,Each,0.156
ALPRAZOLAM 0.25 MG TAB,100,Each,0.341
ALPRAZOLAM 0.5 MG TAB,1,Each,0.284
ALPRAZOLAM 0.5 MG TAB,100,Each,0.142
ALPRAZOLAM 0.5 MG TAB,100,Each,0.284
ALPRAZOLAM 0.5 MG TAB,100,Each,0.341
ALPRAZOLAM 0.5 MG TAB,500,Each,13.606
ALPRAZOLAM 1 MG TAB,100,Each,0.161
ALPROSTADIL 500 MCG/ML IJ SOLN,1,mL,220.548
ALTEPLASE (ACTIVASE) INFUSION FOR PE OR AMI,1,Each,10560.432
ALTEPLASE 100 MG IV SOLUTION,1,Each,10560.432
ALTEPLASE 100 MG IV SOLUTION,1,Each,10560.432
ALTEPLASE 2 MG SOLUTION FOR INJECTION,1,Each,284.692
ALTEPLASE 2 MG SOLUTION FOR INJECTION,1,Each,284.692
ALTEPLASE 50 MG IV SOLUTION,1,Each,5280.216
ALTEPLASE 50 MG IV SOLUTION,1,Each,5280.216
"ALUM, AMMONIUM (BULK) POWDER",170,g,31.202
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSP,30,mL,6.555
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSP,473,mL,22.738
ALUMINUM HYDROX-MAGNESIUM CARB 80 MG-14.2 MG CHEWABLE TABLET,100,Each,0.28
ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSP,355,mL,13.963
ALUM-MAG HYDROXIDE-SIMETH 200 MG-200 MG-20 MG/5 ML ORAL SUSP,30,mL,10.095
ALUM-MAG HYDROXIDE-SIMETH 400 MG-400 MG-40 MG/5 ML ORAL SUSP,30,mL,10.751
ALVIMOPAN 12 MG CAP,30,Each,292.708
AMANTADINE 100 MG CAP,100,Each,3.522
AMANTADINE 100 MG CAP,100,Each,8.482
AMANTADINE 100 MG CAP,1,Each,8.483
AMANTADINE 50 MG/5 ML SYRUP,473,mL,78.547
AMIFOSTINE CRYSTALLINE 500 MG IV SOLUTION,3,Each,930
"AMIKACIN 1,000 MG/4 ML INJECTION",4,mL,20.732
"AMIKACIN 1,000 MG/4 ML INJECTION",4,mL,66.172
AMIKACIN 500 MG/2 ML INJECTION,2,mL,23.203
AMIKACIN 500 MG/2 ML INJECTION,2,mL,34.808
AMILORIDE 5 MG TAB,100,Each,3.059
AMILORIDE 5 MG TAB,50,Each,3.16
AMILORIDE 5 MG TAB,1,Each,3.16
AMILORIDE 5 MG TAB,100,Each,3.946
AMINO ACID INFUSION 10 % IV,500,mL,83.76
AMINOCAPROIC ACID 25 % SYRUP,237,mL,2613.046
AMINOCAPROIC ACID 250 MG/ML IV SOLN,20,mL,18.631
AMINOCAPROIC ACID 500 MG TAB,30,Each,39.953
AMINOPHYLLINE 250 MG/10 ML IV,10,mL,32.291
AMINOPHYLLINE 500 MG/20 ML IV,20,mL,19.88
"AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",100,mL,121.103
AMIODARONE 200 MG TAB,500,Each,1.158
AMIODARONE 200 MG TAB,100,Each,1.613
AMIODARONE 200 MG TAB,100,Each,1.613
AMIODARONE 50 MG/ML IV SOLN,3,mL,4.005
AMIODARONE 50 MG/ML IV SOLN,3,mL,5.683
AMIODARONE 50 MG/ML IV SOLN,3,mL,5.683
AMIODARONE 50 MG/ML IV SOLN,3,mL,9.901
AMIODARONE 50 MG/ML IV SOLN,3,mL,9.901
"AMIODARONE IN DEXTROSE, ISO-OSMOTIC 360 MG/200 ML (1.8 MG/ML) IV",200,mL,161.238
AMITRIPTYLINE 10 MG TAB,1,Each,0.625
AMITRIPTYLINE 100 MG TAB,1,Each,4.995
AMITRIPTYLINE 25 MG TAB,100,Each,1.25
AMITRIPTYLINE 25 MG TAB,1,Each,1.25
AMITRIPTYLINE 25 MG TAB,100,Each,1.883
AMLODIPINE 2.5 MG TAB,100,Each,0.747
AMLODIPINE 2.5 MG TAB,1,Each,0.748
AMLODIPINE 2.5 MG TAB,90,Each,0.896
AMLODIPINE 2.5 MG TAB,100,Each,0.909
AMLODIPINE 2.5 MG TAB,100,Each,0.909
AMLODIPINE 2.5 MG TAB,1,Each,0.909
AMLODIPINE 5 MG TAB,1000,Each,0.092
AMLODIPINE 5 MG TAB,100,Each,0.345
AMLODIPINE 5 MG TAB,50,Each,0.424
AMLODIPINE 5 MG TAB,1,Each,0.424
AMLODIPINE 5 MG TAB,100,Each,0.69
AMLODIPINE 5 MG TAB,1,Each,0.691
AMLODIPINE 5 MG TAB,1,Each,0.691
AMLODIPINE 5 MG TAB,1,Each,0.748
AMMONIA AROMATIC 15 % (W/V) SOLN FOR INHALATION,1,Each,1.875
AMMONIUM LACTATE 12 % LOTION,226,g,16.79
AMMONIUM LACTATE 12 % LOTION,227,g,42.656
AMMONIUM LACTATE 12 % TOPICAL CREAM,140,g,20.802
AMMONIUM LACTATE 12 % TOPICAL CREAM,140,g,26.308
AMO ENDOSOL EXTRA INTRAOCULAR SOLUTION,515,mL,527.919
AMOXAPINE 50 MG TAB,100,Each,3.745
AMOXICILLIN 125 MG/5 ML ORAL SUSP,80,mL,8.391
AMOXICILLIN 250 MG CAP,100,Each,0.446
AMOXICILLIN 250 MG CAP,100,Each,0.52
AMOXICILLIN 250 MG/5 ML ORAL SUSP,80,mL,11.537
AMOXICILLIN 400 MG/5 ML ORAL SUSP,50,mL,14.203
AMOXICILLIN 500 MG CAP,50,Each,0.808
AMOXICILLIN 875 MG TAB,100,Each,1.53
AMOXICILLIN 875 MG TAB,100,Each,1.905
AMOXICILLIN 875 MG TAB,20,Each,2.076
AMOXICILLIN CLAVULANATE 875 MG-125 MG TAB,20,Each,2.098
AMOXICILLIN CLAVULANATE 875 MG-125 MG TAB,100,Each,7.084
AMOXICILLIN-CLAVULANATE 500 MG-125 MG TAB,20,Each,1.923
AMOXICILLIN-CLAVULANATE 500 MG-125 MG TAB,100,Each,5.917
AMOXICILLIN-CLAVULANATE 500 MG-125 MG TAB,20,Each,6.166
AMOXICILLIN-POT CLAVULANATE 250 MG-125 MG TAB,30,Each,20.74
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,75,mL,395.922
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,100,mL,528.77
AMOXICILLIN-POT CLAVULANATE 400 MG-57 MG/5 ML ORAL SUSP,50,mL,47.196
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",40,Each,24.406
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",28,Each,24.406
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",28,Each,24.406
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",28,Each,29.283
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,100,Each,3.784
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,100,Each,3.784
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,100,Each,5.034
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,100,Each,5.047
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG TAB,1,Each,5.826
AMPHETAMINE-DEXTROAMPHETAMINE 5 MG TAB,100,Each,2.364
AMPHETAMINE-DEXTROAMPHETAMINE 5 MG TAB,100,Each,2.364
AMPHETAMINE-DEXTROAMPHETAMINE 5 MG TAB,100,Each,3.145
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,1,Each,15.818
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,30,Each,15.818
AMPHETAMINE-DEXTROAMPHETAMINE SR 10 MG 24 HR CAP,100,Each,10.612
AMPHETAMINE-DEXTROAMPHETAMINE SR 15 MG 24 HR CAP,1,Each,24.491
AMPHETAMINE-DEXTROAMPHETAMINE SR 15 MG 24 HR CAP,100,Each,10.612
AMPHETAMINE-DEXTROAMPHETAMINE SR 15 MG 24 HR CAP,100,Each,13.391
AMPHETAMINE-DEXTROAMPHETAMINE SR 20 MG 24 HR CAP,100,Each,10.612
AMPHETAMINE-DEXTROAMPHETAMINE SR 20 MG 24 HR CAP,100,Each,13.391
AMPHETAMINE-DEXTROAMPHETAMINE SR 30 MG 24 HR CAP,1,Each,16.823
AMPHETAMINE-DEXTROAMPHETAMINE SR 30 MG 24 HR CAP,20,Each,16.822
AMPHETAMINE-DEXTROAMPHETAMINE SR 30 MG 24 HR CAP,100,Each,10.612
AMPHETAMINE-DEXTROAMPHETAMINE SR 30 MG 24 HR CAP,100,Each,19.446
AMPHOTERICIN B 50 MG SOLUTION FOR INJECTION,1,Each,70.68
AMPHOTERICIN B LIPID COMPLEX 5 MG/ML IV,20,mL,284
AMPHOTERICIN B LIPOSOME 50 MG IV SUSP,1,Each,459.681
AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,13.76
AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,16.756
AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,19.619
AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,1,Each,19.619
AMPICILLIN 10 GRAM SOLUTION FOR INJECTION,1,Each,130.2
AMPICILLIN 10 GRAM SOLUTION FOR INJECTION,1,Each,160.368
AMPICILLIN 125 MG SOLUTION FOR INJECTION,1,Each,11.86
AMPICILLIN 125 MG/5 ML ORAL SUSP,100,mL,27.968
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,20.179
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,22.55
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,34.87
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,42.485
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,42.485
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,42.485
AMPICILLIN 250 MG CAP,100,Each,0.516
AMPICILLIN 250 MG SOLUTION FOR INJECTION,1,Each,6.39
AMPICILLIN 250 MG SOLUTION FOR INJECTION,1,Each,9.509
AMPICILLIN 250 MG SOLUTION FOR INJECTION,1,Each,9.509
AMPICILLIN 250 MG/5 ML ORAL SUSP,100,mL,47.196
AMPICILLIN 500 MG CAP,100,Each,0.887
AMPICILLIN 500 MG CAP,100,Each,2.058
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,6.731
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,6.987
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,10.009
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,10.009
AMPICILLIN 500 MG SOLUTION FOR INJECTION,1,Each,10.009
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,7.739
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,7.754
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,9.94
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,11.048
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,15.62
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,21.579
AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,1,Each,22.578
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,10.224
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,10.224
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,18.034
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,21.897
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,25.56
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,45.477
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,45.477
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,50.562
ANAGRELIDE 0.5 MG CAP,100,Each,3.64
ANASTROZOLE 1 MG TAB,30,Each,2.207
ANASTROZOLE 1 MG TAB,30,Each,2.683
ANASTROZOLE 1 MG TAB,30,Each,2.683
ANIDULAFUNGIN 100 MG INTRAVENOUS SOLUTION,1,Each,334.8
ANIDULAFUNGIN 50 MG IV SOLUTION,1,Each,167.4
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT IV SOLUTION",1,Each,4.488
"ANTIHEMOPHILIC FACTOR (RECOMB) 2,000 (+/-) UNIT IV SOLUTION",1,Each,4.488
"ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT IV KIT",1,Each,3.721
ANTIHEMOPHILIC FACTOR-VWF 250 UNIT-600 UNIT IV KIT,1,Each,3.721
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT INTRAVENOUS SOLUTION",1,Each,3.721
APIXABAN 2.5 MG TABLET,100,Each,30.52
APIXABAN 2.5 MG TABLET,60,Each,30.52
APIXABAN 5 MG TABLET,100,Each,30.52
APRACLONIDINE 0.5 % EYE DROPS,5,mL,203.673
APRACLONIDINE 0.5 % EYE DROPS,5,mL,224.278
APRACLONIDINE 1 % EYE DROPPERETTE,1,Each,51.575
APREPITANT 125 MG CAP,6,Each,635.804
APREPITANT 125 MG CAP,1,Each,635.804
APREPITANT 40 MG CAP,1,Each,163.587
APREPITANT 80 MG CAP,6,Each,406.912
APREPITANT 80 MG CAP,1,Each,406.913
ARFORMOTEROL 15 MCG/2 ML NEB SOLUTION,2,mL,70.707
ARFORMOTEROL 15 MCG/2 ML NEB SOLUTION,2,mL,70.707
ARGATROBAN 100 MG/ML IV SOLN,2.5,mL,930
ARGATROBAN 100 MG/ML IV SOLN,2.5,mL,2443.11
ARIPIPRAZOLE 10 MG TAB,100,Each,35.904
ARIPIPRAZOLE 10 MG TAB,1,Each,35.904
ARIPIPRAZOLE 10 MG TAB,100,Each,55.3
ARIPIPRAZOLE 2 MG TAB,30,Each,36.415
ARIPIPRAZOLE 2 MG TAB,30,Each,40.838
ARIPIPRAZOLE 2 MG TAB,1,Each,40.838
ARIPIPRAZOLE 2 MG TAB,30,Each,55.302
ARIPIPRAZOLE 5 MG TAB,100,Each,35.904
ARIPIPRAZOLE 5 MG TAB,1,Each,35.904
ARIPIPRAZOLE 5 MG TAB,30,Each,36.415
ARIPIPRAZOLE 5 MG TAB,100,Each,55.3
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,150,mL,4289.592
ARIPIPRAZOLE 9.75 MG/1.3 ML IM,1.3,mL,51.782
ARMODAFINIL 250 MG TABLET,30,Each,3.585
ARMODAFINIL 250 MG TABLET,30,Each,23.963
ARMODAFINIL 250 MG TABLET,30,Each,29.1
ARSENIC TRIOXIDE 2 MG/ML INTRAVENOUS SOLUTION,6,mL,1657.26
ARSENIC TRIOXIDE 2 MG/ML INTRAVENOUS SOLUTION,6,mL,1657.26
ARTEMETHER-LUMEFANTRINE 20 MG-120 MG TABLET,24,Each,22.331
ARTIFICIAL TEAR (HYPROMELLOSE) 0.5 % EYE DROPS,15,mL,112.943
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,8.194
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,11.996
ARTIFICIAL TEARS (DEXTRAN 70-HYPROMELLOSE) 0.1 %-0.3 % EYE DROPS,15,mL,26.22
ASCORBIC ACID 500 MG TAB,100,Each,0.144
ASCORBIC ACID 500 MG/5 ML SYRUP,118,mL,19.08
ASCORBIC ACID 500 MG/ML IJ SOLN,50,mL,257.02
ASENAPINE 5 MG SUBLINGUAL TAB,100,Each,36.436
