"SVCCD","Description","PRICE1","As of Date"
"1160121","GI LEV 1 EA ADD MIN ",109.75,"12/20/2018"
"1160122","GI LEV 2 EA ADD MIN ",169.25,"12/20/2018"
"1160123","GI LEV 3 EA ADD MIN ",220.50,"12/20/2018"
"1160124","GI LEV 4 EA ADD MIN ",273.00,"12/20/2018"
"1160131","AD PROCEDURE GI LV 1",2482.00,"12/20/2018"
"1160132","AD PROCEDURE GI LV 2",3727.75,"12/20/2018"
"1210011","RHOPHYLAC 100UNT    ",219.00,"12/20/2018"
"1210013","ZOLEDRONIC ACID 1MG ",522.75,"12/20/2018"
"1210016","CEPHALEX 250/5 100ML",0.50,"12/20/2018"
"1210027","ALTEPLASE RECOM 1MG ",376.25,"12/20/2018"
"1210031","NICARDIP 25/10ML INJ",222.00,"12/20/2018"
"1210051","HYDROMOR 6MG/30MLPCA",102.50,"12/20/2018"
"1210059","BUPRENORPH 8MG SLTB ",3.50,"12/20/2018"
"1210060","MICONAZ 2%VAG CR 45G",12.25,"12/20/2018"
"1210090","LEVETIRACET 10MG INJ",1.60,"12/20/2018"
"1210095","FLU VAC NOPRSV ANTIG",194.25,"12/20/2018"
"1210116","RIVASTIG 4.6MG PATCH",40.75,"12/20/2018"
"1210145","CEFEPIME 500MG INJ  ",48.50,"12/20/2018"
"1210148","ALTEPLASE RECOM 1MG ",176.75,"12/20/2018"
"1210149","CEFOXITIN 1GM IJ    ",115.25,"12/20/2018"
"1210162","OCTREOTIDE ND 25MCG ",3.25,"12/20/2018"
"1210164","OCTREOTIDE ND 25MCG ",2.30,"12/20/2018"
"1210181","ENOXAPARIN 10MG INJ ",32.75,"12/20/2018"
"1210183","ENOXAPARIN 10MG INJ ",32.75,"12/20/2018"
"1210185","ENOXAPARIN 10MG INJ ",32.75,"12/20/2018"
"1210186","ENOXAPARIN 10MG INJ ",32.75,"12/20/2018"
"1210187","ENOXAPARIN 10MG INJ ",32.75,"12/20/2018"
"1210188","AMPICILLIN/SUB 1.5GM",44.00,"12/20/2018"
"1210194","CEFAZOLIN 500MG INJ ",47.75,"12/20/2018"
"1210195","CEFTRIAXONE 250MGINJ",55.00,"12/20/2018"
"1210196","CEFTRIAXONE 250MGINJ",37.50,"12/20/2018"
"1210197","CEFTRIAXONE 250MGINJ",37.50,"12/20/2018"
"1210205","DEXAMETH NA 1MG INJ ",5.00,"12/20/2018"
"1210206","PHENYTOIN NA 50MGINJ",22.25,"12/20/2018"
"1210207","DOBUTAMINE 250MG INJ",132.50,"12/20/2018"
"1210210","MEROPENEM 100MG INJ ",17.25,"12/20/2018"
"1210224","LEVOFLOXAC 250MG INJ",81.00,"12/20/2018"
"1210225","LEVOFLOXAC 250MG INJ",81.00,"12/20/2018"
"1210235","AMIODARONE 30MG INJ ",49.75,"12/20/2018"
"1210237","AMPICILLIN 500MG INJ",43.25,"12/20/2018"
"1210250","BUPIVAC-MPF .5% 30ML",76.25,"12/20/2018"
"1210251","MORPHINE PF 10MG INJ",45.75,"12/20/2018"
"1210262","FUROSEMIDE 20MG INJ ",22.25,"12/20/2018"
"1210263","FUROSEMIDE 20MG INJ ",22.25,"12/20/2018"
"1210267","MEPERID HCL 100MGINJ",47.75,"12/20/2018"
"1210268","MEPERID HCL 100MGINJ",47.75,"12/20/2018"
"1210281","AMOX 250MG/5ML 80ML ",0.40,"12/20/2018"
"1210293","LACTOBA-ACIDO-PEC TB",10.50,"12/20/2018"
"1210294","PIPER/TAZOB 1G/.125G",40.25,"12/20/2018"
"1210305","DOCUS NA 10MG/ML 25M",5.10,"12/20/2018"
"1210351","ANALGESIC BALM 30GM ",5.60,"12/20/2018"
"1210371","CARBID25-LEVO100MGTB",3.30,"12/20/2018"
"1210377","DICLOFEN .1%OS 5ML  ",17.50,"12/20/2018"
"1210399","HYDROXYZINE PAM 25MG",5.10,"12/20/2018"
"1210474","PANTOPRAZ 40MG PKT  ",7.10,"12/20/2018"
"1210487","VANCOMYCIN 500MG INJ",58.25,"12/20/2018"
"1210507","DEXAMETH 0.25MG ORAL",2.60,"12/20/2018"
"1210552","PHYTONADIONE 1MG INJ",4.10,"12/20/2018"
"1210554","IPRA-ALBU.5-2.5MG/3M",18.50,"12/20/2018"
"1210561","CEFDINIR250MG/5 60ML",168.75,"12/20/2018"
"1210595","RALTEGRAVIR 400MG TB",117.75,"12/20/2018"
"1210608","INDIA INK IN NS 10ML",215.25,"12/20/2018"
"1210736","MAGNES SULF 500MGINJ",27.25,"12/20/2018"
"1210739","POTASSI CHL 2MEQ INJ",1.30,"12/20/2018"
"1210746","MULTIVITAM INJ 10ML ",25.50,"12/20/2018"
"1210752","VIT D3 1000UNT TAB  ",2.50,"12/20/2018"
"1210757","TRANEXAMIC 1000MG IJ",45.50,"12/20/2018"
"1210801","DEXAMETH NA 1MG INJ ",5.00,"12/20/2018"
"1210802","DEXAMETH NA 1MG INJ ",1.57,"12/20/2018"
"1210822","ALBUMIN 25% 50ML IV ",448.25,"12/20/2018"
"1210892","ALBUTEROL 90MCG 8GM ",4.90,"12/20/2018"
"1210902","HEPARIN 1000U INJ   ",8.10,"12/20/2018"
"1210925","TENECTEPLASE 1MG INJ",212.50,"12/20/2018"
"1210961","REGADENOSON 0.1MG IJ",123.00,"12/20/2018"
"1210968","LORAZEPAM 2MG INJ   ",32.25,"12/20/2018"
"1211035","DOPAMIN HCL 40MG INJ",13.25,"12/20/2018"
"1211037","MIDAZOL  HCL 1MG INJ",19.25,"12/20/2018"
"1211040","GENTAMICIN UPTO 80MG",12.75,"12/20/2018"
"1211048","EPO NESRD 1000 U INJ",13.00,"12/20/2018"
"1211087","LIDOCAINE 4% SOL 4ML",38.25,"12/20/2018"
"1211094","METHYLPRED 125MG INJ",6.50,"12/20/2018"
"1211109","ACETYLCYS 20%INH 30M",29.75,"12/20/2018"
"1211117","HEPARIN NA 10U FLUSH",0.50,"12/20/2018"
"1211122","TRIAMCIN ACE 10MGINJ",12.75,"12/20/2018"
"1211162","HEPARIN 1000U INJ   ",3.80,"12/20/2018"
"1211167","NITROFUR MONO 100MG ",5.00,"12/20/2018"
"1211187","MAGNES SULF 500MGINJ",6.38,"12/20/2018"
"1211199","DEXTROSE 50% 50ML   ",58.25,"12/20/2018"
"1211205","MULTIVITAMIN W/MINER",1.00,"12/20/2018"
"1211206","APAP/COD 120-12/5ML ",4.90,"12/20/2018"
"1211208","K & NA PHOS PWD PKT ",4.90,"12/20/2018"
"1211212","MORPH PO 10MG/5ML 5M",2.50,"12/20/2018"
"1211500","FEBUXOSTAT 40MG TAB ",21.25,"12/20/2018"
"1211507","DRONEDRARONE 400MG  ",24.00,"12/20/2018"
"1211563","LACOSAMIDE 100MG TAB",28.50,"12/20/2018"
"1211614","OSELTAMIVIR 30MG CAP",37.50,"12/20/2018"
"1211639","GLYCERIN 2GM SUPP   ",2.80,"12/20/2018"
"1211645","ATROPINE 0.01MG INJ ",0.50,"12/20/2018"
"1211792","PNEUMOCOC 13-VAL IM ",387.00,"12/20/2018"
"1211886","RIFAXIMIN 550MG TAB ",163.00,"12/20/2018"
"1211903","THROMB REC 20U KIT  ",1447.50,"12/20/2018"
"1211906","AMY-LIP-PRO 27-5-17 ",5.10,"12/20/2018"
"1212096","DABIGATRAN 75MG TAB ",15.00,"12/20/2018"
"1212118","ADRENL/EPINEP 0.1MG ",2.00,"12/20/2018"
"1212119","ADRENL/EPINEP 0.1MG ",2.00,"12/20/2018"
"1212217","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212219","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212221","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212223","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212224","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212227","INSULIN 1 UNT INJ   ",0.60,"12/20/2018"
"1212283","RIVAROXABAN 10MG TAB",26.50,"12/20/2018"
"1212286","ROFLUMILAS 500MCG TB",16.25,"12/20/2018"
"1212287","OSELTAMIV 6MG/ML 5ML",2.00,"12/20/2018"
"1212294","TICAGRELOR 90MG TAB ",25.75,"12/20/2018"
"1212296","MOME/FORM 200/5 13GM",4.90,"12/20/2018"
"1212315","TRANEXAMIC 650MG TB ",12.00,"12/20/2018"
"1212332","RIVAROXABAN 15MG TAB",26.25,"12/20/2018"
"1212350","RANITIDIN 150MG/10ML",4.90,"12/20/2018"
"1212380","PEG 3350 238GM      ",21.50,"12/20/2018"
"1212416","CEFAZOLIN 500MG INJ ",47.75,"12/20/2018"
"1212424","MORPH 30MG/30ML PCA ",81.00,"12/20/2018"
"1212429","BIMATOPRO.01%OS 2.5M",398.00,"12/20/2018"
"1212430","SEVELAM CARB 800MGTB",12.50,"12/20/2018"
"1212435","MOME/FORM 100/5 13GM",5.10,"12/20/2018"
"1212449","ESTROGEN VAG CR 30GM",486.25,"12/20/2018"
"1212452","CIPROFLOXA .3% 10ML ",19.25,"12/20/2018"
"1212470","NEOSTIGMINE .5MG INJ",7.00,"12/20/2018"
"1212498","ADRENL/EPINEP 0.1MG ",1.60,"12/20/2018"
"1212512","PHENYLEPHRIN 1ML INJ",17.75,"12/20/2018"
"1212527","PHENOBARB 120MG INJ ",53.25,"12/20/2018"
"1212548","ROPIVACAINE 1MG INJ ",0.51,"12/20/2018"
"1212550","ROPIVACAINE 1MG INJ ",32.00,"12/20/2018"
"1212585","ATROPINE 0.01MG INJ ",0.20,"12/20/2018"
"1212634","HEPARIN NA 10U FLUSH",6.80,"12/20/2018"
"1212655","MEGESTROL 800MG/20ML",18.75,"12/20/2018"
"1212657","POTASSI CHL 2MEQ INJ",9.00,"12/20/2018"
"1212660","P-EPHR/HRDFAT .25SUP",5.10,"12/20/2018"
"1212680","DEXAME NAPHOS.1%OS5M",59.25,"12/20/2018"
"1212689","FOLIC AC/B COMX W/C ",2.00,"12/20/2018"
"1212697","TIMOLOL MAL .5% 15ML",24.75,"12/20/2018"
"1212721","DEXAMETH NA 1MG INJ ",4.60,"12/20/2018"
"1212723","HYDROXYZI UP TO 25MG",9.60,"12/20/2018"
"1212839","AMOX250/CLAV62.5 75M",1.30,"12/20/2018"
"1212863","BACITR ZN 1GM UD PKT",5.60,"12/20/2018"
"1212865","BACIT ZN 500/GM 30GM",7.70,"12/20/2018"
"1212882","MICONAZOLE 2%PWD 45G",17.00,"12/20/2018"
"1212886","NALOXONE HCL 1MG INJ",26.75,"12/20/2018"
"1212931","AL200-MG200-SIM20/5M",5.60,"12/20/2018"
"1213038","APIXABAN 2.5MG TAB  ",12.75,"12/20/2018"
"1213039","APIXABAN 5MG TAB    ",5.05,"12/20/2018"
"1213134","MORPHINE PF 10MG INJ",9.75,"12/20/2018"
"1213136","MORPHINE PF 10MG INJ",9.75,"12/20/2018"
"1213189","THIAMIN MONO 100MGTB",2.50,"12/20/2018"
"1213233","DIPHE2-ZNACE.1%CR30G",5.60,"12/20/2018"
"1213279","COAL TAR.5%SHAM 130M",6.18,"12/20/2018"
"1213329","HYOSCYAM.125MG DSPTB",4.30,"12/20/2018"
"1213393","PHENOL 1.4%SPR 20ML ",4.90,"12/20/2018"
"1213394","DIAZEPAM 5MG INJ    ",19.00,"12/20/2018"
"1213398","TRACE 4 MINERALS 10M",21.50,"12/20/2018"
"1213418","HYPROMELLO .5%OS 15M",23.50,"12/20/2018"
"1213503","TRIAMCIN ACE 10MGINJ",5.10,"12/20/2018"
"1213544","FLU VAC QUAD 3YR-ADU",105.00,"12/20/2018"
"1213566","K PHOS DI 3MM/ML 5ML",19.25,"12/20/2018"
"1213595","VANCOMYC 50MG/ML 1ML",1.10,"12/20/2018"
"1213605","PHYTONADI 1MG/ML 1ML",36.50,"12/20/2018"
"1213614","LABETALOL 5MG/1ML 1M",5.10,"12/20/2018"
"1213713","CHLORPROMAZIN 5MG PO",1.10,"12/20/2018"
"1213760","K155-NA852-NA130MGTB",3.30,"12/20/2018"
"1213787","MEROPENE 10MG/ML 1ML",1.60,"12/20/2018"
"1213936","MORPHINE PF 10MG INJ",45.75,"12/20/2018"
"1213955","PHEN-MIN-PETR OIN60G",5.00,"12/20/2018"
"1214003","ADENOSINE 1MG INJ   ",12.25,"12/20/2018"
"1214009","PROPOFOL 10MG INJ   ",2.15,"12/20/2018"
"1214010","PROPOFOL 10MG INJ   ",1.50,"12/20/2018"
"1214091","PHEN1-KETOR.3%IO 4ML",1255.50,"12/20/2018"
"1214122","COLCHICINE 0.6MG CAP",4.15,"12/20/2018"
"1214150","MOMETAS 200MCG/A 13G",6.30,"12/20/2018"
"1214152","MOMETAS 100MCG/A 13G",5.40,"12/20/2018"
"1214281","TBO-FILGRASTIM 1MCG ",0.77,"12/20/2018"
"1214284","PREDNISONE 1MG ORAL ",0.40,"12/20/2018"
"1214285","PREDNISONE 1MG ORAL ",0.20,"12/20/2018"
"1214286","PREDNISONE 1MG ORAL ",0.10,"12/20/2018"
"1214310","SUGAMMED 100MG/ML 5M",34.50,"12/20/2018"
"1214375","METHYLENE BLUE.5%10M",751.50,"12/20/2018"
"1214394","LIDOCAINE 4% PATCH  ",2.50,"12/20/2018"
"1214397","TETRACAINE.5%OS 4ML ",17.64,"12/20/2018"
"1214468","INFLIXIMAB-DYYB 10MG",233.50,"12/20/2018"
"1214665","KETAMINE 10MG/ML 3ML",77.75,"12/20/2018"
"1216163","KETOROLAC .5%OS 10ML",17.50,"12/20/2018"
"1216944","ACETAMINOPHEN 325MGS",1.00,"12/20/2018"
"1216945","ACETAMINOPH 500MG TB",1.00,"12/20/2018"
"1216946","ACETAMINOPHEN 120MGS",1.00,"12/20/2018"
"1216947","ACETAMINOPHEN 325MG ",1.00,"12/20/2018"
"1216948","ACETAMINOPHEN 650MGS",1.00,"12/20/2018"
"1216950","ACETAZOLAMIDE 250MG ",10.50,"12/20/2018"
"1216966","ALLOPURINOL 100MG TB",4.90,"12/20/2018"
"1216967","ALLOPURINOL 300MG TB",4.90,"12/20/2018"
"1216969","ALPRAZOLAM 0.25MG TB",2.50,"12/20/2018"
"1216971","ALPRAZOLAM 0.5MG TAB",2.50,"12/20/2018"
"1216980","AMITRIPTYLINE 25MGTB",5.60,"12/20/2018"
"1216981","AMITRIPTYLINE 10MG T",5.60,"12/20/2018"
"1216983","AMLODIPINE 5MG TAB  ",4.30,"12/20/2018"
"1216984","AMMONIA AROMATIC INH",5.40,"12/20/2018"
"1216991","AMOX875-CLAV125MG TB",4.80,"12/20/2018"
"1216993","AMOXICILLIN 250MG CP",1.90,"12/20/2018"
"1217006","ASCORBIC AC 500MG TB",2.50,"12/20/2018"
"1217007","ASPIRIN 325MG DR TAB",1.00,"12/20/2018"
"1217008","ASPIRIN 300MG SUPP  ",2.60,"12/20/2018"
"1217009","ASPIRIN 325MG TAB   ",1.00,"12/20/2018"
"1217010","ASPIRIN 81MG CHEW   ",1.00,"12/20/2018"
"1217011","ASPIRIN 81MG DR TAB ",1.00,"12/20/2018"
"1217012","ASPI25-DIPYR200 SRCP",20.25,"12/20/2018"
"1217013","ATENOLOL 25MG TAB   ",4.30,"12/20/2018"
"1217016","ATORVASTATIN 10MG TB",5.10,"12/20/2018"
"1217020","ATROPINE SUL1%OS 5ML",28.50,"12/20/2018"
"1217026","AZITHROMYCIN 250MGTB",3.30,"12/20/2018"
"1217028","AZTREONAM 1GM SOLR  ",95.00,"12/20/2018"
"1217034","BACLOFEN 10MG TAB   ",5.60,"12/20/2018"
"1217046","BENZONATATE 100MG CP",4.90,"12/20/2018"
"1217049","BENZTROPIN ME .5MGTB",5.10,"12/20/2018"
"1217057","BETHANECHOL 25MG TAB",4.90,"12/20/2018"
"1217058","BICALUTAMIDE 50MG TB",5.10,"12/20/2018"
"1217059","BISACODYL 5MG DR TAB",1.30,"12/20/2018"
"1217060","BISACODYL 10MG SUPP ",2.60,"12/20/2018"
"1217079","BUPIV.75/DEX8.25% 2M",9.80,"12/20/2018"
"1217080","BUPI-MPF.25%/EPI 10M",24.50,"12/20/2018"
"1217085","BUPROPION 100MG SRTB",5.10,"12/20/2018"
"1217088","BUSPIRONE 5MG TAB   ",5.10,"12/20/2018"
"1217089","BUSPIRONE 10MG TAB  ",2.00,"12/20/2018"
"1217095","CALCITRIOL .25MCG CP",5.60,"12/20/2018"
"1217096","CALCIUM ACE 667MG CP",5.60,"12/20/2018"
"1217100","TAMSULOSIN 0.4MG CAP",4.90,"12/20/2018"
"1217103","TEMAZEPAM 15MG CAP  ",5.10,"12/20/2018"
"1217105","TERAZOSIN 1MG CAP   ",5.10,"12/20/2018"
"1217113","BENZ14-BUT2-TET2 60G",34.00,"12/20/2018"
"1217134","TIMOLOL .25% OS 5ML ",19.25,"12/20/2018"
"1217136","DORZ22.3-TIM6.8OS 10",79.00,"12/20/2018"
"1217141","TOPIRAMATE 25MG TAB ",4.90,"12/20/2018"
"1217143","TRAMADOL 50MG TAB   ",5.10,"12/20/2018"
"1217147","TRAZODONE 50MG TAB  ",5.60,"12/20/2018"
"1217154","GUAIFENE SR 600MG TB",3.60,"12/20/2018"
"1217168","TUBERCU 5U/.1ML .1ML",19.25,"12/20/2018"
"1217171","VALACYCLOVI 500MG TB",8.10,"12/20/2018"
"1217179","VASOPRESSIN 20U/ML  ",556.75,"12/20/2018"
"1217180","VECURONIUM 10MG INJ ",32.00,"12/20/2018"
"1217181","VENLAFAXI 37.5MG TAB",5.10,"12/20/2018"
"1217182","VENLAFAXI 75MG SR CP",5.10,"12/20/2018"
"1217187","VERAPAMIL 80MG TAB  ",5.60,"12/20/2018"
"1217189","VERAPAMIL 240MG CRTB",5.60,"12/20/2018"
"1217192","FLUOXETINE 10MG CAP ",5.10,"12/20/2018"
"1217193","VERAPAMIL 180MG CRTB",5.60,"12/20/2018"
"1217198","WARFARIN 1MG TAB    ",2.50,"12/20/2018"
"1217199","WARFARIN 2.5MG TAB  ",2.50,"12/20/2018"
"1217200","WARFARIN 5MG TAB    ",2.50,"12/20/2018"
"1217201","WARFARIN 7.5MG TAB  ",2.50,"12/20/2018"
"1217207","ZINC OX 20% OINT 30G",5.50,"12/20/2018"
"1217212","ZOLPIDEM 5MG TAB    ",2.50,"12/20/2018"
"1217213","FUROSEMIDE 20MG TAB ",2.50,"12/20/2018"
"1217214","FUROSEMIDE 40MG TAB ",2.50,"12/20/2018"
"1217215","GABAPENTIN 300MG CAP",3.60,"12/20/2018"
"1217216","GABAPENTIN 100MG CAP",3.60,"12/20/2018"
"1217223","GEMFIBROZIL 600MG TB",3.30,"12/20/2018"
"1217224","GENTAMCYI.3%OIN 3.5G",37.25,"12/20/2018"
"1217229","GLIMEPIRIDE 2MG TAB ",6.30,"12/20/2018"
"1217230","GLIPIZIDE 5MG SR TAB",3.30,"12/20/2018"
"1217231","GLIPIZIDE 2.5MG SRTB",5.10,"12/20/2018"
"1217232","GLIPIZIDE 5MG TAB   ",3.60,"12/20/2018"
"1217233","GLYBURIDE 5MG TAB   ",5.10,"12/20/2018"
"1217239","GLYCOPYR 0.2MG/ML 1M",49.00,"12/20/2018"
"1217242","GUAIF-COD 100-10/5ML",3.60,"12/20/2018"
"1217245","HALOPERIDOL 1MG TAB ",3.30,"12/20/2018"
"1217246","HALOPERIDOL 5MG TAB ",5.10,"12/20/2018"
"1217254","HETASTARCH 6% 500ML ",48.00,"12/20/2018"
"1217256","CALC CARB 500MG CHW ",2.50,"12/20/2018"
"1217257","CA CARB250-VITD125TB",2.50,"12/20/2018"
"1217260","CALCIUM CL 10% 10ML ",47.75,"12/20/2018"
"1217261","FLUOXETINE 20MG CAP ",3.60,"12/20/2018"
"1217267","CAPTOPRIL 25MG TAB  ",3.60,"12/20/2018"
"1217269","CARBAMAZEP 100MG CHW",5.40,"12/20/2018"
"1217270","CARBAMAZEPINE 200MGT",3.30,"12/20/2018"
"1217279","CARVEDILOL 6.25MG TB",3.60,"12/20/2018"
"1217294","CEFUROXIME 250MG TAB",6.50,"12/20/2018"
"1217304","CHLORDIAZEPOXIDE 25M",4.90,"12/20/2018"
"1217305","CHLORDIAZEPOX 10MGCP",4.90,"12/20/2018"
"1217306","CHLORDIAZEPOXIDE 5MG",3.60,"12/20/2018"
"1217314","CHLORTHALIDONE 25MGT",5.60,"12/20/2018"
"1217317","CHOLESTYRAMINE 4GMPK",7.30,"12/20/2018"
"1217320","PENTOXIFYL 400MGCRTB",5.10,"12/20/2018"
"1217328","CITALOPRAM 20MG TAB ",3.60,"12/20/2018"
"1217329","NA CIT500-CIT A334/5",5.10,"12/20/2018"
"1217332","CLARITHROMYC 250MGTB",13.75,"12/20/2018"
"1217335","CLINDAMYCIN 150MG CP",12.75,"12/20/2018"
"1217338","CLINDAMYCIN600MG/4ML",115.25,"12/20/2018"
"1217339","CLONAZEPAM 0.5MG TAB",2.50,"12/20/2018"
"1217340","CLONIDINE-TTS-1 .1MG",59.50,"12/20/2018"
"1217341","CLONIDINE-TTS-2 .2MG",100.25,"12/20/2018"
"1217342","CLONIDINE-TTS-3 .3MG",139.50,"12/20/2018"
"1217343","CLONIDINE 0.1MG TAB ",2.50,"12/20/2018"
"1217346","CLOPIDOGREL 75MG TAB",3.30,"12/20/2018"
"1217347","CLORAZEPATE 7.5MG TB",5.10,"12/20/2018"
"1217348","CLOTRIMAZ 1%CRM 30GM",5.10,"12/20/2018"
"1217354","ACET/CODEI 300/30 TB",4.90,"12/20/2018"
"1217370","CYCLOBENZAPRINE 10MG",4.90,"12/20/2018"
"1217371","CYCLOPENTO 1%OS 2ML ",59.50,"12/20/2018"
"1217389","DIAZEPAM 2MG TAB    ",5.10,"12/20/2018"
"1217390","DIAZEPAM 5MG TAB    ",3.30,"12/20/2018"
"1217400","DIGOXIN 0.125MG TAB ",5.60,"12/20/2018"
"1217401","DIGOXIN 0.25MG TAB  ",5.60,"12/20/2018"
"1217404","DILTIAZEM 30MG TAB  ",5.60,"12/20/2018"
"1217406","DILTIAZE 180MG SR CP",3.60,"12/20/2018"
"1217407","DILTIAZEM 240MG SRCP",4.30,"12/20/2018"
"1217412","HYDRALAZINE 25MG TAB",5.60,"12/20/2018"
"1217413","HYDRALAZINE 10MG TAB",5.60,"12/20/2018"
"1217416","HCTZ 25MG TAB       ",5.60,"12/20/2018"
"1217427","HYDROCORT 1%CR 30GM ",10.25,"12/20/2018"
"1217433","HYDROXYZINE 10MG TAB",5.60,"12/20/2018"
"1217444","IBUPROFEN 100MG/5ML ",1.00,"12/20/2018"
"1217446","IBUPROFEN 400MG TAB ",5.60,"12/20/2018"
"1217447","IBUPROFEN 600MG TAB ",5.60,"12/20/2018"
"1217453","INDOMETHACIN 25MG CP",5.60,"12/20/2018"
"1217468","ISOSORBIDE DI 10MGTB",5.60,"12/20/2018"
"1217473","ISOSORB MON 30MGSRTB",5.60,"12/20/2018"
"1217474","ISOSORB MON 60MGSRTB",5.10,"12/20/2018"
"1217486","KETOROLAC 10MG TAB  ",5.60,"12/20/2018"
"1217489","LACTULOSE 20GM/30ML ",5.60,"12/20/2018"
"1217498","LATANOPR.005%OS 2.5M",23.50,"12/20/2018"
"1217504","LEVOFLOXACIN 250MGTB",4.90,"12/20/2018"
"1217506","LEVOTHYROXI 25MCG TB",5.60,"12/20/2018"
"1217507","LEVOTHYROX 125MCG TB",5.60,"12/20/2018"
"1217509","LEVOTHYROXI 50MCG TB",5.60,"12/20/2018"
"1217512","LEVOTHYROXINE 150MCG",5.60,"12/20/2018"
"1217513","LEVOTHYROXIN 75MCGTB",2.20,"12/20/2018"
"1217514","LEVOTHYROXI 88MCG TB",5.60,"12/20/2018"
"1217515","LIDOCAINE 5% PATCH  ",31.00,"12/20/2018"
"1217519","LIDOCAINE 2% GEL10ML",78.00,"12/20/2018"
"1217520","LIDOCAINE 1% 20ML   ",47.75,"12/20/2018"
"1217521","LIDOCAINE 2% INJ 20M",32.25,"12/20/2018"
"1217522","LIDOCAINE2%100MG/5ML",52.75,"12/20/2018"
"1217527","LIDOCAINE-MPF1% 30ML",8.15,"12/20/2018"
"1217530","LISINOPRIL 5MG TAB  ",5.60,"12/20/2018"
"1217538","LIDO2.5-PRIL2.5CR 5G",10.25,"12/20/2018"
