"SVCCD","Description","PRICE1","As of Date"
"1210595","RALTEGRAVIR 400MG TB",70.00,"12/20/2018"
"1210609","LIDO-MPF 0.5% 50ML  ",6.40,"12/20/2018"
"1210629","PHENYLEPH 2.5%OS 3ML",43.00,"12/20/2018"
"1210739","POTASSI CHL 2MEQ INJ",9.00,"12/20/2018"
"1210741","MORPHINE UP TO 10MG ",7.00,"12/20/2018"
"1210752","VIT D3 1000UNT TAB  ",1.70,"12/20/2018"
"1210757","TRANEXAMIC 1000MG IJ",47.91,"12/20/2018"
"1210801","DEXAMETH NA 1MG INJ ",2.00,"12/20/2018"
"1210871","APAP 32MG/ML 1ML    ",1.00,"12/20/2018"
"1210883","DEXAMETH 0.25MG ORAL",0.40,"12/20/2018"
"1210895","TACROLIMUS 1MG PO   ",19.00,"12/20/2018"
"1210900","PHENOL APPL KIT     ",3.30,"12/20/2018"
"1210902","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1210925","TENECTEPLASE 1MG INJ",196.00,"12/20/2018"
"1210947","BEVACIZUMAB 10MG INJ",137.00,"12/20/2018"
"1210961","REGADENOSON 0.1MG IJ",144.00,"12/20/2018"
"1210968","LORAZEPAM 2MG INJ   ",6.40,"12/20/2018"
"1211033","POTASSI CHL 2MEQ INJ",9.00,"12/20/2018"
"1211034","POTASSI CHL 2MEQ INJ",9.00,"12/20/2018"
"1211035","DOPAMIN HCL 40MG INJ",9.00,"12/20/2018"
"1211036","MORPHINE PF 10MG INJ",11.44,"12/20/2018"
"1211039","GENTAMICIN UPTO 80MG",33.00,"12/20/2018"
"1211040","GENTAMICIN UPTO 80MG",33.00,"12/20/2018"
"1211045","METHOTREX NA 5MG    ",20.46,"12/20/2018"
"1211047","EPO NESRD 1000 U INJ",63.00,"12/20/2018"
"1211048","EPO NESRD 1000 U INJ",63.00,"12/20/2018"
"1211049","EPO NESRD 1000 U INJ",63.00,"12/20/2018"
"1211051","EPO NESRD 1000 U INJ",63.00,"12/20/2018"
"1211052","EPO NESRD 1000 U INJ",63.00,"12/20/2018"
"1211081","GEMCITABIN 200MG INJ",496.00,"12/20/2018"
"1211093","ROPIVACAINE 1MG INJ ",1.00,"12/20/2018"
"1211094","METHYLPRED 125MG INJ",33.00,"12/20/2018"
"1211098","OXYCODONE 20MG TAB  ",2.00,"12/20/2018"
"1211109","ACETYLCYS 20%INH 30M",34.00,"12/20/2018"
"1211115","MIDAZOL  HCL 1MG INJ",7.00,"12/20/2018"
"1211118","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1211122","TRIAMCIN ACE 10MGINJ",1.88,"12/20/2018"
"1211123","METHYLPRED 125MG INJ",33.00,"12/20/2018"
"1211139","ROPIVACAINE 1MG INJ ",1.00,"12/20/2018"
"1211167","NITROFUR MONO 100MG ",13.00,"12/20/2018"
"1211179","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1211180","AMPICILLIN 500MG INJ",13.00,"12/20/2018"
"1211181","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1211187","MAGNES SULF 500MGINJ",6.00,"12/20/2018"
"1211198","SOD BICARB 8.4% 50ML",6.40,"12/20/2018"
"1211208","K & NA PHOS PWD PKT ",1.70,"12/20/2018"
"1211212","MORPH PO 10MG/5ML 5M",1.70,"12/20/2018"
"1211215","AMINOPHYLL 250MG INJ",9.21,"12/20/2018"
"1211216","DOBUTAMINE 250MG INJ",132.00,"12/20/2018"
"1211219","DEX 5%/WATER 50ML   ",88.00,"12/20/2018"
"1211223","METHYLPRED 125MG INJ",33.00,"12/20/2018"
"1211297","VITAMIN/FE LIQ 1ML  ",1.70,"12/20/2018"
"1211347","MILRINONE 5MG INJ   ",81.00,"12/20/2018"
"1211364","FENTANY CIT 0.1MGINJ",7.00,"12/20/2018"
"1211367","IRINOTECAN  20MG INJ",61.00,"12/20/2018"
"1211422","SOD CHL 3% 4ML NEB  ",1.60,"12/20/2018"
"1211460","ACETYLCYS 10%INH 4ML",4.20,"12/20/2018"
"1211507","DRONEDRARONE 400MG  ",20.00,"12/20/2018"
"1211512","ARFORMOTL 15MCG/2ML ",5.60,"12/20/2018"
"1211520","PRASUGREL 10MG TAB  ",32.00,"12/20/2018"
"1211524","LACOSAMIDE 50MG TAB ",25.00,"12/20/2018"
"1211529","DOXORUBICIN 10MG INJ",41.00,"12/20/2018"
"1211531","NEOSTIGMINE .5MG INJ",13.00,"12/20/2018"
"1211555","LORATADINE 5MG/5ML  ",1.70,"12/20/2018"
"1211614","OSELTAMIVIR 30MG CAP",49.95,"12/20/2018"
"1211639","GLYCERIN 2GM SUPP   ",1.70,"12/20/2018"
"1211643","ATROPINE 0.01MG INJ ",0.30,"12/20/2018"
"1211644","ATROPINE 0.01MG INJ ",0.30,"12/20/2018"
"1211645","ATROPINE 0.01MG INJ ",0.30,"12/20/2018"
"1211648","DOCETAXEL 1MG INJ   ",53.00,"12/20/2018"
"1211649","DOCETAXEL 1MG INJ   ",37.00,"12/20/2018"
"1211702","FLUCONAZOL 200MG INJ",12.00,"12/20/2018"
"1211703","LACOSAMIDE 200MG TAB",34.00,"12/20/2018"
"1211706","SEVELAMER 0.8GM PWD ",37.00,"12/20/2018"
"1211754","MIDAZ 1MG/ML NS100ML",56.57,"12/20/2018"
"1211765","BUDESONIDE 0.5MG/2ML",6.40,"12/20/2018"
"1211767","NOREPI 8MG D5W 250ML",74.39,"12/20/2018"
"1211786","PN VIT/FE/FA 27-.8TB",1.00,"12/20/2018"
"1211792","PNEUMOCOC 13-VAL IM ",340.00,"12/20/2018"
"1211886","RIFAXIMIN 550MG TAB ",99.00,"12/20/2018"
"1211996","LIP42-PRO14.2AMY24.6",2.97,"12/20/2018"
"1212096","DABIGATRAN 75MG TAB ",18.00,"12/20/2018"
"1212109","DABIGATRAN 150MG TAB",18.00,"12/20/2018"
"1212118","ADRENL/EPINEP 0.1MG ",1.00,"12/20/2018"
"1212119","ADRENL/EPINEP 0.1MG ",1.00,"12/20/2018"
"1212128","FLU VAC (FLUZONE) IM",48.00,"12/20/2018"
"1212136","PEN G BENZ INJ 100K ",18.00,"12/20/2018"
"1212214","CEFTAROLIN 10MG INJ ",7.00,"12/20/2018"
"1212217","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212219","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212220","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212221","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212223","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212224","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212226","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212227","INSULIN 1 UNT INJ   ",1.30,"12/20/2018"
"1212259","LURASIDONE 40MG TAB ",140.06,"12/20/2018"
"1212266","DENOSUMAB 1MG INJ   ",26.46,"12/20/2018"
"1212270","AMIODARONE 30MG INJ ",12.00,"12/20/2018"
"1212283","RIVAROXABAN 10MG TAB",37.00,"12/20/2018"
"1212286","ROFLUMILAS 500MCG TB",29.00,"12/20/2018"
"1212287","OSELTAMIV 6MG/ML 5ML",39.00,"12/20/2018"
"1212294","TICAGRELOR 90MG TAB ",20.00,"12/20/2018"
"1212310","ONDANSETRON ODT 4MG ",2.10,"12/20/2018"
"1212332","RIVAROXABAN 15MG TAB",37.00,"12/20/2018"
"1212333","RIVAROXABAN 20MG TAB",37.00,"12/20/2018"
"1212361","H-COD7.5-APAP325 15M",7.40,"12/20/2018"
"1212378","HYDROMORPH UP TO 4MG",7.00,"12/20/2018"
"1212380","PEG 3350 238GM      ",37.00,"12/20/2018"
"1212403","CYCLOPENTO 1%OS 15ML",85.00,"12/20/2018"
"1212406","CYCLOPHOSPHAMI 100MG",206.00,"12/20/2018"
"1212409","BENZ 20%DENT .5ML UD",28.00,"12/20/2018"
"1212416","CEFAZOLIN 500MG INJ ",4.00,"12/20/2018"
"1212420","VANCOMYCIN 500MG INJ",4.93,"12/20/2018"
"1212430","SEVELAM CARB 800MGTB",11.25,"12/20/2018"
"1212467","PHENYLEP 1MG NS 10ML",10.00,"12/20/2018"
"1212498","ADRENL/EPINEP 0.1MG ",1.00,"12/20/2018"
"1212625","HEPARIN 1000U INJ   ",0.60,"12/20/2018"
"1212688","AUG BETAM.05%OIN 15G",74.56,"12/20/2018"
"1212742","RABIES IG IM/SC 150U",640.70,"12/20/2018"
"1212877","MOME/FORM 100/5 8.8G",3.10,"12/20/2018"
"1212933","AL400-MG400-SIM40/5M",1.70,"12/20/2018"
"1213038","APIXABAN 2.5MG TAB  ",21.00,"12/20/2018"
"1213039","APIXABAN 5MG TAB    ",21.00,"12/20/2018"
"1213102","MESALAMIN 800MG DRTB",18.00,"12/20/2018"
"1213134","MORPHINE PF 10MG INJ",12.40,"12/20/2018"
"1213136","MORPHINE PF 10MG INJ",12.40,"12/20/2018"
"1213242","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1213318","ADO-TRASTUZU EMT 1MG",51.52,"12/20/2018"
"1213319","ADO-TRASTUZU EMT 1MG",51.52,"12/20/2018"
"1213360","FENTAN 10MCG/ML 250M",66.11,"12/20/2018"
"1213362","MAGNES SULF 500MGINJ",6.00,"12/20/2018"
"1213375","MEDROXYPROG 1MG INJ ",1.20,"12/20/2018"
"1213503","TRIAMCIN ACE 10MGINJ",4.39,"12/20/2018"
"1213527","HYDROMORPH UP TO 4MG",8.55,"12/20/2018"
"1213595","VANCOMYC 50MG/ML 1ML",1.27,"12/20/2018"
"1213605","PHYTONADI 1MG/ML 1ML",11.00,"12/20/2018"
"1213614","LABETALOL 5MG/1ML 1M",0.30,"12/20/2018"
"1213711","ADENOSINE 1MG INJ   ",9.00,"12/20/2018"
"1213713","CHLORPROMAZIN 5MG PO",2.00,"12/20/2018"
"1213762","GREERS GOO 90GM     ",10.00,"12/20/2018"
"1213852","TIROFIBAN 0.25MG INJ",18.00,"12/20/2018"
"1214003","ADENOSINE 1MG INJ   ",9.00,"12/20/2018"
"1214009","PROPOFOL 10MG INJ   ",4.00,"12/20/2018"
"1214010","PROPOFOL 10MG INJ   ",1.00,"12/20/2018"
"1214014","PACLITAXEL 1MG INJ  ",7.04,"12/20/2018"
"1214020","IVIG (OCTAGAM) 500MG",155.00,"12/20/2018"
"1214028","IVIG (OCTAGAM) 500MG",155.00,"12/20/2018"
"1214029","IVIG (OCTAGAM) 500MG",155.00,"12/20/2018"
"1214073","SUCCINYLCHN 20MG INJ",11.06,"12/20/2018"
"1214074","MAGIC MOUTHWASH .5ML",10.00,"12/20/2018"
"1214121","NIVOLUMAB 1MG INJ   ",43.88,"12/20/2018"
"1214146","PEMBROLIZUM 1MG INJ ",78.98,"12/20/2018"
"1214154","SACUT24-VALSA26MG TB",23.81,"12/20/2018"
"1214159","SACUT49-VALSA51MG TB",23.81,"12/20/2018"
"1214173","ALLOWRAP DS/DRY SQCM",900.00,"12/20/2018"
"1214216","IDARUCIZU 2.5GM/50ML",3062.00,"12/20/2018"
"1214282","TBO-FILGRASTIM 1MCG ",1.56,"12/20/2018"
"1214284","PREDNISONE 1MG ORAL ",0.34,"12/20/2018"
"1214285","PREDNISONE 1MG ORAL ",0.17,"12/20/2018"
"1214286","PREDNISONE 1MG ORAL ",0.08,"12/20/2018"
"1214310","SUGAMMED 100MG/ML 5M",324.00,"12/20/2018"
"1214375","METHYLENE BLUE.5%10M",300.00,"12/20/2018"
"1214394","LIDOCAINE 4% PATCH  ",3.00,"12/20/2018"
"1214402","NEOSTIGMINE .5MG INJ",13.81,"12/20/2018"
"1214513","OCRELIZUMAB 1MG INJ ",94.79,"12/20/2018"
"1214524","TRASTUZUMAB 10MG INJ",177.00,"12/20/2018"
"1216921","OXYCODONE 30MG TAB  ",1.70,"12/20/2018"
"1216944","ACETAMINOPHEN 325MGS",1.00,"12/20/2018"
"1216945","ACETAMINOPH 500MG TB",1.00,"12/20/2018"
"1216946","ACETAMINOPHEN 120MGS",1.00,"12/20/2018"
"1216947","ACETAMINOPHEN 325MG ",1.00,"12/20/2018"
"1216948","ACETAMINOPHEN 650MGS",1.00,"12/20/2018"
"1216950","ACETAZOLAMIDE 250MG ",1.70,"12/20/2018"
"1216955","ACTIV CHARC LIQ 120M",70.00,"12/20/2018"
"1216956","ACYCLOVIR 5% OINT 15",448.00,"12/20/2018"
"1216958","ACYCLOVIR 200MG CAP ",1.70,"12/20/2018"
"1216959","ALBUTEROL 4MG TAB ER",5.00,"12/20/2018"
"1216961","ALBUTEROL 2MG TAB   ",1.70,"12/20/2018"
"1216962","ALBUTEROL 2MG/5ML 5M",1.70,"12/20/2018"
"1216966","ALLOPURINOL 100MG TB",1.70,"12/20/2018"
"1216967","ALLOPURINOL 300MG TB",1.70,"12/20/2018"
"1216969","ALPRAZOLAM 0.25MG TB",1.70,"12/20/2018"
"1216971","ALPRAZOLAM 0.5MG TAB",1.70,"12/20/2018"
"1216973","AMANTADINE 100MG CAP",1.70,"12/20/2018"
"1216980","AMITRIPTYLINE 25MGTB",1.70,"12/20/2018"
"1216981","AMITRIPTYLINE 10MG T",1.70,"12/20/2018"
"1216983","AMLODIPINE 5MG TAB  ",7.30,"12/20/2018"
"1216984","AMMONIA AROMATIC INH",1.70,"12/20/2018"
"1216985","GUAIFEN-DM 600-30MGT",1.70,"12/20/2018"
"1216986","AMMON LAC12%LOT 225G",51.00,"12/20/2018"
"1216988","AMOX250/CLAV62.5 5ML",271.00,"12/20/2018"
"1216989","AMOX TR/K CLA 250 TA",25.00,"12/20/2018"
"1216990","AMOX500-KCLAV125MGTB",15.00,"12/20/2018"
"1216993","AMOXICILLIN 250MG CP",1.70,"12/20/2018"
"1216997","ANASTROZOLE 1MG TAB ",56.00,"12/20/2018"
"1217005","ASCORBIC AC 500MG/ML",4.95,"12/20/2018"
"1217006","ASCORBIC AC 500MG TB",1.70,"12/20/2018"
"1217007","ASPIRIN 325MG DR TAB",1.00,"12/20/2018"
"1217008","ASPIRIN 300MG SUPP  ",6.20,"12/20/2018"
"1217009","ASPIRIN 325MG TAB   ",1.00,"12/20/2018"
"1217010","ASPIRIN 81MG CHEW   ",1.00,"12/20/2018"
"1217011","ASPIRIN 81MG DR TAB ",1.00,"12/20/2018"
"1217013","ATENOLOL 25MG TAB   ",1.70,"12/20/2018"
"1217014","ATENOLOL 50MG TAB   ",1.70,"12/20/2018"
"1217016","ATORVASTATIN 10MG TB",2.22,"12/20/2018"
"1217020","ATROPINE SUL1%OS 5ML",71.00,"12/20/2018"
"1217026","AZITHROMYCIN 250MGTB",30.00,"12/20/2018"
"1217028","AZTREONAM 1GM SOLR  ",121.00,"12/20/2018"
"1217032","BACITRACIN 50000U IM",41.00,"12/20/2018"
"1217034","BACLOFEN 10MG TAB   ",1.70,"12/20/2018"
"1217046","BENZONATATE 100MG CP",1.70,"12/20/2018"
"1217048","BENZTROPINE ME 1MGTB",1.70,"12/20/2018"
"1217057","BETHANECHOL 25MG TAB",7.50,"12/20/2018"
"1217058","BICALUTAMIDE 50MG TB",7.00,"12/20/2018"
"1217059","BISACODYL 5MG DR TAB",1.70,"12/20/2018"
"1217060","BISACODYL 10MG SUPP ",1.70,"12/20/2018"
"1217071","BUMETANIDE 1MG/4ML  ",6.40,"12/20/2018"
"1217073","BUMETANIDE 1MG TAB  ",1.70,"12/20/2018"
