Description,Price
DRBC CPD AS5 500 LR Irr,840
DRBC CPD LV anticoag Notadj,840
DRBC CPD>AS1 500,840
DRBC CPDA1 500,840
DRBC CPDA1 500 LR,1025
DRBC CPDA1 500 LR Irr,840
Duplex Neck Artery Unilateral CHARGE,1482
Dv RBC CP2D 450 LR,643
Dv RBC CP2D AS3 450 LR,643
Dv RBC CP2D AS3 500 LR,643
Dv RBC CP2D AS3 500 LR Irr,840
Dv RBC CPD 500 LR,643
Dv RBC CPD 500 LR Irr,840
Dv RBC CPD AS1 450 LR,643
Dv RBC CPD AS1 500 LR Irr,840
Dv RBC CPDA1 500 LR,643
Dv RBC CPDA1 500 LR Irr,840
Dv RBC CPDA1 LR LV,643
Dv RBC Deglyc LR,1136
Dv RBC Washed LR,1136
Dv RBC Washed LR Irr,1136
Echo Congenital 2D Complete Charge,2722
Echo Congenital 2D Complete w Contrast Charge,3129
Echo Congenital 2D Follow Up Charge,1949
Echo Doppler Color Flow,1234
Echo Doppler Limited Charge,948
Echo Fetal Real Time with Image CHARGE,1382
Echo Follow Up Limited Charge,1949
Echo Follow up or limited study with Cont Charge,2177
Echo Routine w/o Color Charge,1949
Echo Routine WO Color Dop with Contrast Charge,2177
Echo Trans Congenital Heart with Contrast CHARGE,3825
Echo Transesophageal w Contrast CHARGE,3825
Echo Transesophageal Charge,3825
Echo Transesophageal Congenital Heart Charge,3825
Echo w/ Color and Doppler w/ contrast charge,3629
Echocardiography Doppler (No 2D) Charge,728
EEG All Night Record (Sleep Study) CHARGE,1710
EKG,31
Endoscopic Inject-Implant Material in Urethra/Bladder Neck,9851
EVAR INFRARENAL AORTA/ILIAC,13310
EVAR procedure with aorto-uni-iliac stent graft,5096
Event Recording Hookup Charge,656
Excision of Hydrocele Bilateral,8536
Excision of Hydrocele Unilateral,8536
Excision of Sperm cord lesion,9735
Femoral to Femoral bypass,12478
FFP CPD,281
FFP CPDA1,281
Fine Needle Aspiration with imaging guidance,927
Fixation of Contralateral Testis,5789
Frenulotomy Of Penis,4500
Gradient Belo Knee Lower 198,214
Gradient Belo Knee Lower 200,216
Gradient Belo Knee Lower Pac Band,49
Gradient Compression Silver,38
Gradient Compression Upper,216
Hematest Slide 1,54
Hematest Slide 3,42
Holter Monitor Hookup Charge,620
HST Type II Unattended Min 3 Chan CHARGE,368
HST Type II Unattended min 7 Chan CHARGE,368
HST Type III Unattended Min 4 CHARGE,368
"I&D of Epididymis, Testis, &/or Scrotum",6949
ICD Reprogramming Dual Chamber,238
Illusions,452
Immunization Admin. Single,98
Implant Neuroelectordes,17975
Incision of Urethra,4423
INF Concurrent Infusion,226
INF Refill/Maint Port Pump,856
INF/NC IV Push Each Add'l Same Drug,276
Inferior or Superior Vena Cava (IVC/SVC) Cath Placement,845
Inguinal Radical Orchiectomy for Tumor,8536
Initiation of prolonged chemotherapy infusion (>8 hours) requiring use of portable or implante,3391
Initiation of Prolonged non-chemo infusion > 8 hours requiring use of portable or implanted pu,2792
Initiation VA,2859
Injection for Extremity Venography,229
Injection for Peyronie Disease,1480
Injection procedure for cystography or voiding urethrocystography,4
Insertion central (sternotomy or thoracotomy) Venous or Arterial cannula (6 years and older),2859
Insertion of Event Recorder CHARGE,15619
Insertion of left heart vent by thoracic incision for ECMO/ESLS,2859
Insertion peripheral Open Venous or Arterial cannula (6 years and older),2859
Insertion peripheral Percutaneous Venous or Arterial cannula (6 years and older),2859
Insrt/Repl Periph Neurostm Gen,47439
Interrogation Dual Pacemaker Charge,389
Interstitial Device Place in Prostate for radiation therapy guidance,8055
Intrathecal Chemotherapy Administration,516
Intro needle/Intracath; Extremity Artery,590
"Lap hernia repair,vent/umbilic/spigelian/epigastric reducible",17722
"Lap Rad Nephrectmy-incl/fatty tissue removal, rgnl lymphadenct, & adrenalectmy",15908
"Laparoscopy, surgical; nephrectomy, including partial ureterectomy",15908
"Laparoscopy, surgical; partial nephrectomy",13762
Litholapaxy w/stone fragment removal of <2.5cm or Simple,8181
Low Extremity Art Treadmill CHARGE,984
Lysis/Excise Post-circumcision Adhesions,6611
Mastectomy Bras I,80
Mastectomy Bras III,144
Max V02 Cardiac Rehab CHARGE,808
Mesh implant hernia incisional/ventral,7679
Motor and Sen > 13 Nrv Cond Test,1317
Myocardial Strain Imaging CHARGE,1350
Myoview Rest Cardiac CHARGE,522
Myoview Stress Cardiology CHARGE,522
N Block Inj Ilio-Ing/Hypogi,1264
Non-Invasive Physio Ext Vein Charge,425
Non-Newborn Slitting of Prepuce,6043
Non-Selective Cath Placement in Aorta,884
NS 250ml,52
"Open Fem Art Expose for Endovasc Prosthesis Delivery, Unilat",4649
"Open Rad Nephrectmy including part ureterectmy, w/rgnl lymphadenectmy/vena caval thrombectmy",9920
Open repair of incarcerated inguinal hernia using mesh in adult,7679
Pacemaker Evaluation Dual Charge,453
Pacemaker Evaluation Dual CHARGE,198
Pacemaker Evaluation Single CHARGE,453
Pacemaker Reprogram Cardiac Rehab CHARGE,229
Pacemaker Reprogram Single,198
Partial amputation of penis,9438
Penile Plastic Operation for Injury,12318
Peraform Bilateral,302
Permaform Unilateral,252
Physical Perf Test Each 15 min Cardiac Rehab CHARGE,130
Plasma CP2D <24h,281
Plasma CPDA1 <24h,281
PLMY XTN PROSTH EVASC RPR,10469
PLT CP2D 500mL,348
PLT CP2D 500mL,348
PLT CP2D 500mL Irr,348
PLT CP2D 500mL Irr,348
PLT CPD 500mL,348
PLT CPD 500mL Irr,348
PLT CPD 500mL Irr,348
PLT CPD/500mL Open Irr Plas Red,2209
PLT CPD/500mL Open Irr ResLeu:<8.3,2209
PLT CPD/500mL Open Plas Red,348
PLT CPD/500mL Open ResLeu:<8.3E5 P,1913
PLT CPDA-1 500mL,348
PLT CPDA-1 500mL,348
PLT CPDA-1 500mL Irr,348
PLT CPDA-1 500mL Irr,348
PMCT CHARGE,261
Pooled Cryo <18C,197
Pooled Cryo <18C Open,197
Port Flushing Only,158
"Primary Mechanical Thrombectomy, Noncoronary, Arterial, Init Vessel",11956
"Prostate Biopsy, Needle/Punch-1 or more",2777
Psychological Testing Charge,650
Pulmonary Rehab w Exercise 1 hr Cardiac Rehab CHARGE,337
Pulmonary Stress Test Complete Cardiac Rehab CHARGE,696
Pulse Oximetry Multiple Dete Cardiac Rehab CHARGE,204
Pulse Oximetry Single Determin Cardiac Rehab CHARGE,105
RBC CP2D 450 LR,643
RBC CP2D 500,643
RBC CP2D 500 LR Irr,840
RBC CP2D AS3 450 LR,643
RBC CP2D AS3 500 Irr,643
RBC CP2D AS3 500 LR,1025
RBC CP2D AS3 500 LR Irr,840
RBC CP2D>AS3 LV anticoag Notadj,643
RBC CPD 500,643
RBC CPD 500 Irr,643
RBC CPD 500 LR,643
RBC CPD 500 LR Irr,840
RBC CPD AS1 450 LR,643
RBC CPD AS1 500,643
RBC CPD AS1 500 Irr,643
RBC CPD AS1 500 LR,643
RBC CPD AS1 500 LR Irr,840
RBC CPD AS5 500,643
RBC CPD AS5 500 Irr,643
RBC CPD AS5 500 LR,643
RBC CPD AS5 500 LR Irr,840
RBC CPD LV anticoag Notadj,643
RBC CPD>AS5 LV anitcog Notadj,643
RBC CPD>AS5 ResLeu:<5E6 LV Notadj,643
RBC CPDA1 500,643
RBC CPDA1 500 Irr,643
RBC CPDA1 500 LR,643
RBC CPDA1 500 LR Irr,840
RBC CPDA-1 Irr LV: Acadj,643
RBC CPDA1 LR LV,643
RBC CPDA-1 LV anticoag notadj,643
RBC CPDA-1 ResLeu:<5E6 LV Notadj,643
RBC Deglyc LR,1136
RBC Washed LR,1136
RBC Washed LR Irr,1136
Removal of central (sternotomy or thoracotomy) Venous or Arterial cannula (6 years and older),2859
Removal Of Kidney Stone,9920
Removal of peripheral Open Venous or Arterial cannula (6 years and older),2859
Removal of peripheral percutaneous Venous or Arterial cannula (6 years and older),2859
"Repair Blood Vessel, Direct, Lower Extremity",3966
"Repair recurrent incisional/ventral hernia, incarc/strangulate",7679
"Repair recurrent inguinal hernia, incarc/strangulate",7679
Reposition of central (sternotomy or thoracotomy) venous or arterial cannula (6 years and olde,2859
Reposition of peripheral open venous or arterial cannula (6 years and older) Includes fluoro,2859
Reposition of peripheral percutaneous venous or arterial cannula (6 years and older) Includes,2859
Revise/Remove Neuroelectrode,5731
Rhythm ECG Tracking Only Cardiac Rehab CHARGE,189
Routine Echo w Color Doppler Charge,2327
Selective Cath Placement; 1st Ord Abd/Pelvic/Lower Extremity Art Brnch,1180
Selective Cath Placement; 1st Ord Thoracic or Brachiceph Art Branch,1474
Selective Cath Placement; 2nd Ord Abd/Pelvic/Lower Extremity Art Brnch,953
Selective Cath Placement; 2nd Ord Thoracic or Brachiceph Art Branch,1429
Selective Cath Placement; 3rd Ord Abd/Pelvic/Lower Extremity Art Brnch,1656
Silicone Prosthesis Enhancers,603
Simple Lac Repair Ext/Scalp 2.6-7.5CM,1257
"Simple Orchiectomy, scrotal or inguinal approach",6949
Six Minute Walk Test Cardiac Rehab CHARGE,532
"Stent & Atherectomy, Femoral/Popliteal, Unilateral",54318
"Stent Placement, Iliac, Unilateral, each addl ipsilateral Iliac Vessel",37614
"Stent Placement, Iliac, Unilateral, initial vessel",38874
"Stent, Femoral/Popliteal, Unilateral",38434
"Stent, Tibeal/Peroneal, Unilateral, initial vessel",39588
Stress Echo CHARGE,2077
Stress Echo w Contrast CHARGE,2177
Stress Echo with Contrast Charge,2902
Stress TTE Complete Charge,3292
Subsequent Hospital Care/Day 35 Minutes,135
Surgical Reduction of Testis Torsion,6253
Thawed Aph FFP ACDA,281
Thawed Aph FFP ACDA <200 mL,281
Thawed Aph FFP ACDA >600 mL,281
Thawed Aph FFP ACDA Irr 400-600 mL,281
Thawed Aph FFP CP2D,281
Thawed Aph FFP CP2D >=200mL<400mL,281
Thawed Aph FFP CP2D >=400mL<600mL,281
Thawed Aph Plasma ACDA <200 mL,281
Thawed Cryo AHF,197
Thawed FFP ACD-A Open,281
Thawed FFP ACD-B,281
Thawed FFP ACD-B,281
Thawed FFP CP2D,281
Thawed FFP CP2D,281
Thawed FFP CPD,281
Thawed FFP CPD,281
Thawed FFP CPDA-1,281
Thawed FFPACD-A,281
Thawed Plasma ACD-A,281
Thawed Plasma CP2D,281
Thawed Plasma CP2D <24h,281
Thawed PLASMA CP2D For mnf:noninje,281
Thawed Plasma CPD,281
Thawed Plasma CPD <24h,281
Thawed Plasma CPD Cryo Red,281
Thawed Plasma CPD Open <=24h,281
Thawed Plasma CPDA1,281
Thawed Plasma CPDA1 <24h,281
Thawed PLASMA CPDA-1 For mnf:nonin,281
Thawed Pooled Cryo Open,197
Therapeutic Exercise Single Cardiac Rehab CHARGE,130
Therapeutic Group Cardiac Rehab CHARGE,193
Therapeutic Proc > 1 area 15 min Cardiac Rehab CHARGE,130
"Tissue grafts, other (eg, paratenon, fat, dermis)",5710
Transperineal Ndl/Catheter Place in Prostate-Brachytherapy,9362
"Treatment of Extremity Pseudoaneurysm via Injection (eg, thrombin)",855
TTE w or wo Contrast Cont ECG,2902
"TURP; residual or regrowth w/control of postop bleeding, complete",9920
Unlisted Vascular Surgery Procedure,3396
Upper Duplex Ext Venous Left CHARGE,1199
Urinalysis,88
Urine without Microscope,35
Varicocele Excision or Spermatic Vein Ligation for Varicocele,6949
Vas Deferens Repair (Reverse Vasectomy),4112
Venous Mechanical Thrombectomy,11956
Washed RBC None Open,1136
Wig Style I,268
Wig Style II,597
ZIO XT Monitor CHARGE,469
(SUB FOR 18548) SET DESILETS HOFFMAN INTRODUCER 8/10FR 88CM,336
(USE SUB# 40624) SET DESILLETTS HOFFMAN CO-AXIAL INTRODUCER 8/10 FR 70*30CM,318
**PACK MAJOR LAPAROTOMY PLUS III SCH CARDINAL,324
*ANGIOGUARD RX EMBOLIC PROTECTION 5*180,7287
*ANGIOGUARD RX EMBOLIC PROTECTION 6*180,7287
*ANGIOGUARD RX EMBOLIC PROTECTION 7*180,7287
*ANGIOGUARD RX EMBOLIC PROTECTION EXTRA SUPPORT 8*180,4674
*CANISTER NPWT W/GEL 300CC CPEVAL-401,80
*CANISTER NPWT W/GEL 500CC CPEVAL-401,128
*CATH AVIATOR PLUS BALLOON 4.0/40CM,1468
*CATH AVIATOR PLUS BALLOON 6.0/40CM,1468
*CATH AVIATOR PLUS BALLOON 7.0/30CM,1468
*CATH AVIATOR PLUS BALLOON 7.0/40CM,1468
*CATH INFINITY DIAGNOSTIC 4FR 145 PIGTAIL,80
*CATH INFINITY DIAGNOSTIC 4FR AR MOD,80
*CATH INFINITY DIAGNOSTIC 4FR IM,80
*CATH INFINITY DIAGNOSTIC 4FR JL3.5,80
*CATH INFINITY DIAGNOSTIC 4FR JL4,80
*CATH INFINITY DIAGNOSTIC 4FR JR 4,80
*CATH INFINITY DIAGNOSTIC 4FR JR3.5,80
*CATH INFINITY DIAGNOSTIC 4FR LCB,80
*CATH INFINITY DIAGNOSTIC 4FR MPA2,80
*CATH INFINITY DIAGNOSTIC 4FR RCB,80
*CATH INFINITY DIAGNOSTIC 5FR 145 PIGTAIL,80
*CAUTERY HIGH TEMP EXTENDED SHAFT 2 IN,61
*DRAPE NPWT POLYURETHANE CPEVAL-401,40
*DRESSING NPWT WHITE FOAM STD CPEVAL-401,134
*GUIDEWIRE EMERALD .025 3MM J 260 LGTH,83
*KIT DRESSING NPWT BLACK FOAM LG CPEVAL-401,206
*KIT DRESSING NPWT BLACK FOAM MED CPEVAL-401,187
*KIT DRESSING NPWT BLACK FOAM SM CPEVAL-401,175
*STENT PRECISE PRO 7/30,9542
*TUBING NPWT SPEEDCONNECT CPEVAL-401,83
*UNIT SVED NPWT VAC CPEVAL-401,196
.ACh Receptor(Muscle)Modulating-LC,168
.ADAMTS13 Antibody Low-LC,164
.ADAMTS13 Antibody-LC,340
.Aerobe ID Suscept-LC,202
.Aerobic Bacteria ID by Seq-LC,1156
.Aerobic ID by MALDI-LC,202
.AFB ID,289
.AFB ID by DNA Probe Rflx AST-LC,289
".AMPA-R Ab CBA, S-LC",74
".AMPA-R Ab IF Titer Assay, S-LC",74
".Amphetamine (GC/MS), Urine-LC",106
".Amphetamines/MDMA,MS,WB,SP Rfx-LC",106
".Amphiphysin Western Blot, S-LC",56
.Anaerobic Bacteria ID by Seq-LC,1156
.Anaerobic ID by MALDI-LC,173
.Anti-Myeloperoxidase (MPO) ABS-LC,164
.Anti-Proteinase 3 (PR-3) ABS-LC,164
".Barbiturate (GC/MS), Urine-LC",79
".Barbiturates,MS,WB/SP Rfx-LC",180
".Benzodiazepines Confirm, Urine-LC",85
".Benzodiazepines,MS,WB/SP Rfx-LC",276
".Cannabinoid (GC/MS), Urine-LC",288
".Chromium and Cobalt, WB (MoM)-LC",252
".Cocaine (GC/MS) Drug 9, Urine-LC",104
".Cocaine,MS,WB/SP Rfx-LC",104
.Comprehensive BRCA1/2 Analysis-LC,4141
.Cortisol 30 Minutes,202
.Cortisol 60 Minutes,202
.Cortisol Baseline,202
".Cotinine Confirmation, Urine-LC",204
.CRMP-5 IgG Western Blot-LC,56
.dRVVT Confirm-LC,147
.dRVVT Mix-LC,147
.ENA..-LC,74
.EN⭺'s-LC,198
".Fentanyl,MS,WB/SP Rfx-LC",204
".Fentanyl/Norfentanyl, Confirm-LC",204
".GABA-B-R Ab CBA, S-LC",74
".GABA-B-R Ab IF Titer Assay, S-LC",74
.Glucose 1 Hour,50
.Glucose 1 Hour,50
.Glucose 1 Hour,50
.Glucose 1 Hour Gestational,50
.Glucose 2 Hour,130
.Glucose 2 Hour,50
.Glucose Baseline,130
.Glucose Baseline,130
.Glucose Baseline,130
.Glucose Baseline Gestational,130
.Glutamic Acid Decarb (GAD65)Ab-LC,168
.HBV Genotype-LC,2474
".HBV Real-Time PCR, Quant 551595-LC",488
.Hexagonal Phase Phospholipid Rflx-LC,107
.HSV-2 IgG Supplemental Test-LC,280
.HTLV-I/II Immunoblot-LC,120
.M. marinum Susceptibility-LC,129
.MAC Susceptibility Broth Rflx,129
".Meperidine,MS,WB/SP Rfx-LC",132
".Meperidine/Normep (GC/MS), U-LC",132
".Methadone (GC/MS), Urine-LC",112
".Methadone,MS,WB/SP Rfx-LC",112
.Min Inhibitory Conc (1 Drug)-LC,129
.Mold ID by Sequencing-LC,1156
.Mtb AST Confirmation-LC,85
.Mtb Susceptibility Broth-LC,99
.Mycobacteria ID by MALDI-LC,165
.Mycobacteria ID by Seq-LC,1156
".Nicotine Metabolite, Urine-LC",180
".NMDA-R Ab CBA, S-LC",74
".NMDA-R Ab IF Titer Assay, S-LC",74
".NMO/AQP4 FACS Titer, S-LC",74
".NMO/AQP4 FACS, S-LC",74
.Nocardia ID by MALDI-LC,165
.Nocardia ID by Sequencing-LC,1156
.Nocardia Susceptibility Broth Rflx-LC,129
".Opiates Confirmation, Urine-LC",132
".Opiates,MS,WB/SP Rfx-LC",132
.Org ID Aerobe-LC,78
.Org ID Anaerobe-LC,78
.Org ID by Sequencing Rflx AST-LC,1156
.Org ID MycoBact-LC,78
.Org ID Nocardia-LC,78
.Org ID Yeast-LC,78
.Organism ID by Sequencing 2-LC,1156
".Organism Identification, Yeast-LC",154
.Oxycodone/Oxymorphone Confirm-LC,69
".Oxycodones,MS,WB/SP Rfx-LC",69
.Paraneoplastic Autoab WB-LC,56
".Phencyclidine (GC/MS), Urine-LC",187
".Phencyclidine,MS,WB/SP Rfx-LC",187
".Propoxyphene (GC/MS), Urine-LC",204
".Propoxyphene,MS,WB/SP Rfx-LC",204
.PTT-LA Incub Mix-LC,102
.PTT-LA Mix-LC,102
.Rapid Grower Broth Suscep.-LC,129
".Rapid Plasma Reagin w/ Reflex, S-Mayo",59
.RNA Qualitative-LC,488
".RPR Titer, S-Mayo",63
.RPR-LC,45
.Slow Grower Broth Suscep. Rflx-LC,129
.Slow Grower Broth Suscep.-LC,129
.Stool Occ Bld #1,54
".Susceptibility, Aer Anaerob-LC",129
".Syphilis Ab, TP-PA-Mayo",179
.T pallidum Immunoblot-LC,179
.T3Free-LC,211
".THC Screen w/Conf, WB-LC",180
".THC,MS,WB/SP Rfx-LC",288
.Thyroglobulin by IMA-LC,199
.Thyroglobulin by LCMS-LC,199
.Thyroglobulin by RIA-LC,199
".Thyroxine (T4) Free, Direct, S Low-LC",113
".Tramadol Confirmation, Urine-LC",103
".Tramadol,MS,WB/SP Rfx-LC",103
.Transfusion Reaction Interpretation,613
.TRH Baseline,733
.t-Transglutaminase (tTG) IgG-LC,144
.Viral Identification 2-LC,302
.Viral Identification-LC,302
.Yeast ID by MALDI-LC,154
.Yeast ID by Sequencing-LC,1156
"<5 y/o, procedure by different physician",69
"<5 y/o, procedure by same physician",69
">5 y/o, procedure by different physician",69
">5 y/o, procedure by same physician",69
