"PROC
#",Procedure Description,"IP
Price","OP
Price",
54,ANTIBODY EHRLICHIA,429,245,
55,ANTIBODY ENTEROVIRUS 2,278,159,
56,ANTIBODY HISTOPLASMA,153,87,
57,ANTIBODY IDENTIFICATION LEUK,196,112,
58,ANTIBODY RICKETTSIA,453,259,
59,ANTIBODY SCREEN RBC,424,242,
60,ANTIBODY TETANUS Q338,193,110,
61,ANTIGEN TESTING OF DONOR EA AG,913,522,
62,ANTIHUMAN GLOBULIN COOMBS D,496,284,
63,ANTINUCLEAR ANTIBODY,146,83,
64,ANTITHROMBIN III AG,426,244,
65,ANTITHROMBIN III FUNCTIONAL,369,211,
66,APOLIPOPROTEIN A-1 AND B,188,108,
67,APPL RIGID TOTAL CONT LEG CAST,369,369,
68,APPL SHORT LEG CAST WALKING,224,224,
69,APPL SKIN SUB F/NK/HF/G 1ST 25 SQ CM,"1,470","1,470",
70,APPL SKIN SUB T/A/L >100 1ST 100 SQ CM,"2,514","2,514",
71,APPL SKIN SUB T/A/L >100 ADDL 100 SQ CM,424,424,
72,APPL SKIN SUB T/A/L 1ST 25 SQ,"1,470","1,470",
73,APPL SKIN SUB T/A/L ADDL 25 SQ,201,201,
74,APPLICATOR ENDOSCOPIC FLOSEAL,386,386,
75,APPLICATOR EXT TIP DURASEAL,610,610,
76,APPLIER ENDOCLIP 325,572,572,
77,APPLIER LIGACLIP 200,403,403,
78,APPLY MULTLAY COMPRS BELOW KNEE,229,229,
79,APTT MIXING STUDIES,126,72,
80,ARSENIC BLOOD,534,305,
81,ARTERIAL CATH/CANNULATION,372,372,
82,ARTERIAL PUNCTURE,100,100,
83,ARTHROWAND 3.75MM 50 SUPER,"2,148","2,148",
84,ARTHROWAND TURBO/MULTIVAC,"1,063","1,063",
85,ASPERGILLUS ANTIGEN,234,134,
86,AST,244,140,
87,AVULSION NAIL PLATE SINGLE,360,360,
88,B CELLS TOTAL COUNT,456,261,
89,B TYPE NATRIURETIC PEPTIDE,411,235,
90,BAG AMBU INFANT,119,119,
91,BAG DRAINAGE,84,84,
92,BAG PRESSURE INFUSOR,77,77,
93,BAG URINARY W/URINEMETER,145,145,
94,BALLOON DRUG ELUTING,"4,843","4,843",
95,BALLOON PDB DISSECTN SPACEMAKR,"1,726","1,726",
96,BALLOON SINUS DILATION,"5,100","5,100",
97,BALLOON SINUS INFLATION,541,541,
98,BALLOON VIATRAC 14 PLUS,"1,808","1,808",
99,BARRIER INTERCEED 425,"1,392","1,392",
100,BARTONELLA,258,147,
101,BASIC METABOLIC PANEL,290,166,
102,BASKET STONE 450,"1,169","1,169",
103,BASKET STONE 475,"1,169","1,169",
104,BASKET STONE 500,"1,182","1,182",
105,BCR/ABL1 MAJOR BREAKPOINT,"1,976","1,129",
106,BCR/ABL1 MINOR BREAKPOINT,"1,746",998,
107,BETA 2 GLYCOPROTEIN 1 AB EACH,280,160,
108,BETA HCG QUALITATIVE SERUM,290,166,
109,BETA-2 MICROGLOBULIN,197,113,
110,BILE ACIDS TOTAL Q361,350,200,
111,BILIRUBIN DIRECT,312,178,
112,BILIRUBIN TOTAL,302,173,
113,BINDER ABDOMINAL,125,125,
114,BINDER ABDOMINAL ALL SIZES,83,83,
115,BLADDER IRRIGATE,845,845,
116,BLADDER SCAN,105,105,
117,BLADE 100,370,370,
118,BLADE 125,314,314,
119,BLADE 150,610,610,
120,BLADE 175,356,356,
121,BLADE 200,362,362,
122,BLADE 250,639,639,
123,BLADE 40,106,106,
124,BLADE 450,"1,709","1,709",
125,BLADE 50,122,122,
126,BLADE 700,"1,340","1,340",
127,BLADE 80,147,147,
128,BLADE AGGRESSIVE,"1,089","1,089",
129,BLADE AGGRESSIVE PLUS 4.0,153,153,
130,BLADE ANGLED F SERIES STRYKER,435,435,
131,BLADE DERMATOME,294,294,
132,BLADE GIGLI 300MM ZMR,127,127,
133,BLADE LRG TEAR CROSS CUT,631,631,
134,BLADE SHAVER F SERIES STRYKER,305,305,
135,BLOOD OCCULT FECAL IMMUNOASSAY,194,111,
136,BLOOD TYPING ABO,496,284,
137,BLOOD TYPING RH D,272,155,
138,BONE CEMENT SIMPLEX GENTAMICIN,959,959,
139,BONE GRAFT BIOACTIVE,"2,926","2,926",
140,BONE SCALPEL,"2,954","2,954",
141,BONE SHAVER MICRO HOOK,"1,888","1,888",
142,BOOT EX TRACKER WALKER,122,122,
143,BOOT PNEUMATIC OTS,163,163,
144,BOOT PREVALON,392,392,
145,BOOT WALKER SHORT LEG ALL SZ OTS,171,171,
146,BORDETELLA PERTUSSIS Q,185,106,
147,BOWL VACUUM MIX ORTHO 175,350,350,
148,BRACE ANKLE STIRRUP OTS,84,84,
149,BRAF,"1,584",905,
150,BRONCH EBUS SAMPLING 3/> NODE,"2,402","2,402",
151,BRONCH EBUS SAMPLNG 1/2 NODE,"2,402","2,402",
152,BRONCHOSCOPY DIAG W/WO WASHING,"1,240","1,240",
153,BRONCHOSCOPY W/ALVEOLAR LAVAGE,"1,279","1,279",
154,BRONCHOSCOPY W/BIOPSY,"1,475","1,475",
155,BRONCHOSCOPY W/BRUSHING,"1,263","1,263",
156,BRONCHOSCOPY W/THERAP ASP INIT,"1,384","1,384",
157,BRONCHOSCOPY W/THERAP ASP SUB,"1,338","1,338",
158,BRONCHOSCOPY W/TRANSBRONCH ASP,"2,576","2,576",
159,BRONCHOSCOPY W/TRANSBRONCH BIO,"2,402","2,402",
160,BUR 3.0MM,"1,367","1,367",
161,BUR PRECISION ENT,"1,274","1,274",
162,BUR ROUND,"1,274","1,274",
163,C DIFFICILE TOXIN A AND B EIA,180,103,
164,C02 EXPIRED GAS DETERM DAILY,552,552,
165,CA 19-9,252,144,
166,CABLE CABLEREADY ASSEMBLY,"2,375","2,375",
167,CABLE PACING DISP,119,119,
168,CABLE REMINGTON S101 60,522,522,
169,CABLE W/CRIMP 1.0/1.7 750MM,"1,699","1,699",
170,CADMIUM Q,483,276,
171,CALCIUM,66,38,
172,CALCIUM IONIZED ISTAT,266,152,
173,CALCIUM URINE,76,44,
174,CALCULUS INFRARED SPECTROS Q38,210,120,
175,CALPROTECTIN FECAL,238,136,
176,CANCER ANTIGEN 125,252,144,
177,CANCER SCREEN COLONOSCOPY HI RISK,"2,205","2,205",
178,CANDIDA SPECIES DP,237,136,
179,CANNULA CEMENT 10 GAUGE,343,343,
180,CANNULA CRYSTL SMOOTH ARTHRX,182,182,
181,CANNULA DISTL THREAD,157,157,
182,CANNULA DRI LOK 75MM STRYKER,281,281,
183,CANNULA TWISTN,182,182,
184,CANNULA UNIVERSAL ORTHO,96,96,
185,CAP FOR FIXATION PIN,193,193,
186,CAP MINI EXTEND LIFE TRANSFER,308,308,
187,CARBAMAZEPINE TOTAL,176,101,
188,CARBON MONOXIDE DIFF (DLCO),389,389,
189,CARBOXYHEMOGLOBIN,356,203,
190,CARCINOEMBRYONIC ANTIGEN,230,132,
191,CARDIAC REHAB MONITORED OP,418,418,
192,CARDIAC REHAB PHYS SPV W/O CONT ECG,261,261,
193,CARDIOLIPIN ANTIBODY EACH LG C,393,225,
194,CARDIOVERSION EXTERNAL,"1,169","1,169",
195,CARNITINE TOTAL AND FREE QN,280,160,
196,CARTRIDGE OIL MAESTRO DRILL,"1,286","1,286",
197,CASSETTE DIALYSIS NXSTAGE PREM W FILTER,"1,157","1,157",
198,CASSETTE IRRIGATION ESSX,476,476,
199,CAST TOTAL CONTACT,641,641,
200,CATECHOLAMINE URINE FREE 24,333,190,
201,CATH ACCU VU OMNI FLUSH >35 CM,174,174,
202,CATH ACCUCATH INTRAVASC ALL SIZES,179,179,
203,CATH ANGIO ART/GRAFT LEFT HEART,"19,113","19,113",
204,CATH ANGIO ART/VENT LEFT HEART,"17,418","17,418",
205,CATH ANGIOGRAPHIC,59,59,
206,CATH ANGIOGRAPHIC 5FR 70CM,770,770,
207,CATH ASH SPLIT 900,"2,188","2,188",
208,CATH BALLOON ANGIO,"1,952","1,952",
209,CATH BALLOON CUTTING,"3,400","3,400",
210,CATH BERENSTEIN,105,105,
211,CATH BLLN NEPHROSTOMY 550,"1,492","1,492",
212,CATH BLLN URETERAL 600,"1,423","1,423",
213,CATH CARDIAC DIAG MULTIPAK,271,271,
214,CATH CARDIAC DIAGNOSTIC,185,185,
215,CATH CHOLANGIOGRAM 125,286,286,
216,CATH CHOLANGIOGRAM 70,176,176,
217,CATH COUDE URETERAL 40,507,507,
218,CATH CROSSER,"6,419","6,419",
219,CATH CTO CROSS BOSS,"3,804","3,804",
220,CATH CV 50,95,95,
221,CATH CYSTO URETERAL 575,"1,182","1,182",
222,CATH DIALYSIS 300,813,813,
223,CATH DILATATION BLLN PTA,"1,375","1,375",
224,CATH DILATATION BLLN UROMAX,"1,563","1,563",
225,CATH DRAINAGE,482,482,
226,CATH DUAL LUMEN PIG 6F,942,942,
227,CATH EVERCOSS PTA BALLOON,737,737,
228,CATH FLEXIMA TIP REGULAR,539,539,
229,CATH FOLEY 3W ALL SIZES,84,84,
230,CATH FOLEY 3W FOR IRRIG 24FR,82,82,
231,CATH FOLEY 50,101,101,
232,CATH FOLEY 60,84,84,
233,CATH FOLEY 70,224,224,
234,CATH FOLEY 80,359,359,
235,CATH FOLEY SILVER 3 WAY,85,85,
236,CATH GLIDECATH,405,405,
237,CATH GUIDE LINER,"1,975","1,975",
238,CATH GUIDING,880,880,
239,CATH GUIDING MICRO,"3,932","3,932",
240,CATH HEMATURIA 80,126,126,
241,CATH HEMODLYS,"2,363","2,363",
242,CATH INTRATHECAL ASCENDA,"3,825","3,825",
243,CATH INTRODUCER 225,735,735,
244,CATH IRRIGATION 60,149,149,
245,CATH IVUS,"3,072","3,072",
246,CATH KMP,182,182,
247,CATH KMP (KUMPE),250,250,
248,CATH KMP SLIP CNRV ONLY,99,99,
249,CATH MARINER DRESCHER,435,435,
250,CATH MPA BRAIDED,179,179,
251,CATH MUSTANG BALLOON,"1,000","1,000",
252,CATH NEPH MALECOT RE-ENTRY,535,535,
253,CATH NEPHROURETHERAL,766,766,
254,CATH NEXIVA,32,32,
255,CATH OMNI-FLUSH,104,104,
256,CATH PASSER 325,613,613,
257,CATH PICC MIDLINE DL,980,980,
258,CATH PLACE ABD/PEL/LWR 2ND,966,966,
259,CATH PULMONARY WEDGE,617,617,
260,CATH R AND L HEART W LV GRAFTS,"23,550","23,550",
261,CATH R AND L HEART W/LV,"20,238","20,238",
262,CATH RIGHT HEART,"14,616","14,616",
263,CATH RIM,179,179,
264,CATH RT AND LT HEART RETRO,"18,439","18,439",
265,CATH SAFECROSS,"1,046","1,046",
266,CATH SHEPHERDS HOOK 1 5F,109,109,
267,CATH SOFT VU,103,103,
268,CATH SPLIT CATH III,"1,617","1,617",
269,CATH SWAN GANZ,563,563,
270,CATH SWAN GANZ THERMODILUT,"1,255","1,255",
271,CATH THROMBECT/EMBOLECT 2-7,267,267,
272,CATH THROMBECT/EMBOLECT SGL 4FR 40/80,189,189,
273,CATH URETERAL 100,205,205,
274,CATH URETERAL 30,75,75,
275,CATH URETERL,506,506,
276,CATH YUEH CENTESIS,138,138,
277,CAUT CHEM TISSUE GRANULATION,307,307,
278,CAUTERY ELECTRODE,888,888,
279,CAUTERY ELECTRODE LEEP 75,132,132,
280,CAUTERY ELECTRODE LOOP 24FR,455,455,
281,CAUTERY PENCIL HANDTROL 10,81,81,
282,CBC W/AUTO DIFF OTHER,126,72,
283,CBC WITHOUT DIFFERENTIAL,90,51,
284,CEBPA GENE ANALYSIS,"2,914","1,665",
285,CELL COUNT MISC FLUID,61,35,
286,CELL COUNT MISC FLUID W/DIF,101,58,
287,CELLSAVER ANTICOAG ASSEM 40,116,116,
288,CELLSAVER PACK,501,501,
289,CELLSAVER PACK 250,576,576,
290,CELLSAVER PACK 300,"1,616","1,616",
291,CELLSAVER RESERVOIR 80,94,94,
292,CEMENT BONE 225,"1,169","1,169",
293,CEMENT SPACER MOLD BIO,"3,462","3,462",
294,CEMENT SPACER MOLD BIOMET,"6,175","6,175",
295,CERULOPLASMIN,212,121,
296,CFTR,"3,235","1,849",
297,CHANGE OF CYSTOSTOMY TUBE SIMPLE,398,398,
298,CHARGER KIT GENERATR NEUROSTIM,"5,483","5,483",
299,CHEMILUMINESCENT ASSAY,274,157,
300,CHEMO ADMIN SUBQ/IM HORMONAL,206,206,
301,CHEMO ADMIN SUBQ/IM NONHORMON,397,397,
302,CHIP BONE CANCELLOUS 30CC,"1,761","1,761",
303,CHLAMYDIA TRACH AMP PROBE T,398,228,
304,CHLORIDE ISTAT,57,33,
305,CHLORIDE RANDOM URINE,68,39,
306,CHOLESTEROL SERUM,87,50,
307,CHROMOGRANIN A,272,156,
308,CHROMOSOME ANAL 15 20 CELLS 2,"2,026","1,158",
309,CHROMOSOME ANALY 20 TO 25 CELL,"2,036","1,164",
310,CHROMOSOME ANALY ADDL KARYOT,304,174,
311,CHROMOSOME ANALYSIS AMNIOTI,"2,166","1,238",
312,CKMB,141,81,
313,CLIA OCCULT BLOOD GAS FLUID,76,43,
314,CLIP APPLIER MULTIPLE LIGAMAX5,"1,001","1,001",
315,CLIP APPLIER UNIVERSAL EPIX,570,570,
316,CLIP ENDO USSC 176620,"2,298","2,298",
317,CLIP LIGACLIP,233,233,
318,CLIP LIGACLIP 60,233,233,
319,CLOSTRIDIUM DIFFICILE TOXINGENES,398,228,
320,CLOZAPINE,224,128,
321,COAGULATION TIME ACTIVE (AC,72,41,
322,COCCIDIODIES,140,80,
323,COIL TORNADO,475,475,
324,COLD AGGLUTININ QUAN,192,110,
325,COLLAR ASPEN VISTA ALL SZS,149,149,
326,COLLAR VISTA ASPEN,363,363,
327,COLONOSCOPY FLEX DX,"3,208","3,208",
328,COLONOSCOPY FLEX W/INJ SUBMUC,"3,145","3,145",
329,COLONOSCOPY SCRN PT NOT HI RISK,"2,026","2,026",
330,COLONOSCOPY THRU STOMA,"1,730","1,730",
331,COLONOSCOPY THRU STOMA W/BIOP,"1,903","1,903",
332,COLONOSCOPY THRU STOMA W/SNARE,"2,497","2,497",
333,COLONOSCOPY W BAND LIGATION,"4,069","4,069",
334,COLONOSCOPY W DECOMPRESSION,"4,381","4,381",
335,COLONOSCOPY W/ABLATION,"3,536","3,536",
336,COLONOSCOPY W/BIOPSY,"4,915","4,915",
337,COLONOSCOPY W/CONTROL BLEEDING,"3,313","3,313",
338,COLONOSCOPY W/HOT FORCEP,"3,696","3,696",
339,COLONOSCOPY W/REMOVE BY SNARE,"4,411","4,411",
340,COLONSCOPY W/RESECTION,"3,972","3,972",
341,COMP TEST ANTIGLOBULIN,913,522,
342,COMPATIBILITY TEST-ELECTRONIC,913,522,
343,COMPLEMENT C1Q QUAN,269,154,
344,COMPLEMENT C4,146,84,
345,COMPLEMENT TOTAL CH 50,212,121,
346,COMPREHENSIVE METABOLIC PAN,421,241,
347,COMPRESSION SYS RADIAL,309,309,
348,CONCENTRATION INFECTIOUS AG,72,41,
349,CONNECTOR CATH URETERAL,174,174,
350,CONTINU CYC PERITONEAL DIALYSIS,801,801,
351,COPPER,198,113,
352,COR ANGIO RIGHT HEART,"18,266","18,266",
353,COR ANGIO W/O LEFT HEART,"14,599","14,599",
354,COR ART/GRFT ANGIO S AND I,"17,107","17,107",
355,CORTISOL FREE 24 HOUR URINE,203,116,
356,CORTISOL TOTAL,212,121,
357,COUNTERSINK,192,192,
358,COUNTERSINK CANNULATD 7.0,"1,400","1,400",
359,COUNTERSINK MICRO ASNIS 2.8MM,"1,500","1,500",
360,COUNTERSINK MUC WRIGHT MED,"1,344","1,344",
361,COUNTERSINK STRYKR,"1,794","1,794",
362,CPAP/BIPAP SUBSEQUENT DAILY,477,477,
363,C-PEPTIDE,279,160,
364,CPR,975,975,
365,C-REACTIVE PROTEIN,167,95,
366,CREATINE,92,53,
367,CREATINE KINASE (CPK) TOTAL,87,50,
368,CREATININE CLEARANCE 24HR U,119,68,
369,CREATININE ISTAT,77,44,
370,CREATININE URINE,76,44,
371,CRITICAL CARE >74 PER 30 MIN,791,791,
372,CRITICAL CARE 30-74 ADDL SVC,"2,903","2,903",
373,CROSSMATCH,913,522,
374,CRYOGLOBULIN QUAL SEMI QUAN Q,77,44,
375,CRYOPRECIPITATE EA UNIT,525,525,
376,CRYSTAL ID LIGHT MICRO,88,50,
377,CT ABDOMEN AND PELVIS W AND W/O CONT,"6,264","3,580",
378,CT ABDOMEN AND PELVIS W CONT,"5,060","2,891",
379,CT ABDOMEN AND PELVIS W/O CONT,"4,276","2,443",
380,CT ABDOMEN W AND W/O CONTRAST,"3,693","2,110",
381,CT ABDOMEN W/CONTRAST,"3,127","1,787",
382,CT ABDOMEN W/O CONTRAST,"2,190","1,252",
383,CT ASP/INJ RENAL CYST,"1,175","1,175",
384,CT BIOPSY ABDOMINAL MASS,"1,764","1,764",
385,CT BIOPSY BONE DEEP,"1,397","1,397",
386,CT BIOPSY BONE SUPERFICIAL,"1,239","1,239",
387,CT BIOPSY LUNG PERC,"1,377","1,377",
388,CT BIOPSY RENAL NEEDLE,"1,239","1,239",
389,CT BIOPSY THYROID PERC R,593,593,
390,CT BX/EXC LYMPH NODE(S) SUP,"2,541","2,541",
391,CT CHEST W AND W/O CONTRAST,"3,267","1,867",
392,CT CHEST W/CONTRAST,"2,876","1,643",
393,CT CHEST W/O CONTRAST,"2,184","1,248",
394,CT C-SPINE W AND W/O CONTRAST,"4,492","2,567",
395,CT C-SPINE W/CONTRAST,"3,197","1,827",
396,CT C-SPINE W/O CONTRAST,"2,557","1,461",
397,CT DRAIN CATH SOFT TIS W IMG,"1,306","1,306",
398,CT DRAIN FLUID CATH W IMG,"4,862","4,862",
399,CT DRAIN PERITON/RETROP W IMG,"4,862","4,862",
400,CT GUIDANCE NEEDLE PLACEMEN,"2,678","1,530",
401,CT HEAD/BRAIN W/CONTRAST,"2,506","1,432",
402,CT HEAD/BRAIN W/O CONTRAST,"1,748",999,
403,CT HEADBRAIN W AND WO CONTRAST,"3,051","1,744",
404,CT INJ SI ARTHROGRAPHY W IMG,774,774,
405,CT LOW EXT W/CONTRAST RT,"2,607","1,490",
406,CT LOW EXT W/O CONTRAST LT,"2,015","1,152",
407,CT LOWEXT W AND WO CONTRAST RT,"2,997","1,713",
408,CT L-SPINE W/CONTRAST,"3,197","1,827",
409,CT L-SPINE W/O CONTRAST,"2,797","1,598",
410,CT LUNG CANCER ANNUAL SCREEN,"2,059","1,177",
411,CT MAXILLOFACIAL W AND WO CONT,"4,045","2,312",
412,CT MAXILLOFACIAL W/CONTRAST,"2,211","1,263",
413,CT MAXILLOFACIAL W/O CONTRA,"1,995","1,140",
414,CT NECK W/CONTRAST,"2,373","1,356",
415,CT NECK W/O CONTRAST,"1,749","1,000",
416,CT ORBIT/SELLA/FOSSA/EAR W/CON,"2,327","1,330",
417,CT ORBIT/SELLA/FOSSA/EAR W/O CON,"2,166","1,238",
418,CT ORBITSELLAFOSSAEAR W AND WO,"3,072","1,755",
419,CT PELVIS W AND W/O CONTRAST,"4,102","2,344",
420,CT PELVIS W/CONTRAST,"2,819","1,611",
421,CT PELVIS W/O CONTRAST,"2,186","1,249",
422,CT PERC CHOLECYSTOST GUID S AND I,"2,391","2,391",
423,CT PLC NEPH CATH W NEPH OR URETGRM W IMG/S&I,"3,543","3,543",
424,CT T-SPINE W/CONTRAST,"3,012","1,721",
425,CT T-SPINE W/O CONTRAST,"2,797","1,598",
426,CT UP EXT W AND WO CONTRAST RT,"4,216","2,409",
427,CT UP EXT W/CONTRAST LT,"3,197","1,827",
428,CT UP EXT W/O CONTRAST RT,"2,015","1,152",
429,CTA ABDOMEN AND PELVIS W AND W/O CONTRAST,"5,535","3,163",
430,CTA ABDOMEN W AND W/O CONTRAST,"3,378","1,930",
431,CTA ABDOMINAL AORTA W/RUNOF,"4,274","2,442",
432,CTA CHEST W AND W/O CONT,"3,573","2,042",
433,CTA HEAD W AND W/O CONT,"3,915","2,237",
434,CTA LOW EXT W AND W/O CONT RT,"3,339","1,908",
435,CTA NECK W AND W/O CONT,"2,594","1,482",
436,CTA PELVIS W AND W/O CONTRAST,"3,179","1,817",
437,CTA UPEXT W AND WO CONTRAST LT,"3,338","1,907",
438,CULT BACTERIA BLOOD,147,84,
439,CULT BACTERIA QUANT AEROBIC,154,88,
440,CULT BACTERIA QUANT ANAEROB,688,393,
441,CULT FUNGI,232,133,
442,CULT FUNGI BLOOD,118,68,
443,CULT PATHOGENIC ORGAN SCRN,133,76,
444,CULT STOOL ADDITIONAL PATHO,44,25,
445,CULT STOOL SALMONELLA SHIGE,65,37,
446,CULT TYPE ID BY NUCLEIC ACI,277,158,
447,CULTURE AFB,145,83,
448,CULTURE ANAEROBIC,250,143,
449,CULTURE BACTERIA AEROBIC,118,68,
450,CULTURE CHLAMYDIA,213,122,
451,CULTURE VIRUS,586,335,
452,CUP CERVICAL S/M/L/XL,475,475,
453,CUP CHEST COMPRESSION DISP,256,256,
454,CUSHION CHAIR,109,109,
455,CUTTER LINEAR RELOADABLE 75MM,451,451,
456,CYCLIC CITRULLINATED PEPTID,161,92,
457,CYCLOSPORINE,219,125,
458,CYTOGENOMIC CONS MICROARRAY,"5,527","3,158",
459,CYTOMEGALOVIRUS,175,100,
460,CYTOMEGALOVIRUS ANTIBODY IGM,523,299,
461,CYTOMEGALOVIRUS QUANT,541,309,
462,CYTOPATH NONGYN LB W/INTERP,747,427,
463,D DIMER QUAN ULTRA SEN,384,220,
464,DCRA SINGLE MAJOR ART/BR,"23,857","23,857",
465,DEBRIDE MUSC/FASCIA EA ADL 20 SQCM,363,363,
466,DEBRIDE SKIN/SUBQ TISS/MUSCLE,673,673,
467,DEBRIDE SKIN/SUBQ TISSUE,494,494,
468,DEBRIDE SUBQ MUS/BONE/TISSUE,"1,333","1,333",
469,DEBRIDE SUBQ TISSUE EA ADL 20 SQCM,246,246,
470,DEBRIDEMENT NAIL 6 OR MORE,189,189,
471,DEBRIDEMENT NAIL UP TO 5,179,179,
472,DEBRIDEMENT SELECT 1ST  20 SQ CM,"1,073",613,
473,DEBRIDEMENT SELECT EA ADDL 20 SQ CM,194,111,
474,DECLOTTING/THROMBOLYTIC AGT,705,705,
475,DEFIB BS DYNAGEN DR EL D153,"52,000","52,000",
476,DEFIB BS DYNAGEN DR EL DF4 D152,"52,000","52,000",
477,DEFIB MEDTR VISIA AF VR MRI,"45,747","45,747",
478,DEFIB SYS BS DYNAGEN DR EL 2 LEAD 8D72/A,"63,375","63,375",
479,DEFIB SYS BS DYNAGEN DR EL DF4 2 LEAD 8D62/A,"63,375","63,375",
480,DEFIB SYS BS DYNAGEN VR EL 1 LEAD 8D52/A,"51,025","51,025",
481,DEFIB SYS EVERA XT DR MRI,"60,697","60,697",
482,DELIVERY VAGINAL,"2,623","2,623",
483,DEOXYRIBONUCLEIC ACID ANTIB,167,96,
484,DERMABOND,130,130,
485,DERMABOND 0.5ML HI VISCOSITY,150,150,
486,DERMABOND 0.7ML,136,136,
487,DERMABOND 100,165,165,
488,DERMABOND ADHESIVE SKIN MINI,76,76,
489,DERMABOND ADVANCED,125,125,
490,DERMABOND PRINEO 22CM ETHICON,478,478,
491,DERMACARRIER 2195/12/13/14 ZIM,214,214,
492,DEVICE ABSRB WND CLOSR,192,192,
493,DEVICE CLOSURE ANGIOSEAL,"1,227","1,227",
494,DEVICE CLOSURE/GUIDE NEOCLOSE,414,414,
495,DEVICE DILATION URETERAL,503,503,
496,DEVICE ELECTROSURGCL CUT/COAG,"2,463","2,463",
497,DEVICE ENDOMET ABLATION NOVA,"3,413","3,413",
498,DEVICE ESSURE PBC SYSTEM,"6,013","6,013",
499,DEVICE FIXATION SECURESTRAP 25,"2,566","2,566",
500,DEVICE FIXATN ABSORBATACK 30X,"2,184","2,184",
501,DEVICE ILLUMINATION,"1,533","1,533",
502,DEVICE MENISCAL REPAIR,"3,182","3,182",
503,DEVICE SUTURE,"1,575","1,575",
504,DEVICE SUTURE CAPTURING CAPIO,"1,563","1,563",
505,DEVICE TROCHANTERIC W/CABLE,"5,546","5,546",
506,DIFFERENTIAL MANUAL,129,74,
507,DIFFUSER MAESTRO DRILL,645,645,
508,DIGOXIN,162,93,
509,DILATION ESOPHAGUS OVER WIRE,"1,703","1,703",
510,DILATION ESOPHAGUS SOUND OR BO,"1,219","1,219",
511,DISK METHOD SENSITIVITY,86,49,
512,DISTAL POST FEM AUGMEN 5 10 MM,"6,403","6,403",
513,DNA SINGLE STRAND ANTIBODY,148,85,
514,DOPP SEG PRESS LWR LTD,344,344,
515,DRAIN PLEUREVAC ALL SIZES,182,182,
516,DRAIN WOUND,78,78,
517,DRAIN WOUND TLS KIT 125,280,280,
518,DRESS/DEBR BURN W/O ANES LG,589,589,
519,DRESS/DEBR BURN W/O ANES MED,487,487,
520,DRESSING BANDAGE 40,207,207,
521,DRESSING EPISTAXIS ALL SIZES,105,105,
522,DRESSING HEMOSTAT SURGICEL 2X3,355,355,
523,DRESSING MEPILEX AG BORDER 4X12,201,201,
524,DRESSING QUICK CLOT TRAUMA 12 X 12,"1,433","1,433",
525,DRESSING RAPID RHINO,537,537,
526,DRESSING VAC GRANUFOAM LRG,343,343,
