"Type","Name","Per Day Charges"
"Laboratory","ACUTE HEPATITIS PANE","122"
"Laboratory","AEROBIC ISOLATE","21"
"Laboratory","ALBUMIN; SERUM","13"
"Laboratory","ALKALINE PHOS","13"
"Laboratory","ALT (SGPT)","14"
"Laboratory","AMMONIA","37"
"Laboratory","AMYLASE","17"
"Laboratory","ANAEROBIC ISOLATE","21"
"Laboratory","ANTIBODY SCREEN","10"
"Laboratory","ANTIGEN SCREEN","30"
"Laboratory","ANTINUCLEAR ANTIBODI","31"
"Laboratory","ASSAY OF FREE TESTOS","104.82"
"Laboratory","AST (SGOT)","13"
"Laboratory","BASIC METABOLIC","22"
"Laboratory","BILIBRUBIN, DIRECT","13"
"Laboratory","BILIBRUBIN, TOTAL","13"
"Laboratory","BUN","10"
"Laboratory","C DIFF AMPLIFIED PRO","84"
"Laboratory","C DIFF TOXIN","14"
"Laboratory","CALCIFEDIOL, VITAMIN","76"
"Laboratory","CALCIUM","13"
"Laboratory","CANCER ANTAGEN CA-12","71.38"
"Laboratory","CBC W DIFF","20"
"Laboratory","CBC WO DIFF","17"
"Laboratory","CEA","48"
"Laboratory","CHOLESTEROL","11"
"Laboratory","CK","17"
"Laboratory","COMPLETE METABOLIC P","27"
"Laboratory","C-REACTIVE PROTEIN","13"
"Laboratory","CREATINE KINASE","34"
"Laboratory","CREATININE","13"
"Laboratory","CREATININE 24HR URIN","13"
"Laboratory","CREATININE; CLEARANC","24"
"Laboratory","CULTURE BLOOD","26"
"Laboratory","CULTURE STOOL","9"
"Laboratory","CULTURE THROAT","34.91"
"Laboratory","CULTURE TYPE IMMUNOL","13"
"Laboratory","CULTURE URINE CATH","21"
"Laboratory","CULTURE, ANAEROBIC","24"
"Laboratory","CULTURE, BACTERIAL","22"
"Laboratory","CULTURE, FUNGI BLOOD","22"
"Laboratory","CULTURE, GROUP B STR","17"
"Laboratory","CYCLOSPORINE","46"
"Laboratory","DEMOGLOBIN; GLYCATED","25"
"Laboratory","DIAG-FECAL BLOOD","41"
"Laboratory","DIGOXIN","34"
"Laboratory","DIHYDROXYVITAMIN D,","98"
"Laboratory","DIMER","26"
"Laboratory","DRUG SCREEN SINGLE","90"
"Laboratory","DRUG SCREEN, MULTIPL","34"
"Laboratory","ELECTROLYTE","18"
"Laboratory","ENA ANTIBODY PANEL","46"
"Laboratory","FERRITIN","35"
"Laboratory","FOLIC ACID","38"
"Laboratory","GENTAMYCIN","42"
"Laboratory","GGT","18"
"Laboratory","GLUCOSE","10"
"Laboratory","GONADOTROPIN; FSH","47"
"Laboratory","HEMATOCRIT","6"
"Laboratory","HEMOGLOBIN","6"
"Laboratory","HEMOGLOBIN AIC","21"
"Laboratory","HEP B CORE AB, TOTAL","87.6"
"Laboratory","HEP B SURFACE ANTIBO","20"
"Laboratory","HEP B SURFACE ANTIGE","26"
"Laboratory","HEPATIC FUNCTION PAN","21"
"Laboratory","HEPATITIS B CORE ANT","31"
"Laboratory","HEPATITIS B SURFACE","57.48"
"Laboratory","HEPATITIS BE ANTIBOD","30"
"Laboratory","HEPATITIS C ANTIBODY","100"
"Laboratory","HEPATITIS IGM ANTIBO","117.48"
"Laboratory","HIV AB","35"
"Laboratory","HIV SCREEN","23"
"Laboratory","INFLUENZA A/B AG EIA","31"
"Laboratory","IRON","17"
"Laboratory","IRON-TIBC","22"
"Laboratory","KEPPRA LEVEL","34"
"Laboratory","LACTIC ACID","27"
"Laboratory","LDH","15"
"Laboratory","LEVEL IV SURG PTH","62"
"Laboratory","LIPASE","18"
"Laboratory","LIPID","34"
"Laboratory","LITHIUM","17"
"Laboratory","MAGNESIUM","17"
"Laboratory","MANUAL CELL COUNT","11"
"Laboratory","METHYLMALONIC ACID","42"
"Laboratory","MONO TEST","26"
"Laboratory","NATRIURETIC PEPTIDE","87"
"Laboratory","OSMOLALITY; BLOOD","17"
"Laboratory","PARATHYROID HORMONE","105"
"Laboratory","PHENYTOIN","34"
"Laboratory","PHOSPHATASE, ACID","19"
"Laboratory","PHOSPHATE","12"
"Laboratory","POTASSIUM","12"
"Laboratory","PREALBUMIN","37"
"Laboratory","PROTEIN","9"
"Laboratory","PROTEIN S, TOTAL","30"
"Laboratory","PROTEIN, URINE","9"
"Laboratory","PROTHROMBIN TIME","10"
"Laboratory","PTT ACTIVATED","15"
"Laboratory","RAPID URINE","21"
"Laboratory","REAGENT STRIP/BLOOD","9"
"Laboratory","RENAL FUNCTION PANEL","22"
"Laboratory","RH","8"
"Laboratory","SED RATE","9"
"Laboratory","SODIUM URINE","12"
"Laboratory","T3 UPTAKE","17"
"Laboratory","T4 THYROXINE","18"
"Laboratory","TEGRETOL","37"
"Laboratory","TESTOSTERONE; TOTAL","66"
"Laboratory","THYROID FUNCTION","38"
"Laboratory","TRIGLYCERIDES","15"
"Laboratory","TROPONIN, QUANTITATI","25"
"Laboratory","TSH","43"
"Laboratory","URIC ACID","12"
"Laboratory","URINALYSIS W MICRO","8"
"Laboratory","URINE, MICROALBUMIN","15"
"Laboratory","VALPROIC ACID","35"
"Laboratory","VANCOMYCIN","35"
"Laboratory","VENIPUNCTURE","6"
"Laboratory","VITAMIN B12","39"
"Laboratory","WBC W DIFF","9"
"Dialysis","Hemodialysis","1410"
"Pulmonary/Respiratory Services and Supplies","AEROCHAMBER FOR MDI","12"
"Pulmonary/Respiratory Services and Supplies","AEROSOL TX-THERA/MULT PRES MED","118"
"Pulmonary/Respiratory Services and Supplies","AEROSOL TX-THERAP/1 PRESCR MED","74"
"Pulmonary/Respiratory Services and Supplies","AIR COMPRESSOR-SUPPLYÊ EQUIP","9"
"Pulmonary/Respiratory Services and Supplies","APNEA MONITOR-CLINICAL MONITOR","28"
"Pulmonary/Respiratory Services and Supplies","ARTERIAL BLOOD GAS (ABG)-DIAGN","118"
"Pulmonary/Respiratory Services and Supplies","ASSISTED COUGH-THERAP/NON-MED","74"
"Pulmonary/Respiratory Services and Supplies","BEDSIDE PULM MECH-DIAG W/O MED","74"
"Pulmonary/Respiratory Services and Supplies","BIPAP/HR-THERAP WO MEDICATION","118"
"Pulmonary/Respiratory Services and Supplies","CPAP/BIPAP CIRCUIT CHARGE","21"
"Pulmonary/Respiratory Services and Supplies","CPAP/BIPAP FACE MASK","387.5"
"Pulmonary/Respiratory Services and Supplies","CPAP/BIPAP FULL FACE MASK","450"
"Pulmonary/Respiratory Services and Supplies","CPAP/BIPAP NASAL MASK","272.5"
"Pulmonary/Respiratory Services and Supplies","CPAP/BIPAP TOTAL FACE MASK","360"
"Pulmonary/Respiratory Services and Supplies","CPAP/HR-THERAP WO MEDICATION","118"
"Pulmonary/Respiratory Services and Supplies","CPR-CLINICAL ER RESUSCITATION","74"
"Pulmonary/Respiratory Services and Supplies","CPT-CHEST PHYSIO/POST DRAIN WO","118"
"Pulmonary/Respiratory Services and Supplies","DISKUS INHALER-THERA/PRESC MED","74"
"Pulmonary/Respiratory Services and Supplies","DISP. RESUSCITATOR BAG","33"
"Pulmonary/Respiratory Services and Supplies","DISPOSABLE INNER CANNULA (DIC)","7"
"Pulmonary/Respiratory Services and Supplies","DPI-THERAPEUTIC W/ PRESCR MED","74"
"Pulmonary/Respiratory Services and Supplies","EDUCATION-PATIENT/FAMILY 1/4HR","74"
"Pulmonary/Respiratory Services and Supplies","EKG W/ RHYTHM STRIP -DIAGNOSTI","74"
"Pulmonary/Respiratory Services and Supplies","ETCO2 MONITOR/HR-CLIN MONITOR","109"
"Pulmonary/Respiratory Services and Supplies","EZPAP CIRCUIT","59"
"Pulmonary/Respiratory Services and Supplies","EZPAP-THERA W/ PRESCRIBED MED","74"
"Pulmonary/Respiratory Services and Supplies","EZPAP-THERAPY W/MULT PRESCRIBD","118"
"Pulmonary/Respiratory Services and Supplies","FLUTTER VALVE","112"
"Pulmonary/Respiratory Services and Supplies","FLUTTER VALVE TX-THERAP WO MED","74"
"Pulmonary/Respiratory Services and Supplies","HIGH O2 FLOW NASAL CANNULA","7"
"Pulmonary/Respiratory Services and Supplies","HOLTER MONITOR -DIAGNOSTIC","118"
"Pulmonary/Respiratory Services and Supplies","HUMIDIFIED AIR PER HOUR","109"
"Pulmonary/Respiratory Services and Supplies","INC SPIROMETRY TX-THERA WO MED","74"
"Pulmonary/Respiratory Services and Supplies","IPPB TX-THERAP W/ PRESCR MED","74"
"Pulmonary/Respiratory Services and Supplies","MDI-THERAP W/ PRESCR MED","74"
"Pulmonary/Respiratory Services and Supplies","NEBULIZER UPDRAFTÊ DEVICE","12"
"Pulmonary/Respiratory Services and Supplies","NOCTURNAL PULSE-OX STUDY","109"
"Pulmonary/Respiratory Services and Supplies","O2 DAILY","136.5"
"Pulmonary/Respiratory Services and Supplies","O2 HOURLY","45.5"
"Pulmonary/Respiratory Services and Supplies","PEP THERAPY-THERA WO MEDICATIO","74"
"Pulmonary/Respiratory Services and Supplies","PH-PLEURAL FLUID-DIAGNOSTIC","74"
"Pulmonary/Respiratory Services and Supplies","PULSE-OX HOURLY-CLINICAL MONIT","109"
"Pulmonary/Respiratory Services and Supplies","PULS-OX OXIMETER/HR-CLIN MONIT","109"
"Pulmonary/Respiratory Services and Supplies","PULS-OX SPOT CK-CLIN MON-UNTIM","28"
"Pulmonary/Respiratory Services and Supplies","RESPIRATORY ASSESS (INIT) 1/4H","74"
"Pulmonary/Respiratory Services and Supplies","RESPIRATORY PATIENT ED 1/4HR","74"
"Pulmonary/Respiratory Services and Supplies","RT TIME 1/4HR MISCELLANEOUS","74"
"Pulmonary/Respiratory Services and Supplies","SPIROMETER BASIC-DIAG PULM FUN","118"
"Pulmonary/Respiratory Services and Supplies","SPIROMETER PRE&POST BRONCHIODI","118"
"Pulmonary/Respiratory Services and Supplies","SPUTUM COLLECTION -DIAGNOSTIC","74"
"Pulmonary/Respiratory Services and Supplies","SUCTION-THERAPEUTIC","74"
"Pulmonary/Respiratory Services and Supplies","TRACH CARE-THERA AIRWAY MAINT","74"
"Pulmonary/Respiratory Services and Supplies","TRACH TUBE","86"
"Pulmonary/Respiratory Services and Supplies","VAPOTHERM CARTRIDGE","24"
"Pulmonary/Respiratory Services and Supplies","VAPOTHERM THERAPY PER HR","118"
"Pulmonary/Respiratory Services and Supplies","VENT/HR-THERA WO MEDICATION","118"
"Pulmonary/Respiratory Services and Supplies","VEST THERAPY SET-UP Ê","222"
"Pulmonary/Respiratory Services and Supplies","VEST TX/THPY/CHEST VIB VEST TH","118"
"Orthotics and Prosthetics","ABDUCT RESTRAINER CANVAS & WEB","273.8"
"Orthotics and Prosthetics","ACROMIO/CLAVICULAR CANVAS & WE","311.8"
"Orthotics and Prosthetics","AFO ANKLE GAUNTLET PRE-FAB","219.5"
"Orthotics and Prosthetics","AFO DOUB SOLID STIRRUP CALF","1272.6"
"Orthotics and Prosthetics","AFO MOLDED PLAS RIG ANT TIB","2615.5"
"Orthotics and Prosthetics","AFO MOLDED TO PATIENT PLASTI","1396.4"
"Orthotics and Prosthetics","AFO PLASTIC MOLDED W/ANKLE J","1962.5"
"Orthotics and Prosthetics","AFO PLASTIC PRE-FAB","659"
"Orthotics and Prosthetics","AFO POS SOLID ANK PLASTIC MO","1561.4"
"Orthotics and Prosthetics","AFO RIG ANT TIB PREFAB TCF/=","2326.9"
"Orthotics and Prosthetics","AFO SING UPRIGHT W/ ADJUST S","973.8"
"Orthotics and Prosthetics","AFO SPIRAL PREFABRICATED","2189.9"
"Orthotics and Prosthetics","AFO SUPRAMALLEOLAR CUSTOM","1467.3"
"Orthotics and Prosthetics","AFO TIB FX SEMI-RIGID","1635.4"
"Orthotics and Prosthetics","AFO W/ANKLE JOINT, PREFAB","1,222.30"
"Orthotics and Prosthetics","AFO, WALKING BOOT, CUSTOM","4,107.90"
"Orthotics and Prosthetics","AFO-STATIC OR DYNAMIC PRE-FAB","436.6"
"Orthotics and Prosthetics","AK FLEX INNER SICKET EXT FRA","3521.9"
"Orthotics and Prosthetics","AK PELVIC CONTROL BELT LIGHT","390.7"
"Orthotics and Prosthetics","AK/KNEE DISARTIC ACRYLIC SOC","1290.7"
"Orthotics and Prosthetics","ANKLE CONTROL ORTHOSIS PREFAB","248.7"
"Orthotics and Prosthetics","ANTERIOR THORACIC EXTENSION","626.1"
"Orthotics and Prosthetics","BELOW KNEE SUS/SEAL SLEEVE","334.7"
"Orthotics and Prosthetics","BELOW KNEE TOTAL CONTACT","906.8"
"Orthotics and Prosthetics","BELT STRAP SLEEVE GARMENT","120"
"Orthotics and Prosthetics","BK FORK STRAP","142"
"Orthotics and Prosthetics","BK WAIST BELT WEBBING","182.5"
"Orthotics and Prosthetics","CANVAS VEST SO","418.1"
"Orthotics and Prosthetics","CERV COL FOAM 2 PIECE W THOR","749.2"
"Orthotics and Prosthetics","CERV COL SUPP ADJ BAR & THOR","1448.4"
"Orthotics and Prosthetics","CERV COL THERM FOAM 2 PI PREFB","348.6"
"Orthotics and Prosthetics","CERV FLEX NON-ADJUST PRE-FAB","74.7"
"Orthotics and Prosthetics","CUSTOM MOLDED MULTI-DENSITY IN","135"
"Orthotics and Prosthetics","DIABETIC SHOE OTS DEPTH-INLA","222"
"Orthotics and Prosthetics","DIABETIC SHOE W/ROLLER OR ROCK","111"
"Orthotics and Prosthetics","DORSI & PLANTAR FLEX ASS/RES","228"
"Orthotics and Prosthetics","DORSIFLEXION ASSIST EACH JOINT","185.7"
"Orthotics and Prosthetics","DROP LOCK RETAINER EACH","88.6"
"Orthotics and Prosthetics","ENDO AK ULTRA-LIGHT MATERIAL","2243.1"
"Orthotics and Prosthetics","EO W/O JOINTS CF","685.3"
"Orthotics and Prosthetics","EO WITHJOINT, PREFABRICATED","1,191.20"
"Orthotics and Prosthetics","EWHO RIGID W/O JNTS CF","1739.6"
"Orthotics and Prosthetics","EWHO W/JOINT(S) CF","1985.6"
"Orthotics and Prosthetics","EXTENDED STEEL SHANK","144.3"
"Orthotics and Prosthetics","EXTENSION PER EXTENSION PER","170.1"
"Orthotics and Prosthetics","FLEX GLOVE W/ELASTIC FINGER","259.1"
"Orthotics and Prosthetics","FO NONTORSION JOINT CF","524.3"
"Orthotics and Prosthetics","FO PIP/DIP W/O JOINT/SPRING","83.1"
"Orthotics and Prosthetics","FO PIP/DIP WITH JOINT/SPRING","133.3"
"Orthotics and Prosthetics","FO W/O JOINTS CF","506.4"
"Orthotics and Prosthetics","FOOT DROP SPLINT RECUMBENT","201.1"
"Orthotics and Prosthetics","FOOT INSERT PLASTAZOTE OR EQ","421.2"
"Orthotics and Prosthetics","FOOT LONGITUD/METATARSAL SUP","517.4"
"Orthotics and Prosthetics","FOOT PLATE MOLDED STIRRUP AT","982.6"
"Orthotics and Prosthetics","FOOT PRESSURE SUPPORT DEVICE","795"
"Orthotics and Prosthetics","FT INSERT UCB BERKELEY SHELL","819.1"
"Orthotics and Prosthetics","GARMENT BELT SLEEVE OR OTHER","120"
"Orthotics and Prosthetics","GRADIANT COMP STOCKING BK 18","159"
"Orthotics and Prosthetics","GRADIENT COMP STOCKING THIGH","237"
"Orthotics and Prosthetics","HALO REPL LINER/INTERFACE","562.1"
"Orthotics and Prosthetics","HELMET HARD PREFAB","474"
"Orthotics and Prosthetics","HELMET SOFT PREFAB","474"
"Orthotics and Prosthetics","HFO W/JOINTS(S) CF","762.3"
"Orthotics and Prosthetics","HFO W/O JOINTS CF","642.8"
"Orthotics and Prosthetics","HFO W/O JOINTS PF","220.6"
"Orthotics and Prosthetics","HIP ADJ FLEX EXT ABDUCT CONT","934.9"
"Orthotics and Prosthetics","HO POST-OP HIP ABDUCTION PREFB","2570.3"
"Orthotics and Prosthetics","HO W/O JOINTS CF","642.8"
"Orthotics and Prosthetics","ISCH CONTAINMT/NARROW M-I SO","5558.1"
"Orthotics and Prosthetics","KAFO DBL SOLID STIRRUP BAND/","3257.1"
"Orthotics and Prosthetics","KAFO PLAS DOUB FREE KNEE MOL","5177.5"
"Orthotics and Prosthetics","KNEE CONTROL CONDYLAR PAD","220.2"
"Orthotics and Prosthetics","KNEE CONTROL FULL KNEECAP","233.1"
"Orthotics and Prosthetics","KNEE JNT RATCHET LOCK EA JNT","373.8"
"Orthotics and Prosthetics","KNEE JOINT CAM LOCK EACH JOI","316.8"
"Orthotics and Prosthetics","KNEE JOINT DROP LOCK EA JNT","227.4"
"Orthotics and Prosthetics","KNEE ORTH POS LOCKING JOINT","767.5"
"Orthotics and Prosthetics","KO ADJ JNT POS R SUP PRE OTS","1772.6"
"Orthotics and Prosthetics","KO ADJ JNT POS RIGID PRE-FAB","1772.6"
"Orthotics and Prosthetics","KO ELAS W/COND P AD&JO PRE-FAB","356.3"
"Orthotics and Prosthetics","KO ELASTIC WITH JOINTS PRE-FAB","273.2"
"Orthotics and Prosthetics","KO IMMOB CANVAS LONGIT PRE-FAB","246.1"
"Orthotics and Prosthetics","KO SINGLE UPRIGHT CUSTOM FIT","2339.7"
"Orthotics and Prosthetics","KO SWEDISH TYPE","801.4"
"Orthotics and Prosthetics","KO W/ADJ FLEX/EXT ROTAT CUS","2232"
"Orthotics and Prosthetics","LIMITED ANKLE MOTION EA JNT","137.4"
"Orthotics and Prosthetics","LO FLEX W/O RIGID STAYS PREFAB","218.9"
"Orthotics and Prosthetics","LO FLEXIBL L1-BELOW L5 PRE-FAB","143.7"
"Orthotics and Prosthetics","LO SAG RI AN/POS PNL PRE OTS","1072.1"
"Orthotics and Prosthetics","LO SAG STAYS/PANELS PRE-FAB","203.3"
"Orthotics and Prosthetics","LO SAGITT RIGID P ANEL PREFAB","1072.1"
"Orthotics and Prosthetics","LONG TONGUE STIRRUP","339.3"
"Orthotics and Prosthetics","LSO S/C SHELL/PANEL CUSTOM","2728.5"
"Orthotics and Prosthetics","LSO SAG R AN/POS PNL PRE OTS","2677.5"
"Orthotics and Prosthetics","LSO SAG-CORO RIGID FRAME PREFB","2677.5"
"Orthotics and Prosthetics","LSO SAG-CORONAL PANEL PREFAB","3097.9"
"Orthotics and Prosthetics","LSO SC R ANT/POS PNL PRE OTS","3097.9"
"Orthotics and Prosthetics","MAN'S SHOE OXFORD BRACE","193.5"
"Orthotics and Prosthetics","MISC ADDITION TO SPINAL ORTHOS","111"
"Orthotics and Prosthetics","MISC SPINAL ORTHOSIS","276"
"Orthotics and Prosthetics","MOLDED INNER BOOT","1238.9"
"Orthotics and Prosthetics","MULTI-DENSITY INSERT DIRECT F","90"
"Orthotics and Prosthetics","NON CORROSIVE FINISH","183.8"
"Orthotics and Prosthetics","NON-PNEUM WALK BOOT PRE OTS","413.5"
"Orthotics and Prosthetics","NON-PNEUM WALK BOOT PREFAB","413.5"
"Orthotics and Prosthetics","O&P SUPPLY ACCESSORY OR SERVI","360"
"Orthotics and Prosthetics","OFFSET KNEE JOINT EACH","301"
"Orthotics and Prosthetics","ORTH SHOE DEPTH INLAY LADIES","270"
"Orthotics and Prosthetics","ORTH SHOE DEPTH INLAY MENS","279"
"Orthotics and Prosthetics","ORTH SHOE MODIFICATION NOS","294"
"Orthotics and Prosthetics","ORTHO SHOE OXFORD MENS","291"
"Orthotics and Prosthetics","ORTHO SHOE ADD FULL SOLE","132.7"
"Orthotics and Prosthetics","ORTHOPEDIC SHOE ADD RUB INSL","76.3"
"Orthotics and Prosthetics","ORTHOTIC REPAIR OR REPLACE MI","120"
"Orthotics and Prosthetics","ORTHOTIC DEVICE REPAIR PER 15","60"
"Orthotics and Prosthetics","PELVIC CONTROL HIP HEAVY DUTY","759.1"
"Orthotics and Prosthetics","PLASTAZOTE SANDAL","192"
"Orthotics and Prosthetics","PLASTIC MOD LOW EXT PAD/LINE","346.1"
"Orthotics and Prosthetics","PLATING CHROME/NICKEL PR BAR","221.7"
"Orthotics and Prosthetics","PNEUMA/VAC WALK BOOT PRE OTS","753.4"
"Orthotics and Prosthetics","PNEUMATI WALKING BOOT PREFAB","753.4"
"Orthotics and Prosthetics","POSTOP APP NON-WGT BEAR DSG","1164.8"
"Orthotics and Prosthetics","POSTOP APP NON-WGT BEAR DSG","1542.8"
"Orthotics and Prosthetics","PRE-TIBIAL SHELL MOLDED TO P","1253.8"
"Orthotics and Prosthetics","PROS SHEATH/SOCK W GEL CUSHN","196.8"
"Orthotics and Prosthetics","PROS SOCK SINGLE PLY AK","26.7"
"Orthotics and Prosthetics","PROS SOCK SINGLE PLY BK","18.9"
"Orthotics and Prosthetics","PROSTHETIC LABOR PER 15/MIN","60"
"Orthotics and Prosthetics","PROSTHETIC REPAIR OR REPLACE","120"
"Orthotics and Prosthetics","PROSTHETIC SOCK MULTI PLY AK","65.5"
"Orthotics and Prosthetics","PROSTHETIC SOCK MULTI PLY BK","58.2"
"Orthotics and Prosthetics","REPLACE P AD SET FOR ASPEN COLL","111"
"Orthotics and Prosthetics","REPLACE PAD SET FOR MIAMI J CO","111"
"Orthotics and Prosthetics","REPLACE SOCKET ABOVE KNEE","9824.9"
"Orthotics and Prosthetics","SHEATH ABOVE KNEE","61.8"
"Orthotics and Prosthetics","SHEATH BELOW KNEE","47.4"
"Orthotics and Prosthetics","SHLDR FIG 8 ABD RESTRAIN PREFB","163.7"
"Orthotics and Prosthetics","SHO INSERT W ARCH TOE FILLER","1450.4"
"Orthotics and Prosthetics","SHO LIFT TAPER TO METATARSAL","136"
"Orthotics and Prosthetics","SHOE HEEL WEDGE","59.7"
"Orthotics and Prosthetics","SHOE LIFT ELEV HEEL/SOLE NEO","212.3"
"Orthotics and Prosthetics","SHOE LIFTS TAPERED TO ONE-HA","192.4"
"Orthotics and Prosthetics","SHRINKER ABOVE KNEE","198.2"
"Orthotics and Prosthetics","SHRINKER BELOW KNEE","124.9"
"Orthotics and Prosthetics","SIOO FLEX PELVISACRAL PREFAB","256.9"
"Orthotics and Prosthetics","SLING","24"
"Orthotics and Prosthetics","SOCKET INSERT W LOCK MECH","1947"
"Orthotics and Prosthetics","SOCKET INSERT W/O LOCK LOWER","299.9"
"Orthotics and Prosthetics","SOCKET INSERT W/O LOCK MECH","1622.4"
"Orthotics and Prosthetics","SOFT INTERFACE ABOVE KNEE SE","276.4"
"Orthotics and Prosthetics","SOFT INTERFACE BELOW KNEE SE","258.8"
"Orthotics and Prosthetics","STRAIGHT KNEE JOINT HEAVY DU","374"
"Orthotics and Prosthetics","SURGICAL BOOT/SHOE","231"
"Orthotics and Prosthetics","SUSPENSION SLEEVE LOWER EXT","306.7"
"Orthotics and Prosthetics","TEST SOCKET ABOVE KNEE","1073.7"
"Orthotics and Prosthetics","TH/WGHT BEAR QUAD-LAT BRIM M","2036"
"Orthotics and Prosthetics","TIBIAL LENGTH SOCK FX OR EQU","120.3"
"Orthotics and Prosthetics","TLSO 2MOD SYMPHIS-XIPHO PRE","2325.5"
"Orthotics and Prosthetics","TLSO 2MOD SYMPHSIS-STERN PRE","2617.5"
"Orthotics and Prosthetics","TLSO 4MOD SACRO-SCAP PRE","3875.9"
"Orthotics and Prosthetics","TLSO FLEX PREFAB","2593.4"
"Orthotics and Prosthetics","TLSO FLEX PREFAB THORACIC","487.2"
