"Charge name","Charge procedure master #","Revenue ID","Associated Cost Centers & NAME","HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE","Fee Schedule Year"
"HC BLOOD COUNT MANUAL CELL COUNT EA","H3050010","0305","55 LABORATORY 80 LABORATORY","$43.00","2018"
"HC BLOOD COUNT RETICULOCYTE MANUAL","H3050011","0305","25 LABORATORY 30 LABORATORY 80 LABORATORY","$49.00","2018"
"HC BLOOD COUNT RETICULOCYTE AUTO","H3050012","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$49.00","2018"
"HC BLOOD COUNT LEUKOCYTE AUTO","H3050013","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$46.00","2018"
"HC BLOOD COUNT PLATELET AUTO","H3050014","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$56.00","2018"
"HC BONE MARROW SMEAR INTERP","H3050017","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$64.00","2018"
"HC CLOTTING FACTOR II PROTHROMBIN SPECIFIC","H3050018","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$122.00","2018"
"HC CLOTTING FACTOR V LABILE FACTOR","H3050019","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$43.00","2018"
"HC CLOTTING FACTOR VII (PROCONVERTIN STBL)","H3050020","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$43.00","2018"
"HC CLOTTING FACTOR VIII (AHG) 1-STAGE","H3050021","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$133.00","2018"
"HC CLOT FACTOR VIII VW RSTCTN","H3050022","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$57.00","2018"
"HC CLOTTING FACTOR VIII VW FACTOR ANTIGEN","H3050023","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$151.00","2018"
"HC CLOTTING FACTOR VIII VW MLTMTRC ANALY","H3050024","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$57.00","2018"
"HC CLOTTING FACTOR IX (PTC OR CHRISTMAS)","H3050025","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$47.00","2018"
"HC CLOTTING FACTOR X (STUART-PROWER)","H3050026","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$43.00","2018"
"HC CLOTTING FACTOR XI (PTA)","H3050027","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$43.00","2018"
"HC CLOTTING FACTOR XII (HAGEMAN)","H3050028","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$122.00","2018"
"HC CLOT FACTOR XIII SCREEN SLBL","H3050029","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$22.00","2018"
"HC CLOTTING INHIB ANTITHROMBIN III ACTIVITY","H3050030","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$75.00","2018"
"HC CLOTTING INHIB ANTITHROMBIN III ANTIGEN ASSAY","H3050031","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$26.00","2018"
"HC CLOTTING INHIB PROTEIN C ANTIGEN","H3050032","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$77.00","2018"
"HC CLOTTING INHIB PROTEIN C ACTIVITY","H3050033","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$93.00","2018"
"HC CLOTTING INHIB PROTEIN S TOTAL","H3050034","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$75.00","2018"
"HC CLOTTING INHIB PROTEIN S FREE","H3050035","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$103.00","2018"
"HC ACTIVATED PROTEIN C RESISTANCE ASSAY","H3050036","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$37.00","2018"
"HC FACTOR INHIBITOR TEST","H3050037","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$31.00","2018"
"HC COAG TIME ACTIVATED","H3050038","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$38.00","2018"
"HC FIBRIN DEG PROD AGGLUTNATN SEMIQUANT","H3050040","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$18.00","2018"
"HC FIBRIN DEG PROD D-DIMER QUAL/SEMIQUANT","H3050041","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$177.00","2018"
"HC FIBRIN DEG PROD D-DIMER QUANT","H3050042","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$177.00","2018"
"HC FIBRINOGEN ACTIVITY","H3050043","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$87.00","2018"
"HC FIBRINOLYSINS/COAGULOPATHY SCREEN I&R","H3050045","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$14.00","2018"
"HC COAG ASSAY WHOLE BLOOD W/I&R PER DAY","H3050046","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$138.00","2018"
"HC COAG FUNCTIONAL ACTIVITY NOS EA ANALYTE","H3050047","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$57.00","2018"
"HC FIBRINOLYTIC ALPHA-2 ANTIPLASMIN","H3050048","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$12.00","2018"
"HC FIBRINOLYTIC PLASMINOGEN ACTIVATOR","H3050049","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$42.00","2018"
"HC FIBRINOLYTIC PLASMINOGEN XCPT ANTGNC ASA","H3050050","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$44.00","2018"
"HC HGB FETAL DIFFERENTIAL LYSIS","H3050052","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$157.00","2018"
"HC HGB FETAL DIFFERENTIAL ROSETTE","H3050053","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$97.00","2018"
"HC HEPARIN ASSAY","H3050055","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$24.00","2018"
"HC LEUKOCYTE ALKALINE PHOSPHATE W/COUNT","H3050057","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$85.00","2018"
"HC MURAMIDASE","H3050058","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$46.00","2018"
"HC OSMOTIC FRAGILITY RBC INCUBATED","H3050059","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$86.00","2018"
"HC PLATELET AGGREGATION (IN VITRO) EA AGENT","H3050060","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$190.00","2018"
"HC PHOSPHOLIPID NEUTRALIZATION PLATELET","H3050061","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$68.00","2018"
"HC PHOSPHOLIPID NEUTRALIZATION HEXAGONAL","H3050062","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$20.00","2018"
"HC PROTHROMBIN TIME","H3050063","0305","25 LABORATORY 20 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY  80 WAR ANTICOAG CLINIC 45 PMH ANTICOAG CLINIC 80 WAR INT MED -BSIM FACILITY 55 HMH ANTICOAG CLINIC","$38.00","2018"
"HC PROTHRMBIN TIME SUBST PLSMA FRACT EA","H3050064","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$41.00","2018"
"HC RUSSELL VIPER VENOM TIME DILUTED","H3050065","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$68.00","2018"
"HC REPTILASE TEST","H3050066","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$24.00","2018"
"HC SED RATE ERYTHROCYTE NON-AUTOMATED","H3050067","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$55.00","2018"
"HC SED RATE ERYTHROCYTE AUTOMATED","H3050068","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$28.00","2018"
"HC SICKLING RBC REDUCTION","H3050069","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$101.00","2018"
"HC THROMBIN TIME PLASMA","H3050070","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$44.00","2018"
"HC THROMBOPLASTIN TIME PRTL (PTT) PLSMA/WHL","H3050072","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$61.00","2018"
"HC THROMBOPLASTIN TIME PRTL (PTT) SBST EA","H3050073","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$60.00","2018"
"HC VISCOSITY","H3050074","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$29.00","2018"
"HC BLOOD COUNT RED BLOOD CELL AUTO","H3050080","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$33.00","2018"
"HC CLOTTING FACTOR VIII RELATED ANTIGEN","H3050081","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$159.00","2018"
"HC CLOTTING FACTOR XIII FIBRIN STABILIZING","H3050082","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$99.00","2018"
"HC BLOOD COUNT MANUAL DIFRNTL WBC COUNT BUFFY COAT","H3050083","0305","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$26.00","2018"
"HC FECAL BLOOD SCREEN IMMUNOASSAY","H3050084","0305","80 WAR INT MED -BSIM FACILITY 80 WAR MULTISPEC - SURG SER FACILITY 20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$18.00","2018"
"HC CONCENTRATION INFECTIOUS AGENT","H3060002","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$38.00","2018"
"HC CULTURE BACT BLOOD AEROBIC","H3060003","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$190.00","2018"
"HC CULTURE BACT STOOL AERO SAMONLLA/SHIGLLA","H3060004","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$83.00","2018"
"HC CULTURE BACT STOOL AERO ADDL PATH EA","H3060005","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$58.00","2018"
"HC CULTURE BACT OTH AERO W/ISOLATION","H3060006","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$135.00","2018"
"HC CULTURE BACT NOT BLOOD ANAERO W/ISOLATON","H3060008","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$119.00","2018"
"HC CULTURE BACT ANAERO ISOLATE ADDL MTHD EA","H3060009","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$100.00","2018"
"HC CULT BACTERIAL ID","H3060010","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$100.00","2018"
"HC CULTURE SCREENING ONLY","H3060011","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$72.00","2018"
"HC CULTURE BACT QUANT COLONY COUNT URINE","H3060012","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$101.00","2018"
"HC CULTURE BACT ISOLATION EA URINE","H3060013","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$94.00","2018"
"HC CULTURE FUNGI ISOLATE SKIN/HAIR/NAIL","H3060014","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$106.00","2018"
"HC CULTURE FUNGI ISOLATION OTHER","H3060015","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$106.00","2018"
"HC CULTURE FUNGI ISOLATION BLOOD","H3060016","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$104.00","2018"
"HC CULT FUNGUS YEAST ID","H3060017","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$100.00","2018"
"HC CULTURE FUNGI EA ORGANISM MOLD","H3060018","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$100.00","2018"
"HC CULTURE MYCOPLASMA ANY SOURCE","H3060019","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$37.00","2018"
"HC CULT CHLAMYDIA","H3060020","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$177.00","2018"
"HC CULT ACID FAST BACILLI","H3060021","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$146.00","2018"
"HC CULTURE TYPING IF EA","H3060022","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$155.00","2018"
"HC CULTURE TYPE IM MTHD OTH PER ANTISERUM","H3060023","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$68.00","2018"
"HC CULTURE TYPE NA PRB DIRECT EA ORGANISM","H3060024","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$122.00","2018"
"HC CULTURE TYPE NA PRB AMP EA ORGANISM","H3060025","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$191.00","2018"
"HC CULTURE TYPE NA MTHD EA ISOLATE","H3060026","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$668.00","2018"
"HC CULT TYPE OTHER METHODS","H3060027","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$14.00","2018"
"HC MACROSCOPIC EXAM ARTHROPOD","H3060028","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$48.00","2018"
"HC MACROSCOPIC EXAM PARASITE","H3060029","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$48.00","2018"
"HC PINWORM EXAM","H3060030","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$63.00","2018"
"HC HOMOGENIZ TISSUE FOR CULT","H3060031","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$51.00","2018"
"HC OVA & PARASITES DIRECT SMEARS CNCNT/IDNT","H3060032","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$86.00","2018"
"HC SUSCEPTIBILTY STUDIES AGAR PER AGENT","H3060033","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$53.00","2018"
"HC SUSCEPT STUDIES DISK PER PLATE","H3060034","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$76.00","2018"
"HC BETA-LACTAMASE TEST","H3060035","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$41.00","2018"
"HC SUSCEPT STUDIES MIC EA PER PLATE","H3060036","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$85.00","2018"
"HC SUSCEPT STUDIES MACROBROTH DILUTION EA","H3060038","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$85.00","2018"
"HC SUSCEPT STUDIES MYCOBACTERIA EA","H3060039","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$85.00","2018"
"HC SERUM BACTERICIDAL TITER","H3060040","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$227.00","2018"
"HC SMEAR GRAM/GIEMSA","H3060041","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$40.00","2018"
"HC SMEAR FLUORESCENT/ACID FAST","H3060042","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$40.00","2018"
"HC SMEAR INCLUSION BODY/PARASITE","H3060043","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$40.00","2018"
"HC SMEAR COMPLEX SPECIAL STAIN","H3060044","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$93.00","2018"
"HC SMEAR WET MOUNT","H3060045","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY 80 WAR MULTISPEC - SURG SER FACILITY","$93.00","2018"
"HC TISSUE EXAM KOH SLIDE","H3060046","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$76.00","2018"
"HC TOXIN/ANTITOXIN TISSUE CULTURE","H3060047","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$14.00","2018"
"HC VIRUS ISOLATION TISSUE CULT","H3060048","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$168.00","2018"
"HC VIRUS ISOLATION ADDL STUDIES EA","H3060049","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$213.00","2018"
"HC VIRUS ISOLATION ENHANCED IF EA","H3060050","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$42.00","2018"
"HC VIRUS ISOLATION ID NON-IMMUNO METHD OTH","H3060051","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$220.00","2018"
"HC INFECT AG IF BORDETELLA PERTUSSIS","H3060052","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$30.00","2018"
"HC INFECT AG IF INFLUENZA B","H3060056","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$101.00","2018"
"HC INFECT AG IF INFLUENZA A","H3060057","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$101.00","2018"
"HC INFECT AG IF LEGIONELLA PNEUMOPHILA","H3060058","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$30.00","2018"
"HC INFECT AG IF VARICELLA ZOSTER","H3060060","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$89.00","2018"
"HC INFECT AG IF NOS EA","H3060061","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$30.00","2018"
"HC INFECT AG IF EA PLYVLNT ANTSRM","H3060062","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$112.00","2018"
"HC INFECT AG EIA ADENOVIRUS ENTERIC","H3060063","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$86.00","2018"
"HC INFECT AG EIA CLOSTRIDIUM DIFFICILE","H3060065","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$86.00","2018"
"HC INFECT AG EIA CRYPTOSPORIDIUM","H3060067","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$78.00","2018"
"HC INFECT AG EIA GIARDIA","H3060068","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$81.00","2018"
"HC INFECT AG EIA ESCHERICHIA COLI 0157","H3060069","0306","25 LABORATORY 30 LABORATORY 45 LABORATORY 80 LABORATORY","$79.00","2018"
"HC INFECT AG EIA ENTAMOEBA HISTOLYTICA GRP","H3060070","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$30.00","2018"
"HC INFECT AG EIA HELICOBACTER PYLORI STOOL","H3060071","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$249.00","2018"
"HC INFECT AG EIA HEP B SURFACE ANTIGEN","H3060073","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$116.00","2018"
"HC INFECT AG EIA HEP B SURFACE AG NEUTRAL","H3060074","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$69.00","2018"
"HC INFECT AG EIA HEP BE ANTIGEN","H3060075","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$75.00","2018"
"HC INFECT AG EIA HISTOPLASMA CAPSULATUM","H3060077","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$77.00","2018"
"HC INFECT AG EIA HIV-1","H3060078","0306","25 LABORATORY 80 LABORATORY","$104.00","2018"
"HC INFECT AG EIA INFLUENZA A OR B EA","H3060079","0306","30 LABORATORY 45 LABORATORY","$52.00","2018"
"HC INFECT AG EIA RSV","H3060080","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$129.00","2018"
"HC INFECT AG EIA ROTAVIRUS","H3060081","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$153.00","2018"
"HC INFECT AG EIA SHIGA-LIKE TOXIN","H3060082","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$79.00","2018"
"HC INFECT AG EIA STREPTOCOCCUS GROUP A","H3060083","0306","30 LABORATORY 45 LABORATORY","$79.00","2018"
"HC INFECT AG EIA MULT STEP NOS EA","H3060084","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$79.00","2018"
"HC INFECT AG EIA SGL STEP NOS EA","H3060085","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$217.00","2018"
"HC INFECT AG BARTONELLA AMP PRB","H3060086","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$80.00","2018"
"HC INFECT AG NA BORRELIA BURGDORFERI AMP","H3060087","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$386.00","2018"
"HC INFECT AG NA CHLAMYDIA TRACHOMATIS AMP","H3060091","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$212.00","2018"
"HC INFECT AG NA CLOSTRIDIUM DIF TOXIN AMP","H3060092","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$213.00","2018"
"HC INFECT AG NA CYTOMEGALOVIRUS AMP","H3060093","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$303.00","2018"
"HC INFECT AG NA CYTOMEGALOVIRUS QUANT","H3060094","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$80.00","2018"
"HC INFECT AG NA ENTROVIRUS AMP","H3060095","0306","20 LABORATORY 25 LABORATORY 30 LABORATORY 45 LABORATORY 55 LABORATORY 80 LABORATORY","$193.00","2018"
