Procedure Master #,Procedure Name,Revenue ID,2019 Inova Other,2019 Inova-IFMC,,,
H2720367,HC CATH CTO TRUEPATH .018INX165CM,272,"3,088.00",,,,
H2720370,HC KIT TUMOR ABLATION STAR,272,"5,896.00",,,,
H2720377,HC DRILL STEERABLE OSSEOFLEX,272,"2,567.00",,,,
H2720378,HC CATH BLN ATRIOSEPTOSTOMY 5FRX50CM,272,664,,,,
H2720379,HC KIT LEAD REPAIR,272,152,,,,
H2720382,HC SYST HYDRAULIC DEL OSSEOFLEX CD-H,272,530,,,,
H2720383,HC MIXER PMMA BONE CEMENT,272,152,,,,
H2720384,HC KIT REPAIR BROVIAC 6.6F,272,380,,,,
H2720385,HC KIT REPAIR GROSHONG DL 9.5F,272,228,,,,
H2720386,HC STYLET RFS PERFORATOR,272,972,,,,
H2720387,HC ANGIOVAC FULL UNIT,272,"21,048.00",,,,
H2720389,HC TUBING ASPIRATION INDIGO MAX,272,561,,,,
H2720390,HC PROBE CERTUS LN ABLATION,272,"2,506.00",,,,
H2720391,HC CATH IMAGE GDE DRAGONFLY DUO 2.7FX135CM,272,"1,107.00",,,,
H2720392,HC SYS ACCUDRAIN EXTRNL CSF W/O VALVE,272,265,,,,
H2720397,HC SET ACKERMANN BIOPSY,272,434,,,,
H2720398,HC PROBE LITHOTRIPSY ELECTROHYDRAULIC,272,"1,733.00",,,,
H2720399,HC SET AMPLATZ RENAL DILATOR,272,321,,,,
H2720400,HC SYS AMPLATZER TORQVUE DEL 5FX60CM,272,951,,,,
H2720401,HC SYS AMPLATZER TORQVUE DEL 6FX80CM,272,951,,,,
H2720402,HC SYS AMPLATZER TORQVUE DEL 6FX60CM,272,951,,,,
H2720403,HC SYS AMPLATZER TORQVUE DEL 7FX80CM 180 DEG,272,951,,,,
H2720404,HC SYS AMPLATZER TORQVUE DEL 7FX60CM,272,951,,,,
H2720405,HC SYS AMPLATZER TORQVUE DEL 7FX80CM 45 DEG,272,951,,,,
H2720406,HC SYS AMPLATZER TORQVUE DEL 8FX60CM,272,951,,,,
H2720407,HC SYS AMPLATZER TORQVUE DEL 8FX80CM 45 DEG,272,951,,,,
H2720408,HC SYS AMPLATZER TORQVUE DEL 9FX80CM 45 DEG,272,951,,,,
H2720409,HC SYS AMPLATZER TORQVUE DEL 10FX80CM,272,951,,,,
H2720410,HC SYS AMPLATZER TORQVUE DEL 12FX80CM,272,951,,,,
H2720411,HC CATH BLN SIZING AMPLATZER 18MM,272,435,,,,
H2720412,HC SET ANGIOFLUSH FLUID ADMIN,272,176,,,,
H2720413,HC KIT DRESSING ASPIRA DRAINAGE,272,110,,,,
H2720414,HC CATH BLN SIZING AUROUS 5FX100CM,272,151,,,,
H2720415,HC CATH BLN SIZING AUROUS PIGTAIL 5FX70CM,272,151,,,,
H2720416,HC CATH BLN SIZING AUROUS 5FX70CM,272,151,,,,
H2720417,HC SET AVAMAX VERT AUGMENTATION W/NDL,272,725,,,,
H2720418,HC CEMENT BONE PX TRAY AVAMAX,272,924,,,,
H2720419,HC SYS AVAMAX PLUS CEMENT DELIVERY,272,"1,038.00",,,,
H2720420,HC KIT STYLET AVAMAX 11GAX12CM,272,188,,,,
H2720421,HC KIT STYLET AVAMAX 13GAX12CM,272,188,,,,
H2720422,HC KIT STYLET AVAMAX 11GAX15CM,272,207,,,,
H2720423,HC CEMENT RADIOPAQUE BONE AVATEX,272,392,,,,
H2720424,HC CATH BLN WEDGE PRESSURE 4F 60CM,272,77,,,,
H2720425,HC CATH BLN WEDGE PRESSURE 6F,272,76,,,,
H2720426,HC CATH BLN WEDGE PRESSURE 7F,272,78,,,,
H2720427,HC DRAIN WOUND CHANNEL 19F,272,231,,,,
H2720428,HC SET TRANSSEPTAL NEEDLE AND STYLET 71CM,272,237,,,,
H2720429,HC CATH DX ROYAL FLUSH+ HI FLOW 4F,272,113,,,,
H2720438,HC SET BILIARY DILATOR,272,408,,,,
H2720439,HC CATH DX BERMAN ANGIO REVRS 5FX80CM,272,126,,,,
H2720440,HC CATH BLN WEDGE PRESSURE 7F 110CM,272,80,,,,
H2720441,HC CATH DX BERMAN ANGIO 5FX60CM,272,93,,,,
H2720442,HC CATH DX BERMAN ANGIO 6FX60CM,272,90,,,,
H2720443,HC CATH DX BERMAN ANGIO 4FX50CM,272,84,,,,
H2720444,HC CATH DX BERMAN ANGIO 5FX80CM,272,90,,,,
H2720445,HC CATH BLN WEDGE PRESSURE 6F 90CM,272,88,,,,
H2720446,HC FORCEPS OVAL CUP BIOPSY,272,512,,,,
H2720447,HC NEEDLE/HC CATH COMBO TIPPS,272,572,,,,
H2720448,HC CABLE BIOSENSE WEBSTER,272,"2,868.00",,,,
H2720449,HC CEMENT BONE BARIUM SULFATE 6GMS/VIAL,272,117,,,,
H2720450,HC SET BONOPTY BONE PENETRATION 14GA,272,168,,,,
H2720451,HC DRILL BONOPTY BONE BX,272,114,,,,
H2720452,HC POWER SUPPLY COIL DETACH,272,281,,,,
H2720453,HC KIT ACCESSORY LEAD DEL SYST EZ-4 TOOL,272,757,,,,
H2720460,HC KIT REPAIR BROVIAC 6.6F,272,228,,,,
H2720461,HC CABLE EXT CONSTELLATION 10 FT,272,682,,,,
H2720462,HC TUNNELER SHUNT 18FX38CM,272,142,,,,
H2720463,HC CABLE EP DECAPOLAR C3 TO BLUE PORT,272,606,,,,
H2720465,HC CABLE EP DX C3 SENSOR BASED,272,606,,,,
H2720466,HC CABLE EP C3 ULTRASOUND,272,606,,,,
H2720468,HC PATCH CARTO 3 EXTRNL REF,272,198,,,,
H2720469,HC CABLE EP C3 TO YELLOW PORT,272,606,,,,
H2720470,HC FORCEPS BIOPSY CRVD,272,224,,,,
H2720471,HC FORCEPS BIOPSY PRE-CRVD,272,214,,,,
H2720472,HC KIT LEAD LOCKING DEVICE CLEARS,272,160,,,,
H2720473,HC KIT CRANIAL ACCESS CSF,272,369,,,,
H2720474,HC CATH DILATATION PTV 11MM X 2CM,272,593,,,,
H2720475,HC CATH DILATATION PTV 11MM X 3CM,272,569,,,,
H2720476,HC CATH DILATATION PTV 12MM X 2CM,272,569,,,,
H2720477,HC CATH DILATATION PTV 12MM X 4CM,272,569,,,,
H2720478,HC PUSHER COIL 16 COIL,272,146,,,,
H2720479,HC SET BIOPSY TRANSLUMINAL BILIARY,272,"1,030.00",,,,
H2720480,HC TUBING COOLFLOW IRRIGATION,272,91,,,,
H2720481,HC KIT ELECTRODE RF COOL TIP 10CM PROBE,272,"2,006.00",,,,
H2720482,HC KIT ELECTRODE RF COOL TIP 15CM PROBE,272,"2,344.00",,,,
H2720483,HC KIT ELECTRODE RF COOL TIP 1CM ACTIVE TIP,272,"2,344.00",,,,
H2720484,HC KIT ELECTRODE RF COOL TIP 2CM ACTIVE TIP,272,"2,006.00",,,,
H2720485,HC KIT ELECTRODE RF COOL TIP 3CM ACTIVE TIP,272,"2,006.00",,,,
H2720486,HC KIT COOL-TIP CONTROLLER,272,"2,232.00",,,,
H2720487,HC CANNULA COPE GASTROJEJUNOSTOMY,272,167,,,,
H2720488,HC CATH THERMODILUTION 7FX110CM,272,319,,,,
H2720490,HC BRUSH CYTOLOGY RX 4500,272,160,,,,
H2720491,HC BANDAGE D-STAT DRY SILVER,272,90,,,,
H2720492,HC INJECTOR BONE CEMENT DURO-JECT,272,300,,,,
H2720493,HC NEEDLE BONE BX ELSON,272,434,,,,
H2720495,HC DEVICE ABLATION EVIDENT MW 12CM,272,"2,937.00",,,,
H2720496,HC ANTENNA EVIDENT MWA 12CMX3.7CM,272,"2,937.00",,,,
H2720497,HC DEVICE ABLATION EVIDENT MW 17CM,272,"2,937.00",,,,
H2720498,HC ANTENNA EVIDENT MWA 17CMX3.7CM,272,"2,937.00",,,,
H2720499,HC CABLE EXPLORER ST QUICK CONNECT ADAPTOR,272,342,,,,
H2720501,HC DEVICE COMPRESSION FEMOSTOP,272,121,,,,
H2720502,HC STYLET FINELINE II STEROX PACING LEAD,272,76,,,,
H2720503,HC CATH CTO FRONTRUNNER XP 4.5FX82CM,272,359,,,,
H2720504,HC CATH CTO FRONTRUNNER XP 4.5FX132CM,272,359,,,,
H2720505,HC BRUSH CYTOLOGY FUSION,272,167,,,,
H2720506,HC CABLE CONN COIL DETACH,272,281,,,,
H2720507,HC CABLE GE C-LAB PRO INPUT MODULE 3,272,925,,,,
H2720508,HC NEEDLE TRANSSEPTAL HEARTSPAN 18GA 71CM,272,198,,,,
H2720509,HC NEEDLE TRANSSEPTAL HEARTSPAN 21GA 89CM,272,198,,,,
H2720510,HC VALVE HEMOSTASIS LV-1,272,76,,,,
H2720512,HC TUBE BLN STRCHG SS 19G 80CM,272,198,,,,
H2720513,HC CATH BLN INOUE COMMISUROTOMY 70MMX26CM,272,"3,480.00",,,,
H2720514,HC CATH BLN INOUE COMMISUROTOMY 70MMX28CM,272,"3,480.00",,,,
H2720515,HC CATH BLN INOUE COMMISUROTOMY 70MMX30CM,272,"3,480.00",,,,
H2720517,HC CARTRIDGE KYPHON CDS CEMENT,272,152,,,,
H2720518,HC TRAY KYPHOPAK EXPRESS 10MM,272,"5,941.00",,,,
H2720519,HC TRAY KYPHOPAK EXPRESS 15MM,272,"5,941.00",,,,
H2720520,HC TRAY KYPHOPAK XPANDER 20MM,272,"5,941.00",,,,
H2720521,HC DEVICE KYPHX BONE BIOPSY SZ 3,272,228,,,,
H2720522,HC DEVICE KYPHX OSTEO INTRO/TROCAR,272,636,,,,
H2720523,HC KIT ACCESSORY LEAD DELIVERY SYS,272,152,,,,
H2720524,HC WIRE STYLET LEAD XTRCTN,272,76,,,,
H2720525,HC CATH BLN IAB LINEAR 34CC W/INSERTN KIT,272,"1,295.00",,,,
H2720526,HC CATH BLN IAB LINEAR 34CC W/ARROW CONN,272,"1,867.00",,,,
H2720527,HC CATH BLN IAB LINEAR 40CC W/INSERTN KIT,272,"1,295.00",,,,
H2720528,HC CATH BLN IAB LINEAR 40CC W/ARROW CONN,272,"1,325.00",,,,
H2720529,HC SET LIVER BX 19GA NDL,272,640,,,,
H2720530,HC CABLE MAESTRO 3000 3FT,272,454,,,,
H2720534,HC NEEDLE MATCH-GROUND INTRO DIAMOND TIP,272,416,,,,
H2720535,HC NEEDLE MATCH-GROUND INTRO BEVEL TIP,272,416,,,,
H2720536,HC TUBING ASPIRATION PENUM MAX,272,561,,,,
H2720537,HC DEVICE MAX CORE BX 18GX20CM,272,96,,,,
H2720538,HC MIXER BONE CEMENT MINIMIX,272,203,,,,
H2720540,HC NEEDLE OSSEOFLEX SN STEERABLE,272,"2,567.00",,,,
H2720541,HC NEEDLE OSTEO-SITE BONE BX 13GA 15CM,272,117,,,,
H2720542,HC CATH PACING PACEL BIPOLAR FLOW DIRECTED,272,152,,,,
H2720544,HC TRAY PERICARDIOCENTESIS W/GW 8.3FX40CM,272,289,,,,
H2720545,HC CATH BLN SIZING PTS 20MMX3CM,272,343,,,,
H2720546,HC CATH BLN SIZING PTS 25MMX3CM,272,343,,,,
H2720547,HC CATH BLN SIZING PTS 30MMX3CM,272,343,,,,
H2720548,HC NEEDLE BX QUICK-CORE COAXIAL 15G 15CM,272,133,,,,
H2720549,HC NEEDLE BX QUICK-CORE COAXIAL 16G 15CM G10149,272,90,,,,
H2720550,HC CATH BLN RASHKIND SEPTOSTOMY,272,156,,,,
H2720551,HC CATH REFSTAR W/QWIKPATCH EXTRNL REF,272,198,,,,
H2720552,HC KIT CATH BARD REPAIR W/ CONNECTORS,272,203,,,,
H2720554,HC CABLE EP EXTNSN BLACK HEXA/OCTA/DECAPOLAR,272,77,,,,
H2720556,HC LUBRICANT ROTAGLIDE VIAL 20CC,272,160,,,,
H2720558,HC DEVICE SUREGUARD HEMOSTASIS COMPRESSION 24CM,272,108,,,,
H2720559,HC ADAPTOR SAFESHEATH SEALING FOR ATTAIN,272,84,,,,
H2720560,HC CATH DX SITESEER 6FX100CM,272,214,,,,
H2720561,HC CATH DX SLIP-CATH 4F 100CM DAV,272,113,,,,
H2720562,HC CATH DX SLIP-CATH 4F 65CM TC,272,286,,,,
H2720563,HC CATH DX SLIP-CATH 4.5F 135CM ANG,272,101,,,,
H2720564,HC CATH DX SLIP-CATH 5F 100CM DAV,272,113,,,,
H2720565,HC CATH DX SLIP-CATH 5F 100CM SIM1,272,286,,,,
H2720566,HC CATH DX SLIP-CATH 5F 100CM SIM2,272,286,,,,
H2720567,HC CATH DX SLIP-CATH 6.5F 125CM H1,272,101,,,,
H2720568,HC CATH DX SLIP-CATH 6.5F 125CM JB1,272,101,,,,
H2720569,HC CATH DX SLIP-CATH 6.5F 125CM VTK,272,101,,,,
H2720571,HC PROBE ABLATION SPINESTAR 41 MM ARTICULATING TIP 11 G,272,"4,730.00",,,,
H2720572,HC PROBE ABLATION SPINESTAR,272,"4,730.00",,,,
H2720573,HC INTRO STABILIT DT 3.6-11.5-ED,272,266,,,,
H2720574,HC KIT BONE BX COAXIAL 11GA,272,104,,,,
H2720575,HC KIT BONE BX COAXIAL 13GA,272,640,,,,
H2720576,HC STYLET FINELINE II ATRIAL J PACING LEAD,272,76,,,,
H2720577,HC STYLET FINELINE II STRAIGHT SOFT PACING LEAD,272,76,,,,
H2720578,HC STYLET STRAIGHT SOFT PACING LEAD,272,76,,,,
H2720579,HC CATH DX SUPER TORQUE PIG2 5FX110CM,272,103,,,,
H2720580,HC CATH DX SUPERTORQUE 4F 110CM,272,191,,,,
H2720582,HC CABLE SURELINK EXTENSION 10 PIN,272,180,,,,
H2720583,HC SPONGE SURGICEL HEMOSTATIC 2X4IN,272,180,,,,
H2720584,HC MATRIX SURGIFLO HEMOSTATIC 8ML,272,249,,,,
H2720585,HC NEEDLE BX TEMNO COAXIAL ECHOTIP 20G,272,109,,,,
H2720587,HC CABLE THERMISTOR CATH 10 FT,272,416,,,,
H2720588,HC SET TRANSSEPTAL NDL AND STYLET 89CM,272,198,,,,
H2720589,HC DEVICE PULLBACK TRAK BACK II DISP,272,76,,,,
H2720590,HC NEEDLE TRANSSEPTAL STD CRV 18GA X 71CM,272,237,,,,
H2720591,HC NEEDLE TRANSSEPTAL STD CRV 18GA X 89CM,272,237,,,,
H2720592,HC SYRINGE TRUFILL DCS,272,308,,,,
H2720593,HC NEEDLE BX TRUGUIDE COAXIAL 17G,272,113,,,,
H2720594,HC DEVICE TRUPUSH COIL PUSHER,272,503,,,,
H2720595,HC ANTENNA VALLEYLAB 22CMX2CM,272,"2,937.00",,,,
H2720596,HC SET NEEDLE BX VANSONNENBERG,272,87,,,,
H2720597,HC SET NEEDLE BX VANSONNENBERG ONE STEP,272,81,,,,
H2720598,HC CANNULA CEMENT VERTEPORT 11GA,272,103,,,,
H2720599,HC CONTROLLER DETACH V-GRIP,272,251,,,,
H2720600,HC CABLE EP WEBSTER XP IC OUTPUT 18 PIN,272,814,,,,
H2720601,HC BASKET WITTICH STONE RETRIEVAL,272,449,,,,
H2720602,HC CATH DX GENSINI PED 5FX100CM,272,127,,,,
H2720603,HC CATH DX GENSINI PED 6FX80CM,272,127,,,,
H2720604,HC CATH DX NIH PED 5FX50CM,272,138,,,,
H2720605,HC CATH DX NIH PED 6FX80CM,272,138,,,,
H2720606,HC CATH DX NIH PED 5FX80CM,272,138,,,,
H2720607,HC CATH DX NIH PED 6FX65CM,272,138,,,,
H2720608,HC CATH DX NIH PED 7FX80CM,272,138,,,,
H2720609,HC DRIVE UNIT ARROW-TREROTOLA PTD 5F,272,194,,,,
H2720610,HC TUBE GUIDING FOR RING SET,272,932,,,,
H2720611,HC CATH PACING PACEL 5F 110CM,272,91,,,,
H2720612,HC CABLE ENPOWER CONTROL,272,272,,,,
H2720614,HC PROBE ABLATION CERTUS LK 17GA 15CM,272,"2,506.00",,,,
H2720617,HC PROBE ABLATION PRECISION SM 15CMX7G,272,"2,724.00",,,,
H2720619,HC VALVE PNEUMOSTAT CHEST DRN 30ML,272,44,,,,
H2720620,HC KIT MAGELLAN 9F 80CM ACCESSORY,272,"1,993.00",,,,
H2720621,HC KIT MAGELLAN 9F 65CM ACCESSORY,272,"1,993.00",,,,
H2720622,HC KIT MAGELLAN 9F 50CM ACCESSORY,272,"1,993.00",,,,
H2720623,HC CADDY MAGELLAN 9F,272,221,,,,
H2720624,HC KIT MAGELLAN 6F 60CM ACCESSORY,272,"2,037.00",,,,
H2720625,HC KIT MAGELLAN 6F 95CM ACCESSORY,272,"2,037.00",,,,
H2720626,HC LEADER MAGELLAN 6F 60CM,272,"1,174.00",,,,
H2720627,HC LEADER MAGELLAN 6F 95CM,272,"1,174.00",,,,
H2720629,HC PROBE CERTUS MICROWAVE ABL 20CMX17G,272,"2,414.00",,,,
H2720630,HC PACK ANGIOVAC CIRCUIT,272,"19,191.00",,,,
H2720635,HC CABLE CRYO COAX UMBILICAL,272,141,,,,
H2720636,HC MONITOR PRESSURE SENSOR FLO TRAC 84IN,272,389,,,,
H2720637,HC CATH DX BERMAN ANGIO 5FX50CM,272,84,,,,
H2720638,HC DELIVERY SYS ENESMBLE TRANSCATH 22F 22MM,272,"5,168.00",,,,
H2720639,HC?NDL TRANSEPT?BAYLIS NRG?8F LG,272,731,,,,
H2720640,HC ANGIOVAC KIT 20 DEGREE,272,"16,977.00",,,,
H2720641,HC ANGIOVAC KIT STRAIGHT,272,"16,977.00",,,,
H2720642,HC ANGIOVAC FILTER/BUBBLE TRAP,272,"2,215.00",,,,
H2720651,HC?NDL TRANSEPT?BAYLIS 98CM C1,272,731,,,,
H2720652,HC?NDL TRANSEPT?BAYLIS 98CM C0,272,731,,,,
H2720653,HC DELIVERY SYS ENESMBLE TRANSCATH 22F 20MM,272,"9,597.00",,,,
H2720654,HC DELIVERY SYS ENESMBLE TRANSCATH 22F 18MM,272,"9,597.00",,,,
H2720655,HC MILK DONOR/ML,272,0.17,,,,
H2720656,HC PROLACTA +10/ML,272,6,,,,
H2720657,HC PROLACTA +6/ML,272,6,,,,
H2720658,HC PROLACTA +8/ML,272,7,,,,
H2720659,HC PROLACTA +4/ML,272,6,,,,
H2720668,HC SEALANT TISSEEL FIBRIN 10ML,272,668,,,,
H2720669,HC DEVICE RETRV SGRA HEMI 4.5F 5CMX20MM,272,250,,,,
H2720670,HC CANNULA IVAS VERTEPORT 11G,272,103,,,,
H2720671,HC CANNULA IVAS ACCESS 11G,272,595,,,,
H2720672,HC TRAY BX LSN ONCNTRL 11/13G 10X14CM,272,434,,,,
H2720673,HC KIT TLAB TRNSJUGLR LIVER BX 7F 60CM,272,782,,,,
H2720674,HC NEEDLE TRANSEP NRG C1 71CM,272,800,,,,
H2720675,HC NEEDLE TRANSEP NRG C1 98CM,272,800,,,,
H2720676,HC NEEDLE TRANSEP NRG C0 56CM,272,800,,,,
H2720677,HC NEEDLE TRANSEP NRG C1 56CM,272,800,,,,
H2720678,HC NEEDLE TRANSEP NRG C0 71CM,272,800,,,,
H2720679,HC NEEDLE TRANSEP NRG C0 89CM,272,800,,,,
H2720680,HC NEEDLE TRANSEP NRG C1 89CM,272,800,,,,
H2720681,HC NEEDLE TRANSEP NRG C0 98CM,272,800,,,,
H2720682,HC WIRE NYKANEN RF .024IN 265CM,272,"1,195.00",,,,
H2720683,HC KIT PLEURX CATH ACCESS,272,176,,,,
H2720684,HC PACK PLEURX DRESSING CHG PROC,272,191,,,,
H2720685,HC SEALER BIPOLAR 6.0,272,665,,,,
H2720686,HC TRAY BX LSN ONCNTRL 10/12G 10X14CM,272,527,,,,
H2720687,HC SET BONOPTY PENETRATION 14G 6.5CM,272,142,,,,
H2720688,HC SET BONOPTY PENETRATION 15G 13CM,272,142,,,,
H2720689,HC SET BONOPTY PENETRATION 15G 16CM,272,142,,,,
H2720690,HC SET BONOPTY PENETRATION 14G 13CM,272,142,,,,
H2720691,HC SET BONOPTY PENETRATION 15G 19.5CM,272,142,,,,
H2720692,HC SET BONOPTY PENETRATION 12G 10CM,272,176,,,,
H2720693,HC SET BONOPTY PENETRATION 13G 16.5CM,272,176,,,,
