"PROC #","Procedure Description","IP Price","OP Price"
95,CATH ON-Q SYSTEM PM028,"1,526","1,526",
96,CATH URETERAL 30,75,75,
97,CAUT CHEM TISSUE GRANULATION,307,307,
98,CAUTERY SUCTION COAG 40,102,102,
99,CBC W/AUTO DIFF OTHER,126,72,
100,CBC WITHOUT DIFFERENTIAL,90,51,
101,CELL COUNT MISC FLUID,61,35,
102,CELL COUNT MISC FLUID W/DIF,101,58,
103,CF HFO STATIC,105,105,
104,CHANGE OF CYSTOSTOMY TUBE SIMPLE,398,398,
105,CHEMILUMINESCENT ASSAY,274,157,
106,CHEMO ADMIN SUBQ/IM NONHORMON,397,397,
107,CHLAMYDIA TRACH AMP PROBE T,398,228,
108,CHLORIDE ISTAT,57,33,
109,CHLORIDE RANDOM URINE,68,39,
110,CLIA OCCULT BLOOD GAS FLUID,76,43,
111,CLIP APPLIER UNIVERSAL EPIX,570,570,
112,CLOSTRIDIUM DIFFICILE TOXINGENES,398,228,
113,CLOZAPINE,224,128,
114,COLLAR CERV EXTRICATION OTS,179,179,
115,COLLECT BLOOD PORT/ACCESS DVC,195,112,
116,COLONOSCOPY FLEX DX,"3,208","3,208",
117,COLONOSCOPY FLEX W/INJ SUBMUC,"3,145","3,145",
118,COLONOSCOPY SCRN PT NOT HI RISK,"2,026","2,026",
119,COLONOSCOPY THRU STOMA,"1,730","1,730",
120,COLONOSCOPY THRU STOMA W/BIOP,"1,903","1,903",
121,COLONOSCOPY THRU STOMA W/SNARE,"2,497","2,497",
122,COLONOSCOPY W/ABLATION,"3,536","3,536",
123,COLONOSCOPY W/BIOPSY,"4,915","4,915",
124,COLONOSCOPY W/HOT FORCEP,"3,696","3,696",
125,COLONOSCOPY W/REMOVE BY SNARE,"4,411","4,411",
126,COMPATIBILITY TEST-ELECTRONIC,913,522,
127,COMPLEMENT C1Q QUAN,269,154,
128,COMPLEMENT C4,146,84,
129,COMPLEMENT TOTAL CH 50,212,121,
130,COMPREHENSIVE METABOLIC PAN,421,241,
131,CONCENTRATION FOR INF AGENT,72,41,
132,COPPER,198,113,
133,CORTISOL TOTAL,212,121,
134,CPAP/BIPAP SUBSEQUENT DAILY,477,477,
135,C-PEPTIDE,279,160,
136,CPR,975,975,
137,C-REACTIVE PROTEIN,167,95,
138,CREATINE KINASE (CPK) TOTAL,87,50,
139,CREATININE ISTAT,77,44,
140,CREATININE URINE,76,44,
141,CRITICAL CARE >74 ADDL SVC,791,791,
142,CRITICAL CARE 30-74 ADDL SVC,"2,903","2,903",
143,CROSSMATCH,913,522,
144,CRYOGLOBULIN QUAL SEMI QUAN Q,77,44,
145,CRYSTAL ID LIGHT MICRO,88,50,
146,CT ABDOMEN AND PELVIS W AND W/O CONT,"6,264","3,580",
147,CT ABDOMEN AND PELVIS W CONT,"5,060","2,891",
148,CT ABDOMEN AND PELVIS W/O CONT,"4,276","2,443",
149,CT ABDOMEN W AND W/O CONTRAST,"3,693","2,110",
150,CT ABDOMEN W/CONTRAST,"3,127","1,787",
151,CT ABDOMEN W/O CONTRAST,"2,190","1,252",
152,CT CHEST W AND W/O CONTRAST,"3,267","1,867",
153,CT CHEST W/CONTRAST,"2,876","1,643",
154,CT CHEST W/O CONTRAST,"2,184","1,248",
155,CT C-SPINE W/O CONTRAST,"2,557","1,461",
156,CT HEAD/BRAIN W/CONTRAST,"4,284","2,448",
157,CT HEAD/BRAIN W/O CONTRAST,"2,988","1,707",
158,CT HEADBRAIN W AND WO CONTRAST,"5,217","2,981",
159,CT LOW EXT W/CONTRAST LT,"2,607","1,490",
160,CT LOW EXT W/O CONTRAST RT,"2,015","1,152",
161,CT L-SPINE W/CONTRAST,"3,197","1,827",
162,CT L-SPINE W/O CONTRAST,"2,797","1,598",
163,CT LUNG CANCER ANNUAL SCREEN,"2,059","1,177",
164,CT MAXILLOFACIAL W/CONTRAST,"2,211","1,263",
165,CT MAXILLOFACIAL W/O CONTRA,"1,995","1,140",
166,CT NECK W AND W/O CONTRAST,"3,413","1,950",
167,CT NECK W/CONTRAST,"2,373","1,356",
168,CT NECK W/O CONTRAST,"1,749","1,000",
169,CT ORBIT/SELLA/FOSSA/EAR W/CON,"2,327","1,330",
170,CT ORBIT/SELLA/FOSSA/EAR W/O CON,"2,166","1,238",
171,CT PELVIS W AND W/O CONTRAST,"4,102","2,344",
172,CT PELVIS W/CONTRAST,"2,819","1,611",
173,CT PELVIS W/O CONTRAST,"2,186","1,249",
174,CT T-SPINE W AND W/O CONTRAST,"4,359","2,491",
175,CT T-SPINE W/CONTRAST,"3,012","1,721",
176,CT T-SPINE W/O CONTRAST,"2,797","1,598",
177,CT UP EXT W/CONTRAST LT,"3,197","1,827",
178,CT UP EXT W/O CONTRAST LT,"2,015","1,152",
179,CTA ABDOMEN AND PELVIS W AND W/O CONTRAST,"5,535","3,163",
180,CTA ABDOMEN W AND W/O CONTRAST,"3,378","1,930",
181,CTA ABDOMINAL AORTA W/RUNOF,"4,274","2,442",
182,CTA CHEST W AND W/O CONT,"3,573","2,042",
183,CTA HEAD W AND W/O CONT,"3,915","2,237",
184,CTA LOW EXT W AND W/O CONT LT,"3,339","1,908",
185,CTA NECK W AND W/O CONT,"2,594","1,482",
186,CTA PELVIS W AND W/O CONTRAST,"3,179","1,817",
187,CTA UPEXT W AND WO CONTRAST RT,"3,338","1,907",
188,CULT BACTERIA BLOOD,147,84,
189,CULT FUNGI,232,133,
190,CULT FUNGI BLOOD,118,68,
191,CULT MYCOPLASMA ANY SOURCE Q,391,223,
192,CULT PATHOGENIC ORGAN SCRN,133,76,
193,CULT STOOL ADDITIONAL PATHO,44,25,
194,CULT STOOL SALMONELLA SHIGE,65,37,
195,CULT TYPE ID BY NUCLEIC ACI,277,158,
196,CULTURE AFB,145,83,
197,CULTURE ANAEROBIC,250,143,
198,CULTURE BACTERIA AEROBIC,118,68,
199,CUP CHEST COMPRESSION DISP,256,256,
200,CUSHION CHAIR,109,109,
201,CYCLIC CITRULLINATED PEPTID,161,92,
202,CYTOMEGALOVIRUS NEG UNIT CHARGE,175,100,
203,CYTOMEGALOVIRUS QUANT,541,309,
204,CYTOPATH NONGYN LB W/INTERP,747,427,
205,D DIMER QUAN ULTRA SEN,384,220,
206,DEMO/EVAL SVN/IPPB/MDI,375,375,
207,DEOXYRIBONUCLEIC ACID ANTIB,167,96,
208,DERMABOND,130,130,
209,DERMABOND 0.5ML HI VISCOSITY,150,150,
210,DERMABOND 0.7ML,136,136,
211,DERMABOND 100,165,165,
212,DERMABOND ADHESIVE SKIN MINI,76,76,
213,DERMABOND ADVANCED,125,125,
214,DEVICE ELECTROSURGCL CUT/COAG,"1,305","1,305",
215,DEVICE ENDOMET ABLATION NOVA,"3,413","3,413",
216,DEVICE ENDOSTITCH 173016,"1,360","1,360",
217,DEVICE FIXATION SECURESTRAP 25,"2,566","2,566",
218,DEVICE FIXATN ABSORBATACK 15,"1,747","1,747",
219,DEVICE FIXATN ABSORBATACK 30X,"2,184","2,184",
220,DEVICE LIGASURE LAP SEALER/DIVIDER,"3,396","3,396",
221,DIGOXIN,162,93,
222,DILATION ANAL SPHINCTER W/ANES,"3,090","3,090",
223,DILATION ESOPHAGUS SOUND OR BO,"1,219","1,219",
224,DISK METHOD SENSITIVITY,86,49,
225,DOPP SEG PRESS LWR LTD,344,344,
226,DRAIN INJ MAJOR JNT BURSA W/US,701,701,
227,DRAIN PLEUREVAC ADULT,182,182,
228,DRESSING HEMOSTAT SURGICEL 2X3,355,355,
229,DRESSING NASOPORE BIORESRBLE,737,737,
230,DRESSING QUICK CLOT 5 X 5,460,460,
231,DRUG SCREEN SINGLE,707,404,
232,DSG MEPILEX AG 6X6,127,127,
233,DUPLEX AORTA/ILIAC COMPLETE,793,793,
234,DUPLEX ARTERIAL FLOW; COMPL,"1,026","1,026",
235,DUPLEX EXT VEINS BILAT,"1,048","1,048",
236,DUPLEX EXT VEINS; UNIL/LIMIT,743,743,
237,DUPLEX EXTRACRANIAL/CAROTID BI,941,941,
238,DUPLEX EXTRACRANIAL/CAROTID UN,504,504,
239,DUPLEX LE ART/BPG; BILAT,860,860,
240,DUPLEX LE ART/BPG; UNIL/LIMIT,575,575,
241,DUPLEX UE ART/BPG; UNIL/LIMIT,562,562,
242,DX OPHTHAL B SCAN US,808,462,
243,ECHO 2D COMPL SPEC AND COLOR DOP,"2,189","2,189",
244,ECHO 2D W/CONTRAST LIMITED,808,808,
245,ECHO 2D W/WO CONT SPECT/COLOR,"2,189","2,189",
246,ECHO AWAKE TEE,"3,669","3,669",
247,ECHO COLOR FLOW VELOCITY MAP,614,614,
248,ECHO TRANSTHORACIC,"2,189","2,189",
249,ECHO W/WO CONT/PHARM/ECG/PHYS,"2,189","2,189",
250,EGD BALLOON DIL ESOPH 30 MM,"3,261","3,261",
251,EGD DIAGNOSTIC,"1,755","1,755",
252,EGD W/BIOPSY,"2,700","2,700",
253,EGD W/ESOPH BALLOON DILATION,"2,187","2,187",
254,EGD W/INTRALMNAL TUBE/CATH,"2,032","2,032",
255,EGD W/PEG PLACEMENT,"2,858","2,858",
256,EGD W/REMOVE FB,"2,537","2,537",
257,EGD W/TUMOR/POLYP REMOVE SNARE,"2,809","2,809",
258,EGFR GENE ANALYSIS,"2,914","1,665",
259,EKG ROUTINE TRACING ONLY,141,141,
260,ENDOLOOP 60,116,116,
261,ENDOSHEARS 250,480,480,
262,ENZYME DETECTION BETA LACTA,90,52,
263,ER VISIT LEVEL 1,360,360,
264,ER VISIT LEVEL 2,559,559,
265,ER VISIT LEVEL 3,905,905,
266,ESOPHAGOSCOPY DIAGNOSTIC,"1,789","1,789",
267,ESTROGEN RECEPTOR ASSAY,"1,853","1,059",
268,EVAL SPEECH ONLY 31-60 MIN,440,252,
269,EVAL SPEECH/LANG 31-60 MIN,922,527,
270,EVAL VOICE 61-90 MIN,425,243,
271,EVENT TRANSMISSION AND ANALYSIS,520,520,
272,EXTRACTABLE NUCLEAR AG,218,125,
273,F2,594,340,
274,F5,738,422,
275,FERRITIN,167,95,
276,FETAL SCREEN,168,96,
277,FIBRINOGEN,146,83,
278,FINGER/HEEL/EAR STICK,35,20,
279,FLOW CELL SURF MARKR TC 1ST 1,"1,853","1,059",
280,FLOW CELL SURF MARKR TC ADDL,246,141,
281,FLOW CYTO INTRP 16 + MARKR 1,"1,416",809,
282,FLUR NONINFECTIOUS AG AB Q,147,84,
283,FLUTTER VALVE INITIAL,229,229,
284,FLUTTER VALVE RX SUBSEQUENT,152,152,
285,FNA INTERP AND REPORT,424,242,
286,FOLATES SERUM,178,102,
287,FRESH FROZEN PLASMA PROC,100,100,
288,GAS DILUTION-LUNG VOLUMES,394,394,
289,GASTRIC INTUB AND ASPIR/LAVAGE,296,296,
290,GGT,114,65,
291,GIARDIA SPECIFIC ANTIGEN EI,209,119,
292,GLUCOSE BLOOD,49,28,
293,GLUCOSE FLUID,60,34,
294,GLUCOSE METER BLOOD,53,30,
295,GONADOTROPIN CHORIONIC QUAN,269,154,
296,GRASPER LAPAROSCOPIC,178,178,
297,H PYLORI ANTIGEN STOOL EIA,861,492,
298,HAPTOGLOBIN,153,88,
299,HARMONIC ACE + SHEARS 36CM,"3,651","3,651",
300,HELMINTH NOS,252,144,
301,HEMATOCRIT,36,21,
302,HEMATOCRIT FLUID,61,35,
303,HEMOGLOBIN (H/H),40,23,
304,HEMOGLOBIN A1C,151,86,
305,HEMOSTATIC AGENT 150,661,661,
306,HEMOSTATIC AGENT 400,960,960,
307,HEMOSTATIC AGENT 4-8 ETHICON,719,719,
308,HEMOSTATIC AGENT APPLIC 80,129,129,
309,HEMOSTATIC MATRIX FLOSEAL,373,373,
310,HEPATIC FUNCTION PANEL,201,115,
311,HEPATITIS B SURF AB,100,57,
312,HEPATITIS B SURF AG,139,80,
313,HEPATITIS B VACCINE ADMIN FEE,107,107,
314,HEPATITIS C AB,202,116,
315,HEPATITIS C QUANTIFICATION,566,323,
316,HERPES SIMPLEX TYPE 1,215,123,
317,HERPES SIMPLEX TYPE 2,246,141,
318,HERPES SIMPLEX VIRUS AMP PROBE,538,307,
319,HERPES SIMPLEX VIRUS QUANT,398,228,
320,HIV 1 ANTIGENS W/HIV 1 & 2 AB,292,167,
321,HIV1 AG W HIV1 AND 2 AB,347,198,
322,HOLTER SCAN ANALYSIS UP TO 48 HRS,579,579,
323,HOLTER SCAN/REC/HKUP/DISC 48 HR,403,403,
324,HOMOCYSTEINE,270,154,
325,HYDROXYINDOLACETIC ACID QUA,298,170,
326,IA ANALYTE QUAL SEMI QUAN,251,143,
327,IA ANALYTE QUAN NOS Q346,236,135,
328,IA ANALYTE QUAN RIA 1,235,134,
329,IDENTIFICATION AEROBIC,99,57,
330,IDENTIFICATION ANAEROBIC,133,76,
331,IDENTIFICATION MOLD,132,75,
332,IDENTIFICATION YEAST,126,72,
333,IMMOBILIZER KNEE OTS,116,116,
334,IMMUNO EACH ADDL ANTIBODY STAIN,400,229,
335,IMMUNO EACH MULTIPLEX ANTIBODY STAIN,"1,853","1,059",
336,IMMUNOFIXATION W/INTERPRET,271,155,
337,IMMUNOGLOBULIN M,119,68,
338,IMPLANT EAR TUBE 40,106,106,
339,IMPLANT EAR TUBE 70,136,136,
340,IMPLANT MESH 10X15CM PROGRIP,"1,764","1,764",
341,IMPLANT MESH 3D LIT MED 3.1X5.3,"1,288","1,288",
342,IMPLANT MESH 3D MAX 3X5,"1,010","1,010",
343,IMPLANT MESH HERNIA 0010303,"3,035","3,035",
344,IMPLANT MESH PARIETEX ANATMICL 6X4 LT RT,700,700,
345,IMPLANT MESH PARIETEX PROGRIP 12X8CM,"1,317","1,317",
346,IMPLANT MESH PARIETEX VENTRAL PATCH,"2,868","2,868",
347,IMPLANT MESH PARIETX PLUG&PATCH 6CM,620,620,
348,IMPLANT MESH PARIETX PLUG&PATCH 8CM,653,653,
349,IMPLANT MESH PARIETX PROGRIP,"1,356","1,356",
350,IMPLANT MESH SYMBOTEX,"1,869","1,869",
351,IMPLANT MESH SYMBOTEX ROUND,"1,363","1,363",
352,IMPLANT MESH VENTRALEX,"4,139","4,139",
353,IMPLANT PACEMAKER MRI DR-EL,"17,388","17,388",
354,IMPLANT RECORDER REVEAL LOOP 9529,"13,007","13,007",
355,IMPLANT RECORDR LOOP,"17,209","17,209",
356,IMPLANT SCREW SNAP OFF 2.7 13-17MM,"1,366","1,366",
357,IMPLANT SINUS DISSLVBL,"3,750","3,750",
358,INFECT AGENT ANTIGEN DET,153,87,
359,INFECT AGENT DET AMP PROBE,"1,117",638,
360,INFLUENZA ANTIGEN RAPID,160,91,
361,INFLUENZA DNA AMP PROBE,841,481,
362,INJECT VACCINE/TOXOID EA ADDL,30,30,
363,INJECT VACCINE/TOXOID FIRST,107,107,
364,INJECTION IM/SUBQ/ANTIBIOTICS,107,107,
365,INJECTION IV EA ADDL DRUG,161,161,
366,INJECTION IV EA ADDL SAME DRUG,171,171,
367,INJECTION IV PUSH INITIAL,276,276,
368,INSERT BLADDER CATH,106,106,
369,INSERT CATH CV NONTNL 5+,"1,718","1,718",
370,INSERT TEMP BLADDER CATH,126,126,
371,INSITU HYBRID ANALYZE 25-99,456,261,
372,INSULIN,139,80,
373,INSULIN FREE,157,90,
374,INTEGRA BMWD PER 1 SQ CM_125,186,186,
375,INTERPHASE IN SITU HYBRID 100-300,502,287,
376,INTRO NEEDLE/CATH VEIN,54,54,
377,INTRODUCER TAUT,267,267,
378,IRON,84,48,
379,IRON BINDING CAPACITY UNSAT,107,61,
380,IRRAD LEUKORED PHER PLTS PR,"1,238","1,238",
381,IRRADIATED LEUKORED RBCS PR,563,563,
382,IRRIGATOR HYDRO-SURG PLUS,495,495,
383,IRRIGATOR SUCTION 100,269,269,
384,IV CHEMO EA ADD HR,257,257,
385,IV CHEMO INIT TO 1 HR,"1,173","1,173",
386,IV CHEMO PUSH SGL OR INIT DRUG,"1,322","1,322",
387,IV HYD EA ADD HR,121,121,
388,IV HYD INIT 31 MIN-60 MIN,411,411,
389,IV SET BLOOD Y-TYPE 2C6750 CS48,49,49,
390,IV TX CONCURRENT,130,130,
391,IV TX EA ADD HR,138,138,
392,IV TX INIT TO 1 HR,434,434,
393,IV TX SEQ TO 1 HR,235,235,
394,KETONE BODY(S) QUAL,103,59,
395,KETONE BODY(S) QUANT,132,76,
396,KIT CATH PLEURAL PLEURX,"3,019","3,019",
397,KIT LAPAROSCOPIC ADV D HELP,298,298,
398,KIT LAPAROSCOPY APPLIED MED,"2,375","2,375",
399,KIT PICC LINE DRESSING,108,108,
400,KRAS,"1,745",997,
401,KRAS GENE ANALYSIS ADDL,"1,745",997,
402,LACTIC ACID,146,83,
403,LACTOFERRIN FECAL QUAL,248,142,
404,LACTOFERRIN QUAN,490,280,
405,LAMBDA BY INSITU HYBRIDIZAT,905,517,
406,LAMOTRIGINE,161,92,
407,LD,83,48,
408,LEAD BS,"2,494","2,494",
409,LEAD PACEMAKER MEDTR,"2,494","2,494",
410,LEAD SJ PACING 2088,"2,757","2,757",
411,LENS MORGAN,167,167,
412,LEUKO POOR PC,538,538,
413,LEUKOCYTE COUNT FECAL,63,36,
414,LEUKORED PHER PLTS PROC,"1,213","1,213",
415,LEVEL 4 W/ADDITIONAL SERVICE,"1,444","1,444",
416,LEVEL 5 W/ADDITIONAL SERVICE,"2,537","2,537",
417,LEVITIRACEM,161,92,
418,LIDOCAINE,294,168,
419,LIGATOR,327,327,
420,LIPASE,104,60,
421,LIPID PROFILE 1,163,93,
422,LITHIUM,82,47,
423,LYME DISEASE AB TOTAL IMMUN,209,119,
424,LYME DISEASE WESTERN BLOT C,487,278,
425,MAGNESIUM,103,59,
426,MAM SCREEN BILAT,491,491,
427,MANIPULATOR UTERINE 150,472,472,
428,METABOLIC PANEL CAL IONIZED,229,131,
429,METANEPHRIINES Q430,241,138,
430,METHEMOGLOBIN,109,62,
431,MIC SENSITIVITY,106,61,
432,MICROALBUMIN URINE,90,51,
433,MOD SED > AGE 5 INTL 15 MIN W OTHER,425,425,
434,MOD SED > AGE 5 INTL 15 MIN W SAME,425,425,
435,MOD SED EACH ADDL 15 MIN W OTHER,425,425,
436,MOLECULAR CYTOGENETICS FISH,377,216,
437,MONO TEST,265,151,
438,MORPHOMETRIC ANALYSIS EA MULTIPLEX,"1,853","1,059",
439,MRA CHEST W AND W/O CONTRAST,"5,015","2,866",
440,MRA HEAD W/O CONT,"4,554","2,602",
441,MRA NECK W AND W/O CONT,"6,428","3,673",
442,MRA NECK W/O CONT,"3,288","1,879",
443,MRI ABDOMEN W AND W/O CONTRAST,"9,134","5,220",
444,MRI ABDOMEN W/O CONTRAST,"4,094","2,340",
445,MRI BRAIN W AND W/O CONTRAST,"10,200","5,829",
446,MRI BRAIN W/CONTRAST,"5,327","3,044",
447,MRI BRAIN W/O CONTRAST,"3,968","2,267",
448,MRI CHEST W AND W/O CONTRAST,"8,311","4,749",
449,MRI CHEST W/O CONTRAST,"4,245","2,426",
450,MRI C-SPINE W AND W/O CONTRAST,"9,720","5,554",
451,MRI C-SPINE W/O CONTRAST,"4,554","2,602",
452,MRI LOW EXT JNT W/O CONT LT,"4,482","2,561",
453,MRI LOW EXT W AND W/O CONT RT,"6,468","3,696",
454,MRI LOW EXT W/O CONTRAST LT,"4,482","2,561",
455,MRI LOWEXTJNT W AND WO CONT RT,"8,525","4,872",
456,MRI L-SPINE W AND W/O CONTRAST,"8,974","5,128",
457,MRI L-SPINE W/O CONTRAST,"4,993","2,853",
458,MRI ORBIT/FACE/NECK W/O CON,"4,482","2,561",
459,MRI ORBITFACENECK W AND WO CON,"8,295","4,740",
460,MRI PELVIS W AND W/O CONTRAST,"9,150","5,229",
461,MRI PELVIS W/O CONTRAST,"4,881","2,789",
462,MRI T-SPINE W AND W/O CONTRAST,"9,519","5,440",
463,MRI T-SPINE W/O CONTRAST,"4,990","2,851",
464,MRI UP EXT JNT W/O CONTRAST RT,"4,482","2,561",
465,MRI UP EXT W AND WO CONT RT,"5,991","3,423",
466,MRI UP EXTJNT W AND WO CONT RT,"9,210","5,263",
467,MUMPS ANTIBODY IGG,195,111,
468,MYCOPLASMA,161,92,
469,NEEDLE ASPIRATION,140,140,
470,NEEDLE BIOPSY,813,813,
471,NEEDLE BIOPSY 80,232,232,
472,NEEDLE EZ I/O ALL SIZES,675,675,
473,NEEDLE INSUFFLATION,322,322,
474,NEEDLE VERESS/INSUFFLATION 100,384,384,
475,NEISSERIA GONNORRHOEAE AMP,398,228,
476,NM CARD LEXISCAN,"10,186","5,821",
477,NM CARD SINGLE REST OR STRESS,"8,080","4,617",
478,NRAS GENE ALALYSIS,"2,616","1,495",
479,OCCULT BLOOD STOOL SINGLE S,48,27,
480,OR - Lvl 1 - 1st 30 Min,"3,759","3,759",
481,OR - Lvl 1 - Add Min,92,92,
482,OR - Lvl 2 - 1st 30 Min,"4,703","4,703",
483,OR - Lvl 2 - Add Min,109,109,
484,OR - Lvl 3 - 1st 30 Min,"5,883","5,883",
485,OR - Lvl 3 - Add Min,130,130,
486,OR - Lvl 4 - 1st 60 Min,"14,031","14,031",
487,OR - Lvl 4 - Add Min,167,167,
488,ORGANIC ACID SINGLE QUAN,272,156,
489,OSMOLALITY,121,69,
490,OSMOLALITY URINE,84,48,
491,OT ADL 15 MIN,168,96,
492,OT DEBRIDEMENT SELECT  1ST 20 SQ CM,"1,073",613,
493,OT E-STIM ATTENDED 15 MIN,141,81,
494,OT EVAL COMPLEX,461,263,
495,OT EVAL LOW,373,213,
496,OT EVAL MODERATE,415,237,
497,OT FLUIDOTHERAPY,129,74,
498,OT MANUAL TX JNT MOB/STM 15 MN,229,131,
499,OT ORTHO/PROSTH CHECK 15 MIN SUBSEQ,212,121,
500,OT ORTHOTIC FIT/TRAIN 15 MIN INITIAL,199,114,
501,OT PARAFFIN BATH,60,34,
502,OT RE-EVAL,247,141,
503,OT THERAPEUTIC ACTIVITY 15 MIN,166,95,
504,OVA AND PARASITE,169,97,
505,OXCABAZEPINE,161,92,
506,OXIMETRY OVERNIGHT,534,534,
507,OXIMETRY SINGLE DETERMINATION,77,77,
508,PACK LAPAROSCOPY 90,318,318,
509,PACU - Phase I Lvl 1 - 1st 15 Min,543,543,
510,PACU - Phase I Lvl 1 - Add Min,29,29,
511,PACU - Phase I Lvl 2 - 1st 15 Min,"1,078","1,078",
512,PACU - Phase I Lvl 2 - Add Min,35,35,
513,PACU - Phase I Lvl 3 - 1st 60 Min,"3,222","3,222",
514,PACU - Phase II Lvl 1 - 1st 15 Min,373,373,
515,PACU - Phase II Lvl 1 - Add Min,19,19,
516,PACU - Phase II Lvl 2 - 1st 15 Min,493,493,
517,PACU - Phase II Lvl 2 - Add Min,23,23,
518,PAD CHAIR SENSOR,105,105,
519,PAD DEFIB 1STEP ADLT CPR,464,464,
520,PAD DEFIBRILLATOR,135,135,
521,PAD SEQ COMP KNEE ALL SZ,89,89,
522,PARACENTESIS W/IMAGING,"1,947","1,947",
523,PARATHYROID HORMONE INTACT,499,285,
524,PCM BS ACCOLADE SR MRI,"15,275","15,275",
525,PCM BS VALITUDE X4 CRTP U128,"24,000","24,000",
526,PCM MEDTR ADVISA DR MRI A2DR01,"16,250","16,250",
