PROC #,Procedure Description,IP Price,OP Price,Note (*)
94,CATH ON-Q SYSTEM PM018A,1176,1176,
95,CATH ON-Q SYSTEM PM028,1525.5,1525.5,
96,CATH URETERAL 30,74.5,74.5,
97,CAUT CHEM TISSUE GRANULATION,307,307,
98,CAUTERY SUCTION COAG 40,101.5,101.5,
99,CBC W/AUTO DIFF OTHER,126,72,
100,CBC WITHOUT DIFFERENTIAL,89.5,51,
101,CELL COUNT MISC FLUID,60.5,34.5,
102,CELL COUNT MISC FLUID W/DIF,100.5,57.5,
103,CF HFO STATIC,105,105,
104,CHANGE OF CYSTOSTOMY TUBE SIMPLE,397.5,397.5,
105,CHEMILUMINESCENT ASSAY,274,156.5,
106,CHEMO ADMIN SUBQ/IM NONHORMON,397,397,
107,CHLAMYDIA TRACH AMP PROBE T,398,227.5,
108,CHLORIDE ISTAT,57,32.5,
109,CHLORIDE RANDOM URINE,67.5,38.5,
110,CLIA OCCULT BLOOD GAS FLUID,75.5,43,
111,CLIP APPLIER UNIVERSAL EPIX,570,570,
112,CLOSTRIDIUM DIFFICILE TOXINGENES,398,227.5,
113,CLOZAPINE,224,128,
114,COLLAR CERV EXTRICATION OTS,178.5,178.5,
115,COLLECT BLOOD PORT/ACCESS DVC,195,111.5,
116,COLONOSCOPY FLEX DX,3207.5,3207.5,
117,COLONOSCOPY FLEX W/INJ SUBMUC,3145,3145,
118,COLONOSCOPY SCRN PT NOT HI RISK,2025.5,2025.5,
119,COLONOSCOPY THRU STOMA,1730,1730,
120,COLONOSCOPY THRU STOMA W/BIOP,1903,1903,
121,COLONOSCOPY THRU STOMA W/SNARE,2497,2497,
122,COLONOSCOPY W/ABLATION,3535.5,3535.5,
123,COLONOSCOPY W/BIOPSY,4914.5,4914.5,
124,COLONOSCOPY W/HOT FORCEP,3695.5,3695.5,
125,COLONOSCOPY W/REMOVE BY SNARE,4410.5,4410.5,
126,COMPATIBILITY TEST-ELECTRONIC,912.5,521.5,
127,COMPLEMENT C1Q QUAN,268.5,153.5,
128,COMPLEMENT C4,146,83.5,
129,COMPLEMENT TOTAL CH 50,212,121,
130,COMPREHENSIVE METABOLIC PAN,421,240.5,
131,CONCENTRATION FOR INF AGENT,72,41,
132,COPPER,198,113,
133,CORTISOL TOTAL,212,121,
134,CPAP/BIPAP SUBSEQUENT DAILY,476.5,476.5,
135,C-PEPTIDE,279,159.5,
136,CPR,974.5,974.5,
137,C-REACTIVE PROTEIN,166.5,95,
138,CREATINE KINASE (CPK) TOTAL,86.5,49.5,
139,CREATININE ISTAT,77,44,
140,CREATININE URINE,76,43.5,
141,CRITICAL CARE >74 ADDL SVC,791,791,
142,CRITICAL CARE 30-74 ADDL SVC,2902.5,2902.5,
143,CROSSMATCH,912.5,521.5,
144,CRYOGLOBULIN QUAL SEMI QUAN Q,77,44,
145,CRYSTAL ID LIGHT MICRO,87.5,50,
146,CT ABDOMEN AND PELVIS W AND W/O CONT,6264,3579.5,
147,CT ABDOMEN AND PELVIS W CONT,5059.5,2891,
148,CT ABDOMEN AND PELVIS W/O CONT,4275.5,2443,
149,CT ABDOMEN W AND W/O CONTRAST,3692.5,2110,
150,CT ABDOMEN W/CONTRAST,3126.5,1786.5,
151,CT ABDOMEN W/O CONTRAST,2190,1251.5,
152,CT CHEST W AND W/O CONTRAST,3266.5,1866.5,
153,CT CHEST W/CONTRAST,2875.5,1643,
154,CT CHEST W/O CONTRAST,2184,1248,
155,CT C-SPINE W/O CONTRAST,2557,1461,
156,CT HEAD/BRAIN W/CONTRAST,4284,2448,
157,CT HEAD/BRAIN W/O CONTRAST,2987.5,1707,
158,CT HEADBRAIN W AND WO CONTRAST,5217,2981,
159,CT LOW EXT W/CONTRAST LT,2606.5,1489.5,
160,CT LOW EXT W/O CONTRAST RT,2015,1151.5,
161,CT L-SPINE W/CONTRAST,3196.5,1826.5,
162,CT L-SPINE W/O CONTRAST,2796.5,1598,
163,CT LUNG CANCER ANNUAL SCREEN,2059,1176.5,
164,CT MAXILLOFACIAL W/CONTRAST,2210.5,1263,
165,CT MAXILLOFACIAL W/O CONTRA,1995,1140,
166,CT NECK W AND W/O CONTRAST,3412.5,1950,
167,CT NECK W/CONTRAST,2373,1356,
168,CT NECK W/O CONTRAST,1749,999.5,
169,CT ORBIT/SELLA/FOSSA/EAR W/CON,2326.5,1329.5,
170,CT ORBIT/SELLA/FOSSA/EAR W/O CON,2165.5,1237.5,
171,CT PELVIS W AND W/O CONTRAST,4102,2344,
172,CT PELVIS W/CONTRAST,2818.5,1610.5,
173,CT PELVIS W/O CONTRAST,2186,1249,
174,CT T-SPINE W AND W/O CONTRAST,4358.5,2490.5,
175,CT T-SPINE W/CONTRAST,3012,1721,
176,CT T-SPINE W/O CONTRAST,2796.5,1598,
177,CT UP EXT W/CONTRAST LT,3196.5,1826.5,
178,CT UP EXT W/O CONTRAST LT,2015,1151.5,
179,CTA ABDOMEN AND PELVIS W AND W/O CONTRAST,5534.5,3162.5,
180,CTA ABDOMEN W AND W/O CONTRAST,3377.5,1930,
181,CTA ABDOMINAL AORTA W/RUNOF,4273.5,2442,
182,CTA CHEST W AND W/O CONT,3572.5,2041.5,
183,CTA HEAD W AND W/O CONT,3915,2237,
184,CTA LOW EXT W AND W/O CONT LT,3339,1908,
185,CTA NECK W AND W/O CONT,2593.5,1482,
186,CTA PELVIS W AND W/O CONTRAST,3179,1816.5,
187,CTA UPEXT W AND WO CONTRAST RT,3337.5,1907,
188,CULT BACTERIA BLOOD,147,84,
189,CULT FUNGI,232,132.5,
190,CULT FUNGI BLOOD,118,67.5,
191,CULT MYCOPLASMA ANY SOURCE Q,390.5,223,
192,CULT PATHOGENIC ORGAN SCRN,133,76,
193,CULT STOOL ADDITIONAL PATHO,44,25,
194,CULT STOOL SALMONELLA SHIGE,65,37,
195,CULT TYPE ID BY NUCLEIC ACI,276.5,158,
196,CULTURE AFB,144.5,82.5,
197,CULTURE ANAEROBIC,249.5,142.5,
198,CULTURE BACTERIA AEROBIC,118,67.5,
199,CUP CHEST COMPRESSION DISP,256,256,
200,CUSHION CHAIR,109,109,
201,CYCLIC CITRULLINATED PEPTID,161,92,
202,CYTOMEGALOVIRUS NEG UNIT CHARGE,175,100,
203,CYTOMEGALOVIRUS QUANT,541,309,
204,CYTOPATH NONGYN LB W/INTERP,746.5,426.5,
205,D DIMER QUAN ULTRA SEN,384,219.5,
206,DEMO/EVAL SVN/IPPB/MDI,374.5,374.5,
207,DEOXYRIBONUCLEIC ACID ANTIB,167,95.5,
208,DERMABOND,129.5,129.5,
209,DERMABOND 0.5ML HI VISCOSITY,149.5,149.5,
210,DERMABOND 0.7ML,136,136,
211,DERMABOND 100,164.5,164.5,
212,DERMABOND ADHESIVE SKIN MINI,75.5,75.5,
213,DERMABOND ADVANCED,124.5,124.5,
214,DEVICE ELECTROSURGCL CUT/COAG,1305,1305,
215,DEVICE ENDOMET ABLATION NOVA,3412.5,3412.5,
216,DEVICE ENDOSTITCH 173016,1359.5,1359.5,
217,DEVICE FIXATION SECURESTRAP 25,2566,2566,
218,DEVICE FIXATN ABSORBATACK 15,1747,1747,
219,DEVICE FIXATN ABSORBATACK 30X,2184,2184,
220,DEVICE LIGASURE LAP SEALER/DIVIDER,3395.5,3395.5,
221,DIGOXIN,162,92.5,
222,DILATION ANAL SPHINCTER W/ANES,3089.5,3089.5,
223,DILATION ESOPHAGUS SOUND OR BO,1218.5,1218.5,
224,DISK METHOD SENSITIVITY,86,49,
225,DOPP SEG PRESS LWR LTD,344,344,
226,DRAIN INJ MAJOR JNT BURSA W/US,700.5,700.5,
227,DRAIN PLEUREVAC ADULT,182,182,
228,DRESSING HEMOSTAT SURGICEL 2X3,355,355,
229,DRESSING NASOPORE BIORESRBLE,737,737,
230,DRESSING QUICK CLOT 5 X 5,459.5,459.5,
231,DRUG SCREEN SINGLE,707,404,
232,DSG MEPILEX AG 6X6,127,127,
233,DUPLEX AORTA/ILIAC COMPLETE,792.5,792.5,
234,DUPLEX ARTERIAL FLOW; COMPL,1026,1026,
235,DUPLEX EXT VEINS BILAT,1048,1048,
236,DUPLEX EXT VEINS; UNIL/LIMIT,743,743,
237,DUPLEX EXTRACRANIAL/CAROTID BI,941,941,
238,DUPLEX EXTRACRANIAL/CAROTID UN,504,504,
239,DUPLEX LE ART/BPG; BILAT,860,860,
240,DUPLEX LE ART/BPG; UNIL/LIMIT,574.5,574.5,
241,DUPLEX UE ART/BPG; UNIL/LIMIT,562,562,
242,DX OPHTHAL B SCAN US,807.5,461.5,
243,ECHO 2D COMPL SPEC AND COLOR DOP,2189,2189,
244,ECHO 2D W/CONTRAST LIMITED,807.5,807.5,
245,ECHO 2D W/WO CONT SPECT/COLOR,2189,2189,
246,ECHO AWAKE TEE,3669,3669,
247,ECHO COLOR FLOW VELOCITY MAP,614,614,
248,ECHO TRANSTHORACIC,2189,2189,
249,ECHO W/WO CONT/PHARM/ECG/PHYS,2189,2189,
250,EGD BALLOON DIL ESOPH 30 MM,3261,3261,
251,EGD DIAGNOSTIC,1754.5,1754.5,
252,EGD W/BIOPSY,2700,2700,
253,EGD W/ESOPH BALLOON DILATION,2187,2187,
254,EGD W/INTRALMNAL TUBE/CATH,2031.5,2031.5,
255,EGD W/PEG PLACEMENT,2857.5,2857.5,
256,EGD W/REMOVE FB,2537,2537,
257,EGD W/TUMOR/POLYP REMOVE SNARE,2809,2809,
258,EGFR GENE ANALYSIS,2914,1665,
259,EKG ROUTINE TRACING ONLY,141,141,
260,ENDOLOOP 60,115.5,115.5,
261,ENDOSHEARS 250,480,480,
262,ENZYME DETECTION BETA LACTA,90,51.5,
263,ER VISIT LEVEL 1,360,360,
264,ER VISIT LEVEL 2,559,559,
265,ER VISIT LEVEL 3,905,905,
266,ESOPHAGOSCOPY DIAGNOSTIC,1788.5,1788.5,
267,ESTROGEN RECEPTOR ASSAY,1852.5,1058.5,
268,EVAL SPEECH ONLY 31-60 MIN,440,251.5,
269,EVAL SPEECH/LANG 31-60 MIN,921.5,526.5,
270,EVAL VOICE 61-90 MIN,425,243,
271,EVENT TRANSMISSION AND ANALYSIS,520,520,
272,EXTRACTABLE NUCLEAR AG,218,124.5,
273,F2,594,339.5,
274,F5,737.5,421.5,
275,FERRITIN,166.5,95,
276,FETAL SCREEN,168,96,
277,FIBRINOGEN,145.5,83,
278,FINGER/HEEL/EAR STICK,35,20,
279,FLOW CELL SURF MARKR TC 1ST 1,1852.5,1058.5,
280,FLOW CELL SURF MARKR TC ADDL,246,140.5,
281,FLOW CYTO INTRP 16 + MARKR 1,1416,809,
282,FLUR NONINFECTIOUS AG AB Q,147,84,
283,FLUTTER VALVE INITIAL,229,229,
284,FLUTTER VALVE RX SUBSEQUENT,151.5,151.5,
285,FNA INTERP AND REPORT,423.5,242,
286,FOLATES SERUM,177.5,101.5,
287,FRESH FROZEN PLASMA PROC,100,100,
288,GAS DILUTION-LUNG VOLUMES,393.5,393.5,
289,GASTRIC INTUB AND ASPIR/LAVAGE,295.5,295.5,
290,GGT,114,65,
291,GIARDIA SPECIFIC ANTIGEN EI,208.5,119,
292,GLUCOSE BLOOD,49,28,
293,GLUCOSE FLUID,59.5,34,
294,GLUCOSE METER BLOOD,52.5,30,
295,GONADOTROPIN CHORIONIC QUAN,268.5,153.5,
296,GRASPER LAPAROSCOPIC,177.5,177.5,
297,H PYLORI ANTIGEN STOOL EIA,861,492,
298,HAPTOGLOBIN,153,87.5,
299,HARMONIC ACE + SHEARS 36CM,3651,3651,
300,HELMINTH NOS,252,144,
301,HEMATOCRIT,36,20.5,
302,HEMATOCRIT FLUID,60.5,34.5,
303,HEMOGLOBIN (H/H),39.5,22.5,
304,HEMOGLOBIN A1C,150.5,86,
305,HEMOSTATIC AGENT 150,661,661,
306,HEMOSTATIC AGENT 400,960,960,
307,HEMOSTATIC AGENT 4-8 ETHICON,718.5,718.5,
308,HEMOSTATIC AGENT APPLIC 80,128.5,128.5,
309,HEMOSTATIC MATRIX FLOSEAL,373,373,
310,HEPATIC FUNCTION PANEL,200.5,114.5,
311,HEPATITIS B SURF AB,100,57,
312,HEPATITIS B SURF AG,139,79.5,
313,HEPATITIS B VACCINE ADMIN FEE,107,107,
314,HEPATITIS C AB,202,115.5,
315,HEPATITIS C QUANTIFICATION,565.5,323,
316,HERPES SIMPLEX TYPE 1,214.5,122.5,
317,HERPES SIMPLEX TYPE 2,246,140.5,
318,HERPES SIMPLEX VIRUS AMP PROBE,537.5,307,
319,HERPES SIMPLEX VIRUS QUANT,398,227.5,
320,HIV 1 ANTIGENS W/HIV 1 & 2 AB,291.5,166.5,
321,HIV1 AG W HIV1 AND 2 AB,346.5,198,
322,HOLTER SCAN ANALYSIS UP TO 48 HRS,579,579,
323,HOLTER SCAN/REC/HKUP/DISC 48 HR,402.5,402.5,
324,HOMOCYSTEINE,269.5,154,
325,HYDROXYINDOLACETIC ACID QUA,297.5,170,
326,IA ANALYTE QUAL SEMI QUAN,250.5,143,
327,IA ANALYTE QUAN NOS Q346,235.5,134.5,
328,IA ANALYTE QUAN RIA 1,234.5,134,
329,IDENTIFICATION AEROBIC,99,56.5,
330,IDENTIFICATION ANAEROBIC,133,76,
331,IDENTIFICATION MOLD,131.5,75,
332,IDENTIFICATION YEAST,126,72,
333,IMMOBILIZER KNEE OTS,115.5,115.5,
334,IMMUNO EACH ADDL ANTIBODY STAIN,400,228.5,
335,IMMUNO EACH MULTIPLEX ANTIBODY STAIN,1852.5,1058.5,
336,IMMUNOFIXATION W/INTERPRET,270.5,154.5,
337,IMMUNOGLOBULIN M,119,68,
338,IMPLANT EAR TUBE 40,106,106,
339,IMPLANT EAR TUBE 70,136,136,
340,IMPLANT MESH 10X15CM PROGRIP,1763.5,1763.5,
341,IMPLANT MESH 3D LIT MED 3.1X5.3,1287.5,1287.5,
342,IMPLANT MESH 3D MAX 3X5,1009.5,1009.5,
343,IMPLANT MESH HERNIA 0010303,3034.5,3034.5,
344,IMPLANT MESH PARIETEX ANATMICL 6X4 LT RT,700,700,
345,IMPLANT MESH PARIETEX PROGRIP 12X8CM,1317,1317,
346,IMPLANT MESH PARIETEX VENTRAL PATCH,2867.5,2867.5,
347,IMPLANT MESH PARIETX PLUG&PATCH 6CM,619.5,619.5,
348,IMPLANT MESH PARIETX PLUG&PATCH 8CM,653,653,
349,IMPLANT MESH PARIETX PROGRIP,1356,1356,
350,IMPLANT MESH SYMBOTEX,1868.5,1868.5,
351,IMPLANT MESH SYMBOTEX ROUND,1362.5,1362.5,
352,IMPLANT MESH VENTRALEX,4138.5,4138.5,
353,IMPLANT PACEMAKER MRI DR-EL,17387.5,17387.5,
354,IMPLANT RECORDER REVEAL LOOP 9529,13006.5,13006.5,
355,IMPLANT RECORDR LOOP,17209,17209,
356,IMPLANT SCREW SNAP OFF 2.7 13-17MM,1365.5,1365.5,
357,IMPLANT SINUS DISSLVBL,3750,3750,
358,INFECT AGENT ANTIGEN DET,152.5,87,
359,INFECT AGENT DET AMP PROBE,1116.5,638,
360,INFLUENZA ANTIGEN RAPID,159.5,91,
361,INFLUENZA DNA AMP PROBE,841,480.5,
362,INJECT VACCINE/TOXOID EA ADDL,30,30,
363,INJECT VACCINE/TOXOID FIRST,107,107,
364,INJECTION IM/SUBQ/ANTIBIOTICS,107,107,
365,INJECTION IV EA ADDL DRUG,160.5,160.5,
366,INJECTION IV EA ADDL SAME DRUG,171,171,
367,INJECTION IV PUSH INITIAL,275.5,275.5,
368,INSERT BLADDER CATH,106,106,
369,INSERT CATH CV NONTNL 5+,1718,1718,
370,INSERT TEMP BLADDER CATH,126,126,
371,INSITU HYBRID ANALYZE 25-99,456,260.5,
372,INSULIN,139,79.5,
373,INSULIN FREE,156.5,89.5,
374,INTEGRA BMWD PER 1 SQ CM_125,185.5,185.5,
375,INTERPHASE IN SITU HYBRID 100-300,501.5,286.5,
376,INTRO NEEDLE/CATH VEIN,53.5,53.5,
377,INTRODUCER TAUT,267,267,
378,IRON,84,48,
379,IRON BINDING CAPACITY UNSAT,107,61,
380,IRRAD LEUKORED PHER PLTS PR,1237.5,1237.5,
381,IRRADIATED LEUKORED RBCS PR,562.5,562.5,
382,IRRIGATOR HYDRO-SURG PLUS,494.5,494.5,
383,IRRIGATOR SUCTION 100,268.5,268.5,
384,IV CHEMO EA ADD HR,257,257,
385,IV CHEMO INIT TO 1 HR,1173,1173,
386,IV CHEMO PUSH SGL OR INIT DRUG,1322,1322,
387,IV HYD EA ADD HR,121,121,
388,IV HYD INIT 31 MIN-60 MIN,410.5,410.5,
389,IV SET BLOOD Y-TYPE 2C6750 CS48,49,49,
390,IV TX CONCURRENT,129.5,129.5,
391,IV TX EA ADD HR,138,138,
392,IV TX INIT TO 1 HR,434,434,
393,IV TX SEQ TO 1 HR,234.5,234.5,
394,KETONE BODY(S) QUAL,102.5,58.5,
395,KETONE BODY(S) QUANT,132,75.5,
396,KIT CATH PLEURAL PLEURX,3019,3019,
397,KIT LAPAROSCOPIC ADV D HELP,297.5,297.5,
398,KIT LAPAROSCOPY APPLIED MED,2375,2375,
399,KIT PICC LINE DRESSING,107.5,107.5,
400,KRAS,1745,997,
401,KRAS GENE ANALYSIS ADDL,1745,997,
402,LACTIC ACID,145.5,83,
403,LACTOFERRIN FECAL QUAL,247.5,141.5,
404,LACTOFERRIN QUAN,490,280,
405,LAMBDA BY INSITU HYBRIDIZAT,905,517,
406,LAMOTRIGINE,161,92,
407,LD,83,47.5,
408,LEAD BS,2494,2494,
409,LEAD PACEMAKER MEDTR,2494,2494,
410,LEAD SJ PACING 2088,2756.5,2756.5,
411,LENS MORGAN,166.5,166.5,
412,LEUKO POOR PC,537.5,537.5,
413,LEUKOCYTE COUNT FECAL,63,36,
414,LEUKORED PHER PLTS PROC,1212.5,1212.5,
415,LEVEL 4 W/ADDITIONAL SERVICE,1443.5,1443.5,
416,LEVEL 5 W/ADDITIONAL SERVICE,2536.5,2536.5,
417,LEVITIRACEM,161,92,
418,LIDOCAINE,294,168,
419,LIGATOR,326.5,326.5,
420,LIPASE,104,59.5,
421,LIPID PROFILE 1,163,93,
422,LITHIUM,81.5,46.5,
423,LYME DISEASE AB TOTAL IMMUN,208.5,119,
424,LYME DISEASE WESTERN BLOT C,486.5,278,
425,MAGNESIUM,102.5,58.5,
426,MAM SCREEN BILAT,490.5,490.5,
427,MANIPULATOR UTERINE 150,472,472,
428,METABOLIC PANEL CAL IONIZED,228.5,130.5,
429,METANEPHRIINES Q430,240.5,137.5,
430,METHEMOGLOBIN,108.5,62,
431,MIC SENSITIVITY,106,60.5,
432,MICROALBUMIN URINE,89.5,51,
433,MOD SED > AGE 5 INTL 15 MIN W OTHER,425,425,
434,MOD SED > AGE 5 INTL 15 MIN W SAME,425,425,
435,MOD SED EACH ADDL 15 MIN W OTHER,425,425,
436,MOLECULAR CYTOGENETICS FISH,377,215.5,
437,MONO TEST,264.5,151,
438,MORPHOMETRIC ANALYSIS EA MULTIPLEX,1852.5,1058.5,
439,MRA CHEST W AND W/O CONTRAST,5014.5,2865.5,
440,MRA HEAD W/O CONT,4553.5,2602,
441,MRA NECK W AND W/O CONT,6428,3673,
442,MRA NECK W/O CONT,3287.5,1878.5,
443,MRI ABDOMEN W AND W/O CONTRAST,9134,5219.5,
444,MRI ABDOMEN W/O CONTRAST,4094,2339.5,
445,MRI BRAIN W AND W/O CONTRAST,10200,5828.5,
446,MRI BRAIN W/CONTRAST,5327,3044,
447,MRI BRAIN W/O CONTRAST,3967.5,2267,
448,MRI CHEST W AND W/O CONTRAST,8311,4749,
449,MRI CHEST W/O CONTRAST,4244.5,2425.5,
450,MRI C-SPINE W AND W/O CONTRAST,9719.5,5554,
451,MRI C-SPINE W/O CONTRAST,4553.5,2602,
452,MRI LOW EXT JNT W/O CONT LT,4482,2561,
453,MRI LOW EXT W AND W/O CONT RT,6468,3696,
454,MRI LOW EXT W/O CONTRAST LT,4482,2561,
455,MRI LOWEXTJNT W AND WO CONT RT,8525,4871.5,
456,MRI L-SPINE W AND W/O CONTRAST,8974,5128,
457,MRI L-SPINE W/O CONTRAST,4993,2853,
458,MRI ORBIT/FACE/NECK W/O CON,4482,2561,
459,MRI ORBITFACENECK W AND WO CON,8295,4740,
460,MRI PELVIS W AND W/O CONTRAST,9150,5228.5,
461,MRI PELVIS W/O CONTRAST,4881,2789,
462,MRI T-SPINE W AND W/O CONTRAST,9519,5439.5,
463,MRI T-SPINE W/O CONTRAST,4989.5,2851,
464,MRI UP EXT JNT W/O CONTRAST RT,4482,2561,
465,MRI UP EXT W AND WO CONT RT,5990.5,3423,
466,MRI UP EXTJNT W AND WO CONT RT,9209.5,5262.5,
467,MUMPS ANTIBODY IGG,194.5,111,
468,MYCOPLASMA,161,92,
469,NEEDLE ASPIRATION,140,140,
470,NEEDLE BIOPSY,812.5,812.5,
471,NEEDLE BIOPSY 80,232,232,
472,NEEDLE EZ I/O ALL SIZES,675,675,
473,NEEDLE INSUFFLATION,321.5,321.5,
474,NEEDLE VERESS/INSUFFLATION 100,384,384,
475,NEISSERIA GONNORRHOEAE AMP,398,227.5,
476,NM CARD LEXISCAN,10186,5820.5,
477,NM CARD SINGLE REST OR STRESS,8080,4617,
478,NRAS GENE ALALYSIS,2615.5,1494.5,
479,OCCULT BLOOD STOOL SINGLE S,47.5,27,
480,OR - Lvl 1 - 1st 30 Min,3759,3759,
481,OR - Lvl 1 - Add Min,91.5,91.5,
482,OR - Lvl 2 - 1st 30 Min,4702.5,4702.5,
483,OR - Lvl 2 - Add Min,108.5,108.5,
484,OR - Lvl 3 - 1st 30 Min,5883,5883,
485,OR - Lvl 3 - Add Min,130,130,
486,OR - Lvl 4 - 1st 60 Min,14030.5,14030.5,
487,OR - Lvl 4 - Add Min,167,167,
488,ORGANIC ACID SINGLE QUAN,272,155.5,
489,OSMOLALITY,121,69,
490,OSMOLALITY URINE,84,48,
491,OT ADL 15 MIN,167.5,95.5,
492,OT DEBRIDEMENT SELECT  1ST 20 SQ CM,1072.5,613,
493,OT E-STIM ATTENDED 15 MIN,140.5,80.5,
494,OT EVAL COMPLEX,460.5,263,
495,OT EVAL LOW,373,213,
496,OT EVAL MODERATE,414.5,237,
497,OT FLUIDOTHERAPY,129,73.5,
498,OT MANUAL TX JNT MOB/STM 15 MN,228.5,130.5,
499,OT ORTHO/PROSTH CHECK 15 MIN SUBSEQ,211.5,121,
500,OT ORTHOTIC FIT/TRAIN 15 MIN INITIAL,199,113.5,
501,OT PARAFFIN BATH,59.5,34,
502,OT RE-EVAL,247,141,
503,OT THERAPEUTIC ACTIVITY 15 MIN,166,95,
504,OVA AND PARASITE,169,96.5,
505,OXCABAZEPINE,161,92,
506,OXIMETRY OVERNIGHT,533.5,533.5,
507,OXIMETRY SINGLE DETERMINATION,76.5,76.5,
508,PACK LAPAROSCOPY 90,317.5,317.5,
509,PACU - Phase I Lvl 1 - 1st 15 Min,542.5,542.5,
510,PACU - Phase I Lvl 1 - Add Min,28.5,28.5,
