"Charge Code","Description","Rev Code","CPT","Description","Price"
10067700,"BLEPHAROTOMY, DRAIN ABSCESS EYELID",521,"67700","DRAINAGE OF EYELID ABSCESS",356.31
10069209,"REMOV IMPACT CERUMEN, UNILATERAL",521,"69209","REMOVE IMPACTED EAR WAX UNI",80
10069210,"REMOV IMPACT CERUMEN, UNILAT WITH TOOL",521,"69210","REMOVE IMPACTED EAR WAX UNI",100
10080305,"DRUG SCREEN - 5 DRUG PANEL",300,"80305","DRUG TEST PRSMV DIR OPT OBS",55
10081002,"UA, NONAUTO, W/O MICRO",300,"81002","URINALYSIS NONAUTO W/O SCOPE",24.5
10081003,"UA, AUTO, W/O MICRO",300,"81003","URINALYSIS AUTO W/O SCOPE",24.5
10081025,"PREGNANCY URINE",300,"81025","URINE PREGNANCY TEST",64
10082270,"BLOOD OCCULT FOR COLORECTAL NEOPLASM SCR",300,"82270","OCCULT BLOOD FECES",31.08
10082272,"BLOOD OCCULT FOR COLORECT-NOT SCREENING",301,"82272","OCCULT BLD FECES 1-3 TESTS",31.08
10082947,"GLUCOSE",300,"82947","ASSAY GLUCOSE BLOOD QUANT",37.52
10083655,"LEAD TEST",300,"83655","ASSAY OF LEAD",82
10085018,"HEMOGLOBIN",300,"85018","HEMOGLOBIN",58.5
10085610,"PROTHROMBIN TIME",300,"85610","PROTHROMBIN TIME",36
10086580,"TB SKIN TEST (APLISOL) 0.1ML INTRADERMAL",300,"86580","TB INTRADERMAL TEST",40.25
10087804,"RAPID FLU AB",300,"87804","INFLUENZA ASSAY W/OPTIC",114.52
10087880,"RAPID STREP TEST",300,"87880","STREP A ASSAY W/OPTIC",115
10090460,"IMMUNIZATION ADMIN <18 W/COUNSELING",771,"90460","IM ADMIN 1ST/ONLY COMPONENT",117
10090461,"IMMUNIZATION ADMIN <18 EA ADDL",771,"90461","IM ADMIN EACH ADDL COMPONENT",57
10090471,"IMMUNIZATION ADMINISTRATION; ONE VACCINE",771,"90471","IMMUNIZATION ADMIN",30
10090472,"IMMUNIZATION ADMINISTRATION; EACH ADDITI",771,"90472","IMMUNIZATION ADMIN EACH ADD",30
10090473,"IMMUNIZATION BY INTRANASAL OR ORAL ROUTE",771,"90473","IMMUNE ADMIN ORAL/NASAL",73.86
10090474,"IMMUNIZATION BY INTRANASAL OR ORAL ; EAC",771,"90474","IMMUNE ADMIN ORAL/NASAL ADDL",36.96
10090791,"PSYCH DX EVALUATION",900,"90791","PSYCH DIAGNOSTIC EVALUATION",255
10090792,"PSYCH DX EVALUATION W/MED SERVICE",900,"90792","PSYCH DIAG EVAL W/MED SRVCS",285
10090832,"PSYCH TX 30 MIN WITH PATIENT",900,"90832","PSYTX W PT 30 MINUTES",126
10090834,"PSYCH TX 45 MIN WITH PATIENT",900,"90834","PSYTX W PT 45 MINUTES",170
10090837,"PSYCH TX 60 MIN WITH PATIENT",900,"90837","PSYTX W PT 60 MINUTES",255
10090839,"PSYCH CRISIS INITIAL 60 MIN",900,"90839","PSYTX CRISIS INITIAL 60 MIN",265
10090840,"PSYCH CRISIS EACH ADDL 30",900,"90840","PSYTX CRISIS EA ADDL 30 MIN",130
10090847,"PSYCHOTHERAPY FAMILY w/PATIENT",900,"90847","FAMILY PSYTX W/PT 50 MIN",180
10093000,"12 LEAD EKG TRACING WITH INTERPRETATION",730,"93000","ELECTROCARDIOGRAM COMPLETE",110
10093005,"12 LEAD EKG, TRACING ONLY",730,"93005","ELECTROCARDIOGRAM TRACING",55
10093010,"12 LEAD EKG, INTERPRETATION AND REPORT O",521,"93010","ELECTROCARDIOGRAM REPORT",25.41
10094640,"NONPRESSURIZED INHALATION TREATMENT ACUT",521,"94640","AIRWAY INHALATION TREATMENT",53.49
10095115,"PRO SVCS FOR ALLERGEN IMMUNOTHERAPY; 1 I",521,"95115","IMMUNOTHERAPY ONE INJECTION",26
10095117,"PRO SVCS FOR ALLERGEN IMMUNOTHERAPY; 2+",521,"95117","IMMUNOTHERAPY INJECTIONS",30
10096127,"BREIF EMOTIONAL/BEHAVIORAL ASSESSMENT",521,"96127","BRIEF EMOTIONAL/BEHAV ASSMT",35
10096360,"IV INFUS HYDRATION INITIAL 30",260,"96360","HYDRATION IV INFUSION INIT",158
10096361,"IV INFUS HYDRATION INITIAL ADDL HR",260,"96361","HYDRATE IV INFUSION ADD-ON",51
10096372,"THERAPEUTIC, PROPHYLACTIC OR DIAGNOSTIC",260,"96372","THER/PROPH/DIAG INJ SC/IM",35
10098925,"OMT 1 - 2 REGIONS",521,"98925","OSTEOPATH MANJ 1-2 REGIONS",71
10098926,"OMT 3 - 4 REGIONS",521,"98926","OSTEOPATH MANJ 3-4 REGIONS",80
10098927,"OMT 5 - 6 REGIONS",521,"98927","OSTEOPATH MANJ 5-6 REGIONS",90
10098928,"OMT 7 - 8 REGIONS",521,"98928","OSTEOPATH MANJ 7-8 REGIONS",110
10099000,"UA COLL FEE FOR OUTSIDE DRUG TESTS",300,"99000","SPECIMEN HANDLING OFFICE-LAB",20
10099201,"OFFICE VISIT - NEW PT, LEVEL 1",521,"99201","OFFICE/OUTPATIENT VISIT NEW",78.09
10099202,"OFFICE VISIT - NEW PT, LEVEL 2",521,"99202","OFFICE/OUTPATIENT VISIT NEW",125
10099203,"OFFICE VISIT - NEW PT, LEVEL 3",521,"99203","OFFICE/OUTPATIENT VISIT NEW",145
10099204,"OFFICE VISIT - NEW PT, LEVEL 4",521,"99204","OFFICE/OUTPATIENT VISIT NEW",210
10099211,"OFFICE VISIT - ESTABLISHED PT, LEVEL 1",521,"99211","OFFICE/OUTPATIENT VISIT EST",27.5
10099212,"OFFICE VISIT - ESTABLISHED PT, LEVEL 2",521,"99212","OFFICE/OUTPATIENT VISIT EST",75
10099213,"OFFICE VISIT - ESTABLISHED PT, LEVEL 3",521,"99213","OFFICE/OUTPATIENT VISIT EST",125
10099214,"OFFICE VISIT - ESTABLISHED PT, LEVEL 4",521,"99214","OFFICE/OUTPATIENT VISIT EST",150
10099215,"OFFICE VISIT - ESTABLISHED PT, LEVEL 5",521,"99215","OFFICE/OUTPATIENT VISIT EST",200
10099350,"HOME VISIT, FOR E&M ESTAB PT - LEVEL 4",522,"99350","HOME VISIT EST PATIENT",526.98
10099381,"INITIAL  COMPREHENSIVE PREVENTIVE <1 YO",521,"99381","INIT PM E/M NEW PAT INFANT",135.13
10099382,"INITIAL PREVENTIVE CARE, NEW PT, 1-4 YRS",521,"99382","INIT PM E/M NEW PAT 1-4 YRS",140.75
10099383,"INITIAL PREVENTIVE CARE, NEW PT, 5-11YRS",521,"99383","PREV VISIT NEW AGE 5-11",146.5
10099384,"INITIAL PREVENTIVE CARE, NEW PT, 12-17YR",521,"99384","PREV VISIT NEW AGE 12-17",165.75
10099385,"INITIAL PREVENTIVE CARE, NEW PT, 18-39YR",521,"99385","PREV VISIT NEW AGE 18-39",160.5
10099386,"INITIAL PREVENTIVE CARE, NEW PT, 40-64YR",521,"99386","PREV VISIT NEW AGE 40-64",186
10099387,"INITIAL PREVENTIVE CARE, NEW PT, =/+ 65Y",521,"99387","INIT PM E/M NEW PAT 65+ YRS",201.5
10099391,"PERIODIC COMPR PREVENTIVE MEDICINE, ESTA",521,"99391","PER PM REEVAL EST PAT INFANT",121
10099392,"PERIODIC PREVENTIVE CARE, ESTAB PT 1-4 Y",521,"99392","PREV VISIT EST AGE 1-4",130
10099393,"PERIODIC PREVENTIVE CARE, ESTAB PT 5-11Y",521,"99393","PREV VISIT EST AGE 5-11",129.5
10099394,"PERIODIC PREVENTIVE CARE ESTAB PT 12-17Y",521,"99394","PREV VISIT EST AGE 12-17",141
10099395,"PERIODIC PREVENTIVE CARE ESTAB PT 18-39Y",521,"99395","PREV VISIT EST AGE 18-39",144
10099396,"PERIODIC PREVENTIVE CARE ESTAB PT 40-64Y",521,"99396","PREV VISIT EST AGE 40-64",154
10099397,"PERIODIC PREVENTIVE CARE ESTAB PT =/+65Y",521,"99397","PER PM REEVAL EST PAT 65+ YR",166
10099497,"ADVANCED CARE PLANNING",521,"99497","ADVNCD CARE PLAN 30 MIN",164.16
10099498,"ADVANCED CARE PLANNING ADDL 30 MIN",521,"99498","ADVNCD CARE PLAN ADDL 30 MIN",143.64
10569209,"REMOV IMPACT CERUMEN, BILATERAL",521,"69209","REMOVE IMPACTED EAR WAX UNI",160
17481003,"UA, AUTO, W/O MICRO COVINGTON ONLY",300,"81003","URINALYSIS AUTO W/O SCOPE",24.5
17481025,"PREGNANCY URINE  COVINGTON ONLY",300,"81025","URINE PREGNANCY TEST",64
17482270,"BLD OCCULT COLRCT NEOPLASM SCR COVINGTON",300,"82270","OCCULT BLOOD FECES",31.08
17482947,"GLUCOSE  COVINGTON ONLY",300,"82947","ASSAY GLUCOSE BLOOD QUANT",37.52
17486580,"TB SKIN TEST (APLISOL) COVINGTON ONLY",300,"86580","TB INTRADERMAL TEST",40.25
17487804,"RAPID FLU AB   COVINGTON ONLY",300,"87804","INFLUENZA ASSAY W/OPTIC",114.52
17487880,"RAPID STREP TEST   COVINGTON ONLY",300,"87880","STREP A ASSAY W/OPTIC",115
20099385,"INITIAL PREVENT CARE, NEW PT, 18-39YR HC",983,,,160.5
20099386,"INITIAL PREVENT CARE, NEW PT, 40-64YR H",983,,,186
20099387,"INITIAL PREVENT CARE, NEW PT, =/+ 65Y HC",983,,,201.5
20099395,"PERIODIC PREVENT CARE ESTAB PT 18-39Y HC",983,,,144
20099396,"PERIODIC PREVENT CARE ESTAB PT 40-64Y H",983,,,154
20099397,"PERIODIC PREVENT CARE ESTAB PT =/+65Y HC",983,,,166
24000932,"ETONOGESTREL (NEXPLANON) 68MG IMPLANT",250,"J7307","Etonogestrel implant system",2287
55500006,"P1012 VISUAL ACUITY VERIFY NEAR OR FAR",983,,,27
55500007,"P104 COLOR VISION (ISHIHARA 14+PLATES)",983,,,27
55500033,"P002A CHSi BRIEF PHYSICAL EXAM",983,,,60
